"miRNAPair","CancerTypes","Count"
"miR-29c-3p/miR-195-5p","CESC - TGCT",2
"miR-301a-3p/miR-20a-5p","UVM - BLCA",2
"miR-301a-3p/miR-218-5p","BLCA - LIHC",2
"miR-145-5p/miR-942-5p","STAD - SARC",2
"miR-9-5p/miR-497-5p","SARC - UCEC",2
"miR-148a-3p/miR-424-5p","THCA - OV",2
"miR-500a-5p/miR-95-3p","LUSC - UCS",2
"miR-31-5p/miR-30a-3p","THYM - UCS",2
"miR-508-5p/miR-19a-3p","UVM - THCA",2
"miR-181a-2-3p/miR-651-5p","SARC - TGCT",2
"miR-362-3p/miR-377-3p","BLCA - UCS",2
"miR-363-3p/miR-301b-3p","UCS - ACC",2
"miR-424-5p/miR-627-5p","STAD - BLCA",2
"miR-432-5p/miR-410-3p","MESO - DLBC",2
"miR-19a-3p/miR-215-5p","BLCA - KIRP",2
"miR-20a-3p/miR-196a-5p","HNSC - CESC",2
"miR-20b-5p/miR-9-5p","THYM - TGCT",2
"let-7c-5p/let-7e-5p","TGCT - SARC",2
"miR-125b-5p/miR-93-3p","SKCM - SARC",2
"miR-149-5p/miR-144-3p","COAD - THYM",2
"miR-199a-3p/miR-182-5p","KIRC - BLCA",2
"miR-200b-3p/miR-708-5p","PCPG - UCS",2
"miR-338-3p/miR-766-3p","SARC - LGG",2
"miR-33a-3p/miR-320d","SKCM - READ",2
"miR-224-5p/miR-196b-5p","COAD - TGCT",2
"miR-34a-5p/miR-301b-3p","UCEC - READ",2
"miR-362-3p/miR-338-3p","PRAD - SKCM",2
"miR-29b-3p/let-7f-5p","LUAD - SARC",2
"miR-3065-3p/miR-30a-5p","THYM - BRCA",2
"miR-497-5p/miR-335-5p","UVM - ACC",2
"miR-625-5p/miR-589-3p","SKCM - HNSC",2
"miR-766-3p/miR-432-5p","DLBC - LGG",2
"miR-106a-5p/miR-34a-5p","KICH - SARC",2
"miR-195-5p/miR-106a-5p","THYM - MESO",2
"miR-19a-3p/miR-130b-5p","SARC - LUSC",2
"miR-500b-5p/miR-582-5p","SKCM - TGCT",2
"miR-19a-3p/miR-155-5p","ESCA - SARC",2
"miR-335-3p/miR-17-5p","LIHC - SARC",2
"miR-335-5p/miR-424-5p","BLCA - STAD",2
"miR-203a-3p/miR-224-5p","SKCM - ESCA",2
"miR-20a-5p/miR-33a-5p","UCS - BLCA",2
"miR-532-3p/miR-188-3p","UCS - CHOL",2
"miR-155-5p/miR-362-3p","STAD - KIRC",2
"miR-642a-5p/miR-330-5p","UCS - SKCM",2
"miR-340-5p/miR-629-3p","UVM - KIRC",2
"miR-342-3p/miR-7-5p","LUAD - SKCM",2
"miR-3065-3p/miR-7-5p","HNSC - MESO",2
"miR-9-3p/miR-20b-5p","HNSC - SARC",2
"miR-940/miR-185-5p","OV - SARC",2
"miR-424-5p/miR-410-3p","KICH - PCPG",2
"let-7f-5p/miR-221-5p","ESCA - LUAD",2
"miR-497-5p/miR-29b-3p","CESC - SARC",2
"miR-188-3p/miR-497-5p","CESC - MESO",2
"miR-3065-5p/miR-424-5p","SKCM - ACC",2
"miR-18a-5p/miR-196b-5p","SARC - BLCA",2
"miR-194-5p/miR-125b-5p","STAD - UVM",2
"miR-195-5p/miR-30a-3p","THYM - SKCM",2
"miR-543/miR-497-5p","ACC - THYM",2
"miR-330-3p/miR-3065-3p","BLCA - SARC",2
"miR-335-5p/miR-301a-3p","LUSC - ESCA",2
"miR-20b-5p/miR-150-5p","SARC - PRAD",2
