miRNA1,miRNA2,hgnc_symbol_tf,hgnc_symbol_target,CommonSynergyModules,CancerTypes,Count
miR-127-5p,miR-133a-3p,SP1,COL1A2,miR-127-5p/miR-133a-3p/SP1/COL1A2,LGG,1
miR-127-5p,miR-133a-3p,SP1,FN1,miR-127-5p/miR-133a-3p/SP1/FN1,LGG,1
miR-127-5p,miR-133a-3p,SP1,HLA-G,miR-127-5p/miR-133a-3p/SP1/HLA-G,LGG,1
miR-127-5p,miR-133a-3p,SP1,HNF4A,miR-127-5p/miR-133a-3p/SP1/HNF4A,BLCA,1
miR-127-5p,miR-133a-3p,SP1,PIM1,miR-127-5p/miR-133a-3p/SP1/PIM1,LGG,1
miR-127-5p,miR-133a-3p,SP1,PTK6,miR-127-5p/miR-133a-3p/SP1/PTK6,BLCA,1
miR-127-5p,miR-133a-3p,SP1,TGFBR2,miR-127-5p/miR-133a-3p/SP1/TGFBR2,LGG,1
miR-127-5p,miR-133a-3p,SP1,UNG,miR-127-5p/miR-133a-3p/SP1/UNG,LGG,1
miR-127-5p,miR-133b,SP1,LDLR,miR-127-5p/miR-133b/SP1/LDLR,STAD,1
miR-127-5p,miR-139-3p,SP1,ADAM10,miR-127-5p/miR-139-3p/SP1/ADAM10,LGG,1
miR-127-5p,miR-139-3p,SP1,IFNGR1,miR-127-5p/miR-139-3p/SP1/IFNGR1,LGG,1
miR-127-5p,miR-145-5p,SP1,H4C14,miR-127-5p/miR-145-5p/SP1/H4C14,LGG,1
miR-127-5p,miR-145-5p,SP1,HNF4A,miR-127-5p/miR-145-5p/SP1/HNF4A,BLCA,1
miR-127-5p,miR-145-5p,SP1,MMP28,miR-127-5p/miR-145-5p/SP1/MMP28,BLCA,1
miR-127-5p,miR-145-5p,SP1,PADI3,miR-127-5p/miR-145-5p/SP1/PADI3,BLCA,1
miR-127-5p,miR-145-5p,SP1,PAX6,miR-127-5p/miR-145-5p/SP1/PAX6,STAD,1
miR-127-5p,miR-145-5p,SP1,PTK6,miR-127-5p/miR-145-5p/SP1/PTK6,BLCA,1
miR-127-5p,miR-149-5p,SP1,ADH6,miR-127-5p/miR-149-5p/SP1/ADH6,LGG,1
miR-127-5p,miR-149-5p,SP1,CAV1,miR-127-5p/miR-149-5p/SP1/CAV1,LGG,1
miR-127-5p,miR-149-5p,SP1,CD28,miR-127-5p/miR-149-5p/SP1/CD28,LGG,1
miR-127-5p,miR-149-5p,SP1,H4C14,miR-127-5p/miR-149-5p/SP1/H4C14,LGG,1
miR-127-5p,miR-149-5p,SP1,HLA-G,miR-127-5p/miR-149-5p/SP1/HLA-G,LGG,1
miR-127-5p,miR-149-5p,SP1,IL10,miR-127-5p/miR-149-5p/SP1/IL10,LGG,1
miR-127-5p,miR-149-5p,SP1,INSR,miR-127-5p/miR-149-5p/SP1/INSR,STAD,1
miR-127-5p,miR-149-5p,SP1,KIF2C,miR-127-5p/miR-149-5p/SP1/KIF2C,LGG,1
miR-127-5p,miR-149-5p,SP1,PIM1,miR-127-5p/miR-149-5p/SP1/PIM1,LGG,1
miR-127-5p,miR-150-5p,SP1,MUC2,miR-127-5p/miR-150-5p/SP1/MUC2,BLCA,1
miR-127-5p,miR-197-3p,NCOA3,HELZ,miR-127-5p/miR-197-3p/NCOA3/HELZ,LGG,1
miR-127-5p,miR-204-5p,SP1,MUC2,miR-127-5p/miR-204-5p/SP1/MUC2,BLCA,1
miR-127-5p,miR-212-3p,ARID2,TNPO1,miR-127-5p/miR-212-3p/ARID2/TNPO1,LGG,1
miR-127-5p,miR-218-5p,SP1,COL1A2,miR-127-5p/miR-218-5p/SP1/COL1A2,LGG,1
miR-127-5p,miR-23b-3p,NCOA3,MED13,miR-127-5p/miR-23b-3p/NCOA3/MED13,LGG,1
miR-127-5p,miR-24-3p,SP1,EDNRB,miR-127-5p/miR-24-3p/SP1/EDNRB,LGG,1
miR-127-5p,miR-299-5p,SP1,BIRC5,miR-127-5p/miR-299-5p/SP1/BIRC5,LGG,1
miR-127-5p,miR-299-5p,SP1,CD9,miR-127-5p/miR-299-5p/SP1/CD9,BLCA,1
miR-127-5p,miR-299-5p,SP1,INSR,miR-127-5p/miR-299-5p/SP1/INSR,STAD,1
miR-127-5p,miR-299-5p,SP1,KIF2C,miR-127-5p/miR-299-5p/SP1/KIF2C,LGG,1
miR-127-5p,miR-299-5p,SP1,PTK6,miR-127-5p/miR-299-5p/SP1/PTK6,BLCA,1
miR-127-5p,miR-299-5p,SP1,SREBF1,miR-127-5p/miR-299-5p/SP1/SREBF1,BLCA,1
miR-127-5p,miR-29b-3p,SP1,CD28,miR-127-5p/miR-29b-3p/SP1/CD28,LGG,1
miR-127-5p,miR-29b-3p,SP1,FN1,miR-127-5p/miR-29b-3p/SP1/FN1,LGG,1
miR-127-5p,miR-29b-3p,SP1,HLA-G,miR-127-5p/miR-29b-3p/SP1/HLA-G,LGG,1
miR-127-5p,miR-29c-3p,SP1,ADAM10,miR-127-5p/miR-29c-3p/SP1/ADAM10,LGG,1
miR-127-5p,miR-29c-3p,SP1,CD28,miR-127-5p/miR-29c-3p/SP1/CD28,LGG,1
miR-127-5p,miR-29c-3p,SP1,CD9,miR-127-5p/miR-29c-3p/SP1/CD9,LGG,1
miR-127-5p,miR-29c-3p,SP1,FN1,miR-127-5p/miR-29c-3p/SP1/FN1,LGG,1
miR-127-5p,miR-29c-3p,SP1,H4C14,miR-127-5p/miR-29c-3p/SP1/H4C14,LGG,1
miR-127-5p,miR-29c-3p,SP1,IL10,miR-127-5p/miR-29c-3p/SP1/IL10,LGG,1
miR-127-5p,miR-30a-3p,SP1,LRP5,miR-127-5p/miR-30a-3p/SP1/LRP5,BLCA,1
miR-127-5p,miR-31-5p,SP1,BIRC5,miR-127-5p/miR-31-5p/SP1/BIRC5,LGG,1
miR-127-5p,miR-31-5p,SP1,CDC25C,miR-127-5p/miR-31-5p/SP1/CDC25C,LGG,1
miR-127-5p,miR-31-5p,SP1,FN1,miR-127-5p/miR-31-5p/SP1/FN1,LGG,1
miR-127-5p,miR-31-5p,SP1,IL10,miR-127-5p/miR-31-5p/SP1/IL10,LGG,1
miR-127-5p,miR-31-5p,SP1,JUN,miR-127-5p/miR-31-5p/SP1/JUN,LGG,1
miR-127-5p,miR-31-5p,SP1,KIF2C,miR-127-5p/miR-31-5p/SP1/KIF2C,LGG,1
miR-127-5p,miR-326,SP1,IL12B,miR-127-5p/miR-326/SP1/IL12B,STAD,1
miR-127-5p,miR-326,SP1,INSR,miR-127-5p/miR-326/SP1/INSR,STAD,1
miR-127-5p,miR-326,SP1,PAX6,miR-127-5p/miR-326/SP1/PAX6,STAD,1
miR-127-5p,miR-329-3p,SP1,CDC25C,miR-127-5p/miR-329-3p/SP1/CDC25C,LGG,1
miR-127-5p,miR-329-3p,SP1,IL2RB,miR-127-5p/miR-329-3p/SP1/IL2RB,LGG,1
miR-127-5p,miR-329-3p,SP1,PLAUR,miR-127-5p/miR-329-3p/SP1/PLAUR,LGG,1
miR-127-5p,miR-330-3p,SP1,CDC25C,miR-127-5p/miR-330-3p/SP1/CDC25C,LGG,1
miR-127-5p,miR-330-3p,SP1,FN1,miR-127-5p/miR-330-3p/SP1/FN1,LGG,1
miR-127-5p,miR-330-3p,SP1,IL10,miR-127-5p/miR-330-3p/SP1/IL10,LGG,1
miR-127-5p,miR-331-3p,SP1,CD9,miR-127-5p/miR-331-3p/SP1/CD9,LGG,1
miR-127-5p,miR-331-3p,SP1,EDNRB,miR-127-5p/miR-331-3p/SP1/EDNRB,LGG,1
miR-127-5p,miR-338-5p,NCOA3,LPP,miR-127-5p/miR-338-5p/NCOA3/LPP,LGG,1
miR-127-5p,miR-369-3p,SP1,CDK1,miR-127-5p/miR-369-3p/SP1/CDK1,LGG,1
miR-127-5p,miR-369-3p,SP1,CERS2,miR-127-5p/miR-369-3p/SP1/CERS2,BLCA,1
miR-127-5p,miR-369-3p,SP1,HLA-G,miR-127-5p/miR-369-3p/SP1/HLA-G,LGG,1
miR-127-5p,miR-369-3p,SP1,KIF2C,miR-127-5p/miR-369-3p/SP1/KIF2C,LGG,1
miR-127-5p,miR-369-3p,SP1,SREBF1,miR-127-5p/miR-369-3p/SP1/SREBF1,BLCA,1
miR-127-5p,miR-377-3p,SP1,HLA-G,miR-127-5p/miR-377-3p/SP1/HLA-G,LGG,1
miR-127-5p,miR-377-3p,SP1,SRC,miR-127-5p/miR-377-3p/SP1/SRC,BLCA,1
miR-127-5p,miR-383-5p,SP1,HLA-G,miR-127-5p/miR-383-5p/SP1/HLA-G,LGG,1
miR-127-5p,miR-383-5p,SP1,UNG,miR-127-5p/miR-383-5p/SP1/UNG,LGG,1
miR-127-5p,miR-410-3p,SP1,BIRC5,miR-127-5p/miR-410-3p/SP1/BIRC5,LGG,1
miR-127-5p,miR-410-3p,SP1,CAV1,miR-127-5p/miR-410-3p/SP1/CAV1,LGG,1
miR-127-5p,miR-410-3p,SP1,CD28,miR-127-5p/miR-410-3p/SP1/CD28,LGG,1
miR-127-5p,miR-410-3p,SP1,CDC25C,miR-127-5p/miR-410-3p/SP1/CDC25C,LGG,1
miR-127-5p,miR-410-3p,SP1,COL1A2,miR-127-5p/miR-410-3p/SP1/COL1A2,LGG,1
miR-127-5p,miR-410-3p,SP1,FN1,miR-127-5p/miR-410-3p/SP1/FN1,LGG,1
miR-127-5p,miR-410-3p,SP1,HLA-G,miR-127-5p/miR-410-3p/SP1/HLA-G,LGG,1
miR-127-5p,miR-410-3p,SP1,PLAUR,miR-127-5p/miR-410-3p/SP1/PLAUR,LGG,1
miR-127-5p,miR-424-5p,SP1,XIAP,miR-127-5p/miR-424-5p/SP1/XIAP,BLCA,1
miR-127-5p,miR-497-5p,SP1,CYP3A7,miR-127-5p/miR-497-5p/SP1/CYP3A7,BLCA,1
miR-127-5p,miR-497-5p,SP1,FMR1,miR-127-5p/miR-497-5p/SP1/FMR1,BLCA,1
miR-127-5p,miR-497-5p,SP1,PTK6,miR-127-5p/miR-497-5p/SP1/PTK6,BLCA,1
miR-127-5p,miR-497-5p,SP1,SRC,miR-127-5p/miR-497-5p/SP1/SRC,BLCA,1
miR-127-5p,miR-7-5p,SP1,ADAM10,miR-127-5p/miR-7-5p/SP1/ADAM10,LGG,1
miR-127-5p,miR-7-5p,SP1,BIRC5,miR-127-5p/miR-7-5p/SP1/BIRC5,LGG,1
miR-127-5p,miR-7-5p,SP1,CDC25C,miR-127-5p/miR-7-5p/SP1/CDC25C,LGG,1
miR-127-5p,miR-7-5p,SP1,CDK1,miR-127-5p/miR-7-5p/SP1/CDK1,LGG,1
miR-127-5p,miR-7-5p,SP1,FGL2,miR-127-5p/miR-7-5p/SP1/FGL2,LGG,1
miR-127-5p,miR-7-5p,SP1,PIM1,miR-127-5p/miR-7-5p/SP1/PIM1,LGG,1
miR-127-5p,miR-758-3p,NCOA3,HELZ,miR-127-5p/miR-758-3p/NCOA3/HELZ,LGG,1
miR-127-5p,miR-877-5p,NCOA3,VPS13B,miR-127-5p/miR-877-5p/NCOA3/VPS13B,LGG,1
miR-127-5p,miR-96-5p,SP1,TGFBR2,miR-127-5p/miR-96-5p/SP1/TGFBR2,THCA,1
miR-1270,miR-141-3p,CUX1,FTO,miR-1270/miR-141-3p/CUX1/FTO,LGG,1
miR-1270,miR-188-5p,CUX1,MACF1,miR-1270/miR-188-5p/CUX1/MACF1,BLCA,1
miR-1270,miR-188-5p,NCOA3,HIPK1,miR-1270/miR-188-5p/NCOA3/HIPK1,KIRP,1
miR-1270,miR-204-5p,BACH2,DAAM1,miR-1270/miR-204-5p/BACH2/DAAM1,KIRC,1
miR-1270,miR-215-5p,NCOA3,UBR5,miR-1270/miR-215-5p/NCOA3/UBR5,KIRC,1
miR-1270,miR-29b-2-5p,CUX1,EEF2,miR-1270/miR-29b-2-5p/CUX1/EEF2,BLCA,1
miR-1270,miR-302a-3p,CUX1,FTO,miR-1270/miR-302a-3p/CUX1/FTO,TGCT,1
miR-1270,miR-302b-3p,CUX1,FTO,miR-1270/miR-302b-3p/CUX1/FTO,TGCT,1
miR-1270,miR-302c-3p,CUX1,FTO,miR-1270/miR-302c-3p/CUX1/FTO,TGCT,1
miR-1270,miR-302d-3p,CUX1,FTO,miR-1270/miR-302d-3p/CUX1/FTO,TGCT,1
miR-1270,miR-324-3p,CUX1,FTO,miR-1270/miR-324-3p/CUX1/FTO,BLCA,1
miR-1270,miR-331-3p,BACH2,FOXO3,miR-1270/miR-331-3p/BACH2/FOXO3,BLCA,1
miR-1270,miR-3651,CUX1,SEPTIN9,miR-1270/miR-3651/CUX1/SEPTIN9,TGCT,1
miR-1271-5p,miR-142-3p,CLOCK,CORO2B,miR-1271-5p/miR-142-3p/CLOCK/CORO2B,THYM,1
miR-1271-5p,miR-142-3p,CLOCK,SIPA1L1,miR-1271-5p/miR-142-3p/CLOCK/SIPA1L1,STAD,1
miR-1271-5p,miR-142-5p,CLOCK,CORO2B,miR-1271-5p/miR-142-5p/CLOCK/CORO2B,THYM,1
miR-1271-5p,miR-210-3p,NFIC,TFAP2A,miR-1271-5p/miR-210-3p/NFIC/TFAP2A,BRCA,1
miR-1271-5p,miR-26b-5p,CLOCK,CDH23,miR-1271-5p/miR-26b-5p/CLOCK/CDH23,STAD,1
miR-1271-5p,miR-302d-5p,CLOCK,PER3,miR-1271-5p/miR-302d-5p/CLOCK/PER3,TGCT,1
miR-1271-5p,miR-324-5p,FOXO1,BCL2L11,miR-1271-5p/miR-324-5p/FOXO1/BCL2L11,BRCA,1
miR-1271-5p,miR-324-5p,FOXO1,TNFSF10,miR-1271-5p/miR-324-5p/FOXO1/TNFSF10,BRCA,1
miR-1271-5p,miR-548t-5p,CLOCK,CORO2B,miR-1271-5p/miR-548t-5p/CLOCK/CORO2B,THYM,1
miR-1271-5p,miR-942-5p,CLOCK,SIPA1L1,miR-1271-5p/miR-942-5p/CLOCK/SIPA1L1,STAD,1
miR-1275,miR-30b-5p,IRF4,CYTH1,miR-1275/miR-30b-5p/IRF4/CYTH1,COAD,1
miR-128-3p,miR-132-3p,NFE2L2,TXNRD1,miR-128-3p/miR-132-3p/NFE2L2/TXNRD1,LGG,1
miR-128-3p,miR-133a-3p,SP1,TGM4,miR-128-3p/miR-133a-3p/SP1/TGM4,LGG,1
miR-128-3p,miR-138-1-3p,NFE2L2,TXNRD1,miR-128-3p/miR-138-1-3p/NFE2L2/TXNRD1,LGG,1
miR-128-3p,miR-139-3p,SP1,ESR1,miR-128-3p/miR-139-3p/SP1/ESR1,LGG,1
miR-128-3p,miR-142-3p,NR2F6,MYO18A,miR-128-3p/miR-142-3p/NR2F6/MYO18A,THYM,1
miR-128-3p,miR-142-5p,NFE2L2,TXNRD1,miR-128-3p/miR-142-5p/NFE2L2/TXNRD1,LGG,1
miR-128-3p,miR-15a-5p,TEAD1,SEMA3D,miR-128-3p/miR-15a-5p/TEAD1/SEMA3D,THYM,1
miR-128-3p,miR-16-1-3p,TEAD1,SEMA3D,miR-128-3p/miR-16-1-3p/TEAD1/SEMA3D,THYM,1
miR-128-3p,miR-181a-2-3p,TEAD1,SEMA3D,miR-128-3p/miR-181a-2-3p/TEAD1/SEMA3D,THYM,1
miR-128-3p,miR-199b-3p,NFE2L2,TXNRD1,miR-128-3p/miR-199b-3p/NFE2L2/TXNRD1,LGG,1
miR-128-3p,miR-218-5p,SP1,ADAM10,miR-128-3p/miR-218-5p/SP1/ADAM10,LGG,1
miR-128-3p,miR-24-3p,ETS1,CHUK,miR-128-3p/miR-24-3p/ETS1/CHUK,LGG,1
miR-128-3p,miR-27a-3p,NFE2L2,TXNRD1,miR-128-3p/miR-27a-3p/NFE2L2/TXNRD1,LGG,1
miR-128-3p,miR-299-5p,SP1,ADAM10,miR-128-3p/miR-299-5p/SP1/ADAM10,LGG,1
miR-128-3p,miR-299-5p,SP1,IFNGR1,miR-128-3p/miR-299-5p/SP1/IFNGR1,LGG,1
miR-128-3p,miR-299-5p,SP1,TGM4,miR-128-3p/miR-299-5p/SP1/TGM4,LGG,1
miR-128-3p,miR-329-3p,ETS1,DUSP6,miR-128-3p/miR-329-3p/ETS1/DUSP6,LGG,1
miR-128-3p,miR-329-3p,ETS1,GZMB,miR-128-3p/miR-329-3p/ETS1/GZMB,LGG,1
miR-128-3p,miR-329-3p,ETS1,TFAP2A,miR-128-3p/miR-329-3p/ETS1/TFAP2A,LGG,1
miR-128-3p,miR-330-3p,TEAD1,EPS8,miR-128-3p/miR-330-3p/TEAD1/EPS8,LGG,1
miR-128-3p,miR-33a-3p,NFE2L2,TXNRD1,miR-128-3p/miR-33a-3p/NFE2L2/TXNRD1,LGG,1
miR-128-3p,miR-362-3p,ETS1,CHUK,miR-128-3p/miR-362-3p/ETS1/CHUK,LGG,1
miR-128-3p,miR-369-3p,SP1,ESR1,miR-128-3p/miR-369-3p/SP1/ESR1,LGG,1
miR-128-3p,miR-377-3p,ETS1,TFAP2A,miR-128-3p/miR-377-3p/ETS1/TFAP2A,LGG,1
miR-128-3p,miR-377-3p,SP1,ESR1,miR-128-3p/miR-377-3p/SP1/ESR1,LGG,1
miR-128-3p,miR-377-3p,TEAD1,NRP2,miR-128-3p/miR-377-3p/TEAD1/NRP2,LGG,1
miR-128-3p,miR-377-5p,ZNF639,EPM2A,miR-128-3p/miR-377-5p/ZNF639/EPM2A,LGG,1
miR-128-3p,miR-625-3p,TEAD1,GMDS,miR-128-3p/miR-625-3p/TEAD1/GMDS,THYM,1
miR-128-3p,miR-625-5p,EPAS1,SPHK1,miR-128-3p/miR-625-5p/EPAS1/SPHK1,THYM,1
miR-128-3p,miR-654-3p,ETS1,ETV4,miR-128-3p/miR-654-3p/ETS1/ETV4,LGG,1
miR-128-3p,miR-93-5p,SP1,COL2A1,miR-128-3p/miR-93-5p/SP1/COL2A1,THYM,1
miR-1287-5p,miR-212-3p,SOX11,MAP4K4,miR-1287-5p/miR-212-3p/SOX11/MAP4K4,LGG,1
miR-129-1-3p,miR-769-5p,NFIC,GFAP,miR-129-1-3p/miR-769-5p/NFIC/GFAP,LGG,1
miR-129-5p,miR-1296-5p,SP1,TGFBR2,miR-129-5p/miR-1296-5p/SP1/TGFBR2,LGG,1
miR-129-5p,miR-1306-3p,FOXP1,PHLPP1,miR-129-5p/miR-1306-3p/FOXP1/PHLPP1,BRCA,1
miR-129-5p,miR-130a-3p,ESR1,CCT6B,miR-129-5p/miR-130a-3p/ESR1/CCT6B,BRCA,1
miR-129-5p,miR-130b-3p,ESR1,CCND1,miR-129-5p/miR-130b-3p/ESR1/CCND1,LUSC,1
miR-129-5p,miR-132-3p,SOX6,PPFIBP2,miR-129-5p/miR-132-3p/SOX6/PPFIBP2,LGG,1
miR-129-5p,miR-133a-3p,SP1,CD9,miR-129-5p/miR-133a-3p/SP1/CD9,LGG,1
miR-129-5p,miR-133a-3p,SP1,FOSL1,miR-129-5p/miR-133a-3p/SP1/FOSL1,LGG,1
miR-129-5p,miR-133a-3p,SP1,MYBL1,miR-129-5p/miR-133a-3p/SP1/MYBL1,LGG,1
miR-129-5p,miR-133a-3p,SP1,SERPINE1,miR-129-5p/miR-133a-3p/SP1/SERPINE1,LGG,1
miR-129-5p,miR-133a-3p,SP1,TGFBR2,miR-129-5p/miR-133a-3p/SP1/TGFBR2,LGG,1
miR-129-5p,miR-133a-3p,SP1,TGM4,miR-129-5p/miR-133a-3p/SP1/TGM4,LGG,1
miR-129-5p,miR-139-3p,SP1,IFNGR1,miR-129-5p/miR-139-3p/SP1/IFNGR1,LGG,1
miR-129-5p,miR-139-3p,SP1,INSR,miR-129-5p/miR-139-3p/SP1/INSR,LGG,1
miR-129-5p,miR-139-3p,SP1,MYBL1,miR-129-5p/miR-139-3p/SP1/MYBL1,LGG,1
miR-129-5p,miR-145-5p,SP1,PIM1,miR-129-5p/miR-145-5p/SP1/PIM1,LGG,1
miR-129-5p,miR-149-5p,SP1,CD9,miR-129-5p/miR-149-5p/SP1/CD9,LGG,1
miR-129-5p,miR-149-5p,SP1,FOSL1,miR-129-5p/miR-149-5p/SP1/FOSL1,LGG,1
miR-129-5p,miR-149-5p,SP1,HLA-G,miR-129-5p/miR-149-5p/SP1/HLA-G,LGG,1
miR-129-5p,miR-149-5p,SP1,IFNGR1,miR-129-5p/miR-149-5p/SP1/IFNGR1,LGG,1
miR-129-5p,miR-149-5p,SP1,IL2RB,miR-129-5p/miR-149-5p/SP1/IL2RB,LGG,1
miR-129-5p,miR-149-5p,SP1,MYBL1,miR-129-5p/miR-149-5p/SP1/MYBL1,LGG,1
miR-129-5p,miR-149-5p,SP1,REL,miR-129-5p/miR-149-5p/SP1/REL,LGG,1
miR-129-5p,miR-149-5p,SP1,TGM4,miR-129-5p/miR-149-5p/SP1/TGM4,LGG,1
miR-129-5p,miR-153-3p,SOX11,RP1,miR-129-5p/miR-153-3p/SOX11/RP1,PAAD,1
miR-129-5p,miR-15a-5p,TEAD1,DLGAP1,miR-129-5p/miR-15a-5p/TEAD1/DLGAP1,THYM,1
miR-129-5p,miR-16-1-3p,TEAD1,DLGAP1,miR-129-5p/miR-16-1-3p/TEAD1/DLGAP1,THYM,1
miR-129-5p,miR-181a-2-3p,TEAD1,DLGAP1,miR-129-5p/miR-181a-2-3p/TEAD1/DLGAP1,THYM,1
miR-129-5p,miR-183-5p,KLF6,VMP1,miR-129-5p/miR-183-5p/KLF6/VMP1,SARC,1
miR-129-5p,miR-192-5p,CTCF,ARL2,miR-129-5p/miR-192-5p/CTCF/ARL2,STAD,1
miR-129-5p,miR-192-5p,ESR1,LGALS8,miR-129-5p/miR-192-5p/ESR1/LGALS8,SARC,1
miR-129-5p,miR-204-5p,SOX11,CDH11,miR-129-5p/miR-204-5p/SOX11/CDH11,PAAD,1
miR-129-5p,miR-204-5p,SOX11,RUNX1,miR-129-5p/miR-204-5p/SOX11/RUNX1,PAAD,1
miR-129-5p,miR-204-5p,SP1,IGFBP3,miR-129-5p/miR-204-5p/SP1/IGFBP3,PAAD,1
miR-129-5p,miR-20a-5p,KLF6,ZFP36L2,miR-129-5p/miR-20a-5p/KLF6/ZFP36L2,HNSC,1
miR-129-5p,miR-218-5p,CTCF,HMCN1,miR-129-5p/miR-218-5p/CTCF/HMCN1,LGG,1
miR-129-5p,miR-218-5p,CTCF,TBC1D14,miR-129-5p/miR-218-5p/CTCF/TBC1D14,LGG,1
miR-129-5p,miR-218-5p,REST,TUBB3,miR-129-5p/miR-218-5p/REST/TUBB3,LGG,1
miR-129-5p,miR-218-5p,SP1,TGM4,miR-129-5p/miR-218-5p/SP1/TGM4,LGG,1
miR-129-5p,miR-221-3p,ESR1,EGFR,miR-129-5p/miR-221-3p/ESR1/EGFR,UCEC,1
miR-129-5p,miR-27b-3p,ARID3A,ERN1,miR-129-5p/miR-27b-3p/ARID3A/ERN1,LGG,1
miR-129-5p,miR-299-5p,SP1,HLA-G,miR-129-5p/miR-299-5p/SP1/HLA-G,LGG,1
miR-129-5p,miR-299-5p,SP1,IER3,miR-129-5p/miR-299-5p/SP1/IER3,LGG,1
miR-129-5p,miR-299-5p,SP1,IFNGR1,miR-129-5p/miR-299-5p/SP1/IFNGR1,LGG,1
miR-129-5p,miR-299-5p,SP1,TGM4,miR-129-5p/miR-299-5p/SP1/TGM4,LGG,1
miR-129-5p,miR-29b-3p,SP1,CD28,miR-129-5p/miR-29b-3p/SP1/CD28,LGG,1
miR-129-5p,miR-29b-3p,SP1,INSR,miR-129-5p/miR-29b-3p/SP1/INSR,LGG,1
miR-129-5p,miR-3065-3p,SOX11,RUNX1,miR-129-5p/miR-3065-3p/SOX11/RUNX1,PAAD,1
miR-129-5p,miR-31-5p,SP1,IFNGR1,miR-129-5p/miR-31-5p/SP1/IFNGR1,LGG,1
miR-129-5p,miR-329-3p,SP1,IFNGR1,miR-129-5p/miR-329-3p/SP1/IFNGR1,LGG,1
miR-129-5p,miR-331-3p,SP1,CCN2,miR-129-5p/miR-331-3p/SP1/CCN2,LGG,1
miR-129-5p,miR-331-3p,SP1,CD9,miR-129-5p/miR-331-3p/SP1/CD9,LGG,1
miR-129-5p,miR-331-3p,SP1,IL2RB,miR-129-5p/miR-331-3p/SP1/IL2RB,LGG,1
miR-129-5p,miR-331-3p,SP1,INSR,miR-129-5p/miR-331-3p/SP1/INSR,LGG,1
miR-129-5p,miR-335-3p,ESR1,NEK6,miR-129-5p/miR-335-3p/ESR1/NEK6,STAD,1
miR-129-5p,miR-3613-5p,CLOCK,DLGAP1,miR-129-5p/miR-3613-5p/CLOCK/DLGAP1,THYM,1
miR-129-5p,miR-362-3p,TEAD1,PCYT1A,miR-129-5p/miR-362-3p/TEAD1/PCYT1A,PRAD,1
miR-129-5p,miR-369-3p,SP1,TGM4,miR-129-5p/miR-369-3p/SP1/TGM4,LGG,1
miR-129-5p,miR-377-3p,SP1,FOSL1,miR-129-5p/miR-377-3p/SP1/FOSL1,LGG,1
miR-129-5p,miR-377-3p,SP1,INSR,miR-129-5p/miR-377-3p/SP1/INSR,LGG,1
miR-129-5p,miR-383-5p,SP1,TNFSF14,miR-129-5p/miR-383-5p/SP1/TNFSF14,LGG,1
miR-129-5p,miR-383-5p,SP1,UNG,miR-129-5p/miR-383-5p/SP1/UNG,LGG,1
miR-129-5p,miR-410-3p,SP1,CD9,miR-129-5p/miR-410-3p/SP1/CD9,LGG,1
miR-129-5p,miR-410-3p,SP1,FGL2,miR-129-5p/miR-410-3p/SP1/FGL2,LGG,1
miR-129-5p,miR-410-3p,SP1,IFNGR1,miR-129-5p/miR-410-3p/SP1/IFNGR1,LGG,1
miR-129-5p,miR-625-3p,TEAD1,FHL2,miR-129-5p/miR-625-3p/TEAD1/FHL2,THYM,1
miR-129-5p,miR-7-5p,FOXP1,TRAPPC9,miR-129-5p/miR-7-5p/FOXP1/TRAPPC9,PAAD,1
miR-129-5p,miR-7-5p,SP1,ABCC3,miR-129-5p/miR-7-5p/SP1/ABCC3,PAAD,1
miR-129-5p,miR-7-5p,SP1,EZR,miR-129-5p/miR-7-5p/SP1/EZR,PAAD,1
miR-129-5p,miR-7-5p,SP1,FOSL1,miR-129-5p/miR-7-5p/SP1/FOSL1,LGG,1
miR-129-5p,miR-7-5p,SP1,IL1A,miR-129-5p/miR-7-5p/SP1/IL1A,PAAD,1
miR-129-5p,miR-7-5p,SP1,MUC2,miR-129-5p/miR-7-5p/SP1/MUC2,PAAD,1
miR-129-5p,miR-7-5p,SP1,NFKB1,miR-129-5p/miR-7-5p/SP1/NFKB1,PAAD,1
miR-129-5p,miR-7-5p,SP1,SLC9A2,miR-129-5p/miR-7-5p/SP1/SLC9A2,PAAD,1
miR-129-5p,miR-7-5p,SP1,TGM4,miR-129-5p/miR-7-5p/SP1/TGM4,LGG,1
miR-129-5p,miR-99b-5p,ARID3A,ERN1,miR-129-5p/miR-99b-5p/ARID3A/ERN1,LGG,1
miR-1292-5p,miR-1304-5p,FOXO4,BCL6,miR-1292-5p/miR-1304-5p/FOXO4/BCL6,STAD,1
miR-1292-5p,miR-654-3p,POU2F1,CCND1,miR-1292-5p/miR-654-3p/POU2F1/CCND1,LGG,1
miR-1296-5p,miR-133a-3p,SP1,TGFBR2,miR-1296-5p/miR-133a-3p/SP1/TGFBR2,LGG,1
miR-1296-5p,miR-145-5p,SP1,AR,miR-1296-5p/miR-145-5p/SP1/AR,LGG,1
miR-1296-5p,miR-145-5p,SP1,B4GALT1,miR-1296-5p/miR-145-5p/SP1/B4GALT1,LGG,1
miR-1296-5p,miR-145-5p,SP1,BIRC5,miR-1296-5p/miR-145-5p/SP1/BIRC5,LGG,1
miR-1296-5p,miR-145-5p,SP1,CCND1,miR-1296-5p/miR-145-5p/SP1/CCND1,LGG,1
