Triplet;Count;CancerTypes
miR-146a-5p/miR-223-5p/PMAIP1;1;SARC
miR-181c-5p/miR-660-5p/PMAIP1;1;SARC
miR-200b-3p/miR-186-5p/PMAIP1;1;SARC
miR-502-3p/miR-181c-5p/PMAIP1;1;SARC
miR-3170/miR-519d-3p/FXYD5;1;THYM
miR-3170/miR-520a-3p/FXYD5;1;THYM
miR-3170/miR-520c-3p/FXYD5;1;THYM
miR-3170/miR-520d-3p/FXYD5;1;THYM
miR-512-3p/miR-3170/FXYD5;1;THYM
miR-9-5p/miR-20b-5p/PRRX1;1;THYM
miR-9-5p/miR-93-5p/PRRX1;1;THYM
miR-130b-3p/miR-125b-5p/BRWD1;1;STAD
miR-30c-2-3p/miR-125b-5p/C21orf58;1;THYM
miR-193b-5p/miR-940/CYCS;1;KICH
miR-125b-2-3p/miR-200c-3p/ERRFI1;1;SARC
miR-708-5p/miR-222-5p/GNG2;1;STAD
miR-20a-5p/miR-505-5p/POLR2F;1;STAD
miR-16-2-3p/miR-92b-3p/SLC38A2;1;THYM
miR-203a-3p/miR-125a-5p/SLC38A2;1;LIHC
miR-203a-3p/miR-181c-5p/SLC38A2;1;LIHC
miR-320b/miR-192-3p/SLC38A2;1;HNSC
miR-365a-3p/miR-192-5p/GFOD1;1;SARC
miR-365a-3p/miR-425-5p/GFOD1;1;SARC
miR-141-5p/miR-497-5p/ANLN;1;BLCA
miR-141-5p/miR-582-5p/ANLN;1;BLCA
miR-204-5p/miR-424-5p/ANLN;1;LIHC
miR-497-5p/miR-195-5p/ANLN;1;THYM
miR-582-5p/miR-141-3p/ANLN;1;BLCA
miR-34a-5p/miR-155-5p/PLEKHA5;1;SARC
miR-15b-5p/miR-195-5p/POU2AF1;1;THYM
miR-497-3p/miR-224-5p/POU2F1;1;TGCT
miR-335-3p/miR-192-5p/WDR44;1;TGCT
miR-363-3p/miR-335-3p/DDIT4;1;STAD
miR-9-3p/miR-182-5p/MTMR12;1;ACC
miR-130a-3p/miR-320c/PARP14;1;SARC
miR-335-5p/miR-877-5p/MINDY2;1;SARC
miR-769-3p/miR-877-5p/MINDY2;1;SARC
let-7c-5p/let-7e-5p/LY6K;1;TGCT
let-7c-5p/miR-219a-1-3p/LY6K;1;TGCT
miR-324-5p/miR-93-3p/BNC2;1;LUAD
miR-33a-5p/miR-324-5p/BNC2;1;LUAD
miR-302c-3p/miR-29b-3p/KLHL28;1;TGCT
miR-450b-5p/miR-519c-3p/KLHL28;1;THYM
miR-141-3p/miR-550a-5p/TENT5C;1;ACC
miR-17-5p/miR-20a-5p/TENT5C;1;SARC
miR-20b-5p/miR-93-3p/TENT5C;1;SARC
miR-33a-5p/miR-93-3p/TENT5C;1;SARC
miR-874-3p/miR-550a-5p/TENT5C;1;BLCA
miR-15a-5p/miR-195-5p/ZCCHC2;1;THYM
miR-15a-5p/miR-653-5p/ZCCHC2;1;THYM
miR-15b-5p/miR-195-5p/ZCCHC2;1;THYM
miR-100-5p/miR-326/CASZ1;1;KIRC
miR-370-3p/miR-30b-3p/LAX1;1;SARC
miR-370-3p/miR-377-5p/LAX1;1;THYM
miR-377-5p/miR-149-3p/LAX1;1;HNSC
miR-222-5p/miR-362-3p/SEMA4C;1;KIRC
miR-125b-5p/miR-99a-3p/PPL;1;SARC
miR-145-3p/miR-193b-3p/PPL;1;SARC
miR-340-5p/miR-125b-5p/PPL;1;SARC
miR-20b-5p/miR-766-3p/RNF125;1;TGCT
miR-500a-3p/miR-301a-3p/HERC6;1;SARC
miR-302c-3p/miR-372-3p/FKBP14;1;TGCT
miR-302d-3p/miR-142-3p/FKBP14;1;TGCT
miR-302d-3p/miR-372-3p/FKBP14;1;TGCT
miR-302d-3p/miR-373-3p/FKBP14;1;TGCT
miR-302d-3p/miR-629-3p/FKBP14;1;TGCT
miR-373-3p/miR-106a-5p/FKBP14;1;TGCT
miR-373-3p/miR-20b-5p/FKBP14;1;TGCT
miR-373-3p/miR-302a-3p/FKBP14;1;TGCT
miR-512-3p/miR-302c-3p/FKBP14;1;TGCT
miR-520d-3p/miR-302c-3p/FKBP14;1;TGCT
miR-629-3p/miR-302a-3p/FKBP14;1;TGCT
miR-144-5p/miR-30e-5p/SOBP;1;UVM
miR-30c-1-3p/miR-181d-5p/SOBP;1;COAD
miR-92b-3p/miR-2355-3p/CCDC186;1;THYM
miR-20b-5p/miR-20a-5p/PIWIL2;1;STAD
miR-374b-3p/miR-181b-5p/FIGN;1;SARC
miR-301b-3p/miR-371a-5p/RBM23;1;TGCT
miR-301b-3p/miR-373-5p/RBM23;1;TGCT
miR-199a-3p/miR-411-5p/CEP55;1;THYM
miR-199b-3p/miR-411-5p/CEP55;1;THYM
miR-497-5p/miR-199a-3p/CEP55;1;THYM
miR-497-5p/miR-199b-3p/CEP55;1;THYM
miR-514a-3p/miR-1179/CEP55;1;LGG
miR-106a-5p/miR-181d-5p/RIF1;1;TGCT
miR-181d-5p/miR-149-3p/RIF1;1;TGCT
miR-218-5p/miR-32-3p/SLC25A36;1;STAD
miR-486-5p/miR-3934-5p/CCDC198;1;PAAD
miR-486-5p/miR-93-5p/CCDC198;1;STAD
miR-200c-3p/miR-508-5p/AVPR1A;1;THYM
miR-429/miR-508-5p/AVPR1A;1;THYM
let-7f-5p/miR-222-3p/PHF10;1;SARC
miR-212-3p/miR-3065-3p/LAPTM4B;1;THYM
miR-107/miR-485-5p/HJURP;1;LGG
miR-17-5p/miR-20a-5p/CAMK2N1;1;THYM
miR-199a-5p/miR-218-5p/DNAJA4;1;ESCA
miR-155-5p/miR-19b-3p/SOX6;1;SARC
miR-19a-3p/miR-155-5p/SOX6;1;SARC
miR-19a-3p/miR-548b-3p/SOX6;1;LIHC
miR-654-5p/miR-411-5p/MIOX;1;LUAD
miR-486-5p/miR-92b-3p/TENT5A;1;TGCT
miR-148b-5p/miR-141-3p/PRKAA2;1;BLCA
miR-17-5p/miR-141-3p/PRKAA2;1;BLCA
miR-17-5p/miR-182-5p/PRKAA2;1;BLCA
miR-17-5p/miR-200a-3p/PRKAA2;1;BLCA
miR-182-5p/miR-141-3p/PRKAA2;1;BLCA
miR-182-5p/miR-222-5p/PRKAA2;1;BLCA
miR-200a-3p/miR-141-3p/PRKAA2;1;BLCA
miR-331-3p/miR-141-3p/PRKAA2;1;BLCA
miR-93-3p/miR-141-3p/PRKAA2;1;BLCA
miR-378c/miR-411-3p/CHD7;1;TGCT
miR-378c/miR-671-3p/CHD7;1;TGCT
miR-19a-3p/miR-96-5p/SYBU;1;BLCA
miR-301a-3p/miR-17-5p/SYBU;1;BLCA
miR-301a-3p/miR-19a-3p/SYBU;1;BLCA
miR-96-5p/miR-17-5p/SYBU;1;BLCA
miR-19b-1-5p/let-7c-5p/PRKAB2;1;SARC
miR-20b-5p/miR-150-5p/BCAS4;1;SARC
miR-142-5p/miR-320d/DENND4C;1;TGCT
miR-125a-3p/miR-20a-5p/PKIA;1;SARC
miR-429/miR-106a-5p/PKIA;1;PAAD
miR-219a-5p/miR-651-5p/CCDC88A;1;BLCA
miR-651-5p/miR-148a-5p/CCDC88A;1;BLCA
miR-497-3p/miR-200b-3p/ATF7IP;1;TGCT
miR-203a-3p/miR-1305/ENAH;1;THYM
miR-323b-3p/miR-196a-5p/ENAH;1;STAD
miR-34c-3p/miR-181a-2-3p/PARVA;1;SARC
miR-519d-3p/miR-525-5p/PRKCB;1;THYM
miR-520a-5p/miR-519d-3p/PRKCB;1;THYM
miR-93-5p/miR-21-3p/CSGALNACT1;1;SKCM
miR-186-5p/miR-1-3p/AXL;1;SARC
miR-32-5p/miR-34a-5p/AXL;1;SARC
miR-532-3p/miR-1-3p/AXL;1;SARC
miR-183-5p/miR-548b-3p/PAG1;1;PCPG
miR-497-5p/miR-195-5p/PAG1;1;SARC
miR-182-5p/miR-195-5p/CENPN;1;THYM
miR-302c-3p/miR-18a-3p/ASH1L;1;TGCT
miR-302c-3p/miR-195-5p/ASH1L;1;TGCT
miR-302d-3p/miR-18a-3p/ASH1L;1;TGCT
miR-34b-5p/miR-302b-3p/ASH1L;1;TGCT
miR-497-5p/miR-302a-3p/ASH1L;1;TGCT
miR-497-5p/miR-302c-3p/ASH1L;1;TGCT
miR-497-5p/miR-302d-3p/ASH1L;1;TGCT
miR-548f-3p/miR-33a-3p/ASH1L;1;TGCT
miR-577/miR-96-5p/ASH1L;1;THYM
miR-454-3p/miR-17-5p/MAPK13;1;SKCM
let-7e-5p/miR-19b-3p/PRLR;1;SARC
miR-15b-3p/let-7e-5p/PRLR;1;SARC
miR-17-5p/let-7e-5p/PRLR;1;SARC
miR-183-5p/miR-19a-3p/PRLR;1;SARC
miR-19a-3p/miR-19b-3p/PRLR;1;SARC
miR-96-5p/miR-203a-3p/PRLR;1;PAAD
miR-1976/miR-543/KCNQ5;1;SARC
miR-223-5p/miR-130a-3p/KCNQ5;1;SARC
miR-501-3p/miR-106a-5p/B2M;1;UCS
miR-378c/miR-378a-3p/CELF4;1;TGCT
miR-500a-5p/miR-340-5p/TCIM;1;SARC
miR-605-5p/miR-455-3p/AGPAT4;1;COAD
let-7c-5p/let-7e-5p/DPYSL5;1;SARC
let-7c-5p/miR-19b-3p/DPYSL5;1;SARC
let-7c-5p/miR-30b-3p/DPYSL5;1;SARC
miR-130b-5p/let-7c-5p/DPYSL5;1;SARC
miR-130b-5p/miR-19b-3p/DPYSL5;1;SARC
miR-3127-5p/let-7e-5p/DPYSL5;1;SARC
miR-532-3p/miR-625-5p/DPYSL5;1;SARC
miR-3609/miR-519d-3p/PAK6;1;TGCT
miR-760/miR-629-3p/PMEPA1;1;COAD
miR-218-5p/miR-940/ARNTL2;1;SARC
miR-579-3p/miR-363-3p/ARNTL2;1;THYM
let-7c-5p/miR-362-3p/STOX2;1;SARC
miR-3662/miR-122-5p/RSRP1;1;TGCT
miR-200a-5p/miR-130b-5p/CAMK1D;1;LIHC
miR-135b-5p/miR-18a-5p/SCYL3;1;THYM
miR-143-3p/miR-20b-5p/ZNFX1;1;LUAD
miR-182-5p/miR-541-3p/ZNFX1;1;TGCT
miR-23b-3p/miR-148b-5p/ZNFX1;1;SARC
miR-345-5p/miR-148b-5p/ZNFX1;1;SARC
miR-345-5p/miR-455-5p/ZNFX1;1;SARC
miR-1226-3p/miR-582-5p/SLC39A10;1;TGCT
miR-1226-3p/miR-142-5p/ZNF248;1;STAD
miR-330-5p/miR-29c-3p/CEMIP;1;SARC
miR-497-5p/miR-653-5p/CEMIP;1;MESO
miR-642a-5p/miR-7-1-3p/VANGL2;1;BRCA
miR-150-5p/miR-29b-2-5p/ARFGEF3;1;SARC
miR-18b-5p/miR-18a-3p/PTGFRN;1;BLCA
miR-33a-5p/miR-139-5p/PTGFRN;1;SARC
miR-940/miR-23a-5p/AS3MT;1;STAD
miR-103a-2-5p/miR-146b-5p/PTGS2;1;STAD
miR-653-5p/miR-96-5p/PTGS2;1;BLCA
miR-7-1-3p/miR-181a-5p/PTGS2;1;SARC
miR-301b-3p/miR-301a-3p/TENM2;1;LUSC
miR-125b-5p/miR-429/PPM1H;1;THYM
miR-512-3p/miR-149-3p/STRIP2;1;THYM
miR-1226-3p/miR-629-3p/ZNF512B;1;COAD
miR-130b-5p/miR-148a-3p/ZNF512B;1;STAD
miR-939-5p/miR-940/ZNF512B;1;STAD
miR-362-5p/miR-654-3p/PLEKHH1;1;BLCA
miR-200b-3p/miR-374a-5p/USP31;1;SARC
miR-29b-3p/miR-582-5p/USP31;1;CESC
miR-30a-3p/miR-222-3p/HEG1;1;UVM
let-7f-5p/miR-500b-5p/MTUS1;1;SARC
miR-22-5p/miR-181a-5p/MTUS1;1;SARC
miR-22-5p/miR-197-3p/MTUS1;1;SARC
miR-34a-5p/miR-766-3p/PTK6;1;SARC
miR-192-3p/miR-145-5p/MIB1;1;STAD
miR-192-5p/miR-145-5p/MIB1;1;STAD
miR-30c-1-3p/miR-30c-2-3p/PTK7;1;LIHC
miR-30c-2-3p/miR-7-5p/PTK7;1;BRCA
miR-450b-5p/let-7b-5p/PDP2;1;UVM
miR-34c-5p/miR-21-3p/TAOK1;1;SARC
miR-450b-5p/miR-512-3p/TAOK1;1;THYM
miR-450b-5p/miR-518f-5p/TAOK1;1;THYM
miR-450b-5p/miR-519a-5p/TAOK1;1;THYM
miR-450b-5p/miR-519c-3p/TAOK1;1;THYM
miR-450b-5p/miR-520a-3p/TAOK1;1;THYM
miR-450b-5p/miR-520a-5p/TAOK1;1;THYM
miR-766-3p/miR-215-5p/TAOK1;1;THYM
miR-19a-3p/miR-338-3p/MICAL3;1;LIHC
miR-181d-5p/miR-93-3p/ARRDC3;1;BLCA
miR-17-5p/miR-99a-3p/SIPA1L2;1;ESCA
miR-99a-3p/miR-19a-3p/SIPA1L2;1;ESCA
miR-103a-2-5p/miR-19a-3p/PCDH10;1;HNSC
miR-19b-3p/miR-223-5p/PCDH10;1;BRCA
miR-34a-3p/miR-1270/PCDH10;1;BLCA
miR-33a-3p/miR-200c-3p/CFAP97;1;TGCT
miR-503-5p/miR-26a-5p/FNIP2;1;SARC
miR-186-5p/miR-503-5p/TRMT9B;1;SARC
miR-491-5p/miR-186-5p/TRMT9B;1;SARC
miR-491-5p/miR-503-5p/TRMT9B;1;SARC
miR-503-5p/miR-30b-3p/TRMT9B;1;SARC
miR-363-5p/miR-625-5p/PTMS;1;THYM
let-7f-5p/miR-142-3p/EP400;1;LUAD
miR-93-5p/miR-17-5p/KIAA1522;1;SKCM
miR-150-5p/miR-224-5p/KIAA1549;1;PAAD
miR-224-5p/miR-130a-3p/KIAA1549;1;HNSC
miR-520a-5p/miR-301b-3p/KIAA1549;1;TGCT
miR-3065-3p/miR-424-5p/RNF213;1;TGCT
miR-3065-3p/miR-582-5p/RNF213;1;TGCT
miR-370-3p/miR-141-3p/RNF213;1;LUSC
miR-20b-5p/miR-708-5p/QSOX1;1;STAD
miR-3065-3p/miR-30a-5p/ZDBF2;1;THYM
miR-330-3p/miR-18a-5p/USP37;1;SARC
miR-577/miR-455-3p/USP37;1;TGCT
miR-194-3p/miR-192-3p/SLC7A14;1;ESCA
miR-335-5p/miR-493-3p/TRIB3;1;TGCT
miR-338-3p/miR-30a-5p/TRIB3;1;LUSC
miR-330-5p/miR-126-5p/PTPN7;1;LGG
miR-1307-3p/miR-766-3p/HES4;1;SARC
miR-18b-5p/miR-30b-5p/PTPN13;1;COAD
miR-30b-5p/miR-9-3p/PTPN13;1;COAD
miR-331-3p/miR-424-5p/PTPN13;1;STAD
miR-342-3p/miR-223-5p/CYP4F11;1;LIHC
miR-301a-3p/miR-130b-3p/PTPRD;1;UCEC
miR-133a-3p/miR-367-3p/PTPRJ;1;TGCT
miR-363-3p/miR-204-5p/PTPRJ;1;KICH
miR-96-5p/miR-501-5p/PTPRJ;1;UCS
miR-1179/miR-501-3p/PTPRK;1;PCPG
miR-326/miR-320b/PTPRN;1;STAD
miR-29a-3p/miR-342-3p/PURA;1;SKCM
miR-616-5p/miR-188-3p/PURA;1;TGCT
miR-145-5p/miR-942-5p/PURB;1;STAD
miR-221-5p/miR-146a-5p/PWP2;1;SARC
miR-125b-5p/miR-192-3p/KMT2C;1;STAD
miR-15b-5p/miR-181a-2-3p/RRAGD;1;SARC
miR-17-5p/miR-19b-3p/RRAGD;1;SARC
miR-20a-5p/miR-19b-3p/RRAGD;1;SARC
miR-301a-3p/miR-424-5p/RRAGD;1;BLCA
miR-34c-5p/miR-124-3p/RRAGD;1;TGCT
miR-424-5p/miR-93-5p/RRAGD;1;BLCA
miR-125a-5p/miR-34c-3p/BCAT1;1;THYM
miR-141-3p/miR-410-3p/RAB3B;1;BLCA
miR-21-3p/miR-155-5p/RAB3B;1;UCEC
miR-33a-5p/miR-155-5p/RAB3B;1;UCEC
miR-452-3p/miR-410-3p/RAB3B;1;PCPG
miR-452-3p/miR-452-5p/RAB3B;1;BLCA
miR-874-3p/miR-141-3p/RAB3B;1;KIRP
miR-376c-3p/miR-377-3p/ACTA2;1;TGCT
miR-1305/miR-142-5p/ENPP5;1;THYM
miR-130b-3p/miR-301b-3p/ENPP5;1;ACC
miR-20a-5p/miR-19a-3p/ENPP5;1;HNSC
miR-758-3p/miR-20b-5p/ENPP5;1;THYM
miR-195-5p/miR-424-5p/RARB;1;TGCT
miR-301a-3p/miR-20a-5p/RB1;1;BLCA
miR-3614-5p/miR-615-3p/CACNG8;1;HNSC
miR-3615/miR-335-5p/CACNG8;1;BRCA
miR-92b-3p/miR-582-5p/RBL2;1;LIHC
miR-93-5p/miR-17-5p/RBP1;1;THYM
miR-93-5p/miR-20a-5p/RBP1;1;THYM
miR-93-5p/miR-20b-5p/RBP1;1;THYM
miR-141-5p/miR-486-3p/CCND1;1;TGCT
miR-195-5p/miR-138-5p/CCND1;1;THYM
miR-424-5p/miR-490-3p/CCND1;1;BLCA
miR-490-3p/miR-766-3p/CCND1;1;BLCA
miR-7-2-3p/miR-185-5p/CCND1;1;LGG
miR-7-2-3p/miR-24-3p/CCND1;1;LGG
miR-7-2-3p/miR-671-5p/CCND1;1;LGG
miR-30b-5p/miR-494-3p/BCL2;1;COAD
miR-424-5p/miR-376c-3p/BCL2;1;KICH
miR-3065-3p/miR-17-5p/REL;1;THYM
miR-3065-3p/miR-30a-5p/REL;1;THYM
miR-3130-5p/miR-145-5p/REL;1;BLCA
miR-195-5p/miR-1295a/ACTB;1;THYM
miR-33a-5p/miR-324-5p/ACTB;1;SKCM
miR-7-1-3p/miR-29c-3p/BACH2;1;TGCT
miR-424-5p/miR-148a-5p/ELOVL5;1;STAD
miR-224-3p/miR-195-5p/BCL7A;1;THYM
miR-421/miR-145-5p/ROBO2;1;SARC
miR-145-5p/miR-20a-5p/RORA;1;SARC
miR-145-5p/miR-942-5p/RORA;1;SARC
miR-30c-5p/miR-582-5p/RORA;1;HNSC
miR-320b/miR-222-5p/RORA;1;HNSC
miR-532-5p/miR-582-5p/RORA;1;SARC
miR-138-5p/miR-3065-3p/RPL8;1;TGCT
miR-23b-3p/miR-628-5p/RPL31;1;SARC
miR-1226-3p/miR-125b-2-3p/MRPL12;1;TGCT
miR-130b-5p/miR-182-3p/ZNF704;1;TGCT
miR-130b-5p/miR-643/ZNF704;1;TGCT
miR-511-5p/miR-196a-5p/ZNF704;1;CESC
miR-34b-5p/miR-508-5p/RPS19;1;THYM
miR-200b-3p/miR-200c-3p/BDKRB2;1;THYM
let-7b-5p/miR-31-3p/RRM2;1;THYM
let-7b-5p/miR-519d-3p/RRM2;1;THYM
miR-127-5p/let-7b-5p/RRM2;1;THYM
miR-31-3p/miR-526b-5p/RRM2;1;THYM
miR-518a-5p/miR-149-5p/RRM2;1;THYM
miR-518a-5p/miR-31-3p/RRM2;1;THYM
miR-519d-3p/miR-30a-5p/RRM2;1;THYM
miR-519d-3p/miR-31-3p/RRM2;1;THYM
miR-519d-3p/miR-526b-5p/RRM2;1;THYM
miR-526b-5p/let-7b-5p/RRM2;1;THYM
miR-527/let-7b-5p/RRM2;1;THYM
miR-527/miR-149-5p/RRM2;1;THYM
miR-664a-5p/miR-582-5p/RRM2;1;DLBC
miR-19a-3p/miR-19b-3p/SALL1;1;HNSC
miR-20a-5p/miR-19a-3p/SALL1;1;HNSC
miR-4326/miR-15b-5p/SAT1;1;THYM
miR-221-5p/miR-29b-3p/SC5D;1;BLCA
miR-148a-5p/miR-148a-3p/ATXN1;1;DLBC
miR-625-5p/miR-148a-3p/ATXN1;1;DLBC
miR-939-5p/miR-130a-3p/ATXN1;1;BLCA
miR-200a-3p/miR-214-5p/SCD;1;BLCA
miR-204-5p/miR-199a-3p/SCD;1;PCPG
miR-224-5p/miR-196b-5p/SCD;1;TGCT
miR-29a-3p/miR-199a-3p/SCD;1;BLCA
miR-100-5p/miR-99a-5p/SCN3A;1;SARC
miR-1271-5p/miR-149-3p/CCL22;1;TGCT
miR-149-5p/miR-195-5p/CXCL5;1;KIRP
miR-511-5p/miR-195-5p/CXCL5;1;UCEC
miR-511-5p/miR-497-5p/CXCL5;1;UCEC
miR-320c/miR-9-3p/NOD2;1;SARC
miR-126-5p/miR-181c-5p/NCAPG;1;LGG
miR-421/miR-181c-5p/NCAPG;1;LGG
miR-410-3p/miR-570-3p/TENT4B;1;UCS
miR-134-5p/miR-1226-3p/ARHGEF28;1;SARC
miR-106a-5p/miR-181d-5p/NSD1;1;TGCT
miR-130b-3p/miR-2355-5p/ZMAT3;1;ACC
miR-199a-3p/miR-200c-3p/ZMAT3;1;THYM
miR-27a-5p/miR-130b-3p/ZMAT3;1;LIHC
miR-301b-3p/miR-200c-3p/ZMAT3;1;THYM
miR-33a-3p/miR-200c-3p/ZMAT3;1;THYM
miR-33a-3p/miR-429/ZMAT3;1;THYM
miR-590-3p/miR-29b-2-5p/ZMAT3;1;SARC
miR-185-5p/miR-155-5p/HHIP;1;SARC
miR-200a-5p/miR-30b-3p/HHIP;1;HNSC
miR-200b-5p/miR-155-5p/HHIP;1;STAD
miR-30b-3p/miR-200b-5p/HHIP;1;HNSC
miR-29c-3p/miR-192-3p/SGK1;1;BLCA
miR-19a-3p/miR-19b-3p/CSMD1;1;HNSC
miR-20b-5p/miR-17-5p/TMEM200C;1;THYM
miR-20b-5p/miR-20a-5p/TMEM200C;1;THYM
miR-497-3p/miR-519b-3p/TMEM200C;1;TGCT
miR-497-3p/miR-519c-3p/TMEM200C;1;TGCT
miR-497-3p/miR-526b-3p/TMEM200C;1;TGCT
miR-519d-3p/miR-497-3p/TMEM200C;1;TGCT
miR-93-5p/miR-20b-5p/TMEM200C;1;THYM
miR-19a-3p/miR-215-5p/C6orf132;1;KIRP
miR-128-3p/miR-520a-3p/UNKL;1;THYM
miR-183-5p/miR-24-2-5p/SHOX2;1;HNSC
let-7e-5p/miR-708-5p/SMAP2;1;SARC
miR-3065-3p/miR-142-3p/CREB3L2;1;STAD
miR-1-3p/miR-200a-3p/S100PBP;1;STAD
miR-129-5p/miR-577/FNDC3B;1;PAAD
miR-155-5p/miR-211-5p/FNDC3B;1;TGCT
miR-200c-3p/miR-1304-5p/FNDC3B;1;THYM
miR-335-3p/miR-129-5p/FNDC3B;1;UVM
miR-34a-5p/miR-21-5p/ST6GAL1;1;SARC
miR-34a-5p/miR-221-5p/ST6GAL1;1;SARC
miR-34a-5p/miR-335-5p/ST6GAL1;1;SARC
miR-155-5p/miR-455-3p/GNPNAT1;1;KIRC
miR-181b-5p/miR-26a-2-3p/CDCP1;1;SARC
miR-181b-5p/miR-874-3p/CDCP1;1;SARC
miR-181d-5p/miR-138-5p/CDCP1;1;TGCT
miR-194-3p/miR-377-5p/CDCP1;1;TGCT
miR-194-3p/miR-485-5p/CDCP1;1;TGCT
miR-505-5p/miR-874-3p/CDCP1;1;SARC
miR-665/miR-224-5p/CDCP1;1;TGCT
miR-942-5p/miR-216a-5p/BCL11B;1;TGCT
miR-196a-5p/miR-92b-5p/MRPL34;1;TGCT
miR-20a-5p/miR-19a-3p/BMP2;1;BLCA
let-7b-5p/miR-30a-3p/SKP2;1;THYM
let-7b-5p/miR-30a-5p/SKP2;1;THYM
miR-129-5p/miR-204-5p/RAPH1;1;TGCT
miR-155-5p/miR-136-3p/RAPH1;1;LIHC
miR-17-5p/miR-320b/RAPH1;1;UCS
miR-21-3p/miR-501-5p/RAPH1;1;LIHC
miR-378a-3p/miR-296-5p/RAPH1;1;KIRP
miR-424-5p/miR-362-3p/RAPH1;1;SARC
miR-501-5p/miR-382-5p/RAPH1;1;LIHC
miR-506-3p/miR-204-5p/RAPH1;1;TGCT
miR-509-3-5p/miR-204-5p/RAPH1;1;TGCT
miR-589-3p/miR-296-5p/RAPH1;1;KIRP
miR-628-5p/miR-497-5p/RAPH1;1;SARC
miR-628-5p/miR-628-3p/RAPH1;1;SARC
miR-3913-5p/miR-200c-3p/SLC1A2;1;BLCA
miR-455-3p/miR-500a-5p/SLC1A2;1;STAD
miR-500a-5p/miR-200c-3p/SLC1A2;1;STAD
miR-99a-5p/miR-1-3p/TMEM135;1;SARC
miR-760/miR-218-5p/SLC1A5;1;BLCA
miR-149-5p/miR-193b-3p/MARCKSL1;1;HNSC
miR-1538/miR-1291/SLC2A1;1;TGCT
miR-484/miR-34a-5p/SLC2A1;1;SARC
miR-424-5p/miR-106a-5p/SLC2A3;1;UVM
miR-1249-3p/miR-17-5p/ANKRD33B;1;SARC
miR-142-5p/miR-18a-3p/ANKRD33B;1;LGG
miR-17-5p/miR-106b-5p/ANKRD33B;1;SARC
miR-200b-3p/miR-330-5p/ANKRD33B;1;SARC
miR-17-5p/miR-106a-5p/MPPE1;1;UCS
miR-411-5p/miR-130a-3p/WNK3;1;THYM
miR-20b-5p/miR-20a-5p/SLC6A4;1;BRCA
miR-939-5p/miR-106a-5p/SLC6A4;1;BRCA
miR-92b-3p/miR-940/SLC7A1;1;THYM
miR-141-3p/miR-194-3p/SLC7A2;1;SARC
miR-203a-3p/miR-205-5p/SLC7A2;1;ESCA
miR-221-5p/miR-144-3p/SLC7A2;1;BRCA
miR-330-3p/miR-181c-5p/SLC7A2;1;LIHC
miR-424-5p/miR-26b-5p/SLC7A2;1;STAD
miR-424-5p/miR-362-3p/SLC7A2;1;STAD
miR-424-5p/miR-452-3p/SLC7A2;1;STAD
miR-425-5p/miR-452-3p/SLC7A2;1;SARC
miR-452-3p/let-7a-3p/SLC7A2;1;SARC
miR-452-3p/miR-29b-2-5p/SLC7A2;1;SARC
miR-651-5p/miR-497-5p/SLC7A2;1;SARC
miR-342-5p/miR-452-3p/PCP4L1;1;SARC
miR-326/miR-193b-5p/BMP7;1;BRCA
miR-192-3p/miR-33a-5p/SLC16A1;1;BLCA
miR-33a-5p/miR-324-5p/SLC16A1;1;BLCA
miR-379-5p/miR-377-5p/SLC16A1;1;MESO
miR-744-3p/miR-33a-5p/SLC16A1;1;BLCA
miR-15b-5p/miR-497-5p/SLC18A2;1;SARC
miR-125b-2-3p/let-7c-5p/SLC20A1;1;ACC
miR-200c-3p/miR-17-5p/CAPRIN2;1;THYM
miR-301b-3p/miR-200c-3p/CAPRIN2;1;THYM
miR-93-5p/miR-200c-3p/CAPRIN2;1;THYM
miR-20b-5p/miR-106a-5p/RASL11B;1;HNSC
miR-3065-5p/miR-424-5p/SMO;1;SKCM
miR-625-5p/miR-9-5p/SNTB2;1;THYM
miR-9-5p/miR-20b-5p/SNTB2;1;THYM
let-7f-5p/miR-200a-5p/SOD2;1;SARC
miR-106b-5p/miR-424-5p/SOD2;1;SARC
miR-130a-5p/miR-9-5p/SOD2;1;UCS
miR-144-5p/miR-501-3p/SOD2;1;SARC
miR-188-3p/miR-3065-3p/SOD2;1;SARC
miR-188-3p/miR-500a-3p/SOD2;1;SARC
miR-188-3p/miR-7-1-3p/SOD2;1;SARC
miR-200b-5p/miR-144-5p/SOD2;1;LIHC
miR-20a-5p/let-7c-5p/SOD2;1;SARC
miR-20a-5p/miR-340-5p/SOD2;1;SARC
miR-21-3p/miR-338-5p/SOD2;1;SARC
miR-21-3p/miR-340-5p/SOD2;1;SARC
miR-21-3p/miR-500a-3p/SOD2;1;SARC
miR-212-3p/miR-3065-3p/SOD2;1;SARC
miR-212-3p/miR-331-3p/SOD2;1;SARC
miR-212-3p/miR-424-5p/SOD2;1;SARC
miR-212-3p/miR-425-5p/SOD2;1;SARC
miR-222-5p/miR-7-5p/SOD2;1;LIHC
miR-24-2-5p/miR-106a-5p/SOD2;1;SARC
miR-299-5p/miR-204-5p/SOD2;1;TGCT
miR-30a-3p/miR-150-3p/SOD2;1;CESC
miR-30a-3p/miR-212-3p/SOD2;1;SARC
miR-30c-1-3p/miR-221-5p/SOD2;1;LIHC
miR-330-3p/let-7f-5p/SOD2;1;SARC
miR-330-3p/miR-188-3p/SOD2;1;SARC
