miRNAPair;CancerTypes;Count
let-7c-5p/miR-1-3p;SARC;1
let-7c-5p/miR-10a-5p;SARC;1
let-7c-5p/miR-1301-3p;SARC;1
let-7c-5p/miR-143-3p;SARC;1
let-7c-5p/miR-143-5p;SARC;1
let-7c-5p/miR-185-5p;SARC;1
let-7c-5p/miR-186-5p;SARC;1
let-7c-5p/miR-190a-5p;SARC;1
let-7c-5p/miR-191-3p;SARC;1
let-7c-5p/miR-195-5p;SARC;1
let-7c-5p/miR-19b-3p;SARC;1
let-7c-5p/miR-204-5p;SARC;1
let-7c-5p/miR-219a-1-3p;TGCT;1
let-7c-5p/miR-223-3p;SARC;1
let-7c-5p/miR-27b-3p;SARC;1
let-7c-5p/miR-29c-3p;SARC;1
let-7c-5p/miR-30b-3p;SARC;1
let-7c-5p/miR-342-5p;SARC;1
let-7c-5p/miR-3615;SARC;1
let-7c-5p/miR-362-3p;SARC;1
let-7c-5p/miR-483-3p;BRCA;1
let-7c-5p/miR-642a-5p;SARC;1
let-7e-5p/miR-106b-5p;SARC;1
let-7e-5p/miR-1301-3p;SARC;1
let-7e-5p/miR-142-3p;SARC;1
let-7e-5p/miR-146a-5p;SARC;1
let-7e-5p/miR-152-3p;TGCT;1
let-7e-5p/miR-19b-3p;SARC;1
let-7e-5p/miR-20a-5p;SARC;1
let-7e-5p/miR-365a-3p;SARC;1
let-7e-5p/miR-455-3p;SARC;1
let-7e-5p/miR-582-5p;TGCT;1
let-7e-5p/miR-616-5p;SARC;1
let-7e-5p/miR-671-5p;SARC;1
let-7e-5p/miR-708-5p;SARC;1
let-7e-5p/miR-92a-3p;SARC;1
let-7f-1-3p/miR-421;SARC;1
let-7f-2-3p/miR-942-5p;TGCT;1
let-7f-5p/let-7c-5p;SARC;1
let-7f-5p/let-7e-5p;SARC;1
let-7f-5p/miR-142-3p;LUAD;1
let-7f-5p/miR-143-3p;THCA;1
let-7f-5p/miR-19a-3p;LUAD;1
let-7f-5p/miR-200a-5p;SARC;1
let-7f-5p/miR-20a-5p;LUAD;1
let-7f-5p/miR-221-5p;LUAD;1
let-7f-5p/miR-222-3p;SARC;1
let-7f-5p/miR-224-3p;SARC;1
let-7f-5p/miR-365a-3p;SARC;1
let-7f-5p/miR-455-3p;LUAD;1
let-7f-5p/miR-500b-5p;SARC;1
let-7g-3p/miR-326;PRAD;1
let-7g-3p/miR-33a-5p;COAD;1
let-7g-3p/miR-33b-5p;PRAD;1
miR-1-3p/miR-138-5p;PCPG;1
miR-1-3p/miR-143-3p;SKCM;1
miR-1-3p/miR-200a-3p;STAD;1
miR-1-3p/miR-22-3p;SARC;1
miR-1-3p/miR-29a-3p;SARC;1
miR-1-3p/miR-323a-3p;STAD;1
miR-1-3p/miR-362-5p;COAD;1
miR-1-3p/miR-411-5p;UCS;1
miR-1-3p/miR-766-3p;BLCA;1
miR-1-3p/miR-93-5p;BLCA;1
miR-100-5p/miR-326;KIRC;1
miR-100-5p/miR-99a-5p;SARC;1
miR-103a-2-5p/miR-141-3p;BLCA;1
miR-103a-2-5p/miR-146b-5p;STAD;1
miR-103a-2-5p/miR-196b-5p;BLCA;1
miR-103a-2-5p/miR-19b-1-5p;STAD;1
miR-103a-2-5p/miR-200a-3p;BLCA;1
miR-103a-2-5p/miR-2110;SARC;1
miR-103a-2-5p/miR-24-1-5p;LGG;1
miR-103a-2-5p/miR-331-3p;BLCA;1
miR-103a-2-5p/miR-33a-5p;BLCA;1
miR-103a-2-5p/miR-421;BLCA;1
miR-103a-2-5p/miR-503-5p;STAD;1
miR-105-5p/miR-363-3p;BLCA;1
miR-105-5p/miR-651-5p;BLCA;1
miR-106a-5p/miR-105-5p;SARC;1
miR-106a-5p/miR-1224-5p;TGCT;1
miR-106a-5p/miR-125b-5p;BLCA;1
miR-106a-5p/miR-141-3p;ACC;1
miR-106a-5p/miR-145-5p;SARC;1
miR-106a-5p/miR-19a-3p;BLCA;1
miR-106a-5p/miR-200a-3p;UCS;1
miR-106a-5p/miR-200b-3p;SARC;1
miR-106a-5p/miR-21-3p;LIHC;1
miR-106a-5p/miR-301b-3p;TGCT;1
miR-106a-5p/miR-34a-5p;SARC;1
miR-106a-5p/miR-3609;TGCT;1
miR-106a-5p/miR-372-3p;TGCT;1
miR-106a-5p/miR-497-5p;PCPG;1
miR-106a-5p/miR-520c-3p;TGCT;1
miR-106a-5p/miR-520d-3p;TGCT;1
miR-106a-5p/miR-526b-3p;TGCT;1
miR-106a-5p/miR-539-5p;THYM;1
miR-106a-5p/miR-582-5p;HNSC;1
miR-106a-5p/miR-628-5p;SARC;1
miR-106b-5p/miR-130b-3p;SARC;1
miR-106b-5p/miR-148a-5p;ESCA;1
miR-106b-5p/miR-150-5p;SARC;1
miR-106b-5p/miR-19a-3p;SARC;1
miR-106b-5p/miR-19b-3p;SARC;1
miR-106b-5p/miR-27b-3p;SARC;1
miR-106b-5p/miR-33a-5p;SARC;1
miR-106b-5p/miR-378a-5p;SARC;1
miR-106b-5p/miR-424-5p;SARC;1
miR-106b-5p/miR-744-5p;SARC;1
miR-106b-5p/miR-940;SARC;1
miR-107/miR-1298-5p;LGG;1
miR-107/miR-133a-3p;LGG;1
miR-107/miR-330-3p;LGG;1
miR-107/miR-485-5p;LGG;1
miR-10a-3p/miR-195-5p;BLCA;1
miR-10a-3p/miR-340-5p;SARC;1
miR-10a-5p/miR-106a-5p;BLCA;1
miR-10a-5p/miR-455-3p;SARC;1
miR-10a-5p/miR-501-5p;SARC;1
miR-10b-3p/miR-455-3p;LUSC;1
miR-10b-5p/miR-10a-5p;BLCA;1
miR-10b-5p/miR-132-3p;SARC;1
miR-10b-5p/miR-212-3p;SARC;1
miR-10b-5p/miR-3065-3p;BLCA;1
miR-10b-5p/miR-340-3p;BLCA;1
miR-10b-5p/miR-34b-5p;BLCA;1
miR-10b-5p/miR-651-5p;BLCA;1
miR-1179/miR-501-3p;PCPG;1
miR-1180-3p/miR-148a-3p;SARC;1
miR-1180-3p/miR-181a-2-3p;BLCA;1
miR-1180-3p/miR-20b-5p;ESCA;1
miR-1185-5p/miR-450b-5p;TGCT;1
miR-122-5p/miR-1305;TGCT;1
miR-122-5p/miR-18a-3p;TGCT;1
miR-122-5p/miR-9-5p;TGCT;1
miR-1224-5p/miR-22-5p;LGG;1
