miRNA1,miRNA2,hgnc_symbol_target,CommonTriplets,CancerTypes,count
hsa-mir-126-5p,hsa-mir-218-5p,ADH6,hsa-mir-126-5p/hsa-mir-218-5p/ADH6,LGG,1
hsa-mir-126-5p,hsa-mir-218-5p,PAX6,hsa-mir-126-5p/hsa-mir-218-5p/PAX6,LGG,1
hsa-mir-126-5p,hsa-mir-218-5p,TUBB3,hsa-mir-126-5p/hsa-mir-218-5p/TUBB3,LGG,1
hsa-mir-126-5p,hsa-mir-223-3p,APEX1,hsa-mir-126-5p/hsa-mir-223-3p/APEX1,SARC,1
hsa-mir-126-5p,hsa-mir-299-3p,FAM178B,hsa-mir-126-5p/hsa-mir-299-3p/FAM178B,LGG,1
hsa-mir-126-5p,hsa-mir-299-3p,MCM2,hsa-mir-126-5p/hsa-mir-299-3p/MCM2,LGG,1
hsa-mir-126-5p,hsa-mir-299-3p,NOL4L,hsa-mir-126-5p/hsa-mir-299-3p/NOL4L,LGG,1
hsa-mir-126-5p,hsa-mir-29a-3p,APEX1,hsa-mir-126-5p/hsa-mir-29a-3p/APEX1,SARC,1
hsa-mir-126-5p,hsa-mir-29b-2-5p,SPIDR,hsa-mir-126-5p/hsa-mir-29b-2-5p/SPIDR,LGG,1
hsa-mir-126-5p,hsa-mir-29b-3p,ADH6,hsa-mir-126-5p/hsa-mir-29b-3p/ADH6,LGG,1
hsa-mir-126-5p,hsa-mir-29b-3p,B4GALT1,hsa-mir-126-5p/hsa-mir-29b-3p/B4GALT1,LGG,1
hsa-mir-126-5p,hsa-mir-31-5p,BRCA1,hsa-mir-126-5p/hsa-mir-31-5p/BRCA1,LGG,1
hsa-mir-126-5p,hsa-mir-329-3p,CDC25C,hsa-mir-126-5p/hsa-mir-329-3p/CDC25C,LGG,1
hsa-mir-126-5p,hsa-mir-330-3p,MGA,hsa-mir-126-5p/hsa-mir-330-3p/MGA,LGG,1
hsa-mir-126-5p,hsa-mir-330-3p,SPIDR,hsa-mir-126-5p/hsa-mir-330-3p/SPIDR,LGG,1
hsa-mir-126-5p,hsa-mir-369-3p,PAX6,hsa-mir-126-5p/hsa-mir-369-3p/PAX6,LGG,1
hsa-mir-126-5p,hsa-mir-369-3p,VIM,hsa-mir-126-5p/hsa-mir-369-3p/VIM,LGG,1
hsa-mir-126-5p,hsa-mir-376c-3p,MAN2A1,hsa-mir-126-5p/hsa-mir-376c-3p/MAN2A1,SARC,1
hsa-mir-126-5p,hsa-mir-378c,CPSF2,hsa-mir-126-5p/hsa-mir-378c/CPSF2,LGG,1
hsa-mir-126-5p,hsa-mir-383-5p,ADH6,hsa-mir-126-5p/hsa-mir-383-5p/ADH6,LGG,1
hsa-mir-126-5p,hsa-mir-383-5p,KIF2C,hsa-mir-126-5p/hsa-mir-383-5p/KIF2C,LGG,1
hsa-mir-126-5p,hsa-mir-383-5p,MCL1,hsa-mir-126-5p/hsa-mir-383-5p/MCL1,LGG,1
hsa-mir-126-5p,hsa-mir-500a-5p,GCN1,hsa-mir-126-5p/hsa-mir-500a-5p/GCN1,SARC,1
hsa-mir-126-5p,hsa-mir-584-5p,NSMCE2,hsa-mir-126-5p/hsa-mir-584-5p/NSMCE2,LGG,1
hsa-mir-126-5p,hsa-mir-616-5p,SPIDR,hsa-mir-126-5p/hsa-mir-616-5p/SPIDR,LGG,1
hsa-mir-126-5p,hsa-mir-7-5p,ADH6,hsa-mir-126-5p/hsa-mir-7-5p/ADH6,LGG,1
hsa-mir-127-3p,hsa-mir-382-5p,GSN,hsa-mir-127-3p/hsa-mir-382-5p/GSN,TGCT,1
hsa-mir-127-3p,hsa-mir-382-5p,NFATC2,hsa-mir-127-3p/hsa-mir-382-5p/NFATC2,TGCT,1
hsa-mir-127-3p,hsa-mir-382-5p,PER1,hsa-mir-127-3p/hsa-mir-382-5p/PER1,LIHC,1
hsa-mir-127-5p,hsa-mir-128-3p,ADAM10,hsa-mir-127-5p/hsa-mir-128-3p/ADAM10,LGG,1
hsa-mir-127-5p,hsa-mir-129-5p,HLA-G,hsa-mir-127-5p/hsa-mir-129-5p/HLA-G,LGG,1
hsa-mir-127-5p,hsa-mir-129-5p,IFNGR1,hsa-mir-127-5p/hsa-mir-129-5p/IFNGR1,LGG,1
hsa-mir-127-5p,hsa-mir-1296-5p,CAV1,hsa-mir-127-5p/hsa-mir-1296-5p/CAV1,LGG,1
hsa-mir-127-5p,hsa-mir-1296-5p,H4C14,hsa-mir-127-5p/hsa-mir-1296-5p/H4C14,LGG,1
hsa-mir-127-5p,hsa-mir-132-3p,TNPO1,hsa-mir-127-5p/hsa-mir-132-3p/TNPO1,LGG,1
hsa-mir-127-5p,hsa-mir-133a-3p,CAV1,hsa-mir-127-5p/hsa-mir-133a-3p/CAV1,LGG,1
hsa-mir-127-5p,hsa-mir-133a-3p,COL1A2,hsa-mir-127-5p/hsa-mir-133a-3p/COL1A2,LGG,1
hsa-mir-127-5p,hsa-mir-133a-3p,FN1,hsa-mir-127-5p/hsa-mir-133a-3p/FN1,LGG,1
hsa-mir-127-5p,hsa-mir-133a-3p,HLA-G,hsa-mir-127-5p/hsa-mir-133a-3p/HLA-G,LGG,1
hsa-mir-127-5p,hsa-mir-133a-3p,HNF4A,hsa-mir-127-5p/hsa-mir-133a-3p/HNF4A,BLCA,1
hsa-mir-127-5p,hsa-mir-133a-3p,PIM1,hsa-mir-127-5p/hsa-mir-133a-3p/PIM1,LGG,1
hsa-mir-127-5p,hsa-mir-133a-3p,PTK6,hsa-mir-127-5p/hsa-mir-133a-3p/PTK6,BLCA,1
hsa-mir-127-5p,hsa-mir-133a-3p,TGFBR2,hsa-mir-127-5p/hsa-mir-133a-3p/TGFBR2,LGG,1
hsa-mir-127-5p,hsa-mir-133a-3p,UNG,hsa-mir-127-5p/hsa-mir-133a-3p/UNG,LGG,1
hsa-mir-127-5p,hsa-mir-133b,LDLR,hsa-mir-127-5p/hsa-mir-133b/LDLR,STAD,1
hsa-mir-127-5p,hsa-mir-139-3p,ADAM10,hsa-mir-127-5p/hsa-mir-139-3p/ADAM10,LGG,1
hsa-mir-127-5p,hsa-mir-139-3p,IFNGR1,hsa-mir-127-5p/hsa-mir-139-3p/IFNGR1,LGG,1
hsa-mir-127-5p,hsa-mir-145-5p,H4C14,hsa-mir-127-5p/hsa-mir-145-5p/H4C14,LGG,1
hsa-mir-127-5p,hsa-mir-145-5p,HNF4A,hsa-mir-127-5p/hsa-mir-145-5p/HNF4A,BLCA,1
hsa-mir-127-5p,hsa-mir-145-5p,MMP28,hsa-mir-127-5p/hsa-mir-145-5p/MMP28,BLCA,1
hsa-mir-127-5p,hsa-mir-145-5p,PADI3,hsa-mir-127-5p/hsa-mir-145-5p/PADI3,BLCA,1
hsa-mir-127-5p,hsa-mir-145-5p,PAX6,hsa-mir-127-5p/hsa-mir-145-5p/PAX6,STAD,1
hsa-mir-127-5p,hsa-mir-145-5p,PTK6,hsa-mir-127-5p/hsa-mir-145-5p/PTK6,BLCA,1
hsa-mir-127-5p,hsa-mir-149-5p,ADH6,hsa-mir-127-5p/hsa-mir-149-5p/ADH6,LGG,1
hsa-mir-127-5p,hsa-mir-149-5p,CAV1,hsa-mir-127-5p/hsa-mir-149-5p/CAV1,LGG,1
hsa-mir-127-5p,hsa-mir-149-5p,CD28,hsa-mir-127-5p/hsa-mir-149-5p/CD28,LGG,1
hsa-mir-127-5p,hsa-mir-149-5p,H4C14,hsa-mir-127-5p/hsa-mir-149-5p/H4C14,LGG,1
hsa-mir-127-5p,hsa-mir-149-5p,HLA-G,hsa-mir-127-5p/hsa-mir-149-5p/HLA-G,LGG,1
hsa-mir-127-5p,hsa-mir-149-5p,IL10,hsa-mir-127-5p/hsa-mir-149-5p/IL10,LGG,1
hsa-mir-127-5p,hsa-mir-149-5p,INSR,hsa-mir-127-5p/hsa-mir-149-5p/INSR,STAD,1
hsa-mir-127-5p,hsa-mir-149-5p,KIF2C,hsa-mir-127-5p/hsa-mir-149-5p/KIF2C,LGG,1
hsa-mir-127-5p,hsa-mir-149-5p,PIM1,hsa-mir-127-5p/hsa-mir-149-5p/PIM1,LGG,1
hsa-mir-127-5p,hsa-mir-150-5p,MUC2,hsa-mir-127-5p/hsa-mir-150-5p/MUC2,BLCA,1
hsa-mir-127-5p,hsa-mir-197-3p,HELZ,hsa-mir-127-5p/hsa-mir-197-3p/HELZ,LGG,1
hsa-mir-127-5p,hsa-mir-204-5p,MUC2,hsa-mir-127-5p/hsa-mir-204-5p/MUC2,BLCA,1
hsa-mir-127-5p,hsa-mir-212-3p,TNPO1,hsa-mir-127-5p/hsa-mir-212-3p/TNPO1,LGG,1
hsa-mir-127-5p,hsa-mir-218-5p,COL1A2,hsa-mir-127-5p/hsa-mir-218-5p/COL1A2,LGG,1
hsa-mir-127-5p,hsa-mir-23b-3p,MED13,hsa-mir-127-5p/hsa-mir-23b-3p/MED13,LGG,1
hsa-mir-127-5p,hsa-mir-24-3p,EDNRB,hsa-mir-127-5p/hsa-mir-24-3p/EDNRB,LGG,1
hsa-mir-127-5p,hsa-mir-299-5p,BIRC5,hsa-mir-127-5p/hsa-mir-299-5p/BIRC5,LGG,1
hsa-mir-127-5p,hsa-mir-299-5p,CD9,hsa-mir-127-5p/hsa-mir-299-5p/CD9,BLCA,1
hsa-mir-127-5p,hsa-mir-299-5p,INSR,hsa-mir-127-5p/hsa-mir-299-5p/INSR,STAD,1
hsa-mir-127-5p,hsa-mir-299-5p,KIF2C,hsa-mir-127-5p/hsa-mir-299-5p/KIF2C,LGG,1
hsa-mir-127-5p,hsa-mir-299-5p,PTK6,hsa-mir-127-5p/hsa-mir-299-5p/PTK6,BLCA,1
hsa-mir-127-5p,hsa-mir-299-5p,SREBF1,hsa-mir-127-5p/hsa-mir-299-5p/SREBF1,BLCA,1
hsa-mir-127-5p,hsa-mir-29b-3p,CD28,hsa-mir-127-5p/hsa-mir-29b-3p/CD28,LGG,1
hsa-mir-127-5p,hsa-mir-29b-3p,FN1,hsa-mir-127-5p/hsa-mir-29b-3p/FN1,LGG,1
hsa-mir-127-5p,hsa-mir-29b-3p,HLA-G,hsa-mir-127-5p/hsa-mir-29b-3p/HLA-G,LGG,1
hsa-mir-127-5p,hsa-mir-29c-3p,ADAM10,hsa-mir-127-5p/hsa-mir-29c-3p/ADAM10,LGG,1
hsa-mir-127-5p,hsa-mir-29c-3p,CD28,hsa-mir-127-5p/hsa-mir-29c-3p/CD28,LGG,1
hsa-mir-127-5p,hsa-mir-29c-3p,CD9,hsa-mir-127-5p/hsa-mir-29c-3p/CD9,LGG,1
hsa-mir-127-5p,hsa-mir-29c-3p,FN1,hsa-mir-127-5p/hsa-mir-29c-3p/FN1,LGG,1
hsa-mir-127-5p,hsa-mir-29c-3p,H4C14,hsa-mir-127-5p/hsa-mir-29c-3p/H4C14,LGG,1
hsa-mir-127-5p,hsa-mir-29c-3p,IL10,hsa-mir-127-5p/hsa-mir-29c-3p/IL10,LGG,1
hsa-mir-127-5p,hsa-mir-30a-3p,LRP5,hsa-mir-127-5p/hsa-mir-30a-3p/LRP5,BLCA,1
hsa-mir-127-5p,hsa-mir-31-5p,BIRC5,hsa-mir-127-5p/hsa-mir-31-5p/BIRC5,LGG,1
hsa-mir-127-5p,hsa-mir-31-5p,CDC25C,hsa-mir-127-5p/hsa-mir-31-5p/CDC25C,LGG,1
hsa-mir-127-5p,hsa-mir-31-5p,FN1,hsa-mir-127-5p/hsa-mir-31-5p/FN1,LGG,1
hsa-mir-127-5p,hsa-mir-31-5p,IL10,hsa-mir-127-5p/hsa-mir-31-5p/IL10,LGG,1
hsa-mir-127-5p,hsa-mir-31-5p,JUN,hsa-mir-127-5p/hsa-mir-31-5p/JUN,LGG,1
hsa-mir-127-5p,hsa-mir-31-5p,KIF2C,hsa-mir-127-5p/hsa-mir-31-5p/KIF2C,LGG,1
hsa-mir-127-5p,hsa-mir-326,IL12B,hsa-mir-127-5p/hsa-mir-326/IL12B,STAD,1
hsa-mir-127-5p,hsa-mir-326,INSR,hsa-mir-127-5p/hsa-mir-326/INSR,STAD,1
hsa-mir-127-5p,hsa-mir-326,PAX6,hsa-mir-127-5p/hsa-mir-326/PAX6,STAD,1
hsa-mir-127-5p,hsa-mir-329-3p,CDC25C,hsa-mir-127-5p/hsa-mir-329-3p/CDC25C,LGG,1
hsa-mir-127-5p,hsa-mir-329-3p,IL2RB,hsa-mir-127-5p/hsa-mir-329-3p/IL2RB,LGG,1
hsa-mir-127-5p,hsa-mir-329-3p,PLAUR,hsa-mir-127-5p/hsa-mir-329-3p/PLAUR,LGG,1
hsa-mir-127-5p,hsa-mir-330-3p,CDC25C,hsa-mir-127-5p/hsa-mir-330-3p/CDC25C,LGG,1
hsa-mir-127-5p,hsa-mir-330-3p,FN1,hsa-mir-127-5p/hsa-mir-330-3p/FN1,LGG,1
hsa-mir-127-5p,hsa-mir-330-3p,IL10,hsa-mir-127-5p/hsa-mir-330-3p/IL10,LGG,1
hsa-mir-127-5p,hsa-mir-331-3p,CD9,hsa-mir-127-5p/hsa-mir-331-3p/CD9,LGG,1
hsa-mir-127-5p,hsa-mir-331-3p,EDNRB,hsa-mir-127-5p/hsa-mir-331-3p/EDNRB,LGG,1
hsa-mir-127-5p,hsa-mir-338-5p,LPP,hsa-mir-127-5p/hsa-mir-338-5p/LPP,LGG,1
hsa-mir-127-5p,hsa-mir-369-3p,CDK1,hsa-mir-127-5p/hsa-mir-369-3p/CDK1,LGG,1
hsa-mir-127-5p,hsa-mir-369-3p,CERS2,hsa-mir-127-5p/hsa-mir-369-3p/CERS2,BLCA,1
hsa-mir-127-5p,hsa-mir-369-3p,HLA-G,hsa-mir-127-5p/hsa-mir-369-3p/HLA-G,LGG,1
hsa-mir-127-5p,hsa-mir-369-3p,KIF2C,hsa-mir-127-5p/hsa-mir-369-3p/KIF2C,LGG,1
hsa-mir-127-5p,hsa-mir-369-3p,SREBF1,hsa-mir-127-5p/hsa-mir-369-3p/SREBF1,BLCA,1
hsa-mir-127-5p,hsa-mir-377-3p,HLA-G,hsa-mir-127-5p/hsa-mir-377-3p/HLA-G,LGG,1
hsa-mir-127-5p,hsa-mir-377-3p,SRC,hsa-mir-127-5p/hsa-mir-377-3p/SRC,BLCA,1
hsa-mir-127-5p,hsa-mir-383-5p,HLA-G,hsa-mir-127-5p/hsa-mir-383-5p/HLA-G,LGG,1
hsa-mir-127-5p,hsa-mir-383-5p,UNG,hsa-mir-127-5p/hsa-mir-383-5p/UNG,LGG,1
hsa-mir-127-5p,hsa-mir-410-3p,BIRC5,hsa-mir-127-5p/hsa-mir-410-3p/BIRC5,LGG,1
hsa-mir-127-5p,hsa-mir-410-3p,CAV1,hsa-mir-127-5p/hsa-mir-410-3p/CAV1,LGG,1
hsa-mir-127-5p,hsa-mir-410-3p,CD28,hsa-mir-127-5p/hsa-mir-410-3p/CD28,LGG,1
hsa-mir-127-5p,hsa-mir-410-3p,CDC25C,hsa-mir-127-5p/hsa-mir-410-3p/CDC25C,LGG,1
hsa-mir-127-5p,hsa-mir-410-3p,COL1A2,hsa-mir-127-5p/hsa-mir-410-3p/COL1A2,LGG,1
hsa-mir-127-5p,hsa-mir-410-3p,FN1,hsa-mir-127-5p/hsa-mir-410-3p/FN1,LGG,1
hsa-mir-127-5p,hsa-mir-410-3p,HLA-G,hsa-mir-127-5p/hsa-mir-410-3p/HLA-G,LGG,1
hsa-mir-127-5p,hsa-mir-410-3p,PLAUR,hsa-mir-127-5p/hsa-mir-410-3p/PLAUR,LGG,1
hsa-mir-127-5p,hsa-mir-424-5p,XIAP,hsa-mir-127-5p/hsa-mir-424-5p/XIAP,BLCA,1
hsa-mir-127-5p,hsa-mir-497-5p,CYP3A7,hsa-mir-127-5p/hsa-mir-497-5p/CYP3A7,BLCA,1
hsa-mir-127-5p,hsa-mir-497-5p,FMR1,hsa-mir-127-5p/hsa-mir-497-5p/FMR1,BLCA,1
hsa-mir-127-5p,hsa-mir-497-5p,PTK6,hsa-mir-127-5p/hsa-mir-497-5p/PTK6,BLCA,1
hsa-mir-127-5p,hsa-mir-497-5p,SRC,hsa-mir-127-5p/hsa-mir-497-5p/SRC,BLCA,1
hsa-mir-127-5p,hsa-mir-7-5p,ADAM10,hsa-mir-127-5p/hsa-mir-7-5p/ADAM10,LGG,1
hsa-mir-127-5p,hsa-mir-7-5p,BIRC5,hsa-mir-127-5p/hsa-mir-7-5p/BIRC5,LGG,1
hsa-mir-127-5p,hsa-mir-7-5p,CDC25C,hsa-mir-127-5p/hsa-mir-7-5p/CDC25C,LGG,1
hsa-mir-127-5p,hsa-mir-7-5p,CDK1,hsa-mir-127-5p/hsa-mir-7-5p/CDK1,LGG,1
hsa-mir-127-5p,hsa-mir-7-5p,FGL2,hsa-mir-127-5p/hsa-mir-7-5p/FGL2,LGG,1
hsa-mir-127-5p,hsa-mir-7-5p,PIM1,hsa-mir-127-5p/hsa-mir-7-5p/PIM1,LGG,1
hsa-mir-127-5p,hsa-mir-758-3p,HELZ,hsa-mir-127-5p/hsa-mir-758-3p/HELZ,LGG,1
hsa-mir-127-5p,hsa-mir-877-5p,VPS13B,hsa-mir-127-5p/hsa-mir-877-5p/VPS13B,LGG,1
hsa-mir-127-5p,hsa-mir-96-5p,TGFBR2,hsa-mir-127-5p/hsa-mir-96-5p/TGFBR2,THCA,1
hsa-mir-1270,hsa-mir-141-3p,FTO,hsa-mir-1270/hsa-mir-141-3p/FTO,LGG,1
hsa-mir-1270,hsa-mir-188-5p,HIPK1,hsa-mir-1270/hsa-mir-188-5p/HIPK1,KIRP,1
hsa-mir-1270,hsa-mir-188-5p,MACF1,hsa-mir-1270/hsa-mir-188-5p/MACF1,BLCA,1
hsa-mir-1270,hsa-mir-204-5p,DAAM1,hsa-mir-1270/hsa-mir-204-5p/DAAM1,KIRC,1
hsa-mir-1270,hsa-mir-215-5p,UBR5,hsa-mir-1270/hsa-mir-215-5p/UBR5,KIRC,1
hsa-mir-1270,hsa-mir-29b-2-5p,EEF2,hsa-mir-1270/hsa-mir-29b-2-5p/EEF2,BLCA,1
hsa-mir-1270,hsa-mir-302a-3p,FTO,hsa-mir-1270/hsa-mir-302a-3p/FTO,TGCT,1
hsa-mir-1270,hsa-mir-302b-3p,FTO,hsa-mir-1270/hsa-mir-302b-3p/FTO,TGCT,1
hsa-mir-1270,hsa-mir-302c-3p,FTO,hsa-mir-1270/hsa-mir-302c-3p/FTO,TGCT,1
hsa-mir-1270,hsa-mir-302d-3p,FTO,hsa-mir-1270/hsa-mir-302d-3p/FTO,TGCT,1
hsa-mir-1270,hsa-mir-324-3p,FTO,hsa-mir-1270/hsa-mir-324-3p/FTO,BLCA,1
hsa-mir-1270,hsa-mir-331-3p,FOXO3,hsa-mir-1270/hsa-mir-331-3p/FOXO3,BLCA,1
hsa-mir-1270,hsa-mir-3651,SEPTIN9,hsa-mir-1270/hsa-mir-3651/SEPTIN9,TGCT,1
hsa-mir-1271-5p,hsa-mir-142-3p,CORO2B,hsa-mir-1271-5p/hsa-mir-142-3p/CORO2B,THYM,1
hsa-mir-1271-5p,hsa-mir-142-3p,SIPA1L1,hsa-mir-1271-5p/hsa-mir-142-3p/SIPA1L1,STAD,1
hsa-mir-1271-5p,hsa-mir-142-5p,CORO2B,hsa-mir-1271-5p/hsa-mir-142-5p/CORO2B,THYM,1
hsa-mir-1271-5p,hsa-mir-210-3p,TFAP2A,hsa-mir-1271-5p/hsa-mir-210-3p/TFAP2A,BRCA,1
hsa-mir-1271-5p,hsa-mir-26b-5p,CDH23,hsa-mir-1271-5p/hsa-mir-26b-5p/CDH23,STAD,1
hsa-mir-1271-5p,hsa-mir-302d-5p,PER3,hsa-mir-1271-5p/hsa-mir-302d-5p/PER3,TGCT,1
hsa-mir-1271-5p,hsa-mir-324-5p,BCL2L11,hsa-mir-1271-5p/hsa-mir-324-5p/BCL2L11,BRCA,1
hsa-mir-1271-5p,hsa-mir-324-5p,TNFSF10,hsa-mir-1271-5p/hsa-mir-324-5p/TNFSF10,BRCA,1
hsa-mir-1271-5p,hsa-mir-548t-5p,CORO2B,hsa-mir-1271-5p/hsa-mir-548t-5p/CORO2B,THYM,1
hsa-mir-1271-5p,hsa-mir-942-5p,SIPA1L1,hsa-mir-1271-5p/hsa-mir-942-5p/SIPA1L1,STAD,1
hsa-mir-1275,hsa-mir-30b-5p,CYTH1,hsa-mir-1275/hsa-mir-30b-5p/CYTH1,COAD,1
hsa-mir-128-3p,hsa-mir-132-3p,TXNRD1,hsa-mir-128-3p/hsa-mir-132-3p/TXNRD1,LGG,1
hsa-mir-128-3p,hsa-mir-133a-3p,TGM4,hsa-mir-128-3p/hsa-mir-133a-3p/TGM4,LGG,1
hsa-mir-128-3p,hsa-mir-138-1-3p,TXNRD1,hsa-mir-128-3p/hsa-mir-138-1-3p/TXNRD1,LGG,1
hsa-mir-128-3p,hsa-mir-139-3p,ESR1,hsa-mir-128-3p/hsa-mir-139-3p/ESR1,LGG,1
hsa-mir-128-3p,hsa-mir-142-3p,MYO18A,hsa-mir-128-3p/hsa-mir-142-3p/MYO18A,THYM,1
hsa-mir-128-3p,hsa-mir-142-5p,TXNRD1,hsa-mir-128-3p/hsa-mir-142-5p/TXNRD1,LGG,1
hsa-mir-128-3p,hsa-mir-15a-5p,SEMA3D,hsa-mir-128-3p/hsa-mir-15a-5p/SEMA3D,THYM,1
hsa-mir-128-3p,hsa-mir-16-1-3p,SEMA3D,hsa-mir-128-3p/hsa-mir-16-1-3p/SEMA3D,THYM,1
hsa-mir-128-3p,hsa-mir-181a-2-3p,SEMA3D,hsa-mir-128-3p/hsa-mir-181a-2-3p/SEMA3D,THYM,1
hsa-mir-128-3p,hsa-mir-199b-3p,TXNRD1,hsa-mir-128-3p/hsa-mir-199b-3p/TXNRD1,LGG,1
hsa-mir-128-3p,hsa-mir-218-5p,ADAM10,hsa-mir-128-3p/hsa-mir-218-5p/ADAM10,LGG,1
hsa-mir-128-3p,hsa-mir-24-3p,CHUK,hsa-mir-128-3p/hsa-mir-24-3p/CHUK,LGG,1
hsa-mir-128-3p,hsa-mir-27a-3p,TXNRD1,hsa-mir-128-3p/hsa-mir-27a-3p/TXNRD1,LGG,1
hsa-mir-128-3p,hsa-mir-299-5p,ADAM10,hsa-mir-128-3p/hsa-mir-299-5p/ADAM10,LGG,1
hsa-mir-128-3p,hsa-mir-299-5p,IFNGR1,hsa-mir-128-3p/hsa-mir-299-5p/IFNGR1,LGG,1
hsa-mir-128-3p,hsa-mir-299-5p,TGM4,hsa-mir-128-3p/hsa-mir-299-5p/TGM4,LGG,1
hsa-mir-128-3p,hsa-mir-329-3p,DUSP6,hsa-mir-128-3p/hsa-mir-329-3p/DUSP6,LGG,1
hsa-mir-128-3p,hsa-mir-329-3p,GZMB,hsa-mir-128-3p/hsa-mir-329-3p/GZMB,LGG,1
hsa-mir-128-3p,hsa-mir-329-3p,TFAP2A,hsa-mir-128-3p/hsa-mir-329-3p/TFAP2A,LGG,1
hsa-mir-128-3p,hsa-mir-330-3p,EPS8,hsa-mir-128-3p/hsa-mir-330-3p/EPS8,LGG,1
hsa-mir-128-3p,hsa-mir-33a-3p,TXNRD1,hsa-mir-128-3p/hsa-mir-33a-3p/TXNRD1,LGG,1
hsa-mir-128-3p,hsa-mir-362-3p,CHUK,hsa-mir-128-3p/hsa-mir-362-3p/CHUK,LGG,1
hsa-mir-128-3p,hsa-mir-369-3p,ESR1,hsa-mir-128-3p/hsa-mir-369-3p/ESR1,LGG,1
hsa-mir-128-3p,hsa-mir-377-3p,ESR1,hsa-mir-128-3p/hsa-mir-377-3p/ESR1,LGG,1
hsa-mir-128-3p,hsa-mir-377-3p,NRP2,hsa-mir-128-3p/hsa-mir-377-3p/NRP2,LGG,1
hsa-mir-128-3p,hsa-mir-377-3p,TFAP2A,hsa-mir-128-3p/hsa-mir-377-3p/TFAP2A,LGG,1
hsa-mir-128-3p,hsa-mir-377-5p,EPM2A,hsa-mir-128-3p/hsa-mir-377-5p/EPM2A,LGG,1
hsa-mir-128-3p,hsa-mir-625-3p,GMDS,hsa-mir-128-3p/hsa-mir-625-3p/GMDS,THYM,1
hsa-mir-128-3p,hsa-mir-625-5p,SPHK1,hsa-mir-128-3p/hsa-mir-625-5p/SPHK1,THYM,1
hsa-mir-128-3p,hsa-mir-654-3p,ETV4,hsa-mir-128-3p/hsa-mir-654-3p/ETV4,LGG,1
hsa-mir-128-3p,hsa-mir-93-5p,COL2A1,hsa-mir-128-3p/hsa-mir-93-5p/COL2A1,THYM,1
hsa-mir-1287-5p,hsa-mir-212-3p,MAP4K4,hsa-mir-1287-5p/hsa-mir-212-3p/MAP4K4,LGG,1
hsa-mir-129-1-3p,hsa-mir-769-5p,GFAP,hsa-mir-129-1-3p/hsa-mir-769-5p/GFAP,LGG,1
hsa-mir-129-5p,hsa-mir-1296-5p,TGFBR2,hsa-mir-129-5p/hsa-mir-1296-5p/TGFBR2,LGG,1
hsa-mir-129-5p,hsa-mir-1306-3p,PHLPP1,hsa-mir-129-5p/hsa-mir-1306-3p/PHLPP1,BRCA,1
hsa-mir-129-5p,hsa-mir-130a-3p,CCT6B,hsa-mir-129-5p/hsa-mir-130a-3p/CCT6B,BRCA,1
hsa-mir-129-5p,hsa-mir-130b-3p,CCND1,hsa-mir-129-5p/hsa-mir-130b-3p/CCND1,LUSC,1
hsa-mir-129-5p,hsa-mir-132-3p,PPFIBP2,hsa-mir-129-5p/hsa-mir-132-3p/PPFIBP2,LGG,1
hsa-mir-129-5p,hsa-mir-133a-3p,CD9,hsa-mir-129-5p/hsa-mir-133a-3p/CD9,LGG,1
hsa-mir-129-5p,hsa-mir-133a-3p,FOSL1,hsa-mir-129-5p/hsa-mir-133a-3p/FOSL1,LGG,1
hsa-mir-129-5p,hsa-mir-133a-3p,MYBL1,hsa-mir-129-5p/hsa-mir-133a-3p/MYBL1,LGG,1
hsa-mir-129-5p,hsa-mir-133a-3p,SERPINE1,hsa-mir-129-5p/hsa-mir-133a-3p/SERPINE1,LGG,1
hsa-mir-129-5p,hsa-mir-133a-3p,TGFBR2,hsa-mir-129-5p/hsa-mir-133a-3p/TGFBR2,LGG,1
hsa-mir-129-5p,hsa-mir-133a-3p,TGM4,hsa-mir-129-5p/hsa-mir-133a-3p/TGM4,LGG,1
hsa-mir-129-5p,hsa-mir-139-3p,IFNGR1,hsa-mir-129-5p/hsa-mir-139-3p/IFNGR1,LGG,1
hsa-mir-129-5p,hsa-mir-139-3p,INSR,hsa-mir-129-5p/hsa-mir-139-3p/INSR,LGG,1
hsa-mir-129-5p,hsa-mir-139-3p,MYBL1,hsa-mir-129-5p/hsa-mir-139-3p/MYBL1,LGG,1
hsa-mir-129-5p,hsa-mir-145-5p,PIM1,hsa-mir-129-5p/hsa-mir-145-5p/PIM1,LGG,1
hsa-mir-129-5p,hsa-mir-149-5p,CD9,hsa-mir-129-5p/hsa-mir-149-5p/CD9,LGG,1
hsa-mir-129-5p,hsa-mir-149-5p,FOSL1,hsa-mir-129-5p/hsa-mir-149-5p/FOSL1,LGG,1
hsa-mir-129-5p,hsa-mir-149-5p,HLA-G,hsa-mir-129-5p/hsa-mir-149-5p/HLA-G,LGG,1
hsa-mir-129-5p,hsa-mir-149-5p,IFNGR1,hsa-mir-129-5p/hsa-mir-149-5p/IFNGR1,LGG,1
hsa-mir-129-5p,hsa-mir-149-5p,IL2RB,hsa-mir-129-5p/hsa-mir-149-5p/IL2RB,LGG,1
hsa-mir-129-5p,hsa-mir-149-5p,MYBL1,hsa-mir-129-5p/hsa-mir-149-5p/MYBL1,LGG,1
hsa-mir-129-5p,hsa-mir-149-5p,REL,hsa-mir-129-5p/hsa-mir-149-5p/REL,LGG,1
