Two_Var_XZ,Two_Var_YZ,Lancaster_XY_Z,mrna,mirna1,mirna2,BH_rejected,BH_pvalues_adjusted
0.033,0.223,0.0025,23555,hsa-mir-548b-3p,hsa-mir-18b-3p,True,0.008302007555652689
0.0265,0.5355,0.0005,9424,hsa-mir-302b-3p,hsa-mir-211-5p,True,0.0020586459180118454
0.134,0.5065,0.0,9424,hsa-mir-20b-5p,hsa-mir-211-5p,True,0.0
0.4815,0.052,0.001,9424,hsa-mir-211-5p,hsa-mir-106a-5p,True,0.003796744484900407
0.0335,0.05,0.001,11078,hsa-mir-302c-3p,hsa-mir-296-3p,True,0.003796744484900407
0.098,0.0115,0.0,11078,hsa-mir-296-3p,hsa-mir-302d-3p,True,0.0
0.091,0.011,0.0,11078,hsa-mir-296-3p,hsa-mir-302b-3p,True,0.0
0.0405,0.062,0.0075,25777,hsa-mir-3660,hsa-mir-130b-3p,True,0.02055066079295154
0.0535,0.837,0.005,55147,hsa-mir-301b-3p,hsa-mir-371a-5p,True,0.014756104328523862
0.0485,0.062,0.002,55147,hsa-mir-301b-3p,hsa-mir-373-5p,True,0.006871818064349399
0.0165,0.104,0.0,51804,hsa-mir-548j-5p,hsa-mir-301b-3p,True,0.0
0.0725,0.228,0.0035,23405,hsa-mir-29b-3p,hsa-mir-215-5p,True,0.01098845858669343
0.078,0.055,0.0,23405,hsa-mir-18b-5p,hsa-mir-7-1-3p,True,0.0
0.265,0.1195,0.0,8106,hsa-mir-935,hsa-mir-497-5p,True,0.0
0.0135,0.011,0.001,57761,hsa-mir-335-5p,hsa-mir-493-3p,True,0.003796744484900407
0.0225,0.0805,0.0015,56853,hsa-mir-378c,hsa-mir-378a-3p,True,0.005383963824115007
0.013,0.018,0.009,54941,hsa-mir-20b-5p,hsa-mir-766-3p,True,0.023827799074027975
0.027,0.011,0.0085,10725,hsa-mir-519c-3p,hsa-mir-183-5p,True,0.022739498968761006
0.1905,0.018,0.0055,6367,hsa-mir-1271-5p,hsa-mir-149-3p,True,0.015962426326129667
0.0135,0.0385,0.0045,2935,hsa-mir-9-3p,hsa-mir-455-3p,True,0.013529765943012211
0.4845,0.1955,0.0065,10397,hsa-mir-20b-5p,hsa-mir-9-5p,True,0.01827912326159378
0.1555,0.019,0.0,10397,hsa-mir-9-5p,hsa-mir-548f-3p,True,0.0
0.0325,0.0355,0.0085,1021,hsa-mir-506-3p,hsa-mir-211-5p,True,0.022739498968761006
0.0105,0.381,0.002,55033,hsa-mir-302d-3p,hsa-mir-629-3p,True,0.006871818064349399
0.014,0.0575,0.0005,55033,hsa-mir-302d-3p,hsa-mir-373-3p,True,0.0020586459180118454
0.0105,0.251,0.001,55033,hsa-mir-302d-3p,hsa-mir-142-3p,True,0.003796744484900407
0.0105,0.1715,0.002,55033,hsa-mir-302d-3p,hsa-mir-372-3p,True,0.006871818064349399
0.3605,0.012,0.0015,55033,hsa-mir-520d-3p,hsa-mir-302c-3p,True,0.005383963824115007
0.324,0.012,0.001,55033,hsa-mir-629-3p,hsa-mir-302a-3p,True,0.003796744484900407
0.4155,0.0135,0.001,55033,hsa-mir-512-3p,hsa-mir-302c-3p,True,0.003796744484900407
0.254,0.0545,0.001,55033,hsa-mir-20b-5p,hsa-mir-373-3p,True,0.003796744484900407
0.0445,0.011,0.0,55033,hsa-mir-373-3p,hsa-mir-302a-3p,True,0.0
0.076,0.1015,0.001,55033,hsa-mir-373-3p,hsa-mir-106a-5p,True,0.003796744484900407
0.0125,0.0835,0.002,55033,hsa-mir-302c-3p,hsa-mir-372-3p,True,0.006871818064349399
0.023,0.334,0.006,59,hsa-mir-376c-3p,hsa-mir-377-3p,True,0.01713305412371134
0.0555,0.3015,0.0,1374,hsa-mir-194-3p,hsa-mir-302c-3p,True,0.0
0.061,0.345,0.0,1374,hsa-mir-194-3p,hsa-mir-302a-3p,True,0.0
0.068,0.307,0.0005,1374,hsa-mir-194-3p,hsa-mir-302d-3p,True,0.0020586459180118454
0.0285,0.0245,0.0,595,hsa-mir-141-5p,hsa-mir-486-3p,True,0.0
0.0415,0.0845,0.0,26973,hsa-mir-199a-3p,hsa-mir-338-3p,True,0.0
0.0505,0.1375,0.0,26973,hsa-mir-199b-3p,hsa-mir-338-3p,True,0.0
0.017,0.7615,0.0005,867,hsa-mir-7-5p,hsa-mir-224-5p,True,0.0020586459180118454
0.02,0.061,0.0025,4939,hsa-mir-219a-1-3p,hsa-mir-1224-5p,True,0.008302007555652689
0.0135,0.075,0.0045,4939,hsa-mir-106a-5p,hsa-mir-1224-5p,True,0.013529765943012211
0.0825,0.011,0.005,4939,hsa-mir-1224-5p,hsa-mir-335-5p,True,0.014756104328523862
0.0755,0.0935,0.0,7421,hsa-mir-302c-3p,hsa-mir-122-5p,True,0.0
0.5815,0.0325,0.004,1303,hsa-mir-495-3p,hsa-mir-299-3p,True,0.012273482575582738
0.333,0.0325,0.0005,1303,hsa-mir-376b-3p,hsa-mir-299-3p,True,0.0020586459180118454
0.036,0.609,0.004,1303,hsa-mir-299-3p,hsa-mir-655-3p,True,0.012273482575582738
0.0225,0.0145,0.0,1303,hsa-mir-299-3p,hsa-mir-376a-3p,True,0.0
0.013,0.037,0.0025,6648,hsa-mir-299-5p,hsa-mir-204-5p,True,0.008302007555652689
