Two_Var_XZ,Two_Var_YZ,Lancaster_XY_Z,mrna,mirna1,mirna2,BH_rejected,BH_pvalues_adjusted
0.057,0.134,0.0,463,hsa-mir-20b-5p,hsa-mir-204-5p,True,0.0
0.2085,0.3055,0.001,150094,hsa-mir-20b-5p,hsa-mir-142-3p,False,0.05563934426229508
0.646,0.0925,0.0005,351,hsa-mir-570-3p,hsa-mir-135a-5p,True,0.035354166666666666
0.139,0.0205,0.0,3068,hsa-mir-501-5p,hsa-mir-892a,True,0.0
0.3735,0.737,0.006,2803,hsa-mir-21-5p,hsa-mir-511-5p,False,0.1366711409395973
0.1,0.1015,0.0075,7436,hsa-mir-196a-5p,hsa-mir-676-3p,False,0.15242514970059878
0.2525,0.1995,0.009,26267,hsa-mir-125b-5p,hsa-mir-20b-5p,False,0.16601086956521738
0.0385,0.0275,0.0,5795,hsa-mir-363-3p,hsa-mir-204-5p,True,0.0
0.046,0.14,0.0025,5795,hsa-mir-363-3p,hsa-mir-501-5p,False,0.09427777777777778
0.0535,0.0145,0.0025,5795,hsa-mir-592,hsa-mir-204-5p,False,0.09427777777777778
0.0715,0.1035,0.0025,5795,hsa-mir-592,hsa-mir-501-5p,False,0.09427777777777778
0.6545,0.0665,0.0035,143686,hsa-mir-511-5p,hsa-mir-584-5p,False,0.11533009708737865
0.2855,0.271,0.0085,54545,hsa-mir-218-5p,hsa-let-7f-2-3p,False,0.16601086956521738
0.0685,0.476,0.0,2308,hsa-mir-223-3p,hsa-mir-9-5p,True,0.0
0.048,0.246,0.007,7068,hsa-mir-155-5p,hsa-mir-21-5p,False,0.14665432098765432
0.0125,0.114,0.005,4249,hsa-mir-409-5p,hsa-mir-362-3p,False,0.12664179104477613
0.0255,0.0125,0.0045,23576,hsa-mir-193b-3p,hsa-mir-509-3p,False,0.12316935483870967
0.154,0.0445,0.0,91748,hsa-mir-181d-5p,hsa-mir-34a-5p,True,0.0
0.2,0.611,0.0035,56990,hsa-mir-155-5p,hsa-mir-424-5p,False,0.11533009708737865
0.036,0.364,0.0,10642,hsa-mir-204-5p,hsa-mir-3200-3p,True,0.0
0.66,0.6525,0.0055,7832,hsa-mir-3199,hsa-mir-296-5p,False,0.13053846153846155
0.273,0.039,0.005,148206,hsa-mir-20b-5p,hsa-mir-501-3p,False,0.12664179104477613
0.3825,0.02,0.005,148206,hsa-mir-106a-5p,hsa-mir-501-3p,False,0.12664179104477613
0.6475,0.5775,0.001,57551,hsa-mir-33a-3p,hsa-mir-9-5p,False,0.05563934426229508
0.9365,0.0295,0.0065,222236,hsa-mir-34a-5p,hsa-mir-193b-3p,False,0.14051592356687898
0.1645,0.0545,0.005,10611,hsa-mir-455-5p,hsa-mir-501-3p,False,0.12664179104477613
0.177,0.09,0.001,23248,hsa-mir-1468-5p,hsa-mir-1296-5p,False,0.05563934426229508
0.417,0.467,0.0065,476,hsa-mir-511-5p,hsa-mir-193b-3p,False,0.14051592356687898
0.338,0.4725,0.0055,63891,hsa-mir-2355-3p,hsa-mir-155-5p,False,0.13053846153846155
0.851,0.12,0.0045,55568,hsa-mir-3127-5p,hsa-mir-642a-5p,False,0.12316935483870967
0.222,0.1525,0.004,538,hsa-mir-34a-5p,hsa-mir-335-5p,False,0.12121428571428572
0.309,0.025,0.009,8085,hsa-mir-34a-5p,hsa-mir-204-5p,False,0.16601086956521738
0.0165,0.123,0.0045,1938,hsa-mir-204-5p,hsa-mir-2355-3p,False,0.12316935483870967
0.4425,0.301,0.004,124935,hsa-mir-493-3p,hsa-mir-150-5p,False,0.12121428571428572
0.0545,0.017,0.0045,4204,hsa-mir-214-3p,hsa-mir-223-3p,False,0.12316935483870967
0.015,0.047,0.0045,79071,hsa-mir-335-5p,hsa-mir-204-5p,False,0.12316935483870967
0.027,0.448,0.0095,11214,hsa-mir-204-5p,hsa-let-7f-2-3p,False,0.17051196172248806
0.1215,0.1185,0.0055,5569,hsa-mir-654-3p,hsa-mir-106a-5p,False,0.13053846153846155
0.2435,0.0295,0.0045,596,hsa-mir-181d-5p,hsa-mir-34a-5p,False,0.12316935483870967
0.711,0.6765,0.0,596,hsa-mir-424-5p,hsa-mir-376c-3p,True,0.0
0.439,0.067,0.002,7764,hsa-mir-136-5p,hsa-mir-20b-3p,False,0.08380246913580247
0.04,0.0595,0.001,7764,hsa-mir-181c-3p,hsa-mir-20b-3p,False,0.05563934426229508
0.0315,0.0435,0.004,221037,hsa-mir-141-5p,hsa-mir-33a-3p,False,0.12121428571428572
0.7235,0.208,0.0005,54205,hsa-mir-193b-5p,hsa-mir-940,True,0.035354166666666666
0.036,0.011,0.0075,84747,hsa-mir-193b-3p,hsa-mir-3065-3p,False,0.15242514970059878
0.2305,0.792,0.009,6197,hsa-mir-106a-5p,hsa-mir-34a-5p,False,0.16601086956521738
0.372,0.6515,0.009,767,hsa-mir-424-5p,hsa-mir-410-3p,False,0.16601086956521738
0.0415,0.0245,0.0015,122525,hsa-mir-34a-5p,hsa-mir-181d-5p,False,0.07170422535211268
