Two_Var_XZ,Two_Var_YZ,Lancaster_XY_Z,mrna,mirna1,mirna2,BH_rejected,BH_pvalues_adjusted
0.012,0.0205,0.0,53615,hsa-mir-339-5p,hsa-mir-455-3p,True,0.0
0.1925,0.0575,0.0005,4775,hsa-mir-589-3p,hsa-mir-93-5p,False,0.19023711340206184
0.208,0.129,0.0055,4775,hsa-mir-589-3p,hsa-mir-9-5p,False,0.35673637961335675
0.1975,0.1185,0.005,4775,hsa-mir-589-3p,hsa-mir-93-3p,False,0.3535057471264368
0.4675,0.7595,0.0095,5743,hsa-mir-513b-5p,hsa-mir-374a-5p,False,0.4011521739130435
0.3315,0.224,0.007,6480,hsa-mir-627-5p,hsa-mir-34a-5p,False,0.3815982274741506
0.4025,0.211,0.0065,3998,hsa-mir-195-5p,hsa-mir-30a-3p,False,0.3754131455399061
0.3735,0.1,0.006,2355,hsa-mir-301a-3p,hsa-mir-454-3p,False,0.3654059405940594
0.3565,0.395,0.0045,2355,hsa-mir-20a-5p,hsa-mir-30c-5p,False,0.3403217213114754
0.339,0.116,0.0055,2355,hsa-mir-20a-5p,hsa-mir-454-3p,False,0.35673637961335675
0.1035,0.0595,0.001,2355,hsa-mir-454-3p,hsa-mir-17-5p,False,0.2350700636942675
0.283,0.0405,0.0,60,hsa-mir-33a-5p,hsa-mir-324-5p,True,0.0
0.7155,0.019,0.009,60,hsa-mir-507,hsa-let-7g-3p,False,0.39922355769230766
0.068,0.024,0.0015,60,hsa-mir-324-5p,hsa-let-7g-3p,False,0.2727044334975369
0.8725,0.015,0.008,60,hsa-mir-34a-5p,hsa-let-7g-3p,False,0.3931398135818908
0.475,0.132,0.007,7163,hsa-mir-20a-5p,hsa-mir-218-5p,False,0.3815982274741506
0.0575,0.2265,0.0065,8028,hsa-mir-143-3p,hsa-let-7c-5p,False,0.3754131455399061
0.0225,0.0855,0.005,23085,hsa-mir-93-3p,hsa-mir-335-5p,False,0.3535057471264368
0.0195,0.5075,0.003,9422,hsa-mir-550a-5p,hsa-mir-195-5p,False,0.31973019801980196
0.024,0.0455,0.009,9422,hsa-mir-550a-5p,hsa-mir-143-3p,False,0.39922355769230766
0.078,0.218,0.0085,2195,hsa-mir-194-3p,hsa-mir-582-3p,False,0.3945924528301887
0.2425,0.219,0.0085,334,hsa-mir-219a-1-3p,hsa-mir-7-5p,False,0.3945924528301887
0.338,0.1425,0.002,8668,hsa-mir-130a-3p,hsa-mir-149-5p,False,0.2940717131474104
0.2295,0.4015,0.0005,2778,hsa-mir-205-5p,hsa-mir-629-3p,False,0.19023711340206184
0.301,0.249,0.0035,2036,hsa-mir-9-3p,hsa-mir-629-3p,False,0.31973019801980196
0.1,0.1395,0.004,57506,hsa-mir-497-5p,hsa-mir-141-3p,False,0.33099551569506724
0.0885,0.1095,0.009,57506,hsa-mir-27a-3p,hsa-mir-141-3p,False,0.39922355769230766
0.8795,0.7885,0.004,10914,hsa-mir-135b-5p,hsa-mir-365a-3p,False,0.33099551569506724
0.038,0.011,0.0025,29888,hsa-mir-296-5p,hsa-mir-3605-3p,False,0.31973019801980196
0.088,0.3045,0.0055,2734,hsa-mir-627-5p,hsa-mir-194-3p,False,0.35673637961335675
0.0385,0.186,0.001,27327,hsa-mir-142-5p,hsa-mir-652-3p,False,0.2350700636942675
0.425,0.0765,0.005,26575,hsa-mir-508-3p,hsa-mir-514b-5p,False,0.3535057471264368
0.099,0.092,0.005,1808,hsa-mir-224-5p,hsa-mir-452-5p,False,0.3535057471264368
0.1815,0.6915,0.009,1832,hsa-mir-628-5p,hsa-mir-30a-5p,False,0.39922355769230766
0.2375,0.2665,0.008,25,hsa-mir-149-5p,hsa-mir-576-5p,False,0.3931398135818908
0.1145,0.023,0.0095,25,hsa-mir-652-3p,hsa-mir-455-3p,False,0.4011521739130435
0.0355,0.2185,0.0035,25,hsa-mir-342-3p,hsa-mir-1226-3p,False,0.31973019801980196
0.0195,0.8535,0.0055,2872,hsa-mir-328-3p,hsa-mir-214-5p,False,0.35673637961335675
0.024,0.054,0.0025,2872,hsa-mir-328-3p,hsa-let-7g-3p,False,0.31973019801980196
0.0195,0.09,0.0005,2872,hsa-mir-328-3p,hsa-mir-3605-3p,False,0.19023711340206184
0.0165,0.0775,0.003,2872,hsa-mir-328-3p,hsa-mir-125b-5p,False,0.31973019801980196
0.095,0.1295,0.001,2872,hsa-mir-3605-3p,hsa-mir-125b-5p,False,0.2350700636942675
0.102,0.137,0.0075,7078,hsa-mir-92a-1-5p,hsa-mir-615-3p,False,0.3860460251046025
0.9885,0.023,0.001,8897,hsa-mir-20a-5p,hsa-mir-106a-5p,False,0.2350700636942675
0.996,0.017,0.002,8897,hsa-mir-20a-5p,hsa-mir-20b-5p,False,0.2940717131474104
0.9495,0.024,0.0005,8897,hsa-mir-17-5p,hsa-mir-106a-5p,False,0.19023711340206184
0.0935,0.529,0.004,4627,hsa-mir-339-5p,hsa-mir-708-5p,False,0.33099551569506724
0.129,0.0145,0.001,4627,hsa-mir-671-5p,hsa-mir-765,False,0.2350700636942675
0.3975,0.0775,0.006,4627,hsa-let-7a-3p,hsa-mir-940,False,0.3654059405940594
0.069,0.6155,0.0,2033,hsa-mir-200b-3p,hsa-mir-221-5p,True,0.0
0.759,0.444,0.0085,80821,hsa-mir-146a-5p,hsa-mir-378a-3p,False,0.3945924528301887
0.102,0.0145,0.0035,80821,hsa-mir-664a-5p,hsa-let-7c-5p,False,0.31973019801980196
0.4575,0.896,0.0045,9517,hsa-mir-378a-3p,hsa-mir-154-5p,False,0.3403217213114754
0.3195,0.2105,0.007,3091,hsa-mir-145-5p,hsa-mir-29c-3p,False,0.3815982274741506
0.1175,0.6075,0.002,23405,hsa-mir-195-5p,hsa-mir-342-3p,False,0.2940717131474104
0.9085,0.073,0.0045,26090,hsa-mir-34a-5p,hsa-let-7g-3p,False,0.3403217213114754
0.185,0.0665,0.0085,11237,hsa-mir-200b-3p,hsa-mir-382-5p,False,0.3945924528301887
0.083,0.703,0.007,9770,hsa-mir-424-5p,hsa-mir-195-5p,False,0.3815982274741506
0.0555,0.5815,0.004,11264,hsa-mir-616-5p,hsa-mir-335-5p,False,0.33099551569506724
0.7795,0.2545,0.0005,4092,hsa-mir-34a-5p,hsa-mir-32-5p,False,0.19023711340206184
0.054,0.172,0.0095,23253,hsa-mir-145-5p,hsa-mir-582-3p,False,0.4011521739130435
0.0635,0.454,0.0035,57534,hsa-mir-29c-3p,hsa-mir-203a-3p,False,0.31973019801980196
0.8045,0.2245,0.0055,80152,hsa-mir-671-5p,hsa-mir-424-5p,False,0.35673637961335675
0.1415,0.3955,0.001,4833,hsa-mir-940,hsa-mir-3928-3p,False,0.2350700636942675
0.8705,0.0365,0.0035,57722,hsa-mir-103a-2-5p,hsa-mir-192-5p,False,0.31973019801980196
0.132,0.5255,0.004,7082,hsa-mir-320d,hsa-mir-145-5p,False,0.33099551569506724
0.2575,0.1,0.0065,7082,hsa-mir-16-2-3p,hsa-mir-7-1-3p,False,0.3754131455399061
0.3785,0.043,0.0045,55353,hsa-mir-1271-5p,hsa-mir-181c-5p,False,0.3403217213114754
0.0465,0.104,0.0085,55353,hsa-mir-181c-5p,hsa-mir-29c-3p,False,0.3945924528301887
0.352,0.1495,0.007,54332,hsa-mir-340-5p,hsa-mir-9-3p,False,0.3815982274741506
0.0125,0.181,0.0015,10397,hsa-mir-19a-3p,hsa-mir-20a-5p,False,0.2727044334975369
0.011,0.193,0.005,2821,hsa-mir-143-5p,hsa-mir-17-5p,False,0.3535057471264368
0.9115,0.4655,0.0095,79187,hsa-mir-582-5p,hsa-mir-141-5p,False,0.4011521739130435
0.1775,0.175,0.009,27113,hsa-mir-185-3p,hsa-mir-29a-5p,False,0.39922355769230766
0.155,0.451,0.0035,6223,hsa-mir-940,hsa-mir-652-3p,False,0.31973019801980196
0.074,0.226,0.001,30000,hsa-mir-7-1-3p,hsa-mir-199b-5p,False,0.2350700636942675
0.8705,0.233,0.008,30000,hsa-mir-101-5p,hsa-mir-135b-5p,False,0.3931398135818908
0.597,0.1905,0.0045,2077,hsa-mir-30c-2-3p,hsa-mir-324-3p,False,0.3403217213114754
0.72,0.5925,0.0095,1021,hsa-mir-320d,hsa-mir-744-5p,False,0.4011521739130435
0.536,0.588,0.0035,1021,hsa-mir-29b-1-5p,hsa-mir-378c,False,0.31973019801980196
0.2295,0.49,0.0055,1021,hsa-mir-142-5p,hsa-mir-143-3p,False,0.35673637961335675
0.064,0.277,0.006,857,hsa-mir-199a-5p,hsa-mir-338-5p,False,0.3654059405940594
0.2855,0.814,0.001,196,hsa-mir-340-5p,hsa-mir-30c-2-3p,False,0.2350700636942675
0.051,0.1175,0.0035,23413,hsa-mir-3605-3p,hsa-mir-338-3p,False,0.31973019801980196
0.0505,0.018,0.007,56654,hsa-mir-760,hsa-mir-3605-3p,False,0.3815982274741506
0.1085,0.0735,0.0015,56654,hsa-mir-1287-5p,hsa-mir-326,False,0.2727044334975369
0.228,0.7495,0.002,59338,hsa-mir-183-5p,hsa-mir-514b-5p,False,0.2940717131474104
0.085,0.2125,0.0015,219699,hsa-mir-92a-1-5p,hsa-mir-362-3p,False,0.2727044334975369
0.164,0.817,0.003,22849,hsa-mir-29a-3p,hsa-mir-3065-3p,False,0.31973019801980196
0.1825,0.0545,0.0025,9644,hsa-mir-509-3-5p,hsa-mir-130a-3p,False,0.31973019801980196
0.3685,0.369,0.003,22943,hsa-mir-27b-3p,hsa-mir-129-5p,False,0.31973019801980196
0.3755,0.1385,0.0065,6158,hsa-mir-199a-3p,hsa-mir-455-3p,False,0.3754131455399061
0.385,0.104,0.0095,57532,hsa-mir-7-5p,hsa-mir-29c-3p,False,0.4011521739130435
0.093,0.322,0.006,57532,hsa-mir-29c-3p,hsa-mir-340-5p,False,0.3654059405940594
0.018,0.856,0.0075,84687,hsa-mir-1271-5p,hsa-mir-200b-3p,False,0.3860460251046025
0.1455,0.325,0.0035,7126,hsa-mir-424-5p,hsa-mir-17-3p,False,0.31973019801980196
0.065,0.9485,0.001,2549,hsa-mir-628-3p,hsa-mir-34a-5p,False,0.2350700636942675
0.205,0.35,0.006,51809,hsa-mir-214-3p,hsa-mir-141-3p,False,0.3654059405940594
0.825,0.0575,0.005,595,hsa-mir-495-3p,hsa-mir-34b-3p,False,0.3535057471264368
0.28,0.204,0.0025,595,hsa-mir-18a-5p,hsa-mir-141-5p,False,0.31973019801980196
0.6955,0.73,0.0065,595,hsa-mir-138-5p,hsa-mir-19a-3p,False,0.3754131455399061
0.6825,0.045,0.0075,595,hsa-mir-20a-5p,hsa-mir-34b-3p,False,0.3860460251046025
0.2065,0.258,0.002,10114,hsa-mir-509-5p,hsa-mir-29a-5p,False,0.2940717131474104
0.212,0.6305,0.001,10114,hsa-mir-509-3-5p,hsa-mir-664a-3p,False,0.2350700636942675
0.1475,0.011,0.0015,83892,hsa-mir-454-3p,hsa-mir-503-5p,False,0.2727044334975369
0.05,0.091,0.0075,9761,hsa-mir-224-5p,hsa-mir-301a-3p,False,0.3860460251046025
