"miRNA1","miRNA2","TF","hgnc_symbol_tf","Target","hgnc_symbol_target","ModeOfRegulation","TwoVar_mirna1_tf","TwoVar_mirna2_tf","mirna1mirna2_tf","TwoVar_mirna1_target","TwoVar_mirna2_target","mirna1mirna2_target","BH_pvalues_adjusted"
"hsa-mir-20b-5p","hsa-mir-25-3p",6667,"SP1",1490,"CCN2",1,0,5e-04,0.024,0.0235,0.142,0.0025,0.0134317513649727
"hsa-mir-2355-5p","hsa-mir-25-3p",6667,"SP1",1490,"CCN2",1,0.004,0.001,0.0275,0.4885,0.1465,0.0075,0.0308290222036567
"hsa-mir-2355-5p","hsa-mir-625-5p",6667,"SP1",1490,"CCN2",1,0.004,0.0015,0.0725,0.604,0.015,0.002,0.0113052008307189
"hsa-mir-25-3p","hsa-mir-625-5p",6667,"SP1",1490,"CCN2",1,0,0,0.0315,0.1715,0.0205,5e-04,0.00368827124899088
"hsa-mir-181a-5p","hsa-mir-18b-5p",196,"AHR",1496,"CTNNA2",1,0,0,0,0.0165,0.084,0.0065,0.0277631385642738
"hsa-mir-181a-5p","hsa-mir-196b-5p",196,"AHR",1496,"CTNNA2",1,0,0,0,0.0185,0.1935,0.0095,0.03673421394674
"hsa-mir-18b-5p","hsa-mir-196b-5p",196,"AHR",1496,"CTNNA2",1,0,0,0,0.0725,0.1755,0.004,0.0192613114507265
"hsa-mir-625-5p","hsa-mir-766-3p",196,"AHR",1496,"CTNNA2",1,0,0,0.0015,0.023,0.137,0.003,0.0154572257129048
"hsa-mir-125b-5p","hsa-mir-654-3p",2113,"ETS1",1791,"DNTT",1,5e-04,0.0025,0.014,0.0205,0.4035,0.0035,0.0174080093312597
"hsa-mir-299-3p","hsa-mir-31-5p",3091,"HIF1A",1906,"EDN1",1,5e-04,0.003,0.042,0.0105,0.3555,5e-04,0.00368827124899088
"hsa-mir-450b-5p","hsa-mir-548j-5p",639,"PRDM1",2078,"ERG",1,0,0.001,0.659,0.1595,0.099,0.007,0.0293211525867714
"hsa-let-7b-5p","hsa-mir-30a-5p",7157,"TP53",2176,"FANCC",1,0,5e-04,0.0045,0.0145,0.0835,0.004,0.0192613114507265
"hsa-mir-215-5p","hsa-mir-940",8202,"NCOA3",2186,"BPTF",1,0.0075,0,0.0105,0.0525,0.012,0.0075,0.0308290222036567
"hsa-let-7b-5p","hsa-mir-125b-5p",7157,"TP53",2199,"FBLN2",1,0,0,0,0.0105,0.0165,5e-04,0.00368827124899088
"hsa-mir-125b-5p","hsa-mir-30a-5p",7157,"TP53",2232,"FDXR",1,0,0,0.001,0.8065,0.331,0.0015,0.00903247975899077
"hsa-mir-129-5p","hsa-mir-625-3p",7003,"TEAD1",2274,"FHL2",1,0.001,0,0.013,0.23,0.0135,0.009,0.0353088600607232
"hsa-mir-16-1-3p","hsa-mir-548j-5p",1958,"EGR1",2335,"FN1",1,0,0.003,0.327,0.047,0.0255,0.006,0.0261531961292081
"hsa-mir-195-3p","hsa-mir-31-5p",367,"AR",2745,"GLRX",1,0.0055,0,0.2235,0.0165,0.2435,0,0
"hsa-mir-128-3p","hsa-mir-625-3p",7003,"TEAD1",2762,"GMDS",1,0,0,0,0.0645,0.03,0.0065,0.0277631385642738
"hsa-mir-16-1-3p","hsa-mir-625-3p",7003,"TEAD1",2762,"GMDS",1,0,0,0.005,0.3705,0.024,0,0
"hsa-mir-15a-3p","hsa-mir-625-3p",7003,"TEAD1",2762,"GMDS",1,0,0,0.4755,0.5115,0.0235,0.0085,0.0338202233212031
"hsa-mir-15a-5p","hsa-mir-625-3p",7003,"TEAD1",2762,"GMDS",1,0,0,0.0015,0.1205,0.0225,5e-04,0.00368827124899088
"hsa-mir-181b-5p","hsa-mir-766-3p",4779,"NFE2L1",2774,"GNAL",1,0,0,0,0.05,0.041,0.0085,0.0338202233212031
"hsa-mir-181a-5p","hsa-mir-92a-1-5p",4779,"NFE2L1",2774,"GNAL",1,0,0,0,0.0705,0.1305,0.0015,0.00903247975899077
"hsa-mir-181b-5p","hsa-mir-20a-5p",4779,"NFE2L1",2774,"GNAL",1,0,0,0,0.0475,0.027,0.0055,0.0244639082058414
"hsa-mir-766-3p","hsa-mir-93-5p",4779,"NFE2L1",2774,"GNAL",1,0,0,0,0.053,0.041,5e-04,0.00368827124899088
"hsa-mir-181b-5p","hsa-mir-93-5p",4779,"NFE2L1",2774,"GNAL",1,0,0,0,0.038,0.0205,0.0045,0.0210332127589609
"hsa-mir-181a-5p","hsa-mir-93-5p",4779,"NFE2L1",2774,"GNAL",1,0,0,0,0.0665,0.043,0.001,0.00653841042678252
"hsa-mir-766-3p","hsa-mir-92a-1-5p",4779,"NFE2L1",2774,"GNAL",1,0,0,0,0.036,0.1795,0.001,0.00653841042678252
"hsa-mir-17-5p","hsa-mir-766-3p",4779,"NFE2L1",2774,"GNAL",1,0,0,0,0.033,0.032,0,0
"hsa-mir-181a-5p","hsa-mir-20a-5p",4779,"NFE2L1",2774,"GNAL",1,0,0,0,0.066,0.017,0.001,0.00653841042678252
"hsa-mir-20a-5p","hsa-mir-766-3p",4779,"NFE2L1",2774,"GNAL",1,0,0,0,0.0255,0.0295,0.002,0.0113052008307189
"hsa-mir-17-5p","hsa-mir-181b-5p",4779,"NFE2L1",2774,"GNAL",1,0,0,0,0.039,0.042,0.0025,0.0134317513649727
"hsa-mir-181a-5p","hsa-mir-766-3p",4779,"NFE2L1",2774,"GNAL",1,0,0,0,0.0635,0.032,0.005,0.022760657604441
"hsa-mir-17-5p","hsa-mir-181a-5p",4779,"NFE2L1",2774,"GNAL",1,0,0,0,0.033,0.069,5e-04,0.00368827124899088
"hsa-mir-200c-3p","hsa-mir-9-5p",2113,"ETS1",2814,"GP5",1,0,0.001,0.0405,0.25,0.048,0.006,0.0261531961292081
"hsa-mir-125a-5p","hsa-mir-30a-5p",7157,"TP53",2950,"GSTP1",1,0,0,0.008,0.0105,0.099,0.0035,0.0174080093312597
