miRNA1,miRNA2,TF,Target,ModeOfRegulation,TwoVar_mirna1_tf,TwoVar_mirna2_tf,mirna1mirna2_tf,TwoVar_mirna1_target,TwoVar_mirna2_target,mirna1mirna2_target,BH_rejected,BH_pvalues_adjusted
hsa-mir-33b-5p,hsa-mir-7-5p,10765,3728,1,0.0045,0.0,0.0075,0.526,0.013,0.0015,True,0.023257758620689656
hsa-mir-642a-5p,hsa-mir-7-5p,10765,3728,1,0.0025,0.0,0.0,0.0385,0.0165,0.001,True,0.018058232931726908
hsa-mir-204-5p,hsa-mir-642a-5p,10765,4088,1,0.0,0.0065,0.006,0.053,0.0275,0.002,True,0.027628264208909372
hsa-mir-1224-5p,hsa-mir-139-5p,1999,8538,1,0.0,0.0,0.005,0.0145,0.013,0.001,True,0.018058232931726908
hsa-mir-129-5p,hsa-mir-7-5p,27086,83696,-1,0.001,0.0005,0.0,0.1315,0.053,0.0,True,0.0
hsa-mir-129-5p,hsa-mir-204-5p,6664,1009,1,0.006,0.0,0.005,0.2475,0.1365,0.0025,True,0.031665492957746476
hsa-mir-129-5p,hsa-mir-153-3p,6664,6101,1,0.0035,0.0005,0.106,0.032,0.432,0.002,True,0.027628264208909372
hsa-mir-153-3p,hsa-mir-7-5p,6664,6101,1,0.0005,0.001,0.0295,0.589,0.0605,0.0035,True,0.038572916666666665
hsa-mir-129-5p,hsa-mir-204-5p,6664,861,1,0.006,0.0,0.005,0.211,0.0695,0.002,True,0.027628264208909372
hsa-mir-129-5p,hsa-mir-3065-3p,6664,861,1,0.007,0.007,0.0625,0.2025,0.0525,0.0015,True,0.023257758620689656
hsa-mir-129-5p,hsa-mir-204-5p,6667,3486,1,0.001,0.009,0.112,0.2875,0.0585,0.0025,True,0.031665492957746476
hsa-mir-129-5p,hsa-mir-7-5p,6667,3552,1,0.0,0.0,0.0005,0.083,0.0315,0.0,True,0.0
hsa-mir-129-5p,hsa-mir-7-5p,6667,4583,1,0.0,0.0,0.0005,0.031,0.035,0.002,True,0.027628264208909372
hsa-mir-133b,hsa-mir-7-5p,6667,4583,1,0.0005,0.0,0.362,0.4325,0.0265,0.001,True,0.018058232931726908
hsa-mir-129-5p,hsa-mir-7-5p,6667,4790,1,0.0,0.0,0.0005,0.0195,0.054,0.0,True,0.0
hsa-mir-129-5p,hsa-mir-7-5p,6667,6549,1,0.0,0.0,0.0005,0.0435,0.0145,0.0,True,0.0
hsa-mir-129-5p,hsa-mir-7-5p,6667,7430,1,0.0,0.0,0.0005,0.0125,0.0265,0.0025,True,0.031665492957746476
hsa-mir-129-5p,hsa-mir-7-5p,6667,8714,1,0.0,0.0,0.0005,0.033,0.024,0.0,True,0.0
hsa-mir-139-5p,hsa-mir-7-5p,7764,23670,1,0.006,0.001,0.004,0.118,0.0335,0.0,True,0.0
hsa-mir-135a-5p,hsa-mir-204-5p,860,64859,1,0.0005,0.0015,0.048,0.107,0.563,0.003,True,0.03512890625
hsa-mir-135a-5p,hsa-mir-204-5p,860,7456,1,0.0005,0.0015,0.048,0.426,0.0645,0.001,True,0.018058232931726908
