miRNA1,miRNA2,TF,Target,ModeOfRegulation,TwoVar_mirna1_tf,TwoVar_mirna2_tf,mirna1mirna2_tf,TwoVar_mirna1_target,TwoVar_mirna2_target,mirna1mirna2_target,BH_rejected,BH_pvalues_adjusted
hsa-mir-1270,hsa-mir-204-5p,60468,23002,1,0.0005,0.006,0.0,0.022,0.152,0.0,True,0.0
hsa-mir-1270,hsa-mir-215-5p,8202,51366,1,0.0025,0.0,0.2095,0.0135,0.306,0.0005,True,0.04913736263736264
