miRNA1,miRNA2,TF,Target,ModeOfRegulation,TwoVar_mirna1_tf,TwoVar_mirna2_tf,mirna1mirna2_tf,TwoVar_mirna1_target,TwoVar_mirna2_target,mirna1mirna2_target,BH_rejected,BH_pvalues_adjusted
hsa-mir-145-5p,hsa-mir-193b-3p,10499,23002,1,0.001,0.0,0.011,0.5115,0.079,0.0005,True,0.021671664167916042
hsa-mir-183-5p,hsa-mir-301b-3p,1316,84159,1,0.0,0.002,0.355,0.1955,0.029,0.0005,True,0.021671664167916042
hsa-mir-20b-5p,hsa-mir-421,1523,23274,1,0.0,0.0,0.006,0.3875,0.0185,0.001,True,0.034957678355501814
hsa-mir-20b-5p,hsa-mir-363-3p,1523,55852,1,0.0,0.0,0.0145,0.039,0.118,0.0,True,0.0
hsa-let-7c-5p,hsa-mir-30a-5p,1820,4335,1,0.0,0.004,0.0,0.2245,0.593,0.0,True,0.0
hsa-mir-133a-3p,hsa-mir-30c-2-3p,1871,1029,1,0.0,0.0,0.0,0.0175,0.153,0.001,True,0.034957678355501814
hsa-mir-192-5p,hsa-mir-19a-3p,2099,22795,1,0.0,0.0065,0.705,0.442,0.05,0.0015,True,0.04434049079754602
hsa-mir-370-3p,hsa-mir-93-3p,27086,57157,-1,0.0035,0.0,0.2305,0.0335,0.0725,0.0,True,0.0
hsa-mir-409-3p,hsa-mir-93-3p,27086,57157,-1,0.0,0.0,0.218,0.029,0.063,0.001,True,0.034957678355501814
hsa-mir-29a-5p,hsa-mir-29b-3p,3091,1871,1,0.0005,0.0005,0.0045,0.115,0.052,0.0,True,0.0
hsa-mir-130a-3p,hsa-mir-324-5p,3091,79365,1,0.001,0.0005,0.3805,0.195,0.027,0.0,True,0.0
hsa-mir-29a-5p,hsa-mir-324-5p,3091,79365,1,0.0005,0.0005,0.0455,0.7965,0.0215,0.0,True,0.0
hsa-mir-183-5p,hsa-mir-96-5p,367,11030,1,0.0,0.0,0.0005,0.015,0.13,0.0005,True,0.021671664167916042
hsa-mir-135b-5p,hsa-mir-429,4609,3308,1,0.0,0.005,0.036,0.466,0.059,0.0015,True,0.04434049079754602
hsa-mir-135b-5p,hsa-mir-429,4609,71,1,0.0,0.005,0.036,0.159,0.013,0.001,True,0.034957678355501814
hsa-mir-106a-5p,hsa-mir-589-3p,4782,1277,1,0.0,0.0,0.0565,0.3185,0.36,0.0005,True,0.021671664167916042
hsa-mir-301a-3p,hsa-mir-301b-3p,4790,1435,1,0.0,0.0,0.0,0.1305,0.0285,0.0015,True,0.04434049079754602
hsa-mir-301a-3p,hsa-mir-301b-3p,4790,1437,1,0.0,0.0,0.0,0.029,0.0125,0.0,True,0.0
