miRNA1,miRNA2,TF,Target,ModeOfRegulation,TwoVar_mirna1_tf,TwoVar_mirna2_tf,mirna1mirna2_tf,TwoVar_mirna1_target,TwoVar_mirna2_target,mirna1mirna2_target,BH_rejected,BH_pvalues_adjusted
hsa-mir-17-5p,hsa-mir-19a-3p,2099,6866,1,0.0,0.0,0.0,0.437,0.262,0.006,True,0.026780416645339613
hsa-mir-18a-5p,hsa-mir-19a-3p,2099,6866,1,0.001,0.0,0.027,0.3335,0.2285,0.0045,True,0.021664968944099378
hsa-mir-18a-5p,hsa-mir-19b-3p,2099,6866,1,0.0,0.0005,0.0425,0.291,0.168,0.0055,True,0.02511300921562467
hsa-mir-17-5p,hsa-mir-19b-3p,2099,824,1,0.0,0.0005,0.0,0.338,0.011,0.002,True,0.011619894729828769
hsa-mir-18a-5p,hsa-mir-29a-3p,2099,824,1,0.0,0.003,0.878,0.0835,0.023,0.005,True,0.023416713660409788
hsa-mir-142-3p,hsa-mir-338-5p,2099,8648,1,0.0,0.0,0.8875,0.043,0.951,0.001,True,0.006677502105827398
hsa-mir-181c-5p,hsa-mir-331-3p,2113,146664,1,0.001,0.0045,0.726,0.5615,0.4825,0.0095,True,0.037670603883406845
hsa-mir-145-5p,hsa-mir-331-3p,2113,2321,1,0.0,0.0065,0.004,0.0505,0.572,0.003,True,0.01587935900937813
hsa-mir-1-3p,hsa-mir-145-5p,2113,356,1,0.0,0.0005,0.0015,0.0305,0.013,0.0015,True,0.00926164766692629
hsa-mir-145-5p,hsa-mir-324-5p,2113,4846,1,0.0,0.004,0.0005,0.0105,0.033,0.0,True,0.0
hsa-mir-1-3p,hsa-mir-145-5p,2113,915,1,0.0,0.0005,0.0015,0.078,0.016,0.006,True,0.026780416645339613
hsa-mir-130b-5p,hsa-mir-21-5p,2308,1028,1,0.0075,0.0,0.112,0.4435,0.15,0.0,True,0.0
hsa-mir-21-5p,hsa-mir-590-5p,2309,10370,1,0.001,0.007,0.6065,0.0155,0.012,0.0055,True,0.02511300921562467
hsa-let-7a-3p,hsa-mir-197-3p,26959,11345,-1,0.0,0.0,0.051,0.046,0.0655,0.005,True,0.023416713660409788
hsa-mir-130a-3p,hsa-mir-19a-3p,26959,11345,-1,0.0,0.0,0.014,0.011,0.034,0.005,True,0.023416713660409788
hsa-mir-130a-3p,hsa-mir-19b-1-5p,26959,11345,-1,0.0,0.0,0.26,0.018,0.0405,0.0025,True,0.013825707128361238
hsa-mir-130a-3p,hsa-mir-21-5p,26959,11345,-1,0.0,0.0,0.044,0.0125,0.0725,0.008,True,0.033179329861358825
hsa-mir-17-3p,hsa-mir-197-3p,26959,11345,-1,0.0005,0.0,0.937,0.011,0.097,0.0065,True,0.028436460554371
hsa-mir-17-5p,hsa-mir-197-3p,26959,11345,-1,0.0,0.0,0.2415,0.087,0.1125,0.0045,True,0.021664968944099378
hsa-mir-197-3p,hsa-mir-19a-3p,26959,11345,-1,0.0005,0.0,0.2445,0.101,0.0365,0.0065,True,0.028436460554371
hsa-mir-197-3p,hsa-mir-19b-3p,26959,11345,-1,0.0,0.0,0.1995,0.119,0.0115,0.006,True,0.026780416645339613
hsa-mir-19b-3p,hsa-mir-20a-5p,26959,11345,-1,0.0,0.0005,0.1895,0.011,0.2625,0.001,True,0.006677502105827398
hsa-mir-19a-3p,hsa-mir-19b-3p,26959,2067,-1,0.0,0.0,0.04,0.2175,0.0115,0.002,True,0.011619894729828769
hsa-mir-130b-3p,hsa-mir-21-5p,26959,4282,-1,0.005,0.0,0.3325,0.0815,0.1465,0.006,True,0.026780416645339613
hsa-mir-218-5p,hsa-mir-22-5p,27086,201134,-1,0.001,0.002,0.0,0.2935,0.718,0.001,True,0.006677502105827398
hsa-mir-338-3p,hsa-mir-370-3p,27086,2181,-1,0.0,0.006,0.031,0.157,0.0325,0.0,True,0.0
hsa-mir-370-3p,hsa-mir-671-5p,27086,2181,-1,0.0045,0.0005,0.001,0.0225,0.014,0.0,True,0.0
hsa-mir-218-5p,hsa-mir-338-3p,27086,26059,-1,0.0005,0.0,0.001,0.0815,0.02,0.009,True,0.036198215026982145
hsa-mir-24-2-5p,hsa-mir-338-3p,27086,26059,-1,0.0075,0.0,0.0075,0.027,0.0185,0.0,True,0.0
hsa-mir-335-3p,hsa-mir-335-5p,27086,26059,-1,0.0,0.0,0.0,0.029,0.0385,0.001,True,0.006677502105827398
hsa-mir-335-3p,hsa-mir-543,27086,26059,-1,0.0,0.006,0.418,0.028,0.011,0.0085,True,0.03471397292993631
hsa-mir-148a-3p,hsa-mir-24-2-5p,27086,3676,-1,0.003,0.0055,0.0,0.054,0.0205,0.0065,True,0.028436460554371
hsa-mir-148a-3p,hsa-mir-543,27086,3676,-1,0.0035,0.0045,0.001,0.0385,0.0345,0.003,True,0.01587935900937813
hsa-mir-148a-3p,hsa-mir-9-5p,27086,3676,-1,0.0045,0.0,0.0,0.045,0.4475,0.002,True,0.011619894729828769
hsa-mir-148a-3p,hsa-mir-93-3p,27086,3676,-1,0.004,0.0,0.2035,0.0385,0.179,0.006,True,0.026780416645339613
hsa-mir-152-3p,hsa-mir-9-5p,27086,3676,-1,0.0025,0.0,0.745,0.202,0.379,0.0035,True,0.01787491581012621
hsa-mir-17-3p,hsa-mir-421,27086,57609,-1,0.0035,0.0095,0.427,0.1085,0.2955,0.003,True,0.01587935900937813
hsa-mir-17-3p,hsa-mir-942-5p,27086,57609,-1,0.0035,0.0095,0.002,0.096,0.021,0.0,True,0.0
hsa-mir-19b-3p,hsa-mir-7-1-3p,27086,57609,-1,0.008,0.001,0.1945,0.084,0.03,0.0,True,0.0
hsa-mir-33a-5p,hsa-mir-7-1-3p,27086,57609,-1,0.007,0.0005,0.016,0.0325,0.028,0.0025,True,0.013825707128361238
hsa-mir-148a-3p,hsa-mir-9-5p,27086,57620,-1,0.0045,0.0,0.0,0.036,0.204,0.0005,True,0.0037510861616552676
hsa-mir-152-3p,hsa-mir-218-5p,27086,57620,-1,0.001,0.0005,0.0,0.087,0.045,0.003,True,0.01587935900937813
hsa-mir-152-3p,hsa-mir-93-3p,27086,57620,-1,0.0005,0.001,0.02,0.1135,0.047,0.008,True,0.033179329861358825
hsa-mir-19b-3p,hsa-mir-218-5p,27086,57620,-1,0.007,0.0005,0.002,0.61,0.0665,0.0045,True,0.021664968944099378
hsa-mir-19b-3p,hsa-mir-22-5p,27086,64067,-1,0.007,0.003,0.0125,0.02,0.0105,0.0005,True,0.0037510861616552676
hsa-mir-19b-3p,hsa-mir-338-3p,27086,64067,-1,0.0095,0.0,0.0,0.0135,0.1105,0.0005,True,0.0037510861616552676
hsa-mir-335-3p,hsa-mir-335-5p,27086,8379,-1,0.0,0.0,0.0,0.113,0.0195,0.0,True,0.0
hsa-mir-1306-3p,hsa-mir-671-5p,27086,8546,-1,0.0055,0.0005,0.306,0.3605,0.0395,0.004,True,0.019795465508924266
hsa-mir-148a-3p,hsa-mir-218-5p,27086,8546,-1,0.0035,0.0,0.0005,0.022,0.059,0.005,True,0.023416713660409788
hsa-mir-148a-3p,hsa-mir-24-2-5p,27086,8546,-1,0.003,0.0055,0.0,0.031,0.014,0.006,True,0.026780416645339613
hsa-mir-185-5p,hsa-mir-543,27086,8546,-1,0.0,0.005,0.002,0.018,0.035,0.005,True,0.023416713660409788
hsa-mir-185-5p,hsa-mir-671-5p,27086,8546,-1,0.0,0.0,0.002,0.013,0.0295,0.0,True,0.0
hsa-mir-19b-3p,hsa-mir-218-5p,27086,8546,-1,0.007,0.0005,0.002,0.2435,0.0595,0.0,True,0.0
hsa-mir-17-3p,hsa-mir-93-3p,27086,9586,-1,0.0045,0.0,0.2645,0.052,0.012,0.0015,True,0.00926164766692629
hsa-mir-19b-3p,hsa-mir-93-3p,27086,9586,-1,0.0065,0.0005,0.209,0.047,0.018,0.0,True,0.0
hsa-mir-19b-3p,hsa-mir-7-1-3p,27086,9732,-1,0.008,0.001,0.1945,0.0715,0.034,0.0015,True,0.00926164766692629
hsa-mir-19b-3p,hsa-mir-9-5p,27086,9732,-1,0.005,0.0,0.0355,0.0855,0.056,0.0005,True,0.0037510861616552676
hsa-mir-9-5p,hsa-mir-942-5p,27086,9732,-1,0.0005,0.006,0.029,0.046,0.07,0.0005,True,0.0037510861616552676
hsa-mir-148a-3p,hsa-mir-199a-5p,3091,353322,1,0.002,0.0055,0.0105,0.3945,0.235,0.001,True,0.006677502105827398
hsa-mir-199b-5p,hsa-mir-93-3p,3091,6347,1,0.0,0.006,0.5285,0.0785,0.034,0.0005,True,0.0037510861616552676
hsa-mir-199a-5p,hsa-mir-199b-5p,3091,665,1,0.0005,0.0005,0.0055,0.1195,0.1445,0.003,True,0.01587935900937813
hsa-mir-130a-3p,hsa-mir-17-5p,3659,23586,1,0.0005,0.0,0.0465,0.0595,0.056,0.0055,True,0.02511300921562467
