"miRNA1","miRNA2","TF","hgnc_symbol_tf","Target","hgnc_symbol_target","ModeOfRegulation","TwoVar_mirna1_tf","TwoVar_mirna2_tf","mirna1mirna2_tf","TwoVar_mirna1_target","TwoVar_mirna2_target","mirna1mirna2_target","BH_pvalues_adjusted"
"hsa-mir-219a-1-3p","hsa-mir-532-3p",7003,"TEAD1",79026,"AHNAK",1,0.009,0,0.019,0.468,0.0385,0.003,0.0158793590093781
"hsa-mir-148a-3p","hsa-mir-185-5p",7003,"TEAD1",79026,"AHNAK",1,0,0,0.3155,0.0535,0.0735,5e-04,0.00375108616165526
"hsa-mir-130a-3p","hsa-mir-532-3p",7003,"TEAD1",79026,"AHNAK",1,0.001,5e-04,0.4185,0.219,0.0315,0.009,0.0361982150269821
"hsa-mir-185-5p","hsa-mir-532-3p",7003,"TEAD1",79026,"AHNAK",1,0,5e-04,0.351,0.061,0.0425,5e-04,0.00375108616165526
"hsa-let-7a-3p","hsa-mir-532-3p",7003,"TEAD1",79026,"AHNAK",1,0.0045,0,0.0595,0.028,0.0475,0.0015,0.00926164766692629
"hsa-mir-362-5p","hsa-mir-532-3p",7003,"TEAD1",79026,"AHNAK",1,0,5e-04,0.3445,0.053,0.0475,0.003,0.0158793590093781
"hsa-mir-145-5p","hsa-mir-29b-3p",6925,"TCF4",79718,"TBL1XR1",1,0,0,0,0.011,0.088,0.004,0.0197954655089243
"hsa-mir-21-5p","hsa-mir-340-5p",7182,"NR2C2",79813,"EHMT1",1,0,5e-04,0.479,0.311,0.023,0.0015,0.00926164766692629
"hsa-mir-17-3p","hsa-mir-19b-3p",4205,"MEF2A",79828,"METTL8",1,0,0,0,0.147,0.063,0.008,0.0331793298613588
"hsa-mir-223-5p","hsa-mir-491-5p",367,"AR",81563,"C1orf21",1,0,0.002,0.0025,0.042,0.0415,0,0
"hsa-mir-129-5p","hsa-mir-183-5p",1316,"KLF6",81671,"VMP1",1,0.001,5e-04,0.0025,0.432,0.067,0.001,0.00667750210582739
"hsa-mir-106b-5p","hsa-mir-615-3p",4601,"MXI1",83855,"KLF16",-1,0.0035,0,0.0065,0.0165,0.0425,0.0025,0.0138257071283612
"hsa-mir-29b-3p","hsa-mir-589-3p",4208,"MEF2C",83988,"NCALD",1,0.006,0.0075,0.951,0.034,0.272,0.0075,0.0316612809527267
"hsa-mir-130a-3p","hsa-mir-214-3p",7003,"TEAD1",84441,"MAML2",1,0.003,0.005,0.1545,0.0135,0.0445,0.001,0.00667750210582739
"hsa-mir-29a-3p","hsa-mir-29b-3p",6925,"TCF4",84708,"LNX1",1,0,0.002,0,0.0625,0.1165,0.0065,0.028436460554371
"hsa-mir-30b-3p","hsa-mir-30c-2-3p",2034,"EPAS1",112399,"EGLN3",1,0,0.001,0.002,0.029,0.18,0.004,0.0197954655089243
"hsa-mir-30b-3p","hsa-mir-625-5p",2034,"EPAS1",112399,"EGLN3",1,0,0.001,0.0015,0.044,0.027,0.002,0.0116198947298288
"hsa-mir-365a-3p","hsa-mir-625-5p",2034,"EPAS1",112399,"EGLN3",1,0.008,5e-04,0.0065,0.775,0.026,0.0015,0.00926164766692629
"hsa-mir-362-5p","hsa-mir-450b-5p",7003,"TEAD1",114883,"OSBPL9",1,0,5e-04,0.742,0.289,0.153,0.005,0.0234167136604098
"hsa-mir-152-3p","hsa-mir-362-5p",7003,"TEAD1",114883,"OSBPL9",1,0,5e-04,0.0995,0.228,0.2805,0.0015,0.00926164766692629
"hsa-mir-106b-5p","hsa-mir-615-3p",4601,"MXI1",116985,"ARAP1",-1,0.0035,0,0.0065,0.099,0.012,0.0095,0.0376706038834068
"hsa-mir-218-5p","hsa-mir-450b-5p",7003,"TEAD1",117583,"PARD3B",1,0,0,0.1195,0.3495,0.2895,0.0015,0.00926164766692629
"hsa-mir-218-5p","hsa-mir-532-3p",7003,"TEAD1",117583,"PARD3B",1,0,5e-04,0.576,0.296,0.084,5e-04,0.00375108616165526
"hsa-mir-218-5p","hsa-mir-362-5p",7003,"TEAD1",117583,"PARD3B",1,0,5e-04,0.255,0.2805,0.7935,5e-04,0.00375108616165526
"hsa-mir-29a-3p","hsa-mir-542-3p",6721,"SREBF2",134429,"STARD4",1,0,0.002,0.934,0.031,0.146,0.0045,0.0216649689440994
"hsa-mir-132-3p","hsa-mir-148a-3p",4205,"MEF2A",135112,"NCOA7",1,0,0,0,0.015,0.0155,0,0
"hsa-mir-142-3p","hsa-mir-3065-3p",4205,"MEF2A",135112,"NCOA7",1,0,0,0,0.04,0.057,5e-04,0.00375108616165526
"hsa-mir-132-3p","hsa-mir-3065-3p",4205,"MEF2A",135112,"NCOA7",1,0,0,0.007,0.012,0.05,0.001,0.00667750210582739
"hsa-mir-500a-3p","hsa-mir-874-3p",1869,"E2F1",137682,"NDUFAF6",1,0.008,0.0055,0.0085,0.1335,0.256,0.0065,0.028436460554371
"hsa-mir-197-3p","hsa-mir-874-3p",1869,"E2F1",137682,"NDUFAF6",1,0,0.008,0.0185,0.2555,0.2905,0,0
"hsa-mir-152-3p","hsa-mir-503-5p",7003,"TEAD1",140609,"NEK7",1,0,0.0065,0.0305,0.012,0.015,0.0085,0.0347139729299363
"hsa-mir-17-5p","hsa-mir-200b-3p",4601,"MXI1",140688,"NOL4L",-1,0,0,0.327,0.655,0.0535,0.0045,0.0216649689440994
"hsa-mir-200b-3p","hsa-mir-27a-5p",4601,"MXI1",140688,"NOL4L",-1,0,0,0.086,0.064,0.0135,0.0065,0.028436460554371
"hsa-mir-132-3p","hsa-mir-199a-3p",4205,"MEF2A",143872,"ARHGAP42",1,0,0,0,0.0695,0.028,0,0
"hsa-mir-132-3p","hsa-mir-148a-3p",4205,"MEF2A",143872,"ARHGAP42",1,0,0,0,0.059,0.012,5e-04,0.00375108616165526
"hsa-mir-199a-3p","hsa-mir-21-3p",4205,"MEF2A",143872,"ARHGAP42",1,0,0,0.0285,0.0145,0.023,0.0015,0.00926164766692629
"hsa-mir-21-3p","hsa-mir-3913-5p",4205,"MEF2A",143872,"ARHGAP42",1,0,0.0015,0.0085,0.0385,0.3295,0,0
"hsa-mir-199a-3p","hsa-mir-3913-5p",4205,"MEF2A",143872,"ARHGAP42",1,0,0.001,0.0105,0.0235,0.345,0.0025,0.0138257071283612
"hsa-mir-181c-5p","hsa-mir-331-3p",2113,"ETS1",146664,"MGAT5B",1,0.001,0.0045,0.726,0.5615,0.4825,0.0095,0.0376706038834068
"hsa-mir-221-3p","hsa-mir-29b-3p",6925,"TCF4",152273,"FGD5",1,0,5e-04,0.079,0.124,0.502,0.009,0.0361982150269821
"hsa-mir-181a-5p","hsa-mir-200b-3p",10499,"NCOA2",157680,"VPS13B",1,5e-04,0.004,0.2885,0.3735,0.015,0.009,0.0361982150269821
"hsa-mir-152-3p","hsa-mir-214-3p",7003,"TEAD1",166336,"PRICKLE2",1,0,0.005,0.009,0.0315,0.124,0.0025,0.0138257071283612
"hsa-let-7a-3p","hsa-mir-152-3p",7003,"TEAD1",166336,"PRICKLE2",1,0.002,0,0.0065,0.0195,0.034,0.002,0.0116198947298288
"hsa-mir-152-3p","hsa-mir-299-5p",7003,"TEAD1",166336,"PRICKLE2",1,0,0,0.124,0.042,0.0245,0.0065,0.028436460554371
"hsa-mir-214-3p","hsa-mir-299-5p",7003,"TEAD1",166336,"PRICKLE2",1,0.0085,0,0.0085,0.0975,0.0145,0.0065,0.028436460554371
"hsa-mir-299-5p","hsa-mir-34a-5p",7003,"TEAD1",166336,"PRICKLE2",1,0,0,0.001,0.017,0.015,0,0
"hsa-let-7a-3p","hsa-mir-299-5p",7003,"TEAD1",166336,"PRICKLE2",1,0.001,0,0.0385,0.0405,0.0255,0.002,0.0116198947298288
"hsa-mir-152-3p","hsa-mir-34a-5p",7003,"TEAD1",166336,"PRICKLE2",1,0,0,0.0055,0.0295,0.0145,0,0
"hsa-mir-130a-3p","hsa-mir-450b-5p",7003,"TEAD1",196527,"ANO6",1,5e-04,0.0015,0.012,0.373,0.0575,0.0015,0.00926164766692629
"hsa-mir-148a-3p","hsa-mir-503-5p",7003,"TEAD1",196527,"ANO6",1,0,0.006,0.0115,0.0365,0.0655,0.0065,0.028436460554371
"hsa-mir-16-1-3p","hsa-mir-503-5p",7003,"TEAD1",196527,"ANO6",1,0.001,0.0025,0.0805,0.011,0.057,0.004,0.0197954655089243
"hsa-mir-130a-3p","hsa-mir-148a-3p",7003,"TEAD1",196527,"ANO6",1,0,5e-04,0.4765,0.265,0.0155,0.006,0.0267804166453396
