miRNA1,miRNA2,TF,Target,ModeOfRegulation,TwoVar_mirna1_tf,TwoVar_mirna2_tf,mirna1mirna2_tf,TwoVar_mirna1_target,TwoVar_mirna2_target,mirna1mirna2_target,BH_rejected,BH_pvalues_adjusted
hsa-mir-31-5p,hsa-mir-425-5p,10009,64783,1,0.0,0.0,0.002,0.014,0.012,0.0,True,0.0
hsa-mir-200a-3p,hsa-mir-24-3p,10499,124540,1,0.0,0.008,0.0165,0.051,0.028,0.006,True,0.01338668185823772
hsa-mir-148a-3p,hsa-mir-24-3p,10499,6733,1,0.0,0.0035,0.015,0.035,0.022,0.0015,True,0.004013268148970465
hsa-mir-219a-5p,hsa-mir-32-5p,10664,165829,-1,0.0,0.0,0.0035,0.011,0.0105,0.0,True,0.0
hsa-mir-221-3p,hsa-mir-32-5p,10664,170591,-1,0.0,0.0005,0.0,0.4305,0.0465,0.007,True,0.015277814059193857
hsa-mir-222-3p,hsa-mir-32-5p,10664,170591,-1,0.0,0.0,0.0055,0.6235,0.032,0.008,True,0.017132018727999725
hsa-mir-32-5p,hsa-mir-330-3p,10664,170591,-1,0.0005,0.0,0.01,0.033,0.1925,0.006,True,0.01338668185823772
hsa-mir-32-5p,hsa-mir-378a-3p,10664,170591,-1,0.0,0.0,0.0,0.039,0.087,0.002,True,0.005164633643781422
hsa-mir-219a-5p,hsa-mir-27a-3p,10664,219578,1,0.0,0.0,0.0305,0.681,0.0375,0.0095,True,0.019839322463194555
hsa-mir-24-3p,hsa-mir-27a-3p,10664,219578,1,0.0,0.0,0.0,0.575,0.035,0.0015,True,0.004013268148970465
hsa-mir-27a-3p,hsa-mir-27b-3p,10664,219578,1,0.0,0.0,0.0,0.0355,0.5835,0.0075,True,0.01621294707155732
hsa-mir-27a-3p,hsa-mir-378a-3p,10664,219578,1,0.0,0.0,0.0,0.05,0.0735,0.0015,True,0.004013268148970465
hsa-mir-27a-3p,hsa-mir-378c,10664,219578,1,0.0,0.0,0.009,0.0405,0.1345,0.003,True,0.0073543219294642335
hsa-mir-219a-5p,hsa-mir-27b-3p,10664,55388,1,0.0,0.0,0.0,0.1475,0.1665,0.0085,True,0.01804000846740051
hsa-mir-221-3p,hsa-mir-378c,10664,55388,1,0.0,0.0,0.0,0.029,0.117,0.0065,True,0.014337982927043913
hsa-mir-221-3p,hsa-mir-582-3p,10664,55388,1,0.0,0.0015,0.0,0.0325,0.011,0.0,True,0.0
hsa-mir-27b-3p,hsa-mir-32-5p,10664,55388,1,0.0,0.0,0.0,0.2925,0.936,0.006,True,0.01338668185823772
hsa-mir-27b-3p,hsa-mir-582-3p,10664,55388,1,0.0,0.001,0.005,0.2115,0.012,0.0,True,0.0
hsa-mir-219a-5p,hsa-mir-27a-3p,10664,55559,-1,0.0,0.0,0.0305,0.0585,0.2285,0.0005,True,0.0014965251241880015
hsa-mir-221-3p,hsa-mir-27a-3p,10664,55559,-1,0.0,0.0,0.0,0.039,0.234,0.004,True,0.009433837989405044
hsa-mir-129-5p,hsa-mir-218-5p,10664,57533,1,0.0,0.0,0.0,0.232,0.013,0.0,True,0.0
hsa-mir-218-5p,hsa-mir-330-3p,10664,57533,1,0.0,0.0,0.0,0.0115,0.0145,0.007,True,0.015277814059193857
hsa-mir-27a-3p,hsa-mir-330-3p,10664,57533,1,0.0,0.0,0.002,0.078,0.015,0.002,True,0.005164633643781422
hsa-mir-32-5p,hsa-mir-330-3p,10664,57533,1,0.0005,0.0,0.01,0.5595,0.0155,0.006,True,0.01338668185823772
hsa-mir-24-3p,hsa-mir-378c,10664,57609,1,0.0,0.0005,0.0,0.266,0.2165,0.001,True,0.002797557926693156
hsa-mir-27a-3p,hsa-mir-378a-3p,10664,57609,1,0.0,0.0,0.0,0.091,0.13,0.0015,True,0.004013268148970465
hsa-mir-27b-3p,hsa-mir-378a-3p,10664,57609,1,0.0,0.0,0.0,0.9925,0.1135,0.0,True,0.0
hsa-mir-23b-5p,hsa-mir-24-3p,10664,5793,1,0.0015,0.0,0.0555,0.1785,0.0725,0.004,True,0.009433837989405044
hsa-mir-23b-5p,hsa-mir-27b-3p,10664,5793,1,0.003,0.0,0.001,0.1705,0.1035,0.001,True,0.002797557926693156
hsa-mir-27b-3p,hsa-mir-32-5p,10664,5793,1,0.0,0.0,0.0,0.108,0.0985,0.0085,True,0.01804000846740051
hsa-mir-27b-3p,hsa-mir-345-5p,10664,5793,1,0.0,0.0085,0.0,0.1085,0.6695,0.0,True,0.0
hsa-mir-32-5p,hsa-mir-345-5p,10664,5793,1,0.0,0.005,0.007,0.101,0.64,0.0045,True,0.010445200722322544
hsa-mir-129-5p,hsa-mir-218-5p,10664,83872,1,0.0,0.0,0.0,0.2965,0.2005,0.0045,True,0.010445200722322544
hsa-mir-203a-3p,hsa-mir-222-3p,10664,83872,1,0.0,0.0,0.0,0.1655,0.393,0.007,True,0.015277814059193857
hsa-mir-218-5p,hsa-mir-221-3p,10664,83872,1,0.0,0.0,0.0,0.2235,0.3605,0.001,True,0.002797557926693156
hsa-mir-218-5p,hsa-mir-222-3p,10664,83872,1,0.0,0.0,0.0,0.227,0.4055,0.0,True,0.0
hsa-mir-23b-5p,hsa-mir-27b-3p,10664,83872,1,0.003,0.0,0.001,0.0215,0.1445,0.0035,True,0.008407849338700403
hsa-mir-23b-5p,hsa-mir-32-5p,10664,83872,1,0.002,0.0,0.115,0.0225,0.69,0.007,True,0.015277814059193857
hsa-mir-23b-5p,hsa-mir-27b-3p,10664,8784,-1,0.003,0.0,0.001,0.022,0.031,0.0055,True,0.012420713577799801
hsa-mir-24-3p,hsa-mir-32-5p,10664,8784,-1,0.0,0.0005,0.0,0.028,0.7905,0.0005,True,0.0014965251241880015
hsa-mir-24-3p,hsa-mir-330-3p,10664,8784,-1,0.0,0.0,0.0,0.011,0.0145,0.0005,True,0.0014965251241880015
hsa-mir-27a-3p,hsa-mir-330-3p,10664,8784,-1,0.0,0.0,0.002,0.376,0.0285,0.0055,True,0.012420713577799801
hsa-mir-27b-3p,hsa-mir-32-5p,10664,8784,-1,0.0,0.0,0.0,0.0445,0.7905,0.0015,True,0.004013268148970465
hsa-mir-27b-3p,hsa-mir-330-3p,10664,8784,-1,0.0,0.0,0.0,0.0275,0.0395,0.0005,True,0.0014965251241880015
hsa-mir-32-5p,hsa-mir-330-3p,10664,8784,-1,0.0005,0.0,0.01,0.8415,0.015,0.0035,True,0.008407849338700403
hsa-mir-219a-5p,hsa-mir-27a-3p,10664,8853,1,0.0,0.0,0.0305,0.019,0.233,0.004,True,0.009433837989405044
hsa-mir-212-3p,hsa-mir-766-3p,10765,91748,1,0.0,0.0,0.0,0.068,0.0145,0.0035,True,0.008407849338700403
hsa-mir-23a-3p,hsa-mir-27a-3p,10765,91748,1,0.0,0.0,0.0,0.061,0.0145,0.0045,True,0.010445200722322544
hsa-mir-33a-3p,hsa-mir-409-3p,11016,4774,1,0.0025,0.0,0.0015,0.3635,0.0135,0.0005,True,0.0014965251241880015
hsa-mir-124-3p,hsa-mir-409-3p,11016,60412,1,0.0,0.0,0.0,0.0515,0.0685,0.0,True,0.0
hsa-mir-124-3p,hsa-mir-769-5p,11016,60412,1,0.0,0.0,0.0,0.0405,0.0295,0.0,True,0.0
hsa-mir-124-3p,hsa-mir-940,11016,60412,1,0.0,0.002,0.0,0.039,0.2375,0.005,True,0.011435806186695867
hsa-mir-409-3p,hsa-mir-769-5p,11016,60412,1,0.0,0.0,0.0,0.057,0.017,0.0055,True,0.012420713577799801
hsa-mir-769-5p,hsa-mir-940,11016,60412,1,0.0,0.0015,0.0,0.021,0.2605,0.0015,True,0.004013268148970465
hsa-mir-107,hsa-mir-33a-3p,11016,677,1,0.0,0.001,0.009,0.139,0.0125,0.001,True,0.002797557926693156
hsa-mir-33a-3p,hsa-mir-940,11016,7003,1,0.001,0.002,0.0055,0.013,0.066,0.001,True,0.002797557926693156
