"miRNA1","miRNA2","TF","hgnc_symbol_tf","Target","hgnc_symbol_target","ModeOfRegulation","TwoVar_mirna1_tf","TwoVar_mirna2_tf","mirna1mirna2_tf","TwoVar_mirna1_target","TwoVar_mirna2_target","mirna1mirna2_target","BH_pvalues_adjusted"
"hsa-mir-155-5p","hsa-mir-29b-3p",3091,"HIF1A",133,"ADM",1,5e-04,0,0.022,0.016,0.995,0,0
"hsa-mir-33b-5p","hsa-mir-369-3p",6667,"SP1",240,"ALOX5",1,0.0095,0,0.4815,0.033,0.7715,0.002,0.0293454339194555
"hsa-mir-106a-5p","hsa-mir-429",3091,"HIF1A",285,"ANGPT2",1,0.005,0.006,0.3635,0.048,0.0115,0.0035,0.0431904591532499
"hsa-mir-10a-5p","hsa-mir-2355-5p",6667,"SP1",328,"APEX1",-1,0.005,0,0.085,0.3485,0.0695,5e-04,0.0103845845042152
"hsa-mir-31-5p","hsa-mir-337-3p",6774,"STAT3",330,"BIRC3",1,0,0.002,0.217,0.0115,0.033,0.002,0.0293454339194555
"hsa-mir-223-3p","hsa-mir-31-3p",6667,"SP1",331,"XIAP",1,0.005,0,0.0875,0.656,0.1475,0.0025,0.0342305147545322
"hsa-let-7c-5p","hsa-mir-30a-5p",4609,"MYC",375,"ARF1",1,0.004,0.0045,0.0145,0.0385,0.6875,0.002,0.0293454339194555
"hsa-mir-183-5p","hsa-mir-20a-3p",1316,"KLF6",390,"RND3",1,5e-04,0.001,0.0015,0.0185,0.571,0,0
"hsa-mir-429","hsa-mir-9-5p",2113,"ETS1",581,"BAX",-1,0,0,5e-04,0.0455,0.0865,5e-04,0.0103845845042152
"hsa-mir-200b-3p","hsa-mir-429",2908,"NR3C1",632,"BGLAP",-1,0,0,0,0.0795,0.052,0,0
"hsa-mir-129-5p","hsa-mir-20a-5p",1316,"KLF6",678,"ZFP36L2",1,0.003,0.0015,0.3925,0.0235,0.0115,5e-04,0.0103845845042152
"hsa-mir-135b-5p","hsa-mir-96-5p",3516,"RBPJ",868,"CBLB",1,0.009,0.004,0,0.0135,0.022,0.0015,0.0239851645804358
"hsa-mir-9-3p","hsa-mir-96-5p",3516,"RBPJ",868,"CBLB",1,0.0055,0.001,0.165,0.0625,0.018,0.001,0.0178123601308315
"hsa-mir-1-3p","hsa-mir-301a-3p",6667,"SP1",1071,"CETP",-1,0.002,0,0.4225,0.3,0.1455,0.0015,0.0239851645804358
"hsa-mir-130a-3p","hsa-mir-133b",6667,"SP1",1071,"CETP",-1,0,5e-04,0.008,0.7675,0.4205,0.0035,0.0431904591532499
"hsa-mir-133b","hsa-mir-301a-3p",6667,"SP1",1071,"CETP",-1,5e-04,0,0.7875,0.368,0.176,5e-04,0.0103845845042152
"hsa-mir-133b","hsa-mir-454-3p",6667,"SP1",1071,"CETP",-1,5e-04,0,0.4825,0.3555,0.071,0.003,0.0387874547044858
"hsa-mir-133a-3p","hsa-mir-301a-3p",6667,"SP1",1071,"CETP",-1,5e-04,0,0.657,0.314,0.16,0.0015,0.0239851645804358
"hsa-mir-2355-5p","hsa-mir-33b-5p",6667,"SP1",1143,"CHRNB4",1,0,0.006,0.016,0.0455,0.203,0.002,0.0293454339194555
"hsa-mir-301a-3p","hsa-mir-301b-3p",6774,"STAT3",1154,"CISH",1,0,0,0.12,0.17,0.0595,0,0
"hsa-mir-224-5p","hsa-mir-27b-5p",2113,"ETS1",1508,"CTSB",1,0,0,0.056,0.193,0.05,5e-04,0.0103845845042152
"hsa-mir-2355-5p","hsa-mir-424-5p",6667,"SP1",1551,"CYP3A7",1,0,0,0.0455,0.014,0.285,5e-04,0.0103845845042152
"hsa-mir-9-3p","hsa-mir-9-5p",2308,"FOXO1",1612,"DAPK1",1,5e-04,0,0,0.116,0.02,0.002,0.0293454339194555
"hsa-mir-1180-3p","hsa-mir-20a-3p",6664,"SOX11",1756,"DMD",1,0.0035,0.0035,0.0705,0.0265,0.012,0,0
"hsa-mir-1180-3p","hsa-mir-339-5p",6664,"SOX11",1756,"DMD",1,0.0095,5e-04,0.252,0.0205,0.044,0.0025,0.0342305147545322
"hsa-mir-424-5p","hsa-mir-503-5p",6667,"SP1",1910,"EDNRB",1,0,0,0.0145,0.3805,0.015,0.0035,0.0431904591532499
"hsa-mir-133b","hsa-mir-2355-5p",6667,"SP1",1958,"EGR1",1,0.001,0,0.1895,0.7955,0.2445,5e-04,0.0103845845042152
"hsa-mir-130a-3p","hsa-mir-20b-5p",6667,"SP1",2057,"EPOR",-1,0,0.002,0,0.023,0.027,0.002,0.0293454339194555
"hsa-mir-200b-3p","hsa-mir-429",2113,"ETS1",2297,"FOXD1",1,0,0,0,0.383,0.399,0,0
"hsa-mir-182-5p","hsa-mir-9-5p",2034,"EPAS1",2321,"FLT1",1,5e-04,0,0.3365,0.0225,0.191,0.0025,0.0342305147545322
"hsa-mir-223-3p","hsa-mir-377-3p",6667,"SP1",2729,"GCLC",1,0.0065,0.003,0.039,0.0935,0.0655,0.0015,0.0239851645804358
"hsa-mir-369-3p","hsa-mir-410-3p",6667,"SP1",3064,"HTT",1,0,0.003,0,0.0435,0.2695,0.003,0.0387874547044858
"hsa-mir-301a-3p","hsa-mir-301b-3p",6774,"STAT3",3091,"HIF1A",1,0,0,0.12,0.543,0.0275,0.0015,0.0239851645804358
"hsa-mir-142-5p","hsa-mir-20b-5p",3091,"HIF1A",3098,"HK1",1,5e-04,0,0.0405,0.047,0.17,0.003,0.0387874547044858
"hsa-mir-29c-3p","hsa-mir-9-5p",3091,"HIF1A",3099,"HK2",1,0.006,0,0.0315,0.071,0.74,0.004,0.0472151494410221
"hsa-mir-20b-5p","hsa-mir-9-5p",3091,"HIF1A",3099,"HK2",1,0,0,0,0.011,0.794,0,0
"hsa-mir-182-5p","hsa-mir-20a-3p",6774,"STAT3",3162,"HMOX1",1,5e-04,0,0.017,0.066,0.445,0.002,0.0293454339194555
"hsa-mir-18a-5p","hsa-mir-20a-3p",6774,"STAT3",3162,"HMOX1",1,0,0,0.0725,0.014,0.37,0.001,0.0178123601308315
"hsa-mir-30a-3p","hsa-mir-30a-5p",4609,"MYC",3291,"HSD11B2",1,5e-04,0.005,0.105,0.0135,0.241,5e-04,0.0103845845042152
"hsa-mir-130a-3p","hsa-mir-2355-5p",6667,"SP1",3673,"ITGA2",1,0,0,0.031,0.0125,0.4555,0,0
"hsa-mir-337-3p","hsa-mir-494-3p",6774,"STAT3",3726,"JUNB",1,0,5e-04,0.59,0.044,0.1895,0,0
"hsa-mir-18a-5p","hsa-mir-20a-5p",6774,"STAT3",3929,"LBP",1,0,0,0.0035,0.395,0.033,0.0025,0.0342305147545322
"hsa-mir-30a-3p","hsa-mir-30a-5p",4609,"MYC",4000,"LMNA",1,5e-04,0.005,0.105,0.0705,0.162,0,0
"hsa-mir-135b-5p","hsa-mir-19a-3p",4205,"MEF2A",4052,"LTBP1",1,0,0,0.122,0.1415,0.021,0,0
"hsa-mir-135b-5p","hsa-mir-96-5p",2308,"FOXO1",4174,"MCM5",-1,0,0,0.0365,0.037,0.0245,0.001,0.0178123601308315
"hsa-mir-130a-3p","hsa-mir-96-5p",4790,"NFKB1",4314,"MMP3",1,0.0015,0,0.446,0.3245,0.2495,0.002,0.0293454339194555
