miRNA1,miRNA2,TF,Target,ModeOfRegulation,TwoVar_mirna1_tf,TwoVar_mirna2_tf,mirna1mirna2_tf,TwoVar_mirna1_target,TwoVar_mirna2_target,mirna1mirna2_target,BH_rejected,BH_pvalues_adjusted
hsa-mir-135b-5p,hsa-mir-324-5p,2308,285,1,0.0,0.0,0.003,0.0345,0.057,0.005,True,0.027596389710044657
hsa-mir-324-5p,hsa-mir-96-5p,2308,285,1,0.0,0.0,0.051,0.0605,0.0105,0.0025,True,0.01627550263372654
hsa-mir-183-5p,hsa-mir-935,2308,3553,1,0.0,0.0055,0.5405,0.073,0.0455,0.001,True,0.007861583945529476
hsa-mir-130b-5p,hsa-mir-582-3p,2308,6342,1,0.0095,0.005,0.014,0.012,0.148,0.0055,True,0.029634686233574847
hsa-mir-1271-5p,hsa-mir-324-5p,2308,8743,1,0.0015,0.0,0.0,0.38,0.033,0.0,True,0.0
hsa-mir-153-3p,hsa-mir-324-5p,2308,8743,1,0.0055,0.0,0.2535,0.015,0.0555,0.009,True,0.04244646888100612
hsa-mir-183-5p,hsa-mir-7-5p,2353,1026,1,0.0,0.0,0.098,0.011,0.2375,0.0015,True,0.010942430792252059
hsa-mir-101-5p,hsa-mir-7-5p,2353,58,1,0.0095,0.0,0.0855,0.2805,0.8465,0.001,True,0.007861583945529476
hsa-mir-301a-3p,hsa-mir-454-3p,2355,1233,1,0.0,0.0,0.0,0.341,0.1205,0.0075,True,0.03720154315753773
hsa-mir-17-5p,hsa-mir-19a-3p,2355,4322,1,0.0,0.0,0.0315,0.1035,0.0145,0.0,True,0.0
hsa-mir-17-5p,hsa-mir-19b-3p,2355,4322,1,0.0,0.0,0.0395,0.1115,0.072,0.002,True,0.013749764963961141
hsa-mir-550a-5p,hsa-mir-590-3p,2355,4322,1,0.005,0.0,0.0945,0.097,0.1785,0.001,True,0.007861583945529476
hsa-mir-338-3p,hsa-mir-92b-3p,2627,6710,1,0.0,0.0,0.712,0.0135,0.057,0.006,True,0.031599207778177894
hsa-mir-17-5p,hsa-mir-9-5p,26959,10938,-1,0.0,0.0,0.1985,0.013,0.0375,0.0,True,0.0
hsa-mir-130b-3p,hsa-mir-17-5p,26959,4282,-1,0.0,0.0,0.0,0.2245,0.0175,0.001,True,0.007861583945529476
hsa-mir-130b-3p,hsa-mir-19b-3p,26959,4282,-1,0.0,0.0,0.0005,0.199,0.1195,0.001,True,0.007861583945529476
hsa-mir-130b-3p,hsa-mir-96-5p,26959,4282,-1,0.0,0.0095,0.004,0.204,0.184,0.0,True,0.0
hsa-mir-203a-3p,hsa-mir-9-5p,26959,4282,-1,0.0005,0.0005,0.0455,0.287,0.079,0.0025,True,0.01627550263372654
hsa-mir-155-5p,hsa-mir-96-5p,26959,54982,-1,0.0,0.008,0.3195,0.0365,0.029,0.0025,True,0.01627550263372654
hsa-mir-505-5p,hsa-mir-548b-3p,26959,54982,-1,0.0055,0.004,0.053,0.0325,0.0385,0.0065,True,0.03352424473962619
hsa-mir-181c-5p,hsa-mir-181d-5p,27086,10801,-1,0.0035,0.0005,0.0,0.012,0.034,0.0025,True,0.01627550263372654
hsa-mir-19a-3p,hsa-mir-19b-3p,27086,10801,-1,0.0,0.0,0.0,0.028,0.212,0.0025,True,0.01627550263372654
hsa-mir-129-5p,hsa-mir-1306-3p,27086,23239,-1,0.0,0.0015,0.0025,0.0325,0.015,0.0025,True,0.01627550263372654
hsa-mir-1306-3p,hsa-mir-421,27086,23514,-1,0.0015,0.0,0.0195,0.41,0.03,0.009,True,0.04244646888100612
hsa-let-7g-3p,hsa-mir-335-3p,27086,27044,-1,0.001,0.0,0.161,0.02,0.0145,0.0075,True,0.03720154315753773
hsa-mir-106a-5p,hsa-mir-20b-5p,2908,632,-1,0.0035,0.003,0.2345,0.592,0.016,0.0,True,0.0
hsa-mir-17-5p,hsa-mir-429,2908,632,-1,0.0,0.0,0.0005,0.05,0.2195,0.0015,True,0.010942430792252059
hsa-mir-301a-3p,hsa-mir-590-3p,2908,800,1,0.0,0.001,0.0055,0.011,0.0215,0.002,True,0.013749764963961141
hsa-mir-338-3p,hsa-mir-96-5p,3091,2321,1,0.0,0.0005,0.5025,0.164,0.0425,0.0005,True,0.004387988798879888
hsa-mir-342-5p,hsa-mir-766-3p,3205,2690,1,0.0,0.008,0.0,0.0325,0.013,0.0,True,0.0
hsa-mir-130b-3p,hsa-mir-769-3p,3205,84858,1,0.0,0.0,0.0195,0.198,0.014,0.0045,True,0.025532102676839516
hsa-mir-204-5p,hsa-mir-411-5p,3607,5093,1,0.0,0.0,0.7745,0.122,0.0465,0.004,True,0.02337377638676167
hsa-mir-1226-3p,hsa-mir-148a-3p,3661,7186,1,0.003,0.0075,0.597,0.2185,0.0285,0.001,True,0.007861583945529476
hsa-mir-223-5p,hsa-mir-27a-5p,367,1376,1,0.004,0.0,0.892,0.1295,0.03,0.0085,True,0.04074752799781481
hsa-mir-505-5p,hsa-mir-766-3p,3725,7077,1,0.0,0.0,0.004,0.0285,0.197,0.0025,True,0.01627550263372654
hsa-mir-17-5p,hsa-mir-769-3p,4090,22836,1,0.0,0.0005,0.0,0.1635,0.3275,0.0,True,0.0
hsa-mir-19a-3p,hsa-mir-769-3p,4090,22836,1,0.0,0.0025,0.002,0.075,0.3275,0.0035,True,0.021134633911368016
hsa-mir-19b-3p,hsa-mir-769-3p,4090,22836,1,0.0,0.003,0.0045,0.0915,0.38,0.002,True,0.013749764963961141
hsa-mir-224-5p,hsa-mir-769-3p,4090,51455,1,0.0,0.0015,0.2295,0.174,0.043,0.0075,True,0.03720154315753773
hsa-mir-301a-3p,hsa-mir-454-3p,4090,57492,1,0.002,0.002,0.0095,0.4145,0.1675,0.009,True,0.04244646888100612
hsa-mir-130b-3p,hsa-mir-301a-3p,4090,6670,1,0.0005,0.002,0.0055,0.35,0.073,0.004,True,0.02337377638676167
hsa-mir-205-5p,hsa-mir-27a-5p,4150,170463,1,0.0005,0.0075,0.1205,0.0305,0.96,0.0035,True,0.021134633911368016
hsa-mir-205-5p,hsa-mir-27a-5p,4150,26121,1,0.0005,0.0075,0.1205,0.4145,0.1645,0.005,True,0.027596389710044657
hsa-mir-29b-2-5p,hsa-mir-484,4211,23414,1,0.0,0.0,0.0,0.4575,0.0395,0.0,True,0.0
hsa-mir-150-3p,hsa-mir-155-5p,4602,2944,1,0.0,0.0,0.0,0.1125,0.5275,0.007,True,0.03542223631855141
hsa-mir-155-5p,hsa-mir-215-5p,4602,2944,1,0.0,0.001,0.008,0.547,0.2955,0.0075,True,0.03720154315753773
hsa-mir-184,hsa-mir-199a-5p,4609,23277,1,0.0,0.0005,0.483,0.085,0.044,0.005,True,0.027596389710044657
hsa-mir-184,hsa-mir-185-3p,4609,4152,1,0.0,0.006,0.029,0.0245,0.0265,0.0045,True,0.025532102676839516
hsa-mir-184,hsa-mir-199a-5p,4609,4335,1,0.0,0.0005,0.483,0.06,0.9225,0.002,True,0.013749764963961141
hsa-mir-16-2-3p,hsa-mir-184,4609,6134,1,0.0035,0.0,0.0545,0.0385,0.1835,0.002,True,0.013749764963961141
hsa-mir-16-2-3p,hsa-mir-184,4609,6154,1,0.0035,0.0,0.0545,0.094,0.5685,0.0005,True,0.004387988798879888
hsa-mir-16-2-3p,hsa-mir-184,4609,6155,1,0.0035,0.0,0.0545,0.026,0.142,0.0035,True,0.021134633911368016
hsa-mir-16-2-3p,hsa-mir-184,4609,6157,1,0.0035,0.0,0.0545,0.4175,0.1855,0.0025,True,0.01627550263372654
hsa-mir-16-2-3p,hsa-mir-184,4609,6194,1,0.0035,0.0,0.0545,0.111,0.2445,0.002,True,0.013749764963961141
hsa-mir-16-2-3p,hsa-mir-184,4609,6223,1,0.0035,0.0,0.0545,0.3525,0.0265,0.0,True,0.0
hsa-mir-149-5p,hsa-mir-324-5p,4772,6595,1,0.0,0.0,0.0005,0.0135,0.0535,0.005,True,0.027596389710044657
