"miRNA1","miRNA2","TF","hgnc_symbol_tf","Target","hgnc_symbol_target","ModeOfRegulation","TwoVar_mirna1_tf","TwoVar_mirna2_tf","mirna1mirna2_tf","TwoVar_mirna1_target","TwoVar_mirna2_target","mirna1mirna2_target","BH_pvalues_adjusted"
"hsa-mir-23b-5p","hsa-mir-96-5p",4205,"MEF2A",1316,"KLF6",1,0.003,0,0,0.8185,0.0125,0.0035,0.0101818123310593
"hsa-mir-148b-5p","hsa-mir-19b-1-5p",2113,"ETS1",1441,"CSF3R",1,0,0,0.0365,0.0185,0.1075,0.002,0.00636012784176566
"hsa-mir-19b-1-5p","hsa-mir-429",2113,"ETS1",1508,"CTSB",1,0,0,0.04,0.701,0.0295,0.0025,0.00768582394092499
"hsa-mir-18a-5p","hsa-mir-193b-3p",2099,"ESR1",1588,"CYP19A1",1,0,0,0,0.7505,0.2115,0.0075,0.0192214077433987
"hsa-mir-182-5p","hsa-mir-335-3p",2099,"ESR1",1728,"NQO1",-1,0,0,0,0.0235,0.075,0,0
"hsa-mir-155-5p","hsa-mir-196b-5p",4211,"MEIS1",1859,"DYRK1A",1,0,0,0.003,0.11,0.725,0.0065,0.0170921564390666
"hsa-mir-324-5p","hsa-mir-629-3p",4772,"NFATC1",1880,"GPR183",1,5e-04,0.008,0,0.0135,0.0485,0,0
"hsa-mir-183-5p","hsa-mir-96-5p",367,"AR",1956,"EGFR",1,0,0,0,0.0245,0.013,5e-04,0.00189985829570563
"hsa-mir-31-5p","hsa-mir-96-5p",367,"AR",1956,"EGFR",1,0,0,0,0.1225,0.013,0.008,0.0202732704352144
"hsa-mir-31-5p","hsa-mir-424-5p",6774,"STAT3",1956,"EGFR",1,0.006,0.007,0.648,0.104,0.0175,0,0
"hsa-mir-182-5p","hsa-mir-196b-5p",6774,"STAT3",1956,"EGFR",1,0,0,0.007,0.2625,0.0215,0,0
"hsa-mir-26b-3p","hsa-mir-335-3p",7003,"TEAD1",1956,"EGFR",1,0,0,5e-04,0.0745,0.034,0.0095,0.023381989172034
"hsa-mir-26b-5p","hsa-mir-424-5p",6774,"STAT3",1956,"EGFR",1,5e-04,0.0085,0.016,0.0335,0.025,5e-04,0.00189985829570563
"hsa-mir-1301-3p","hsa-mir-27a-5p",6925,"TCF4",2037,"EPB41L2",1,0,0.002,0,0.015,0.266,0.0085,0.0213281919111816
"hsa-mir-106a-5p","hsa-mir-320d",6925,"TCF4",2037,"EPB41L2",1,0,5e-04,0.083,0.072,0.425,0.0045,0.0125888120667704
"hsa-mir-136-5p","hsa-mir-421",27086,"FOXP1",2058,"EPRS1",-1,0.002,0,0.042,0.187,0.1515,5e-04,0.00189985829570563
"hsa-mir-19a-3p","hsa-mir-335-5p",27086,"FOXP1",2058,"EPRS1",-1,0,0.0015,0,0.013,0.1755,0.001,0.00350499590136694
"hsa-mir-19b-3p","hsa-mir-320b",27086,"FOXP1",2058,"EPRS1",-1,0,0,0,0.218,0.0845,0.0025,0.00768582394092499
"hsa-mir-19b-3p","hsa-mir-335-5p",27086,"FOXP1",2058,"EPRS1",-1,5e-04,0,0,0.1015,0.1975,5e-04,0.00189985829570563
"hsa-mir-19b-3p","hsa-mir-421",27086,"FOXP1",2058,"EPRS1",-1,0,0,0,0.137,0.1565,0.0085,0.0213281919111816
"hsa-mir-19a-3p","hsa-mir-421",27086,"FOXP1",2058,"EPRS1",-1,0,0,0,0.014,0.1325,0.0035,0.0101818123310593
"hsa-mir-23b-5p","hsa-mir-3928-3p",27086,"FOXP1",2058,"EPRS1",-1,0.0065,5e-04,0.252,0.0645,0.0305,0.001,0.00350499590136694
"hsa-mir-320b","hsa-mir-431-5p",27086,"FOXP1",2058,"EPRS1",-1,5e-04,0.001,0.152,0.0965,0.439,0.006,0.0160013148578942
"hsa-mir-320b","hsa-mir-7-1-3p",27086,"FOXP1",2058,"EPRS1",-1,0,0,0,0.123,0.023,0.0035,0.0101818123310593
"hsa-mir-335-3p","hsa-mir-421",27086,"FOXP1",2058,"EPRS1",-1,0,0,0,0.013,0.1385,0.008,0.0202732704352144
"hsa-mir-335-5p","hsa-mir-431-5p",27086,"FOXP1",2058,"EPRS1",-1,0,0.0015,0.3325,0.1205,0.4905,0.0035,0.0101818123310593
"hsa-mir-3928-3p","hsa-mir-421",27086,"FOXP1",2058,"EPRS1",-1,0,0,0,0.022,0.1585,0.0075,0.0192214077433987
"hsa-mir-3928-3p","hsa-mir-7-1-3p",27086,"FOXP1",2058,"EPRS1",-1,5e-04,0,0.0305,0.0285,0.016,0.004,0.0114075062191297
"hsa-mir-421","hsa-mir-431-5p",27086,"FOXP1",2058,"EPRS1",-1,0,5e-04,0.0125,0.1575,0.399,0.0015,0.00497708682885906
"hsa-mir-19b-3p","hsa-mir-7-1-3p",27086,"FOXP1",2058,"EPRS1",-1,0,0,0,0.1895,0.0245,0,0
"hsa-mir-17-5p","hsa-mir-19a-3p",1316,"KLF6",2059,"EPS8",1,5e-04,0.002,0.006,0.077,0.0485,0.003,0.00895381742034071
"hsa-mir-148a-3p","hsa-mir-183-5p",1316,"KLF6",2059,"EPS8",1,0.0025,0.003,0.228,0.3415,0.856,0.002,0.00636012784176566
"hsa-mir-7-1-3p","hsa-mir-7-5p",1316,"KLF6",2059,"EPS8",1,0.001,5e-04,0.597,0.5255,0.085,0.0015,0.00497708682885906
"hsa-mir-19a-3p","hsa-mir-7-5p",1316,"KLF6",2059,"EPS8",1,0.0015,0.0015,0.0305,0.0395,0.075,0.0075,0.0192214077433987
"hsa-mir-17-5p","hsa-mir-7-5p",1316,"KLF6",2059,"EPS8",1,0,0.003,0.023,0.1405,0.069,0.004,0.0114075062191297
"hsa-mir-106a-5p","hsa-mir-17-5p",1316,"KLF6",2114,"ETS2",1,0.002,0,0.0065,0.1435,0.222,0.006,0.0160013148578942
