miRNA1,miRNA2,TF,Target,ModeOfRegulation,TwoVar_mirna1_tf,TwoVar_mirna2_tf,mirna1mirna2_tf,TwoVar_mirna1_target,TwoVar_mirna2_target,mirna1mirna2_target,BH_rejected,BH_pvalues_adjusted
hsa-mir-512-3p,hsa-mir-520g-3p,2100,5788,1,0.0005,0.0005,0.1015,0.048,0.0325,0.0045,True,0.021033212758960865
hsa-mir-512-3p,hsa-mir-520h,2100,5788,1,0.0005,0.0,0.0685,0.048,0.045,0.004,True,0.01926131145072649
hsa-mir-519d-3p,hsa-mir-520a-3p,2100,5788,1,0.0,0.0,0.0035,0.0365,0.026,0.0,True,0.0
hsa-mir-519d-3p,hsa-mir-520c-3p,2100,5788,1,0.0,0.0,0.25,0.041,0.0365,0.0005,True,0.0036882712489908894
hsa-mir-519d-3p,hsa-mir-520d-3p,2100,5788,1,0.0,0.0005,0.0205,0.035,0.0235,0.0,True,0.0
hsa-mir-519d-3p,hsa-mir-520g-3p,2100,5788,1,0.0005,0.0,0.0255,0.0355,0.0465,0.0005,True,0.0036882712489908894
hsa-mir-519d-3p,hsa-mir-520h,2100,5788,1,0.0005,0.0005,0.025,0.04,0.052,0.0,True,0.0
hsa-mir-520a-3p,hsa-mir-520c-3p,2100,5788,1,0.0,0.0005,0.003,0.0365,0.0565,0.0,True,0.0
hsa-mir-520a-3p,hsa-mir-520d-3p,2100,5788,1,0.0005,0.0005,0.0,0.0275,0.0225,0.0,True,0.0
hsa-mir-520a-3p,hsa-mir-520g-3p,2100,5788,1,0.0005,0.001,0.007,0.0395,0.0385,0.0015,True,0.009032479758990774
hsa-mir-520c-3p,hsa-mir-520d-3p,2100,5788,1,0.0005,0.0,0.1865,0.044,0.0325,0.0,True,0.0
hsa-mir-520c-3p,hsa-mir-520g-3p,2100,5788,1,0.0005,0.0,0.2065,0.05,0.0215,0.0025,True,0.0134317513649727
hsa-mir-520c-3p,hsa-mir-520h,2100,5788,1,0.0,0.0005,0.355,0.045,0.031,0.0,True,0.0
hsa-mir-520d-3p,hsa-mir-520g-3p,2100,5788,1,0.0005,0.0005,0.014,0.0285,0.0345,0.0,True,0.0
hsa-mir-520d-3p,hsa-mir-520h,2100,5788,1,0.0005,0.0005,0.0145,0.0285,0.0395,0.0,True,0.0
hsa-mir-520g-3p,hsa-mir-520h,2100,5788,1,0.0,0.0,0.0495,0.0325,0.0465,0.003,True,0.015457225712904785
hsa-mir-512-3p,hsa-mir-519d-3p,2100,7114,1,0.0,0.0,0.12,0.171,0.1655,0.0075,True,0.030829022203656693
hsa-mir-512-3p,hsa-mir-520d-3p,2100,7114,1,0.0,0.0,0.027,0.185,0.125,0.0085,True,0.033820223321203075
hsa-mir-519d-3p,hsa-mir-520a-3p,2100,7114,1,0.0,0.0,0.0035,0.1895,0.095,0.0005,True,0.0036882712489908894
hsa-mir-519d-3p,hsa-mir-520c-3p,2100,7114,1,0.0,0.0,0.25,0.164,0.151,0.004,True,0.01926131145072649
hsa-mir-519d-3p,hsa-mir-520d-3p,2100,7114,1,0.0,0.0005,0.0205,0.125,0.1425,0.002,True,0.011305200830718926
hsa-mir-519d-3p,hsa-mir-520g-3p,2100,7114,1,0.0005,0.0,0.0255,0.164,0.1585,0.0015,True,0.009032479758990774
hsa-mir-519d-3p,hsa-mir-520h,2100,7114,1,0.0005,0.0005,0.025,0.163,0.1095,0.0,True,0.0
hsa-mir-520a-3p,hsa-mir-520c-3p,2100,7114,1,0.0,0.0005,0.003,0.0835,0.229,0.0005,True,0.0036882712489908894
hsa-mir-520a-3p,hsa-mir-520d-3p,2100,7114,1,0.0005,0.0005,0.0,0.059,0.1505,0.0005,True,0.0036882712489908894
hsa-mir-520a-3p,hsa-mir-520g-3p,2100,7114,1,0.0005,0.001,0.007,0.1395,0.146,0.001,True,0.00653841042678252
hsa-mir-520a-3p,hsa-mir-520h,2100,7114,1,0.0,0.0,0.004,0.1055,0.1355,0.0,True,0.0
hsa-mir-520c-3p,hsa-mir-520d-3p,2100,7114,1,0.0005,0.0,0.1865,0.191,0.1435,0.006,True,0.026153196129208123
hsa-mir-520c-3p,hsa-mir-520h,2100,7114,1,0.0,0.0005,0.355,0.1875,0.1275,0.005,True,0.022760657604440966
hsa-mir-520d-3p,hsa-mir-520g-3p,2100,7114,1,0.0005,0.0005,0.014,0.162,0.1635,0.0,True,0.0
hsa-mir-520g-3p,hsa-mir-520h,2100,7114,1,0.0,0.0,0.0495,0.0915,0.0765,0.0015,True,0.009032479758990774
hsa-mir-125b-5p,hsa-mir-221-3p,2113,1459,1,0.0005,0.0,0.0,0.028,0.108,0.0015,True,0.009032479758990774
hsa-mir-125b-5p,hsa-mir-221-3p,2113,1460,1,0.0005,0.0,0.0,0.2845,0.0275,0.003,True,0.015457225712904785
hsa-mir-125b-5p,hsa-mir-654-3p,2113,1791,1,0.0005,0.0025,0.014,0.0205,0.4035,0.0035,True,0.01740800933125972
hsa-mir-200c-3p,hsa-mir-9-5p,2113,2814,1,0.0,0.001,0.0405,0.25,0.048,0.006,True,0.026153196129208123
hsa-mir-125b-5p,hsa-mir-221-3p,2113,3676,1,0.0005,0.0,0.0,0.31,0.014,0.0065,True,0.027763138564273787
hsa-mir-15b-5p,hsa-mir-200c-3p,2308,1028,1,0.0,0.0,0.0725,0.1915,0.1495,0.0045,True,0.021033212758960865
hsa-mir-181a-5p,hsa-mir-181b-5p,2353,5329,1,0.0,0.0,0.002,0.025,0.0205,0.005,True,0.022760657604440966
hsa-mir-181a-5p,hsa-mir-181b-5p,2353,6347,1,0.0,0.0,0.002,0.028,0.0335,0.009,True,0.03530886006072315
hsa-mir-130b-3p,hsa-mir-15a-5p,2355,5329,1,0.0,0.0,0.0,0.36,0.0145,0.009,True,0.03530886006072315
hsa-mir-15a-5p,hsa-mir-20a-5p,2355,5329,1,0.0,0.0,0.0,0.0165,0.42,0.0015,True,0.009032479758990774
hsa-mir-20a-5p,hsa-mir-93-5p,2355,5329,1,0.0,0.0,0.0,0.413,0.83,0.008,True,0.03234079130324864
hsa-mir-130b-3p,hsa-mir-15b-5p,2355,8061,1,0.0,0.0,0.0,0.104,0.019,0.0045,True,0.021033212758960865
hsa-mir-130b-3p,hsa-mir-17-5p,2355,8061,1,0.0,0.0,0.0,0.091,0.124,0.008,True,0.03234079130324864
hsa-mir-15a-5p,hsa-mir-15b-5p,2355,8061,1,0.0,0.0,0.0,0.028,0.0175,0.0015,True,0.009032479758990774
hsa-mir-15a-5p,hsa-mir-93-5p,2355,8061,1,0.0,0.0,0.0,0.024,0.23,0.0035,True,0.01740800933125972
hsa-mir-15b-5p,hsa-mir-17-5p,2355,8061,1,0.0,0.0,0.0,0.014,0.208,0.006,True,0.026153196129208123
hsa-mir-15b-5p,hsa-mir-766-3p,2355,8061,1,0.0,0.0,0.0005,0.0205,0.1455,0.0065,True,0.027763138564273787
hsa-mir-15b-5p,hsa-mir-93-5p,2355,8061,1,0.0,0.0,0.0,0.0175,0.2405,0.006,True,0.026153196129208123
hsa-mir-17-5p,hsa-mir-766-3p,2355,8061,1,0.0,0.0,0.0,0.241,0.178,0.0045,True,0.021033212758960865
hsa-mir-363-3p,hsa-mir-383-5p,2627,5998,1,0.0,0.002,0.0125,0.017,0.4825,0.0015,True,0.009032479758990774
hsa-mir-181a-5p,hsa-mir-7-5p,27086,284,-1,0.0025,0.0005,0.0025,0.1455,0.027,0.0,True,0.0
hsa-mir-181a-5p,hsa-mir-942-5p,27086,284,-1,0.0045,0.001,0.0,0.135,0.0135,0.0,True,0.0
hsa-mir-181b-5p,hsa-mir-7-5p,27086,284,-1,0.0015,0.0,0.0005,0.2075,0.028,0.0,True,0.0
hsa-mir-181b-5p,hsa-mir-942-5p,27086,284,-1,0.003,0.0005,0.0005,0.1855,0.0175,0.0005,True,0.0036882712489908894
hsa-mir-7-1-3p,hsa-mir-942-5p,27086,284,-1,0.005,0.001,0.0,0.0695,0.0125,0.005,True,0.022760657604440966
hsa-mir-7-5p,hsa-mir-942-5p,27086,284,-1,0.0,0.0015,0.001,0.024,0.0165,0.0025,True,0.0134317513649727
hsa-mir-130a-3p,hsa-mir-299-3p,3091,10333,1,0.0,0.0005,0.142,0.07,0.3475,0.0095,True,0.036734213946740014
hsa-mir-130a-3p,hsa-mir-497-3p,3091,10333,1,0.0,0.001,0.384,0.0575,0.1655,0.006,True,0.026153196129208123
hsa-mir-106a-3p,hsa-mir-299-5p,3091,19,1,0.001,0.006,0.0,0.1845,0.1555,0.0,True,0.0
hsa-mir-16-1-3p,hsa-mir-299-5p,3091,19,1,0.0,0.0015,0.002,0.015,0.133,0.0,True,0.0
hsa-mir-299-5p,hsa-mir-616-5p,3091,19,1,0.0035,0.002,0.013,0.2505,0.3435,0.009,True,0.03530886006072315
hsa-mir-299-3p,hsa-mir-31-5p,3091,1906,1,0.0005,0.003,0.042,0.0105,0.3555,0.0005,True,0.0036882712489908894
hsa-mir-130a-3p,hsa-mir-497-3p,3091,3553,1,0.0,0.001,0.384,0.063,0.455,0.005,True,0.022760657604440966
hsa-mir-299-3p,hsa-mir-299-5p,3091,4170,1,0.0,0.004,0.0405,0.075,0.506,0.006,True,0.026153196129208123
hsa-mir-130a-3p,hsa-mir-299-5p,3091,4846,1,0.0,0.005,0.465,0.015,0.077,0.002,True,0.011305200830718926
hsa-mir-130a-3p,hsa-mir-497-3p,3091,4907,1,0.0,0.001,0.384,0.103,0.244,0.0035,True,0.01740800933125972
hsa-mir-130a-3p,hsa-mir-616-5p,3091,4907,1,0.0,0.0015,0.159,0.0965,0.024,0.0,True,0.0
hsa-mir-17-5p,hsa-mir-299-3p,3091,4907,1,0.0005,0.002,0.0025,0.012,0.601,0.0075,True,0.030829022203656693
hsa-mir-18a-5p,hsa-mir-299-5p,3091,4907,1,0.006,0.003,0.0,0.013,0.6315,0.002,True,0.011305200830718926
hsa-mir-20b-5p,hsa-mir-497-3p,3091,4914,1,0.0,0.0015,0.613,0.2575,0.0175,0.003,True,0.015457225712904785
hsa-mir-142-5p,hsa-mir-18a-5p,3091,51107,1,0.001,0.0025,0.218,0.158,0.37,0.004,True,0.01926131145072649
hsa-mir-16-1-3p,hsa-mir-18a-5p,3091,51107,1,0.0,0.0075,0.004,0.024,0.4035,0.0035,True,0.01740800933125972
hsa-mir-16-2-3p,hsa-mir-18a-5p,3091,51107,1,0.0,0.0065,0.099,0.0135,0.402,0.008,True,0.03234079130324864
hsa-mir-16-2-3p,hsa-mir-580-3p,3091,51107,1,0.0005,0.002,0.191,0.0285,0.1215,0.004,True,0.01926131145072649
hsa-mir-16-2-3p,hsa-mir-625-3p,3091,51107,1,0.0,0.0025,0.1875,0.015,0.0455,0.0065,True,0.027763138564273787
hsa-mir-18a-5p,hsa-mir-580-3p,3091,51107,1,0.005,0.001,0.7735,0.696,0.142,0.0035,True,0.01740800933125972
hsa-mir-18a-5p,hsa-mir-625-3p,3091,51107,1,0.006,0.001,0.135,0.5995,0.069,0.0035,True,0.01740800933125972
hsa-mir-548d-3p,hsa-mir-625-3p,3091,51107,1,0.0,0.003,0.0745,0.425,0.073,0.0015,True,0.009032479758990774
hsa-mir-580-3p,hsa-mir-625-3p,3091,51107,1,0.002,0.0,0.0915,0.0785,0.09,0.004,True,0.01926131145072649
hsa-mir-106a-3p,hsa-mir-16-1-3p,3091,5243,1,0.0015,0.0,0.007,0.0105,0.015,0.008,True,0.03234079130324864
hsa-mir-299-3p,hsa-mir-31-5p,3091,5507,1,0.0005,0.003,0.042,0.62,0.2915,0.0075,True,0.030829022203656693
hsa-mir-130a-3p,hsa-mir-519c-3p,3091,6095,1,0.0,0.0,0.057,0.227,0.021,0.0025,True,0.0134317513649727
hsa-mir-17-5p,hsa-mir-19a-3p,3091,6513,1,0.0,0.001,0.005,0.0215,0.043,0.0045,True,0.021033212758960865
hsa-mir-19a-3p,hsa-mir-497-3p,3091,664,1,0.0005,0.002,0.3225,0.0325,0.0715,0.0,True,0.0
hsa-mir-497-3p,hsa-mir-548d-3p,3091,664,1,0.001,0.0005,0.462,0.0645,0.0155,0.004,True,0.01926131145072649
hsa-mir-497-3p,hsa-mir-93-5p,3091,664,1,0.001,0.0005,0.5115,0.071,0.0375,0.0065,True,0.027763138564273787
hsa-mir-106a-5p,hsa-mir-20a-5p,3091,7018,1,0.0015,0.0,0.001,0.0125,0.025,0.0055,True,0.024463908205841444
hsa-mir-17-5p,hsa-mir-299-3p,3091,7018,1,0.0005,0.002,0.0025,0.016,0.018,0.008,True,0.03234079130324864
hsa-mir-18a-5p,hsa-mir-93-5p,3091,7018,1,0.0065,0.0005,0.374,0.0145,0.018,0.0055,True,0.024463908205841444
hsa-mir-18b-5p,hsa-mir-20a-5p,3091,7018,1,0.0005,0.0005,0.0245,0.0245,0.0365,0.008,True,0.03234079130324864
hsa-mir-18b-5p,hsa-mir-93-5p,3091,7018,1,0.0005,0.0,0.86,0.027,0.0115,0.0085,True,0.033820223321203075
hsa-mir-20a-5p,hsa-mir-20b-5p,3091,7018,1,0.0,0.0,0.0,0.033,0.015,0.003,True,0.015457225712904785
hsa-mir-20a-5p,hsa-mir-299-3p,3091,7018,1,0.0,0.0005,0.0035,0.0305,0.0345,0.004,True,0.01926131145072649
hsa-mir-20a-5p,hsa-mir-299-5p,3091,7018,1,0.0,0.0015,0.0,0.0195,0.011,0.0,True,0.0
hsa-mir-20b-5p,hsa-mir-299-3p,3091,7018,1,0.0,0.002,0.078,0.0105,0.0215,0.007,True,0.029321152586771447
hsa-mir-20b-5p,hsa-mir-497-3p,3091,7018,1,0.0,0.0015,0.613,0.017,0.0595,0.006,True,0.026153196129208123
hsa-mir-299-3p,hsa-mir-548d-3p,3091,7018,1,0.002,0.001,0.0165,0.0345,0.0195,0.0005,True,0.0036882712489908894
hsa-mir-130a-3p,hsa-mir-497-3p,3091,7037,1,0.0,0.001,0.384,0.062,0.3475,0.0035,True,0.01740800933125972
hsa-mir-130a-3p,hsa-mir-518c-5p,3091,7037,1,0.0,0.0,0.245,0.169,0.7025,0.001,True,0.00653841042678252
hsa-mir-130a-3p,hsa-mir-519c-3p,3091,7037,1,0.0,0.0,0.057,0.073,0.7285,0.005,True,0.022760657604440966
hsa-mir-130a-3p,hsa-mir-625-3p,3091,7037,1,0.0,0.002,0.0445,0.106,0.0115,0.009,True,0.03530886006072315
hsa-mir-16-2-3p,hsa-mir-17-5p,3091,7037,1,0.0,0.0,0.067,0.0695,0.5665,0.0,True,0.0
hsa-mir-16-2-3p,hsa-mir-20a-5p,3091,7037,1,0.0,0.0005,0.0555,0.082,0.417,0.003,True,0.015457225712904785
hsa-mir-16-2-3p,hsa-mir-93-5p,3091,7037,1,0.0,0.0,0.2555,0.038,0.108,0.0,True,0.0
hsa-mir-130a-3p,hsa-mir-497-3p,3091,7099,1,0.0,0.001,0.384,0.752,0.1595,0.0025,True,0.0134317513649727
hsa-mir-130a-3p,hsa-mir-519c-3p,3091,79365,1,0.0,0.0,0.057,0.1135,0.717,0.0025,True,0.0134317513649727
hsa-mir-17-5p,hsa-mir-625-3p,3091,8614,1,0.0,0.0005,0.007,0.0335,0.0135,0.0005,True,0.0036882712489908894
hsa-mir-18a-5p,hsa-mir-20a-5p,3091,8614,1,0.005,0.0,0.0015,0.204,0.0165,0.008,True,0.03234079130324864
hsa-mir-18a-5p,hsa-mir-625-3p,3091,8614,1,0.006,0.001,0.135,0.2845,0.0105,0.0095,True,0.036734213946740014
hsa-mir-20a-5p,hsa-mir-625-3p,3091,8614,1,0.0005,0.0015,0.0095,0.013,0.011,0.002,True,0.011305200830718926
hsa-mir-20a-5p,hsa-mir-93-5p,3091,8614,1,0.0,0.0,0.0,0.023,0.0285,0.0015,True,0.009032479758990774
