miRNA1,miRNA2,TF,Target,ModeOfRegulation,TwoVar_mirna1_tf,TwoVar_mirna2_tf,mirna1mirna2_tf,TwoVar_mirna1_target,TwoVar_mirna2_target,mirna1mirna2_target,BH_rejected,BH_pvalues_adjusted
hsa-mir-19a-3p,hsa-mir-19b-3p,10320,81029,1,0.0,0.0,0.0,0.108,0.2885,0.0,True,0.0
hsa-mir-19a-3p,hsa-mir-19b-3p,10320,9402,1,0.0,0.0,0.0,0.011,0.014,0.001,True,0.01781236013083147
hsa-mir-141-3p,hsa-mir-200a-3p,1316,11221,1,0.0005,0.0,0.016,0.022,0.035,0.001,True,0.01781236013083147
hsa-mir-141-3p,hsa-mir-20a-3p,1316,11221,1,0.0005,0.001,0.064,0.0205,0.3065,0.0025,True,0.034230514754532225
hsa-mir-141-3p,hsa-mir-20a-5p,1316,11221,1,0.001,0.002,0.005,0.011,0.0235,0.0,True,0.0
hsa-mir-200a-3p,hsa-mir-20a-5p,1316,11221,1,0.0,0.0025,0.0015,0.035,0.0235,0.0005,True,0.010384584504215175
hsa-mir-183-5p,hsa-mir-20a-3p,1316,390,1,0.0005,0.001,0.0015,0.0185,0.571,0.0,True,0.0
hsa-mir-204-5p,hsa-mir-20a-3p,1316,50807,1,0.0,0.0005,0.0165,0.228,0.132,0.001,True,0.01781236013083147
hsa-mir-129-5p,hsa-mir-20a-5p,1316,678,1,0.003,0.0015,0.3925,0.0235,0.0115,0.0005,True,0.010384584504215175
hsa-mir-20b-5p,hsa-mir-363-3p,1523,5292,1,0.0005,0.0,0.0,0.0215,0.0325,0.0,True,0.0
hsa-mir-142-3p,hsa-mir-320b,1523,59344,1,0.0035,0.002,0.6085,0.5895,0.221,0.0,True,0.0
hsa-mir-155-5p,hsa-mir-320b,1523,59344,1,0.0,0.005,0.1175,0.047,0.1415,0.0,True,0.0
hsa-mir-193b-3p,hsa-mir-296-5p,1869,29128,1,0.0,0.0095,0.0515,0.0175,0.0645,0.0035,True,0.04319045915324985
hsa-mir-30c-5p,hsa-mir-338-3p,196,28232,1,0.0,0.0,0.0375,0.091,0.0125,0.001,True,0.01781236013083147
hsa-mir-338-3p,hsa-mir-500a-5p,196,28232,1,0.0025,0.0,0.3395,0.012,0.0415,0.001,True,0.01781236013083147
hsa-mir-200a-5p,hsa-mir-30a-5p,1997,259230,1,0.006,0.001,0.7175,0.3025,0.029,0.0,True,0.0
hsa-mir-200b-5p,hsa-mir-30a-5p,1997,259230,1,0.009,0.001,0.712,0.177,0.0155,0.0,True,0.0
hsa-mir-182-5p,hsa-mir-9-5p,2034,2321,1,0.0005,0.0,0.3365,0.0225,0.191,0.0025,True,0.034230514754532225
hsa-mir-18a-5p,hsa-mir-301a-3p,2099,5979,1,0.0,0.0045,0.0085,0.6465,0.1945,0.0025,True,0.034230514754532225
hsa-mir-19a-3p,hsa-mir-301a-3p,2099,5979,1,0.0005,0.0095,0.031,0.0875,0.196,0.0025,True,0.034230514754532225
hsa-mir-19a-3p,hsa-mir-454-3p,2099,5979,1,0.0,0.0,0.001,0.0915,0.084,0.002,True,0.029345433919455474
hsa-mir-130a-3p,hsa-mir-19a-3p,2099,6776,1,0.0,0.0,0.0295,0.1215,0.034,0.003,True,0.038787454704485816
hsa-mir-19a-3p,hsa-mir-19b-3p,2099,6776,1,0.0,0.0005,0.0,0.042,0.033,0.0005,True,0.010384584504215175
hsa-mir-19a-3p,hsa-mir-454-3p,2099,6776,1,0.0,0.0,0.001,0.0345,0.342,0.0,True,0.0
hsa-mir-19b-3p,hsa-mir-454-3p,2099,6776,1,0.0,0.0,0.004,0.0455,0.3095,0.0,True,0.0
hsa-mir-18a-5p,hsa-mir-9-5p,2099,9687,1,0.0,0.0,0.0675,0.016,0.0925,0.0005,True,0.010384584504215175
hsa-mir-224-5p,hsa-mir-27b-5p,2113,1508,1,0.0,0.0,0.056,0.193,0.05,0.0005,True,0.010384584504215175
hsa-mir-200b-3p,hsa-mir-429,2113,2297,1,0.0,0.0,0.0,0.383,0.399,0.0,True,0.0
hsa-mir-429,hsa-mir-9-5p,2113,581,-1,0.0,0.0,0.0005,0.0455,0.0865,0.0005,True,0.010384584504215175
hsa-mir-18a-3p,hsa-mir-20a-5p,2115,8545,1,0.0,0.0,0.0015,0.1595,0.032,0.0015,True,0.02398516458043579
hsa-mir-9-3p,hsa-mir-9-5p,2308,1612,1,0.0005,0.0,0.0,0.116,0.02,0.002,True,0.029345433919455474
hsa-mir-135b-5p,hsa-mir-96-5p,2308,4174,-1,0.0,0.0,0.0365,0.037,0.0245,0.001,True,0.01781236013083147
hsa-mir-182-5p,hsa-mir-183-5p,2308,83604,1,0.0,0.0005,0.0005,0.019,0.017,0.0025,True,0.034230514754532225
hsa-mir-582-3p,hsa-mir-582-5p,2308,83604,1,0.0035,0.003,0.005,0.017,0.0125,0.0,True,0.0
hsa-mir-19a-3p,hsa-mir-20a-5p,26959,10609,-1,0.0,0.0,0.0005,0.2805,0.0375,0.001,True,0.01781236013083147
hsa-mir-301a-3p,hsa-mir-454-3p,26959,10609,-1,0.0,0.0,0.0005,0.0295,0.193,0.001,True,0.01781236013083147
hsa-mir-200b-3p,hsa-mir-429,2908,632,-1,0.0,0.0,0.0,0.0795,0.052,0.0,True,0.0
hsa-mir-19b-3p,hsa-mir-29c-3p,3091,10135,1,0.0,0.0085,0.0795,0.203,0.0315,0.001,True,0.01781236013083147
hsa-mir-19b-3p,hsa-mir-20a-5p,3091,10381,1,0.0,0.0,0.0005,0.013,0.0545,0.0015,True,0.02398516458043579
hsa-mir-155-5p,hsa-mir-29b-3p,3091,133,1,0.0005,0.0,0.022,0.016,0.995,0.0,True,0.0
hsa-mir-106a-5p,hsa-mir-429,3091,285,1,0.005,0.006,0.3635,0.048,0.0115,0.0035,True,0.04319045915324985
hsa-mir-142-5p,hsa-mir-20b-5p,3091,3098,1,0.0005,0.0,0.0405,0.047,0.17,0.003,True,0.038787454704485816
hsa-mir-20b-5p,hsa-mir-9-5p,3091,3099,1,0.0,0.0,0.0,0.011,0.794,0.0,True,0.0
hsa-mir-29c-3p,hsa-mir-9-5p,3091,3099,1,0.006,0.0,0.0315,0.071,0.74,0.004,True,0.04721514944102213
hsa-mir-19a-3p,hsa-mir-20a-5p,3091,5054,1,0.002,0.0005,0.01,0.096,0.035,0.002,True,0.029345433919455474
