source;target
mir-429/mir-20a-3p;PKIA
mir-215-5p/mir-653-5p;PRKDC
mir-193b-3p/mir-9-5p;PTPRG
mir-329-3p/mir-19a-3p;RAP2B
mir-29b-3p/mir-96-5p;RORA
mir-9-5p/let-7c-5p;SOD2
mir-409-5p/mir-183-3p;SOD2
mir-99b-3p/mir-409-5p;SOD2
mir-30a-3p/mir-150-3p;SOD2
mir-125b-5p/mir-9-5p;SOD2
mir-33a-3p/mir-138-5p;SOX9
mir-152-3p/mir-200a-3p;SPTBN1
mir-146a-5p/mir-34c-5p;STC1
mir-1-3p/mir-155-5p;TFPI
mir-495-3p/mir-125b-5p;TFRC
mir-222-3p/mir-550a-3p;THBS1
mir-221-3p/mir-429;TRPS1
mir-199a-5p/mir-194-3p;VEGFA
let-7c-5p/mir-33a-3p;PXDN
mir-149-5p/mir-19a-3p;FZD5
mir-29c-3p/mir-135b-3p;ADAM12
mir-363-3p/mir-3934-5p;IFITM1
mir-19a-3p/mir-503-5p;TNFRSF11A
mir-452-3p/mir-127-5p;ASAP2
mir-589-3p/mir-20b-5p;IER3
mir-222-3p/mir-199b-5p;SEC24C
mir-222-3p/mir-199a-5p;SEC24C
mir-2355-5p/let-7c-5p;TMEM63A
mir-503-5p/mir-29b-1-5p;AKT3
mir-106a-5p/mir-2355-3p;AKT3
mir-377-5p/mir-212-3p;SCML2
mir-139-3p/mir-221-5p;IGF2BP1
mir-138-5p/mir-3065-5p;WASF3
mir-223-5p/mir-150-5p;PLAAT3
mir-378c/mir-365a-3p;WDR6
mir-1287-5p/mir-625-5p;ADGRL1
mir-409-5p/mir-33a-3p;ELL2
mir-27b-5p/mir-182-5p;PSD3
mir-497-5p/mir-29b-3p;KIAA0895
mir-329-3p/mir-150-5p;SLC7A11
mir-624-5p/mir-330-3p;SLC7A11
mir-548j-5p/mir-149-5p;LRIG1
mir-23a-5p/mir-508-3p;RGS17
mir-193b-3p/mir-214-3p;CLEC2D
mir-497-5p/mir-301b-3p;CD274
mir-642a-5p/mir-185-3p;COL5A3
mir-152-3p/mir-429;ERRFI1
mir-203a-3p/mir-192-3p;SLC25A36
mir-654-5p/mir-592;NRIP3
mir-29b-3p/mir-582-5p;USP31
mir-204-5p/mir-365a-3p;SRGAP1
mir-424-5p/mir-152-3p;TRMT9B
mir-181a-2-3p/mir-195-5p;RNF213
mir-330-5p/mir-221-5p;TRAK2
mir-654-5p/mir-196a-5p;AHNAK
mir-326/mir-455-3p;ULBP3
mir-196a-5p/mir-429;ZFHX4
mir-944/mir-130b-3p;ZNF614
mir-944/mir-182-5p;ZNF614
mir-503-5p/mir-200c-5p;ZNF703
mir-205-3p/mir-592;TET1
mir-3065-5p/mir-29b-3p;TET1
mir-29b-3p/mir-877-5p;TET1
mir-205-3p/mir-642a-5p;TET1
mir-7-5p/mir-335-3p;COLEC12
mir-424-5p/mir-497-5p;PPP1R14C
mir-155-5p/mir-335-5p;KIFC2
mir-577/mir-182-5p;TP53INP1
mir-335-3p/mir-18a-3p;EDARADD
mir-1270/mir-29c-3p;NOL4L
mir-29b-3p/mir-20b-5p;ZNF827
mir-29c-3p/mir-29b-3p;AMOT
mir-203a-3p/mir-10a-3p;ITPRIPL2
mir-221-5p/mir-9-5p;NHSL2
mir-30b-3p/mir-142-5p;FAM71F2
mir-511-5p/mir-196a-5p;ZNF704
mir-195-5p/mir-18a-5p;FAM160A1
mir-155-5p/mir-10a-5p;MTRNR2L1
