clusterString;name;selected;shared_name;miRNAFamily
miR-33a;miR-33a-5p;false;miR-33a-5p;miR-33-5p
miR-199b,miR-3154;miR-199b-5p;false;miR-199b-5p;miR-199-5p
miR-657,miR-3065,miR-338,miR-1250;miR-3065-3p;false;miR-3065-3p;miR-3065-3p
miR-627;miR-627-5p;false;miR-627-5p;miR-627-5p
miR-29a,miR-29b-1;miR-29b-3p;false;miR-29b-3p;miR-29-3p
let-7g;let-7g-3p;false;let-7g-3p;let-7a-2-3p/let-7g-3p
miR-629;miR-629-3p;false;miR-629-3p;miR-629-3p
miR-29a,miR-29b-1;miR-29a-3p;false;miR-29a-3p;miR-29-3p
miR-200c,miR-141;miR-141-3p;false;miR-141-3p;miR-141-3p/200a-3p
miR-421,miR-374b,miR-374c;miR-421;false;miR-421;miR-421
miR-200b,miR-200a,miR-429;miR-200a-3p;false;miR-200a-3p;miR-141-3p/200a-3p
miR-487a,miR-382,miR-134,miR-668,miR-485,miR-323b,miR-154,miR-496,miR-377,miR-541,miR-409,miR-412,miR-369,miR-410,miR-656;miR-377-3p;false;miR-377-3p;miR-377-3p
miR-133a-1,miR-1-2;miR-133a-3p;false;miR-133a-3p;
miR-17,miR-18a,miR-19a,miR-20a,miR-19b-1,miR-92a-1;miR-19b-3p;false;miR-19b-3p;miR-19-3p
miR-532,miR-188,miR-500a,miR-362,miR-501,miR-500b,miR-660,miR-502;miR-362-3p;false;miR-362-3p;miR-329-3p/362-3p
miR-215,miR-194-1;miR-215-5p;false;miR-215-5p;miR-192-5p/215-5p
miR-34a;miR-34a-5p;false;miR-34a-5p;miR-34-5p/449-5p
miR-192,miR-194-2;miR-192-5p;false;miR-192-5p;miR-192-5p/215-5p
miR-3677,miR-940,miR-4717;miR-940;false;miR-940;miR-940/6808-5p/6893-5p
miR-33a;miR-33a-3p;false;miR-33a-3p;miR-33a-3p
miR-450b,miR-450a-1,miR-450a-2,miR-542,miR-503,miR-424;miR-424-5p;false;miR-424-5p;miR-15-5p/16-5p/195-5p/424-5p/497-5p
miR-766;miR-766-3p;false;miR-766-3p;miR-766-3p
miR-301a;miR-301a-3p;false;miR-301a-3p;miR-130-3p/301-3p/454-3p
miR-657,miR-3065,miR-338,miR-1250;miR-338-3p;false;miR-338-3p;miR-338-3p
miR-335;miR-335-5p;false;miR-335-5p;miR-335-5p
miR-301b,miR-130b;miR-301b-3p;false;miR-301b-3p;miR-130-3p/301-3p/454-3p
