source;target;whichcancer
miR-20a-5p;miR-20a-5p/miR-17-5p;
miR-342-3p;miR-342-3p/miR-7-5p;
miR-642a-5p;miR-642a-5p/miR-615-3p;
miR-940;miR-940/miR-221-5p;
miR-500a-5p;miR-500a-5p/miR-95-3p;
miR-196b-5p;miR-196b-5p/miR-301a-3p;
miR-204-5p;miR-204-5p/miR-485-5p;
miR-570-3p;miR-570-3p/miR-135a-5p;
miR-93-5p;miR-93-5p/miR-17-5p;
miR-103a-2-5p;miR-103a-2-5p/miR-19a-3p;
miR-125b-2-3p;miR-125b-2-3p/miR-378a-3p;
miR-224-5p;miR-224-5p/miR-452-3p;
miR-19a-3p;miR-19a-3p/miR-103a-2-5p;
miR-381-3p;miR-381-3p/miR-379-5p;
miR-432-5p;miR-432-5p/miR-410-3p;
miR-155-5p;miR-155-5p/miR-362-3p;
miR-335-5p;miR-335-5p/miR-3150b-3p;
miR-20a-3p;miR-20a-3p/miR-196a-5p;
miR-149-5p;miR-149-5p/miR-1180-3p;
miR-500b-5p;miR-500b-5p/miR-582-5p;
miR-424-5p;miR-424-5p/miR-940;
miR-19b-1-5p;miR-19b-1-5p/miR-19a-3p;
miR-19b-1-5p;miR-19b-1-5p/miR-20a-5p;
miR-455-3p;miR-455-3p/miR-651-5p;
miR-19a-3p;miR-19a-3p/miR-20a-5p;
miR-17-5p;miR-20a-5p/miR-17-5p;
miR-7-5p;miR-342-3p/miR-7-5p;
miR-615-3p;miR-642a-5p/miR-615-3p;
miR-221-5p;miR-940/miR-221-5p;
miR-95-3p;miR-500a-5p/miR-95-3p;
miR-301a-3p;miR-196b-5p/miR-301a-3p;
miR-485-5p;miR-204-5p/miR-485-5p;
miR-135a-5p;miR-570-3p/miR-135a-5p;
miR-17-5p;miR-93-5p/miR-17-5p;
miR-19a-3p;miR-103a-2-5p/miR-19a-3p;
miR-378a-3p;miR-125b-2-3p/miR-378a-3p;
miR-452-3p;miR-224-5p/miR-452-3p;
miR-103a-2-5p;miR-19a-3p/miR-103a-2-5p;
miR-379-5p;miR-381-3p/miR-379-5p;
miR-410-3p;miR-432-5p/miR-410-3p;
miR-362-3p;miR-155-5p/miR-362-3p;
miR-3150b-3p;miR-335-5p/miR-3150b-3p;
miR-196a-5p;miR-20a-3p/miR-196a-5p;
miR-1180-3p;miR-149-5p/miR-1180-3p;
miR-582-5p;miR-500b-5p/miR-582-5p;
miR-940;miR-424-5p/miR-940;
miR-19a-3p;miR-19b-1-5p/miR-19a-3p;
miR-20a-5p;miR-19b-1-5p/miR-20a-5p;
miR-651-5p;miR-455-3p/miR-651-5p;
miR-20a-5p;miR-19a-3p/miR-20a-5p;
miR-20a-5p/miR-17-5p;CD38;BLCA - UCS
miR-342-3p/miR-7-5p;FSTL1;SKCM - LUAD
miR-642a-5p/miR-615-3p;GTF3C4;MESO - SKCM
miR-940/miR-221-5p;GPSM1;SKCM - HNSC
miR-500a-5p/miR-95-3p;CCND1;UCS - LUSC
miR-196b-5p/miR-301a-3p;PRUNE2;SARC - COAD
miR-204-5p/miR-485-5p;CD4;TGCT - ACC
miR-570-3p/miR-135a-5p;APP;KIRP - KICH
miR-93-5p/miR-17-5p;RBP1;SKCM - THYM
miR-103a-2-5p/miR-19a-3p;PCDH10;ESCA - HNSC
miR-125b-2-3p/miR-378a-3p;ZFP36L2;ESCA - ACC
miR-224-5p/miR-452-3p;TNC;BLCA - STAD
miR-19a-3p/miR-103a-2-5p;IRF4;PAAD - BLCA
miR-381-3p/miR-379-5p;IFNLR1;UCS - DLBC
miR-432-5p/miR-410-3p;SOD2;DLBC - MESO
miR-155-5p/miR-362-3p;ALDH1A2;STAD - KIRC
miR-335-5p/miR-3150b-3p;CACNA1B;ESCA - UVM
miR-20a-3p/miR-196a-5p;AQP3;CESC - HNSC
miR-149-5p/miR-1180-3p;DOCK4;MESO - ACC
miR-500b-5p/miR-582-5p;GPRC5A;TGCT - SKCM
miR-424-5p/miR-940;ADAMTS1;COAD - BLCA
miR-19b-1-5p/miR-19a-3p;IRF4;BLCA - STAD
miR-19b-1-5p/miR-20a-5p;CD38;BLCA - UCS
miR-455-3p/miR-651-5p;NRXN3;ESCA - COAD
miR-19a-3p/miR-20a-5p;BMP2;SKCM - BLCA
