source;target
mir-182-5p;mir-182-5p/mir-335-3p
mir-98-5p;mir-98-5p/let-7d-5p
mir-92b-3p;mir-92b-3p/mir-33a-5p
mir-96-5p;mir-96-5p/mir-432-5p
mir-877-3p;mir-877-3p/mir-96-5p
mir-18b-5p;mir-18b-5p/mir-18a-5p
mir-877-3p;mir-877-3p/mir-182-5p
mir-877-3p;mir-877-3p/mir-183-5p
mir-877-3p;mir-877-3p/mir-1-3p
mir-362-3p;mir-362-3p/mir-362-5p
mir-362-3p;mir-362-3p/mir-500b-5p
mir-501-5p;mir-501-5p/mir-362-3p
mir-362-5p;mir-362-5p/mir-500b-5p
mir-500b-5p;mir-500b-5p/mir-501-5p
mir-21-5p;mir-21-5p/mir-744-5p
mir-501-5p;mir-501-5p/mir-182-5p
mir-532-3p;mir-532-3p/mir-188-3p
mir-676-3p;mir-676-3p/mir-502-5p
mir-376b-3p;mir-376b-3p/mir-188-3p
mir-502-5p;mir-502-5p/mir-376a-3p
mir-410-3p;mir-410-3p/mir-188-3p
mir-376a-3p;mir-376a-3p/mir-188-3p
mir-130a-5p;mir-130a-5p/mir-9-5p
mir-495-3p;mir-495-3p/mir-134-5p
mir-191-3p;mir-191-3p/mir-192-5p
mir-485-3p;mir-485-3p/mir-532-5p
mir-329-3p;mir-329-3p/mir-532-5p
mir-485-3p;mir-485-3p/mir-542-3p
mir-542-3p;mir-542-3p/mir-494-3p
mir-363-3p;mir-363-3p/mir-1228-3p
mir-17-5p;mir-17-5p/mir-19b-1-5p
mir-1306-3p;mir-1306-3p/let-7c-5p
mir-30a-5p;mir-30a-5p/mir-17-5p
mir-493-3p;mir-493-3p/mir-432-5p
mir-98-5p;mir-98-5p/mir-92b-3p
mir-760;mir-760/mir-194-3p
mir-183-5p;mir-183-5p/mir-182-5p
mir-96-5p;mir-96-5p/mir-182-5p
mir-199b-3p;mir-199b-3p/mir-17-5p
mir-20a-5p;mir-20a-5p/mir-199a-3p
mir-199a-3p;mir-199a-3p/mir-17-5p
mir-20a-5p;mir-20a-5p/mir-199b-3p
mir-584-5p;mir-584-5p/mir-542-3p
mir-660-5p;mir-660-5p/let-7c-5p
mir-1-3p;mir-1-3p/mir-96-5p
mir-206;mir-206/mir-96-5p
mir-182-5p;mir-182-5p/mir-1-3p
mir-503-5p;mir-503-5p/mir-10b-3p
mir-378a-5p;mir-378a-5p/mir-139-5p
mir-378a-3p;mir-378a-3p/mir-139-5p
mir-18a-5p;mir-18a-5p/mir-548o-3p
mir-3187-3p;mir-3187-3p/mir-129-2-3p
mir-214-3p;mir-214-3p/mir-219a-1-3p
mir-99a-5p;mir-99a-5p/mir-3065-5p
mir-493-5p;mir-493-5p/mir-31-5p
mir-141-3p;mir-141-3p/mir-182-5p
mir-296-5p;mir-296-5p/mir-769-3p
mir-92b-3p;mir-92b-3p/mir-218-5p
mir-877-3p;mir-877-3p/mir-429
mir-200b-3p;mir-200b-3p/mir-877-3p
mir-411-3p;mir-411-3p/mir-299-3p
mir-17-5p;mir-17-5p/mir-146a-5p
mir-18a-3p;mir-18a-3p/mir-421
mir-421;mir-421/mir-17-5p
mir-146b-3p;mir-146b-3p/mir-21-5p
mir-17-5p;mir-17-5p/mir-19b-1-5p
mir-30a-5p;mir-30a-5p/mir-17-5p
mir-493-3p;mir-493-3p/mir-877-3p
mir-218-5p;mir-218-5p/mir-130b-3p
