source;target
mir-1266-5p;mir-335-5p/mir-1266-5p
mir-182-5p;mir-183-5p/mir-182-5p
mir-150-5p;mir-20a-5p/mir-150-5p
mir-491-3p;let-7g-3p/mir-491-3p
mir-7-1-3p;mir-183-5p/mir-7-1-3p
mir-7-1-3p;mir-3613-5p/mir-7-1-3p
mir-130b-5p;mir-3613-5p/mir-130b-5p
mir-143-3p;mir-96-5p/mir-143-3p
mir-452-3p;mir-96-5p/mir-452-3p
mir-29b-1-5p;mir-3127-5p/mir-29b-1-5p
mir-192-5p;mir-215-5p/mir-192-5p
mir-581;mir-215-5p/mir-581
mir-17-3p;mir-20a-5p/mir-17-3p
mir-17-3p;mir-19a-3p/mir-17-3p
mir-491-3p;mir-539-5p/mir-491-3p
mir-3934-5p;mir-625-5p/mir-3934-5p
mir-628-5p;mir-34a-5p/mir-628-5p
mir-204-5p;mir-409-3p/mir-204-5p
mir-96-5p;mir-224-3p/mir-96-5p
mir-3682-3p;mir-143-3p/mir-3682-3p
mir-143-5p;mir-145-5p/mir-143-5p
mir-192-3p;mir-642a-5p/mir-192-3p
mir-7-5p/mir-29b-1-5p;ACTC1
mir-142-5p/mir-7-1-3p;ACTC1
mir-212-3p/mir-29a-5p;ADCY1
mir-181d-5p/mir-221-5p;ADM
mir-22-5p/mir-326;KIF1A
mir-22-5p/mir-210-3p;KIF1A
mir-7-5p/mir-34a-5p;AXL
mir-194-5p/mir-653-5p;BCAT1
mir-17-3p/mir-155-5p;BCL2
mir-182-5p/mir-221-3p;DST
mir-192-5p/mir-23b-5p;DST
mir-149-5p/mir-491-5p;CCND2
mir-577/mir-149-5p;CCND2
mir-1226-3p/mir-491-5p;CCND2
mir-942-5p/mir-18a-5p;CCND2
mir-135b-5p/mir-7-1-3p;CCND2
mir-940/mir-491-5p;CCND2
mir-34b-5p/mir-192-3p;CCND2
mir-628-5p/mir-624-5p;CDK6
mir-203a-3p/mir-378c;CDK6
mir-491-5p/mir-320b;CDK6
mir-20a-5p/mir-17-3p;CLU
mir-939-5p/mir-192-5p;COL1A2
mir-30a-3p/mir-185-3p;COL5A2
mir-193a-3p/mir-19a-3p;CCN2
mir-183-3p/mir-616-3p;CCN2
mir-183-3p/mir-19a-3p;CCN2
mir-34a-5p/mir-301b-3p;EPHA4
mir-106a-5p/mir-18a-3p;F3
mir-339-5p/mir-19a-3p;ACSL4
mir-33b-5p/mir-26a-1-3p;ACSL4
mir-155-5p/mir-203a-3p;FGF2
mir-203a-3p/let-7a-3p;FGF2
mir-185-3p/mir-639;FOXC1
mir-130b-5p/mir-184;GAS1
mir-203a-3p/mir-744-3p;GATA6
mir-885-5p/mir-96-5p;GLUD2
mir-3928-3p/mir-192-3p;GRIN2A
mir-502-5p/mir-23c;HAS2
let-7c-5p/mir-589-3p;HMGA1
mir-10b-5p/mir-301a-3p;HOXB3
mir-20a-5p/mir-34a-3p;IGF1R
mir-1224-5p/mir-18a-3p;IGFBP5
mir-616-3p/mir-193a-3p;IGFBP5
mir-130b-3p/mir-193b-3p;IGFBP5
mir-616-3p/mir-203a-3p;IGFBP5
mir-129-5p/mir-378a-3p;KCNJ6
mir-103a-2-5p/mir-181c-3p;KCNN3
mir-34a-5p/mir-218-5p;KIT
mir-130a-3p/mir-651-5p;KLRD1
mir-301b-3p/mir-651-5p;KLRD1
mir-301a-3p/mir-651-5p;KLRD1
mir-301b-3p/mir-301a-3p;KLRD1
mir-301b-3p/mir-501-5p;KLRD1
mir-421/mir-629-3p;LIFR
mir-616-5p/mir-497-3p;MARCKS
mir-511-5p/mir-146b-5p;MAP1B
mir-27a-5p/mir-19a-3p;MDM2
mir-17-3p/mir-155-5p;MDM2
mir-34a-3p/mir-148a-3p;MET
mir-3648/mir-625-5p;NFIX
mir-31-5p/mir-3065-5p;NPM1
mir-10a-5p/let-7g-3p;NPTX1
mir-345-5p/mir-192-3p;NTRK3
mir-106a-5p/mir-17-3p;PAM
mir-3682-3p/mir-192-3p;PDE3A
mir-326/mir-19b-1-5p;PDE3A
mir-424-5p/mir-106a-5p;PLAG1
mir-130b-3p/mir-301a-3p;PTPRD
mir-33a-5p/mir-155-5p;RAB3B
mir-21-3p/mir-155-5p;RAB3B
mir-511-5p/mir-195-5p;CXCL5
mir-511-5p/mir-497-5p;CXCL5
mir-497-5p/mir-19a-3p;SGK1
mir-7-1-3p/mir-495-3p;SIX3
mir-483-3p/mir-7-5p;SOD2
mir-642a-5p/mir-432-5p;STC1
mir-129-5p/mir-1226-3p;TFAP2A
mir-296-5p/mir-146a-5p;VEGFA
mir-320c/mir-548e-3p;VIM
mir-135b-3p/mir-1226-3p;WNT5A
let-7c-5p/mir-96-5p;ZFP36
mir-182-5p/mir-301b-3p;ZFP36
mir-142-5p/mir-103a-2-5p;ZNF711
mir-20b-5p/mir-30c-2-3p;ZNF70
mir-511-5p/let-7c-5p;HMGA2
mir-194-5p/mir-33b-5p;HMGA2
mir-130a-5p/mir-760;H2BC21
mir-18a-5p/mir-130b-5p;PRSS12
