mRNA;mRNAinTriplets;TargetInteractionsofthemRNA
LILRA2;1;82
RBBP7;1;61
CA2;1;35
SIM2;1;27
MATN3;1;39
PRNP;1;75
UBXN7;1;102
ESYT1;1;97
ZNF577;1;3
ST8SIA4;1;22
SLC16A3;1;55
FOSL1;1;102
SETD5;1;238
CECR2;1;60
IGDCC4;1;44
H2AC6;1;10
CTSF;1;5
PIP5K1C;1;41
ACTA2;1;22
ZNF699;1;72
BCAS4;1;93
ATAD5;1;56
AKAP10;1;68
KLHDC10;1;164
FAM160B1;1;151
RHBDF2;1;49
POU2F1;1;239
PEBP1;1;52
UPP1;1;7
TGIF1;1;95
GLIPR1L2;1;17
CLPTM1L;1;36
PLEC;1;129
CHAC1;1;131
PNMA2;1;55
RPS4X;1;45
ATP8A1;1;13
NABP1;1;68
PLXNB2;1;36
PLS3;1;48
ADD2;1;54
TNRC6B;1;367
FNIP1;1;99
PRKAA1;1;130
ABCA1;1;26
STOM;1;34
WDR31;1;42
PAPSS2;1;37
MUC17;1;29
KDR;1;21
AATK;1;11
ADGRL1;1;115
FOXP4;1;66
PYGO1;1;71
CCNG2;1;58
BRPF3;1;71
NAV1;1;167
PPP1R3B;1;61
ADGRV1;1;18
PARK7;1;13
ANP32B;1;98
XPOT;1;100
KLHL21;1;139
NIBAN1;1;52
ZBTB7B;1;93
RPS6;1;35
PNKD;1;42
FAM126A;1;69
ZNF215;1;17
ALOX5;1;10
DGKH;1;81
YOD1;1;251
GIGYF2;1;63
GOLM1;1;28
BCL2L11;1;217
FYCO1;1;85
TOR4A;1;76
SHCBP1;1;47
HIC2;1;178
TMEM94;1;32
ABHD12;1;51
OGFRL1;1;68
HJURP;1;27
PPM1H;1;39
TTC39B;1;69
MTMR7;1;9
N4BP2;1;49
FAM126B;1;199
TLL1;1;25
FAM110C;1;22
TBC1D30;1;16
CANT1;1;41
PLK2;1;31
CXCL12;1;27
TSLP;1;15
ARHGAP42;1;26
SLC12A6;1;57
PSAT1;1;82
ASGR1;1;20
GSTCD;1;53
SEMA3A;1;15
SLC23A2;1;28
RPS24;1;56
ENPP1;1;43
UBQLN1;1;75
PICALM;1;50
GGCX;1;139
RBL2;1;34
ATN1;1;53
RBFOX2;1;117
DESI1;1;65
FIBCD1;1;51
PURB;1;262
RAB11FIP5;1;27
NT5DC1;1;25
BRIP1;1;39
MBNL3;1;75
HERPUD1;1;82
CAMSAP2;1;118
S100Z;1;3
FAM117B;1;68
PLAAT3;1;52
FBXL3;1;71
SLC18A2;1;14
SLC31A1;1;84
FLVCR1;1;108
DCC;1;29
TENM2;1;7
RARB;1;29
LNPK;1;120
BVES;1;96
PARP14;1;22
SPRY1;1;47
CGN;1;33
TOB2;1;142
FTH1;1;32
ARSJ;1;46
LRP12;1;44
USP53;1;61
SAT1;1;21
NF2;1;125
NEK6;1;18
RAP2B;1;140
POGZ;1;117
PDE4D;1;88
BDKRB2;1;35
BRD3;1;77
CACHD1;1;17
RDH11;1;127
ARL5B;1;203
TFDP2;1;128
TIMELESS;1;53
CYCS;1;133
EIF3I;1;34
SLC7A6;1;38
RPS23;1;26
TUSC3;1;15
CCT6A;1;50
ANKRD50;1;104
AOX1;1;8
JAGN1;1;19
ANKRD31;1;2
C4orf46;1;24
WDFY3;1;71
TOR1AIP1;1;61
PAPOLA;1;106
RAB23;1;71
PPP1R37;1;46
FAM110B;1;7
FADS1;1;93
PLOD1;1;14
GPM6B;1;17
C15orf39;1;41
MED12L;1;42
RACGAP1;1;101
TMEM135;1;40
PTMS;1;46
BTAF1;1;36
SPTLC2;1;126
PHF10;1;98
ESCO2;1;70
OBSL1;1;16
WDR12;1;64
YTHDF3;1;104
SLC7A5;1;286
ZNF665;1;94
XPO1;1;180
TRAF5;1;38
DIPK1A;1;22
POU2AF1;1;12
DNMT1;1;62
KIAA1109;1;60
GDAP1;1;10
ELOVL6;1;49
VCAM1;1;67
EBF3;1;8
BCL3;1;40
KRT80;1;84
MT-ND5;1;10
IRS4;1;116
RSRP1;1;22
MEOX2;1;10
CALCOCO2;1;72
MIER3;1;155
SNX24;1;31
SNPH;1;10
ZFPM1;1;18
