miRNA;miRNAinTriplets;miRNATargets
miR-1301-3p;20;560
miR-411-5p;20;204
miR-342-5p;20;351
miR-15a-5p;20;2215
miR-497-3p;20;340
miR-500a-3p;20;331
miR-27a-3p;20;2225
miR-508-5p;20;461
miR-627-5p;19;255
miR-144-3p;19;363
miR-210-3p;19;153
miR-222-5p;19;270
miR-29a-5p;19;543
miR-320d;19;540
miR-34b-3p;19;338
miR-365a-3p;19;407
miR-520a-3p;19;604
miR-23a-5p;18;182
miR-127-5p;18;226
miR-16-2-3p;18;388
miR-550a-5p;18;262
miR-550a-3p;18;229
miR-148a-5p;18;422
miR-500a-5p;18;354
miR-577;18;329
miR-146b-5p;18;417
miR-143-5p;18;431
miR-425-5p;18;557
miR-27b-3p;18;1785
miR-744-5p;18;576
miR-149-3p;18;835
miR-676-3p;17;189
miR-493-5p;17;211
miR-29b-2-5p;17;529
miR-1270;17;256
miR-125a-3p;17;510
miR-653-5p;17;167
miR-501-3p;17;309
miR-532-3p;17;595
miR-877-3p;17;922
miR-381-3p;17;187
miR-769-3p;17;365
miR-190a-5p;17;229
miR-628-5p;17;392
miR-590-3p;17;1295
miR-520d-3p;17;399
miR-1224-5p;16;271
miR-29b-1-5p;16;285
miR-744-3p;16;410
miR-376c-3p;16;147
miR-3200-3p;16;153
miR-26b-5p;16;1755
miR-302c-3p;16;716
miR-2355-3p;15;257
miR-3928-3p;15;400
miR-193b-5p;15;301
miR-369-3p;15;181
miR-27a-5p;15;331
miR-411-3p;15;188
miR-889-3p;15;112
miR-302d-3p;15;565
miR-485-5p;14;642
miR-1305;14;746
miR-324-5p;14;363
miR-548j-5p;14;542
miR-16-1-3p;14;302
miR-654-3p;14;194
miR-1304-5p;14;325
miR-197-3p;14;826
miR-526b-3p;14;629
miR-452-5p;13;290
miR-628-3p;13;153
miR-323a-3p;13;117
miR-592;13;119
miR-30c-1-3p;13;823
miR-1296-5p;13;182
miR-877-5p;13;351
miR-3613-3p;13;664
miR-10b-5p;13;454
miR-324-3p;13;579
miR-183-3p;13;303
miR-485-3p;13;188
miR-584-5p;13;148
miR-486-5p;13;224
miR-758-3p;13;158
miR-532-5p;13;252
miR-3934-5p;13;309
miR-124-3p;13;1423
miR-188-5p;13;233
miR-32-5p;13;1056
miR-211-5p;13;348
miR-34b-5p;13;327
miR-302a-3p;13;700
miR-377-3p;12;364
let-7a-2-3p;12;108
miR-455-5p;12;219
miR-223-3p;12;120
miR-34a-3p;12;316
miR-379-5p;12;128
miR-378c;12;255
miR-144-5p;12;64
miR-296-3p;12;288
miR-3150b-3p;12;242
miR-431-5p;12;135
miR-200a-5p;12;139
miR-34c-3p;12;120
miR-4326;12;319
miR-935;12;182
miR-505-3p;12;253
miR-20b-3p;12;188
miR-383-5p;12;192
miR-409-3p;11;166
miR-543;11;169
miR-1287-5p;11;263
miR-548v;11;95
miR-3127-5p;11;268
miR-15b-3p;11;173
miR-95-3p;11;51
miR-1180-3p;11;123
miR-150-3p;11;142
miR-181c-3p;11;108
miR-26b-3p;11;375
miR-185-5p;11;851
miR-873-5p;11;728
miR-132-3p;11;595
miR-122-5p;11;1297
miR-139-3p;10;163
miR-195-3p;10;113
