"entrezgene_id","hgnc_symbol","mirna1","mirna2","Lancaster_XY_Z","is_mrna_tf","mirna1Literature","mirna2Literature","mrnaLiterature","miRNA1_mRNA_DB","miRNA2_mRNA_DB","miRNA1_pvalue","miRNA1_logFC","miRNA2_pvalue","miRNA2_logFC","mRNA_pvalue","mRNA_logFC","BH_pvalues_adjusted","BH_rejected","miRNA1Family","miRNA2Family","miRNA1Cluster","miRNA2Cluster"
5292,"PIM1","hsa-mir-219a-1-3p","hsa-mir-532-5p",0.0045,FALSE,NA,NA,"<a href='https://pubmed.ncbi.nlm.nih.gov/20544717'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/27983525'>PubMedLink</a>","tarbase","tarbase",0.0896520332107296,0.560801139848933,0.430196586413313,-0.106409409742072,0.927080799715715,0.00942831610987212,0.110267441860465,FALSE,"miR-219a-1-3p","miR-532-5p",NA,"hsa-mir-532,hsa-mir-188,hsa-mir-500a,hsa-mir-362,hsa-mir-501,hsa-mir-500b"
5660,"PSAP","hsa-mir-200b-3p","hsa-mir-205-5p",0.005,FALSE,NA,"<a href='https://pubmed.ncbi.nlm.nih.gov/30982496'>PubMedLink</a>",NA,"tarbase","tarbase",0.640217045091362,-0.0614773092367593,0.0347079141968055,0.523508170594458,0.731102901039828,-0.0319925292392136,0.116213235294118,FALSE,"miR-200bc-3p/429","miR-205-5p","hsa-mir-200b,hsa-mir-200a,hsa-mir-429","hsa-mir-205"
5727,"PTCH1","hsa-mir-940","hsa-mir-18a-3p",0.007,FALSE,"<a href='https://pubmed.ncbi.nlm.nih.gov/31085718'>PubMedLink</a>",NA,"<a href='https://pubmed.ncbi.nlm.nih.gov/16475698'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/31200527'>PubMedLink</a>","tarbase","tarbase",0.00588018389893562,1.08526486306288,0.00438714948725353,1.06229147718367,0.450972804910856,-0.0852225915278606,0.137605721393035,FALSE,"miR-940/6808-5p/6893-5p","miR-18a-3p","hsa-mir-3677,hsa-mir-940,hsa-mir-4717","hsa-mir-17,hsa-mir-18a,hsa-mir-19a,hsa-mir-20a,hsa-mir-19b-1,hsa-mir-92a-1"
5784,"PTPN14","hsa-let-7f-5p","hsa-mir-335-5p",0.0095,FALSE,NA,NA,NA,"tarbase","mirtarbase tarbase",0.448637560671287,-0.0869838972190063,0.146104275413537,0.388963005577453,0.845910758303231,-0.0211954022634995,0.157469847928684,FALSE,"let-7-5p/98-5p","miR-335-5p","hsa-let-7a-1,hsa-let-7f-1,hsa-let-7d","hsa-mir-335"
6095,"RORA","hsa-mir-148a-5p","hsa-mir-106b-5p",0.008,TRUE,NA,NA,NA,"tarbase","mirtarbase tarbase",0.0352341367876246,-0.375093043514481,0.294031875942692,0.158828026609789,0.622811080538127,-0.0562332102828997,0.146004618937644,FALSE,"miR-148a-5p","miR-17-5p/20-5p/93-5p/106-5p/519-3p","hsa-mir-148a","hsa-mir-25,hsa-mir-93,hsa-mir-106b"
6095,"RORA","hsa-mir-17-5p","hsa-mir-96-5p",0.0065,TRUE,NA,NA,NA,"mirtarbase tarbase","tarbase",0.441381002128842,0.109186348390277,0.151923927204803,0.303901529773666,0.622811080538127,-0.0562332102828997,0.133073186528497,FALSE,"miR-17-5p/20-5p/93-5p/106-5p/519-3p","miR-96-5p/1271-5p","hsa-mir-17,hsa-mir-18a,hsa-mir-19a,hsa-mir-20a,hsa-mir-19b-1,hsa-mir-92a-1","hsa-mir-182,hsa-mir-96,hsa-mir-183"
6095,"RORA","hsa-mir-222-5p","hsa-mir-129-5p",0.003,TRUE,NA,NA,NA,"tarbase","mirtarbase",0.0282396828469628,0.610079916261338,1.63148570269129e-05,-1.03372416491895,0.622811080538127,-0.0562332102828997,0.0909204218600192,FALSE,"miR-222-5p","miR-129-5p","hsa-mir-221,hsa-mir-222","hsa-mir-129-1"
6239,"RREB1","hsa-mir-145-5p","hsa-mir-9-5p",0.0075,TRUE,"<a href='https://pubmed.ncbi.nlm.nih.gov/28832500'>PubMedLink</a>",NA,NA,"mirtarbase","tarbase",0.0131515037997874,-0.299986259923073,0.544524056811469,-0.0815696340245659,0.867307757828835,-0.0177198843788883,0.141116071428571,FALSE,"miR-145-5p","miR-9-5p","hsa-mir-143,hsa-mir-145","hsa-mir-9-1"
6542,"SLC7A2","hsa-mir-203a-3p","hsa-mir-205-5p",0,FALSE,NA,"<a href='https://pubmed.ncbi.nlm.nih.gov/30982496'>PubMedLink</a>",NA,"tarbase","mirtarbase",0.979725449690497,-0.00288658619650277,0.0347079141968055,0.523508170594458,0.195868603229168,-0.144682455291719,0,TRUE,NA,"miR-205-5p","hsa-mir-203a,hsa-mir-203b","hsa-mir-205"
6575,"SLC20A2","hsa-mir-99a-5p","hsa-mir-18a-5p",0.009,FALSE,NA,NA,NA,"tarbase","tarbase",0.0618221875328147,-0.273051140011253,0.0164332564847604,0.502776551997288,0.597114823041232,0.0557927850979879,0.154614130434783,FALSE,"miR-99-5p/100-5p","miR-18-5p","hsa-mir-99a,hsa-let-7c","hsa-mir-17,hsa-mir-18a,hsa-mir-19a,hsa-mir-20a,hsa-mir-19b-1,hsa-mir-92a-1"
