"entrezgene_id","hgnc_symbol","mirna1","mirna2","Lancaster_XY_Z","is_mrna_tf","mirna1Literature","mirna2Literature","mrnaLiterature","miRNA1_mRNA_DB","miRNA2_mRNA_DB","miRNA1_pvalue","miRNA1_logFC","miRNA2_pvalue","miRNA2_logFC","mRNA_pvalue","mRNA_logFC","BH_pvalues_adjusted","BH_rejected","miRNA1Family","miRNA2Family","miRNA1Cluster","miRNA2Cluster"
57670,"KIAA1549","hsa-mir-224-5p","hsa-mir-130a-3p",0.006,FALSE,NA,"<a href='https://pubmed.ncbi.nlm.nih.gov/28861150'>PubMedLink</a>",NA,"tarbase","tarbase",0.0827166304285474,0.37856730043055,8.44920955463004e-06,-0.63321667437352,0.961040187518144,0.0030375971469151,0.045345861944344,TRUE,"miR-224-5p","miR-130-3p/301-3p/454-3p","hsa-mir-224,hsa-mir-452","hsa-mir-130a"
59084,"ENPP5","hsa-mir-19a-3p","hsa-mir-20a-5p",0.007,FALSE,NA,NA,NA,"mirtarbase tarbase","mirtarbase tarbase",0.284727786973506,-0.200597541212287,0.52644039376038,0.0790035557734634,0.00017510740907582,-0.253565939110575,0.0499433640395769,TRUE,"miR-19-3p","miR-17-5p/20-5p/93-5p/106-5p/519-3p","hsa-mir-17,hsa-mir-18a,hsa-mir-19a,hsa-mir-20a,hsa-mir-19b-1,hsa-mir-92a-1","hsa-mir-17,hsa-mir-18a,hsa-mir-19a,hsa-mir-20a,hsa-mir-19b-1,hsa-mir-92a-1"
59283,"CACNG8","hsa-mir-3614-5p","hsa-mir-615-3p",0,FALSE,NA,NA,NA,"mirtarbase","tarbase",0.461948909186712,0.327427900235853,6.41009077260395e-06,-0.885647737838849,0.285409599233267,0.0975513568253058,0,TRUE,"miR-3614-5p","miR-615-3p","hsa-mir-3614","hsa-mir-615"
64399,"HHIP","hsa-mir-200a-5p","hsa-mir-30b-3p",0,FALSE,NA,NA,NA,"mirtarbase","tarbase",0.871712050732505,0.0185511400303891,1.13633049412661e-06,0.85839555436638,0.233890511810636,-0.116959934420009,0,TRUE,"miR-200ab-5p","miR-30b-3p/1273h-5p/3689-3p/6779-5p/6780a-5p","hsa-mir-200b,hsa-mir-200a,hsa-mir-429","hsa-mir-30b,hsa-mir-30d"
64399,"HHIP","hsa-mir-30b-3p","hsa-mir-200b-5p",0.002,FALSE,NA,NA,NA,"tarbase","mirtarbase",1.13633049412661e-06,0.85839555436638,0.507455873387087,-0.115824600580489,0.233890511810636,-0.116959934420009,0.0215698813821558,TRUE,"miR-30b-3p/1273h-5p/3689-3p/6779-5p/6780a-5p","miR-200ab-5p","hsa-mir-30b,hsa-mir-30d","hsa-mir-200b,hsa-mir-200a,hsa-mir-429"
64478,"CSMD1","hsa-mir-19b-3p","hsa-mir-19a-3p",0.0015,FALSE,"<a href='https://pubmed.ncbi.nlm.nih.gov/27919278'>PubMedLink</a>",NA,"<a href='https://pubmed.ncbi.nlm.nih.gov/19276661'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/24278325'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/30545040'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/30545040'>PubMedLink</a>","tarbase","tarbase",0.343975359330242,-0.135207826181056,0.284727786973506,-0.200597541212287,0.139821191560627,-0.164125992221109,0.0176125772038181,TRUE,"miR-19-3p","miR-19-3p","hsa-mir-17,hsa-mir-18a,hsa-mir-19a,hsa-mir-20a,hsa-mir-19b-1,hsa-mir-92a-1","hsa-mir-17,hsa-mir-18a,hsa-mir-19a,hsa-mir-20a,hsa-mir-19b-1,hsa-mir-92a-1"
65108,"MARCKSL1","hsa-mir-149-5p","hsa-mir-193b-3p",0.007,FALSE,NA,NA,"<a href='https://pubmed.ncbi.nlm.nih.gov/10744048'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/10762632'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/25586348'>PubMedLink</a>","mirtarbase tarbase","tarbase",0.00430927656019568,-0.516244456019777,0.278501614684647,0.160208853100491,0.0499895048919647,0.0998162167519442,0.0499433640395769,TRUE,"miR-149-5p","miR-193-3p","hsa-mir-149","hsa-mir-193b,hsa-mir-365a"
65997,"RASL11B","hsa-mir-20b-5p","hsa-mir-106a-5p",0.001,FALSE,NA,NA,NA,"tarbase","tarbase",0.15270823885516,-0.208113811789293,0.0292168360672743,-0.369485019756277,0.00542761442721374,0.170593769595301,0.0129245982694685,TRUE,"miR-17-5p/20-5p/93-5p/106-5p/519-3p","miR-17-5p/20-5p/93-5p/106-5p/519-3p","hsa-mir-363,hsa-mir-92a-2,hsa-mir-19b-2,hsa-mir-20b,hsa-mir-18b,hsa-mir-106a","hsa-mir-363,hsa-mir-92a-2,hsa-mir-19b-2,hsa-mir-20b,hsa-mir-18b,hsa-mir-106a"
80000,"GREB1L","hsa-mir-141-3p","hsa-mir-19b-3p",0.009,FALSE,NA,"<a href='https://pubmed.ncbi.nlm.nih.gov/27919278'>PubMedLink</a>",NA,"tarbase","tarbase",0.00251555126938497,0.350507124184724,0.343975359330242,-0.135207826181056,0.0705562847350286,-0.13076429911826,0.0589993730407523,FALSE,"miR-141-3p/200a-3p","miR-19-3p","hsa-mir-200c,hsa-mir-141","hsa-mir-17,hsa-mir-18a,hsa-mir-19a,hsa-mir-20a,hsa-mir-19b-1,hsa-mir-92a-1"
80000,"GREB1L","hsa-mir-429","hsa-mir-200a-3p",0.002,FALSE,"<a href='https://pubmed.ncbi.nlm.nih.gov/25640197'>PubMedLink</a> <a href='https://pubmed.ncbi.nlm.nih.gov/26933170'>PubMedLink</a> <a href='https://pubmed.ncbi.nlm.nih.gov/31026342'>PubMedLink</a> <a href='https://pubmed.ncbi.nlm.nih.gov/31068760'>PubMedLink</a>",NA,NA,"tarbase","tarbase",0.2235844830727,-0.161711052547183,0.536217736590116,-0.0729088715522702,0.0705562847350286,-0.13076429911826,0.0215698813821558,TRUE,"miR-200bc-3p/429","miR-141-3p/200a-3p","hsa-mir-200b,hsa-mir-200a,hsa-mir-429","hsa-mir-200b,hsa-mir-200a,hsa-mir-429"
84458,"LCOR","hsa-mir-20a-5p","hsa-mir-381-3p",0.0015,TRUE,NA,NA,NA,"tarbase","mirtarbase",0.52644039376038,0.0790035557734634,0.00012106417111784,-0.672854039647367,0.897974966452798,-0.00731623018661778,0.0176125772038181,TRUE,"miR-17-5p/20-5p/93-5p/106-5p/519-3p","miR-381-3p","hsa-mir-17,hsa-mir-18a,hsa-mir-19a,hsa-mir-20a,hsa-mir-19b-1,hsa-mir-92a-1","hsa-mir-376c,hsa-mir-376a-2,hsa-mir-654,hsa-mir-376b,hsa-mir-376a-1,hsa-mir-300,hsa-mir-1185-1,hsa-mir-1185-2,hsa-mir-381,hsa-mir-487b,hsa-mir-539,hsa-mir-889,hsa-mir-544a,hsa-mir-655,hsa-mir-487a,hsa-mir-382,hsa-mir-134,hsa-mir-668,hsa-mir-485"
133418,"EMB","hsa-mir-378a-3p","hsa-mir-30c-5p",0.0055,FALSE,NA,NA,NA,"tarbase","tarbase",0.439431599149385,0.0930251970173741,0.689710380560104,0.0413593060431594,0.89188893104885,-0.00758487081994931,0.0430127150336574,TRUE,"miR-378-3p","miR-30-5p","hsa-mir-378a","hsa-mir-30c-2"
148252,"DIRAS1","hsa-mir-138-5p","hsa-mir-18a-3p",0.003,FALSE,"<a href='https://pubmed.ncbi.nlm.nih.gov/28075468'>PubMedLink</a> <a href='https://pubmed.ncbi.nlm.nih.gov/28423539'>PubMedLink</a>",NA,NA,"tarbase","tarbase",4.9178442516638e-13,-2.23885663096335,0.8172544724691,-0.0946069204972796,0.00308075827061863,-0.172255656078144,0.0288839779005525,TRUE,"miR-138-5p","miR-18a-3p","hsa-mir-138-2","hsa-mir-17,hsa-mir-18a,hsa-mir-19a,hsa-mir-20a,hsa-mir-19b-1,hsa-mir-92a-1"
148252,"DIRAS1","hsa-mir-625-5p","hsa-mir-589-3p",0,FALSE,NA,NA,NA,"tarbase","tarbase",0.918108381381489,-0.0287229808277311,0.0748371185031596,0.498364550835612,0.00308075827061863,-0.172255656078144,0,TRUE,"miR-625-5p","miR-589-3p","hsa-mir-625","hsa-mir-589"
158866,"ZDHHC15","hsa-mir-223-5p","hsa-mir-582-5p",0.0065,FALSE,NA,NA,NA,"mirtarbase","mirtarbase",0.349908444574804,-0.352171841723914,7.16112192490361e-06,0.73467379058701,8.06396200532295e-11,-0.440959196431965,0.0478114667604643,TRUE,"miR-223-5p","miR-582-5p","hsa-mir-223","hsa-mir-582"
201799,"TMEM154","hsa-mir-141-3p","hsa-mir-378a-3p",0.005,FALSE,NA,NA,NA,"tarbase","tarbase",0.00251555126938497,0.350507124184724,0.439431599149385,0.0930251970173741,0.480626095021339,-0.0381731398853898,0.0402308580223163,TRUE,"miR-141-3p/200a-3p","miR-378-3p","hsa-mir-200c,hsa-mir-141","hsa-mir-378a"
201799,"TMEM154","hsa-mir-141-3p","hsa-mir-378c",0.0025,FALSE,NA,NA,NA,"tarbase","tarbase",0.00251555126938497,0.350507124184724,0.343535680749891,-0.186194246846215,0.480626095021339,-0.0381731398853898,0.025378640776699,TRUE,"miR-141-3p/200a-3p","miR-378-3p","hsa-mir-200c,hsa-mir-141","hsa-mir-378c"
222171,"PRR15","hsa-mir-483-3p","hsa-mir-103a-2-5p",0.005,FALSE,NA,NA,NA,"mirtarbase","mirtarbase",6.6495154871551e-14,-2.12826071512726,0.222535499038227,0.416536764961278,0.165466912572329,-0.0819617803072573,0.0402308580223163,TRUE,NA,"miR-103a-2-5p","hsa-mir-483","hsa-mir-103a-2,hsa-mir-103b-2"
283659,"PRTG","hsa-mir-222-5p","hsa-mir-7-5p",0.004,FALSE,NA,NA,NA,"tarbase","tarbase",1.31500819310995e-14,1.38271515565784,0.154017521280162,0.672665450808638,0.37737633330911,0.0660681373612376,0.0349406850459482,TRUE,"miR-222-5p","miR-7-5p","hsa-mir-221,hsa-mir-222","hsa-mir-7-1"
401474,"SAMD12","hsa-mir-19a-3p","hsa-mir-381-3p",0.005,FALSE,NA,NA,NA,"tarbase","tarbase",0.284727786973506,-0.200597541212287,0.00012106417111784,-0.672854039647367,0.10409274996781,-0.0957629132685941,0.0402308580223163,TRUE,"miR-19-3p","miR-381-3p","hsa-mir-17,hsa-mir-18a,hsa-mir-19a,hsa-mir-20a,hsa-mir-19b-1,hsa-mir-92a-1","hsa-mir-376c,hsa-mir-376a-2,hsa-mir-654,hsa-mir-376b,hsa-mir-376a-1,hsa-mir-300,hsa-mir-1185-1,hsa-mir-1185-2,hsa-mir-381,hsa-mir-487b,hsa-mir-539,hsa-mir-889,hsa-mir-544a,hsa-mir-655,hsa-mir-487a,hsa-mir-382,hsa-mir-134,hsa-mir-668,hsa-mir-485"
401474,"SAMD12","hsa-mir-19b-3p","hsa-mir-381-3p",0.0015,FALSE,"<a href='https://pubmed.ncbi.nlm.nih.gov/27919278'>PubMedLink</a>",NA,NA,"tarbase","tarbase",0.343975359330242,-0.135207826181056,0.00012106417111784,-0.672854039647367,0.10409274996781,-0.0957629132685941,0.0176125772038181,TRUE,"miR-19-3p","miR-381-3p","hsa-mir-17,hsa-mir-18a,hsa-mir-19a,hsa-mir-20a,hsa-mir-19b-1,hsa-mir-92a-1","hsa-mir-376c,hsa-mir-376a-2,hsa-mir-654,hsa-mir-376b,hsa-mir-376a-1,hsa-mir-300,hsa-mir-1185-1,hsa-mir-1185-2,hsa-mir-381,hsa-mir-487b,hsa-mir-539,hsa-mir-889,hsa-mir-544a,hsa-mir-655,hsa-mir-487a,hsa-mir-382,hsa-mir-134,hsa-mir-668,hsa-mir-485"
401474,"SAMD12","hsa-mir-758-3p","hsa-mir-381-3p",0.0045,FALSE,NA,NA,NA,"tarbase","tarbase",0.00020264799847796,-0.872431281128912,0.00012106417111784,-0.672854039647367,0.10409274996781,-0.0957629132685941,0.0376265493802479,TRUE,"miR-758-3p","miR-381-3p","hsa-mir-379,hsa-mir-411,hsa-mir-299,hsa-mir-380,hsa-mir-1197,hsa-mir-323a,hsa-mir-758,hsa-mir-329-1,hsa-mir-329-2,hsa-mir-494,hsa-mir-1193,hsa-mir-543,hsa-mir-495","hsa-mir-376c,hsa-mir-376a-2,hsa-mir-654,hsa-mir-376b,hsa-mir-376a-1,hsa-mir-300,hsa-mir-1185-1,hsa-mir-1185-2,hsa-mir-381,hsa-mir-487b,hsa-mir-539,hsa-mir-889,hsa-mir-544a,hsa-mir-655,hsa-mir-487a,hsa-mir-382,hsa-mir-134,hsa-mir-668,hsa-mir-485"
445815,"PALM2AKAP2","hsa-mir-106a-5p","hsa-mir-9-5p",5e-04,FALSE,NA,NA,NA,"tarbase","tarbase",0.0292168360672743,-0.369485019756277,0.00487172866555441,-0.311555474503904,0.992897781879657,0.00095914333540221,0.00738939929328622,TRUE,"miR-17-5p/20-5p/93-5p/106-5p/519-3p","miR-9-5p","hsa-mir-363,hsa-mir-92a-2,hsa-mir-19b-2,hsa-mir-20b,hsa-mir-18b,hsa-mir-106a","hsa-mir-9-1"
445815,"PALM2AKAP2","hsa-mir-149-5p","hsa-mir-182-5p",0.008,FALSE,NA,"<a href='https://pubmed.ncbi.nlm.nih.gov/30205384'>PubMedLink</a> <a href='https://pubmed.ncbi.nlm.nih.gov/30949866'>PubMedLink</a>",NA,"tarbase","tarbase",0.00430927656019568,-0.516244456019777,6.16292184205265e-07,0.468724875995755,0.992897781879657,0.00095914333540221,0.0544938110749186,FALSE,"miR-149-5p","miR-182-5p","hsa-mir-149","hsa-mir-182,hsa-mir-96,hsa-mir-183"
100463486,"MTRNR2L8","hsa-mir-218-5p","hsa-mir-196a-5p",5e-04,FALSE,NA,NA,NA,"tarbase","tarbase",7.5939039152046e-06,0.601585701615049,0.0175405999889321,-0.278613691934985,0.279775174367694,-0.0663045467199542,0.00738939929328622,TRUE,"miR-218-5p","miR-196-5p","hsa-mir-218-1","hsa-mir-196a-1"
