"","mirna","clusterString"
"432","hsa-mir-500a-5p","hsa-mir-532,hsa-mir-188,hsa-mir-500a,hsa-mir-362,hsa-mir-501,hsa-mir-500b,hsa-mir-660,hsa-mir-502"
"433","hsa-mir-500b-5p","hsa-mir-532,hsa-mir-188,hsa-mir-500a,hsa-mir-362,hsa-mir-501,hsa-mir-500b,hsa-mir-660,hsa-mir-502"
"434","hsa-mir-501-3p","hsa-mir-532,hsa-mir-188,hsa-mir-500a,hsa-mir-362,hsa-mir-501,hsa-mir-500b,hsa-mir-660,hsa-mir-502"
"435","hsa-mir-501-5p","hsa-mir-532,hsa-mir-188,hsa-mir-500a,hsa-mir-362,hsa-mir-501,hsa-mir-500b,hsa-mir-660,hsa-mir-502"
"436","hsa-mir-502-3p","hsa-mir-500a,hsa-mir-362,hsa-mir-501,hsa-mir-500b,hsa-mir-660,hsa-mir-502"
"437","hsa-mir-502-5p","hsa-mir-500a,hsa-mir-362,hsa-mir-501,hsa-mir-500b,hsa-mir-660,hsa-mir-502"
"438","hsa-mir-503-5p","hsa-mir-450b,hsa-mir-450a-1,hsa-mir-450a-2,hsa-mir-542,hsa-mir-503,hsa-mir-424"
"439","hsa-mir-504-5p","hsa-mir-504"
"440","hsa-mir-505-3p","hsa-mir-505"
"441","hsa-mir-505-5p","hsa-mir-505"
"442","hsa-mir-506-3p","hsa-mir-513a-2,hsa-mir-506,hsa-mir-507,hsa-mir-508"
"443","hsa-mir-507","hsa-mir-513a-2,hsa-mir-506,hsa-mir-507,hsa-mir-508"
"444","hsa-mir-508-3p","hsa-mir-506,hsa-mir-507,hsa-mir-508"
"445","hsa-mir-508-5p","hsa-mir-506,hsa-mir-507,hsa-mir-508"
"446","hsa-mir-509-3-5p","hsa-mir-514b,hsa-mir-509-2,hsa-mir-509-3,hsa-mir-509-1"
"447","hsa-mir-509-3p","hsa-mir-509-2,hsa-mir-509-3,hsa-mir-509-1"
"448","hsa-mir-509-5p","hsa-mir-509-2,hsa-mir-509-3,hsa-mir-509-1"
"449","hsa-mir-511-5p",""
"450","hsa-mir-512-3p","hsa-mir-512-1,hsa-mir-512-2,hsa-mir-1323,hsa-mir-498,hsa-mir-520e"
"451","hsa-mir-512-5p","hsa-mir-512-1,hsa-mir-512-2,hsa-mir-1323,hsa-mir-498,hsa-mir-520e"
"452","hsa-mir-513a-3p","hsa-mir-513a-1"
"453","hsa-mir-513a-5p","hsa-mir-513a-1"
"454","hsa-mir-513b-5p","hsa-mir-513c,hsa-mir-513b"
"455","hsa-mir-513c-5p","hsa-mir-513c,hsa-mir-513b"
"456","hsa-mir-514a-3p","hsa-mir-510,hsa-mir-514a-1,hsa-mir-514a-2,hsa-mir-514a-3"
"457","hsa-mir-514b-5p","hsa-mir-514b,hsa-mir-509-2,hsa-mir-509-3"
"458","hsa-mir-515-5p","hsa-mir-512-2,hsa-mir-1323,hsa-mir-498,hsa-mir-520e,hsa-mir-515-1,hsa-mir-519e,hsa-mir-520f,hsa-mir-515-2,hsa-mir-519c,hsa-mir-1283-1"
"459","hsa-mir-516a-5p","hsa-mir-521-1,hsa-mir-522,hsa-mir-519a-1,hsa-mir-527,hsa-mir-516a-1,hsa-mir-1283-2,hsa-mir-516a-2,hsa-mir-519a-2"
"460","hsa-mir-516b-5p","hsa-mir-521-2,hsa-mir-520d,hsa-mir-517b,hsa-mir-520g,hsa-mir-516b-2,hsa-mir-526a-2,hsa-mir-518e,hsa-mir-518a-1,hsa-mir-518d"
"461","hsa-mir-518a-3p","hsa-mir-517b,hsa-mir-520g,hsa-mir-516b-2,hsa-mir-526a-2,hsa-mir-518e,hsa-mir-518a-1,hsa-mir-518d,hsa-mir-516b-1,hsa-mir-518a-2"
"462","hsa-mir-518a-5p","hsa-mir-517b,hsa-mir-520g,hsa-mir-516b-2,hsa-mir-526a-2,hsa-mir-518e,hsa-mir-518a-1,hsa-mir-518d,hsa-mir-516b-1,hsa-mir-518a-2"
"463","hsa-mir-518b","hsa-mir-526b,hsa-mir-519b,hsa-mir-525,hsa-mir-523,hsa-mir-518f,hsa-mir-520b,hsa-mir-518b,hsa-mir-526a-1,hsa-mir-520c,hsa-mir-518c,hsa-mir-524,hsa-mir-517a"
"464","hsa-mir-518c-3p","hsa-mir-518f,hsa-mir-520b,hsa-mir-518b,hsa-mir-526a-1,hsa-mir-520c,hsa-mir-518c,hsa-mir-524,hsa-mir-517a,hsa-mir-519d,hsa-mir-521-2"
"465","hsa-mir-518c-5p","hsa-mir-518f,hsa-mir-520b,hsa-mir-518b,hsa-mir-526a-1,hsa-mir-520c,hsa-mir-518c,hsa-mir-524,hsa-mir-517a,hsa-mir-519d,hsa-mir-521-2"
"466","hsa-mir-518e-3p","hsa-mir-520d,hsa-mir-517b,hsa-mir-520g,hsa-mir-516b-2,hsa-mir-526a-2,hsa-mir-518e,hsa-mir-518a-1,hsa-mir-518d,hsa-mir-516b-1,hsa-mir-518a-2"
"467","hsa-mir-518f-3p","hsa-mir-520a,hsa-mir-526b,hsa-mir-519b,hsa-mir-525,hsa-mir-523,hsa-mir-518f,hsa-mir-520b,hsa-mir-518b,hsa-mir-526a-1,hsa-mir-520c,hsa-mir-518c"
"468","hsa-mir-518f-5p","hsa-mir-520a,hsa-mir-526b,hsa-mir-519b,hsa-mir-525,hsa-mir-523,hsa-mir-518f,hsa-mir-520b,hsa-mir-518b,hsa-mir-526a-1,hsa-mir-520c,hsa-mir-518c"
"469","hsa-mir-519a-3p","hsa-mir-520h,hsa-mir-521-1,hsa-mir-522,hsa-mir-519a-1,hsa-mir-527,hsa-mir-516a-1,hsa-mir-1283-2,hsa-mir-516a-2,hsa-mir-519a-2"
"470","hsa-mir-519a-5p","hsa-mir-520h,hsa-mir-521-1,hsa-mir-522,hsa-mir-519a-1,hsa-mir-527,hsa-mir-516a-1,hsa-mir-1283-2,hsa-mir-516a-2,hsa-mir-519a-2"
"471","hsa-mir-519b-3p","hsa-mir-519c,hsa-mir-1283-1,hsa-mir-520a,hsa-mir-526b,hsa-mir-519b,hsa-mir-525,hsa-mir-523,hsa-mir-518f,hsa-mir-520b,hsa-mir-518b"
"472","hsa-mir-519c-3p","hsa-mir-515-1,hsa-mir-519e,hsa-mir-520f,hsa-mir-515-2,hsa-mir-519c,hsa-mir-1283-1,hsa-mir-520a,hsa-mir-526b,hsa-mir-519b"
"473","hsa-mir-519d-3p","hsa-mir-526a-1,hsa-mir-520c,hsa-mir-518c,hsa-mir-524,hsa-mir-517a,hsa-mir-519d,hsa-mir-521-2,hsa-mir-520d,hsa-mir-517b,hsa-mir-520g"
"474","hsa-mir-519e-3p","hsa-mir-1323,hsa-mir-498,hsa-mir-520e,hsa-mir-515-1,hsa-mir-519e,hsa-mir-520f,hsa-mir-515-2,hsa-mir-519c,hsa-mir-1283-1"
"475","hsa-mir-519e-5p","hsa-mir-1323,hsa-mir-498,hsa-mir-520e,hsa-mir-515-1,hsa-mir-519e,hsa-mir-520f,hsa-mir-515-2,hsa-mir-519c,hsa-mir-1283-1"
"476","hsa-mir-520a-3p","hsa-mir-520f,hsa-mir-515-2,hsa-mir-519c,hsa-mir-1283-1,hsa-mir-520a,hsa-mir-526b,hsa-mir-519b,hsa-mir-525,hsa-mir-523,hsa-mir-518f"
"477","hsa-mir-520a-5p","hsa-mir-520f,hsa-mir-515-2,hsa-mir-519c,hsa-mir-1283-1,hsa-mir-520a,hsa-mir-526b,hsa-mir-519b,hsa-mir-525,hsa-mir-523,hsa-mir-518f"
"478","hsa-mir-520c-3p","hsa-mir-525,hsa-mir-523,hsa-mir-518f,hsa-mir-520b,hsa-mir-518b,hsa-mir-526a-1,hsa-mir-520c,hsa-mir-518c,hsa-mir-524,hsa-mir-517a,hsa-mir-519d,hsa-mir-521-2"
"479","hsa-mir-520d-3p","hsa-mir-524,hsa-mir-517a,hsa-mir-519d,hsa-mir-521-2,hsa-mir-520d,hsa-mir-517b,hsa-mir-520g,hsa-mir-516b-2,hsa-mir-526a-2,hsa-mir-518e"
"480","hsa-mir-520d-5p","hsa-mir-524,hsa-mir-517a,hsa-mir-519d,hsa-mir-521-2,hsa-mir-520d,hsa-mir-517b,hsa-mir-520g,hsa-mir-516b-2,hsa-mir-526a-2,hsa-mir-518e"
"481","hsa-mir-520g-3p","hsa-mir-517a,hsa-mir-519d,hsa-mir-521-2,hsa-mir-520d,hsa-mir-517b,hsa-mir-520g,hsa-mir-516b-2,hsa-mir-526a-2,hsa-mir-518e,hsa-mir-518a-1"
"482","hsa-mir-520h","hsa-mir-518d,hsa-mir-516b-1,hsa-mir-518a-2,hsa-mir-517c,hsa-mir-520h,hsa-mir-521-1,hsa-mir-522,hsa-mir-519a-1"
"483","hsa-mir-525-5p","hsa-mir-1283-1,hsa-mir-520a,hsa-mir-526b,hsa-mir-519b,hsa-mir-525,hsa-mir-523,hsa-mir-518f,hsa-mir-520b,hsa-mir-518b,hsa-mir-526a-1,hsa-mir-520c"
"484","hsa-mir-526b-3p","hsa-mir-515-2,hsa-mir-519c,hsa-mir-1283-1,hsa-mir-520a,hsa-mir-526b,hsa-mir-519b,hsa-mir-525,hsa-mir-523,hsa-mir-518f,hsa-mir-520b,hsa-mir-518b"
"485","hsa-mir-526b-5p","hsa-mir-515-2,hsa-mir-519c,hsa-mir-1283-1,hsa-mir-520a,hsa-mir-526b,hsa-mir-519b,hsa-mir-525,hsa-mir-523,hsa-mir-518f,hsa-mir-520b,hsa-mir-518b"
"486","hsa-mir-527","hsa-mir-521-1,hsa-mir-522,hsa-mir-519a-1,hsa-mir-527,hsa-mir-516a-1,hsa-mir-1283-2,hsa-mir-516a-2,hsa-mir-519a-2"
"487","hsa-mir-532-3p","hsa-mir-532,hsa-mir-188,hsa-mir-500a,hsa-mir-362,hsa-mir-501,hsa-mir-500b"
"488","hsa-mir-532-5p","hsa-mir-532,hsa-mir-188,hsa-mir-500a,hsa-mir-362,hsa-mir-501,hsa-mir-500b"
"489","hsa-mir-539-5p","hsa-mir-376c,hsa-mir-376a-2,hsa-mir-654,hsa-mir-376b,hsa-mir-376a-1,hsa-mir-300,hsa-mir-1185-1,hsa-mir-1185-2,hsa-mir-381,hsa-mir-487b,hsa-mir-539,hsa-mir-889,hsa-mir-544a,hsa-mir-655,hsa-mir-487a,hsa-mir-382,hsa-mir-134,hsa-mir-668,hsa-mir-485,hsa-mir-323b"
"490","hsa-mir-541-3p","hsa-mir-134,hsa-mir-668,hsa-mir-485,hsa-mir-323b,hsa-mir-154,hsa-mir-496,hsa-mir-377,hsa-mir-541,hsa-mir-409,hsa-mir-412,hsa-mir-369,hsa-mir-410,hsa-mir-656"
"491","hsa-mir-541-5p","hsa-mir-134,hsa-mir-668,hsa-mir-485,hsa-mir-323b,hsa-mir-154,hsa-mir-496,hsa-mir-377,hsa-mir-541,hsa-mir-409,hsa-mir-412,hsa-mir-369,hsa-mir-410,hsa-mir-656"
"492","hsa-mir-542-3p","hsa-mir-450b,hsa-mir-450a-1,hsa-mir-450a-2,hsa-mir-542,hsa-mir-503,hsa-mir-424"
"493","hsa-mir-542-5p","hsa-mir-450b,hsa-mir-450a-1,hsa-mir-450a-2,hsa-mir-542,hsa-mir-503,hsa-mir-424"
"494","hsa-mir-543","hsa-mir-379,hsa-mir-411,hsa-mir-299,hsa-mir-380,hsa-mir-1197,hsa-mir-323a,hsa-mir-758,hsa-mir-329-1,hsa-mir-329-2,hsa-mir-494,hsa-mir-1193,hsa-mir-543,hsa-mir-495,hsa-mir-376c,hsa-mir-376a-2,hsa-mir-654,hsa-mir-376b,hsa-mir-376a-1,hsa-mir-300"
"495","hsa-mir-545-5p","hsa-mir-545,hsa-mir-374a"
"496","hsa-mir-548b-3p","hsa-mir-548b"
"497","hsa-mir-548d-3p","hsa-mir-548aa-1,hsa-mir-548d-1"
"498","hsa-mir-548e-3p","hsa-mir-548e"
"499","hsa-mir-548f-3p","hsa-mir-548f-2"
"500","hsa-mir-548j-5p","hsa-mir-548j"
"501","hsa-mir-548o-3p","hsa-mir-548o"
"502","hsa-mir-548s","hsa-mir-548s"
"503","hsa-mir-548t-5p","hsa-mir-548t"
"504","hsa-mir-548v","hsa-mir-548v"
"505","hsa-mir-550a-3p","hsa-mir-550a-1,hsa-mir-550b-1"
"506","hsa-mir-550a-5p","hsa-mir-550a-1,hsa-mir-550b-1"
"507","hsa-mir-551a","hsa-mir-551a"
"508","hsa-mir-552-3p","hsa-mir-552"
"509","hsa-mir-556-3p","hsa-mir-556"
"510","hsa-mir-556-5p","hsa-mir-556"
"511","hsa-mir-570-3p","hsa-mir-570"
"512","hsa-mir-576-5p","hsa-mir-576"
"513","hsa-mir-577","hsa-mir-577"
"514","hsa-mir-579-3p","hsa-mir-579"
"515","hsa-mir-580-3p","hsa-mir-580"
"516","hsa-mir-581","hsa-mir-581"
"517","hsa-mir-582-3p","hsa-mir-582"
"518","hsa-mir-582-5p","hsa-mir-582"
"519","hsa-mir-584-5p","hsa-mir-584"
"520","hsa-mir-589-3p","hsa-mir-589"
"521","hsa-mir-589-5p","hsa-mir-589"
"522","hsa-mir-590-3p","hsa-mir-590"
"523","hsa-mir-590-5p","hsa-mir-590"
"524","hsa-mir-592","hsa-mir-592"
"525","hsa-mir-598-3p","hsa-mir-598"
"526","hsa-mir-605-5p","hsa-mir-605"
"527","hsa-mir-615-3p","hsa-mir-615"
"528","hsa-mir-616-3p","hsa-mir-616"
"529","hsa-mir-616-5p","hsa-mir-616"
"530","hsa-mir-618","hsa-mir-618"
"531","hsa-mir-624-5p","hsa-mir-624"
"532","hsa-mir-625-3p","hsa-mir-625"
"533","hsa-mir-625-5p","hsa-mir-625"
"534","hsa-mir-627-5p","hsa-mir-627"
"535","hsa-mir-628-3p","hsa-mir-628"
"536","hsa-mir-628-5p","hsa-mir-628"
"537","hsa-mir-629-3p","hsa-mir-629"
"538","hsa-mir-629-5p","hsa-mir-629"
"539","hsa-mir-636","hsa-mir-636"
"540","hsa-mir-639","hsa-mir-639"
"541","hsa-mir-642a-5p","hsa-mir-642a,hsa-mir-642b"
"542","hsa-mir-643","hsa-mir-643"
"543","hsa-mir-651-5p","hsa-mir-651"
"544","hsa-mir-652-3p","hsa-mir-652"
"545","hsa-mir-653-5p","hsa-mir-653,hsa-mir-489"
"546","hsa-mir-654-3p","hsa-mir-543,hsa-mir-495,hsa-mir-376c,hsa-mir-376a-2,hsa-mir-654,hsa-mir-376b,hsa-mir-376a-1,hsa-mir-300,hsa-mir-1185-1,hsa-mir-1185-2,hsa-mir-381,hsa-mir-487b,hsa-mir-539,hsa-mir-889,hsa-mir-544a,hsa-mir-655"
"547","hsa-mir-654-5p","hsa-mir-543,hsa-mir-495,hsa-mir-376c,hsa-mir-376a-2,hsa-mir-654,hsa-mir-376b,hsa-mir-376a-1,hsa-mir-300,hsa-mir-1185-1,hsa-mir-1185-2,hsa-mir-381,hsa-mir-487b,hsa-mir-539,hsa-mir-889,hsa-mir-544a,hsa-mir-655"
"548","hsa-mir-655-3p","hsa-mir-376c,hsa-mir-376a-2,hsa-mir-654,hsa-mir-376b,hsa-mir-376a-1,hsa-mir-300,hsa-mir-1185-1,hsa-mir-1185-2,hsa-mir-381,hsa-mir-487b,hsa-mir-539,hsa-mir-889,hsa-mir-544a,hsa-mir-655,hsa-mir-487a,hsa-mir-382,hsa-mir-134,hsa-mir-668,hsa-mir-485,hsa-mir-323b"
"549","hsa-mir-656-3p","hsa-mir-154,hsa-mir-496,hsa-mir-377,hsa-mir-541,hsa-mir-409,hsa-mir-412,hsa-mir-369,hsa-mir-410,hsa-mir-656"
"550","hsa-mir-658","hsa-mir-658,hsa-mir-659"
"551","hsa-mir-660-5p","hsa-mir-188,hsa-mir-500a,hsa-mir-362,hsa-mir-501,hsa-mir-500b,hsa-mir-660,hsa-mir-502"
"552","hsa-mir-663a","hsa-mir-663a"
"553","hsa-mir-663b","hsa-mir-663b"
"554","hsa-mir-664a-3p","hsa-mir-664a"
"555","hsa-mir-664a-5p","hsa-mir-664a"
"556","hsa-mir-665","hsa-mir-493,hsa-mir-337,hsa-mir-665,hsa-mir-431,hsa-mir-433,hsa-mir-127,hsa-mir-432,hsa-mir-136"
"557","hsa-mir-671-3p","hsa-mir-671"
"558","hsa-mir-671-5p","hsa-mir-671"
"559","hsa-mir-675-3p","hsa-mir-675"
"560","hsa-mir-676-3p","hsa-mir-676"
"561","hsa-mir-676-5p","hsa-mir-676"
"562","hsa-mir-7-1-3p","hsa-mir-7-1"
"563","hsa-mir-7-2-3p","hsa-mir-1179,hsa-mir-7-2,hsa-mir-3529"
"564","hsa-mir-7-5p","hsa-mir-7-1"
"565","hsa-mir-708-3p","hsa-mir-708"
"566","hsa-mir-708-5p","hsa-mir-708"
"567","hsa-mir-744-3p","hsa-mir-744"
"568","hsa-mir-744-5p","hsa-mir-744"
"569","hsa-mir-758-3p","hsa-mir-379,hsa-mir-411,hsa-mir-299,hsa-mir-380,hsa-mir-1197,hsa-mir-323a,hsa-mir-758,hsa-mir-329-1,hsa-mir-329-2,hsa-mir-494,hsa-mir-1193,hsa-mir-543,hsa-mir-495"
"570","hsa-mir-760","hsa-mir-760"
"571","hsa-mir-765","hsa-mir-765"
"572","hsa-mir-766-3p","hsa-mir-766"
"573","hsa-mir-767-3p","hsa-mir-105-1,hsa-mir-767,hsa-mir-105-2"
"574","hsa-mir-767-5p","hsa-mir-105-1,hsa-mir-767,hsa-mir-105-2"
"575","hsa-mir-769-3p","hsa-mir-769"
"576","hsa-mir-770-5p","hsa-mir-770"
"577","hsa-mir-873-5p","hsa-mir-873"
"578","hsa-mir-874-3p","hsa-mir-874"
"579","hsa-mir-877-3p","hsa-mir-877"
"580","hsa-mir-877-5p","hsa-mir-877"
"581","hsa-mir-885-5p","hsa-mir-885"
"582","hsa-mir-887-3p","hsa-mir-887"
"583","hsa-mir-889-3p","hsa-mir-376c,hsa-mir-376a-2,hsa-mir-654,hsa-mir-376b,hsa-mir-376a-1,hsa-mir-300,hsa-mir-1185-1,hsa-mir-1185-2,hsa-mir-381,hsa-mir-487b,hsa-mir-539,hsa-mir-889,hsa-mir-544a,hsa-mir-655,hsa-mir-487a,hsa-mir-382,hsa-mir-134,hsa-mir-668,hsa-mir-485,hsa-mir-323b"
"584","hsa-mir-892a","hsa-mir-892c,hsa-mir-890,hsa-mir-888,hsa-mir-892a,hsa-mir-892b,hsa-mir-891b"
"585","hsa-mir-9-3p","hsa-mir-9-1"
"586","hsa-mir-9-5p","hsa-mir-9-1"
"587","hsa-mir-92a-1-5p","hsa-mir-17,hsa-mir-18a,hsa-mir-19a,hsa-mir-20a,hsa-mir-19b-1,hsa-mir-92a-1"
"588","hsa-mir-92a-3p","hsa-mir-17,hsa-mir-18a,hsa-mir-19a,hsa-mir-20a,hsa-mir-19b-1,hsa-mir-92a-1"
"589","hsa-mir-92b-3p","hsa-mir-92b"
"590","hsa-mir-92b-5p","hsa-mir-92b"
"591","hsa-mir-93-3p","hsa-mir-25,hsa-mir-93,hsa-mir-106b"
"592","hsa-mir-93-5p","hsa-mir-25,hsa-mir-93,hsa-mir-106b"
"593","hsa-mir-935","hsa-mir-935"
"594","hsa-mir-937-3p","hsa-mir-937"
"595","hsa-mir-939-5p","hsa-mir-939,hsa-mir-1234"
"596","hsa-mir-940","hsa-mir-3677,hsa-mir-940,hsa-mir-4717"
"597","hsa-mir-942-5p","hsa-mir-942"
"598","hsa-mir-944","hsa-mir-944"
"599","hsa-mir-95-3p","hsa-mir-95"
"600","hsa-mir-96-5p","hsa-mir-182,hsa-mir-96,hsa-mir-183"
"601","hsa-mir-98-5p","hsa-mir-98,hsa-let-7f-2"
"602","hsa-mir-99a-3p","hsa-mir-99a,hsa-let-7c"
"603","hsa-mir-99a-5p","hsa-mir-99a,hsa-let-7c"
"604","hsa-mir-99b-3p","hsa-mir-99b,hsa-let-7e,hsa-mir-125a"
