"","mirna","clusterString"
"247","hsa-mir-299-3p","hsa-mir-379,hsa-mir-411,hsa-mir-299,hsa-mir-380,hsa-mir-1197,hsa-mir-323a,hsa-mir-758,hsa-mir-329-1,hsa-mir-329-2,hsa-mir-494,hsa-mir-1193,hsa-mir-543,hsa-mir-495"
"248","hsa-mir-299-5p","hsa-mir-379,hsa-mir-411,hsa-mir-299,hsa-mir-380,hsa-mir-1197,hsa-mir-323a,hsa-mir-758,hsa-mir-329-1,hsa-mir-329-2,hsa-mir-494,hsa-mir-1193,hsa-mir-543,hsa-mir-495"
"249","hsa-mir-29a-3p","hsa-mir-29a,hsa-mir-29b-1"
"250","hsa-mir-29a-5p","hsa-mir-29a,hsa-mir-29b-1"
"251","hsa-mir-29b-1-5p","hsa-mir-29a,hsa-mir-29b-1"
"252","hsa-mir-29b-2-5p","hsa-mir-29c,hsa-mir-29b-2"
"253","hsa-mir-29b-3p","hsa-mir-29a,hsa-mir-29b-1"
"254","hsa-mir-29c-3p","hsa-mir-29c,hsa-mir-29b-2"
"255","hsa-mir-301a-3p","hsa-mir-301a"
"256","hsa-mir-301b-3p","hsa-mir-301b,hsa-mir-130b"
"257","hsa-mir-302a-3p","hsa-mir-367,hsa-mir-302d,hsa-mir-302a,hsa-mir-302c,hsa-mir-302b"
"258","hsa-mir-302a-5p","hsa-mir-367,hsa-mir-302d,hsa-mir-302a,hsa-mir-302c,hsa-mir-302b"
"259","hsa-mir-302b-3p","hsa-mir-367,hsa-mir-302d,hsa-mir-302a,hsa-mir-302c,hsa-mir-302b"
"260","hsa-mir-302c-3p","hsa-mir-367,hsa-mir-302d,hsa-mir-302a,hsa-mir-302c,hsa-mir-302b"
"261","hsa-mir-302d-3p","hsa-mir-367,hsa-mir-302d,hsa-mir-302a,hsa-mir-302c,hsa-mir-302b"
"262","hsa-mir-302d-5p","hsa-mir-367,hsa-mir-302d,hsa-mir-302a,hsa-mir-302c,hsa-mir-302b"
"263","hsa-mir-3065-3p","hsa-mir-657,hsa-mir-3065,hsa-mir-338,hsa-mir-1250"
"264","hsa-mir-3065-5p","hsa-mir-657,hsa-mir-3065,hsa-mir-338,hsa-mir-1250"
"265","hsa-mir-30a-3p","hsa-mir-30a"
"266","hsa-mir-30a-5p","hsa-mir-30a"
"267","hsa-mir-30b-3p","hsa-mir-30b,hsa-mir-30d"
"268","hsa-mir-30b-5p","hsa-mir-30b,hsa-mir-30d"
"269","hsa-mir-30c-1-3p","hsa-mir-30e,hsa-mir-30c-1"
"270","hsa-mir-30c-2-3p","hsa-mir-30c-2"
"271","hsa-mir-30c-5p","hsa-mir-30c-2"
"272","hsa-mir-30d-3p","hsa-mir-30b,hsa-mir-30d"
"273","hsa-mir-30d-5p","hsa-mir-30b,hsa-mir-30d"
"274","hsa-mir-30e-5p","hsa-mir-30e,hsa-mir-30c-1"
"275","hsa-mir-31-3p","hsa-mir-31"
"276","hsa-mir-31-5p","hsa-mir-31"
"277","hsa-mir-3117-3p","hsa-mir-3117"
"278","hsa-mir-3127-5p","hsa-mir-3127"
"279","hsa-mir-3130-5p","hsa-mir-3130-2,hsa-mir-3130-1"
"280","hsa-mir-3136-5p","hsa-mir-3136"
"281","hsa-mir-3150b-3p","hsa-mir-3150b,hsa-mir-3150a"
"282","hsa-mir-3157-5p","hsa-mir-3157"
"283","hsa-mir-3170","hsa-mir-3170"
"284","hsa-mir-3187-3p","hsa-mir-4745,hsa-mir-3187"
"285","hsa-mir-3199","hsa-mir-3199-1,hsa-mir-3199-2"
"286","hsa-mir-32-3p","hsa-mir-32"
"287","hsa-mir-32-5p","hsa-mir-32"
"288","hsa-mir-3200-3p","hsa-mir-3200"
"289","hsa-mir-320b","hsa-mir-320b-1"
"290","hsa-mir-320c","hsa-mir-320c-1"
"291","hsa-mir-320d","hsa-mir-320d-1"
"292","hsa-mir-323a-3p","hsa-mir-379,hsa-mir-411,hsa-mir-299,hsa-mir-380,hsa-mir-1197,hsa-mir-323a,hsa-mir-758,hsa-mir-329-1,hsa-mir-329-2,hsa-mir-494,hsa-mir-1193,hsa-mir-543,hsa-mir-495"
"293","hsa-mir-323a-5p","hsa-mir-379,hsa-mir-411,hsa-mir-299,hsa-mir-380,hsa-mir-1197,hsa-mir-323a,hsa-mir-758,hsa-mir-329-1,hsa-mir-329-2,hsa-mir-494,hsa-mir-1193,hsa-mir-543,hsa-mir-495"
"294","hsa-mir-323b-3p","hsa-mir-487b,hsa-mir-539,hsa-mir-889,hsa-mir-544a,hsa-mir-655,hsa-mir-487a,hsa-mir-382,hsa-mir-134,hsa-mir-668,hsa-mir-485,hsa-mir-323b,hsa-mir-154,hsa-mir-496,hsa-mir-377,hsa-mir-541,hsa-mir-409,hsa-mir-412,hsa-mir-369,hsa-mir-410"
"295","hsa-mir-324-3p","hsa-mir-324"
"296","hsa-mir-324-5p","hsa-mir-324"
"297","hsa-mir-326","hsa-mir-326"
"298","hsa-mir-328-3p","hsa-mir-328"
"299","hsa-mir-329-3p","hsa-mir-379,hsa-mir-411,hsa-mir-299,hsa-mir-380,hsa-mir-1197,hsa-mir-323a,hsa-mir-758,hsa-mir-329-1,hsa-mir-329-2,hsa-mir-494,hsa-mir-1193,hsa-mir-543,hsa-mir-495"
"300","hsa-mir-330-3p","hsa-mir-330"
"301","hsa-mir-330-5p","hsa-mir-330"
"302","hsa-mir-331-3p","hsa-mir-331,hsa-mir-3685"
"303","hsa-mir-331-5p","hsa-mir-331,hsa-mir-3685"
"304","hsa-mir-335-3p","hsa-mir-335"
"305","hsa-mir-335-5p","hsa-mir-335"
"306","hsa-mir-337-3p","hsa-mir-493,hsa-mir-337,hsa-mir-665,hsa-mir-431,hsa-mir-433,hsa-mir-127,hsa-mir-432"
