"entrezgene_id","hgnc_symbol","mirna1","mirna2","Lancaster_XY_Z","is_mrna_tf","mirna1Literature","mirna2Literature","mrnaLiterature","miRNA1_mRNA_DB","miRNA2_mRNA_DB","miRNA1_pvalue","miRNA1_logFC","miRNA2_pvalue","miRNA2_logFC","mRNA_pvalue","mRNA_logFC","BH_pvalues_adjusted","BH_rejected","miRNA1Family","miRNA2Family","miRNA1Cluster","miRNA2Cluster"
8854,"ALDH1A2","hsa-mir-155-5p","hsa-mir-362-3p",0.0095,FALSE,NA,"<a href='https://pubmed.ncbi.nlm.nih.gov/26647877'>PubMedLink</a>",NA,"mirtarbase tarbase","tarbase",5.40542274160442e-18,0.638657700761372,0.00049475214537473,-0.485637275465429,4.00316982531247e-12,-0.313622658923373,0.133504830917874,FALSE,"miR-155-5p","miR-329-3p/362-3p","hsa-mir-155","hsa-mir-532,hsa-mir-188,hsa-mir-500a,hsa-mir-362,hsa-mir-501,hsa-mir-500b,hsa-mir-660,hsa-mir-502"
10560,"SLC19A2","hsa-mir-146b-5p","hsa-mir-192-5p",0.0015,FALSE,NA,NA,NA,"tarbase","mirtarbase tarbase",0.00067393365800186,0.230490541419182,0.512163534243556,0.0356660401403946,0.00180399178460065,-0.135931429904835,0.0479505494505494,TRUE,"miR-146-5p","miR-192-5p/215-5p","hsa-mir-146b","hsa-mir-192,hsa-mir-194-2"
10560,"SLC19A2","hsa-mir-192-5p","hsa-mir-122-5p",0.0015,FALSE,NA,NA,NA,"mirtarbase tarbase","mirtarbase tarbase",0.512163534243556,0.0356660401403946,2.14025696512547e-62,3.3429230263065,0.00180399178460065,-0.135931429904835,0.0479505494505494,TRUE,"miR-192-5p/215-5p","miR-122-5p","hsa-mir-192,hsa-mir-194-2","hsa-mir-122,hsa-mir-3591"
10560,"SLC19A2","hsa-mir-215-5p","hsa-mir-122-5p",0,FALSE,NA,NA,NA,"mirtarbase tarbase","mirtarbase tarbase",3.75689929708068e-06,0.417810705471489,2.14025696512547e-62,3.3429230263065,0.00180399178460065,-0.135931429904835,0,TRUE,"miR-192-5p/215-5p","miR-122-5p","hsa-mir-215,hsa-mir-194-1","hsa-mir-122,hsa-mir-3591"
23731,"TMEM245","hsa-mir-424-5p","hsa-mir-340-5p",0.007,FALSE,NA,NA,NA,"mirtarbase tarbase","mirtarbase tarbase",0.821534998718057,-0.0147774517265685,0.00010043065094235,0.397649161187248,0.0288205629371372,-0.0906024856473862,0.115045197740113,FALSE,"miR-15-5p/16-5p/195-5p/424-5p/497-5p","miR-340-5p","hsa-mir-450b,hsa-mir-450a-1,hsa-mir-450a-2,hsa-mir-542,hsa-mir-503,hsa-mir-424","hsa-mir-340"
51430,"SUCO","hsa-mir-142-5p","hsa-mir-194-3p",0.004,FALSE,"<a href='https://pubmed.ncbi.nlm.nih.gov/24977165'>PubMedLink</a> <a href='https://pubmed.ncbi.nlm.nih.gov/28559989'>PubMedLink</a>",NA,NA,"tarbase","tarbase",5.16267666625075e-09,0.521902815160723,0.509332188115095,-0.063703195660513,0.263129138502066,-0.048467727972251,0.0868358208955224,FALSE,"miR-142-5p","miR-194-3p","hsa-mir-142,hsa-mir-4736","hsa-mir-192,hsa-mir-194-2"
53335,"BCL11A","hsa-mir-199a-3p","hsa-mir-182-5p",0.0055,TRUE,"<a href='https://pubmed.ncbi.nlm.nih.gov/24609899'>PubMedLink</a> <a href='https://pubmed.ncbi.nlm.nih.gov/24609899'>PubMedLink</a> <a href='https://pubmed.ncbi.nlm.nih.gov/29773428'>PubMedLink</a>","<a href='https://pubmed.ncbi.nlm.nih.gov/24886554'>PubMedLink</a>",NA,"tarbase","tarbase",3.36613682722652e-05,-0.25201299853444,0.0991293576132444,-0.0931909141424519,0.00382737922493053,0.148985426089592,0.103222580645161,FALSE,"miR-199-3p","miR-182-5p","hsa-mir-199a-1","hsa-mir-182,hsa-mir-96,hsa-mir-183"
54845,"ESRP1","hsa-mir-18a-5p","hsa-mir-223-5p",0.006,FALSE,"<a href='https://pubmed.ncbi.nlm.nih.gov/30018727'>PubMedLink</a>",NA,"<a href='https://pubmed.ncbi.nlm.nih.gov/17145811'>PubMedLink</a>","tarbase","tarbase",0.00065951988861591,0.432113908815272,0.00010213061535366,0.535203826816748,6.33247151765617e-26,-0.757934312121894,0.106426829268293,FALSE,"miR-18-5p","miR-223-5p","hsa-mir-17,hsa-mir-18a,hsa-mir-19a,hsa-mir-20a,hsa-mir-19b-1,hsa-mir-92a-1","hsa-mir-223"
54897,"CASZ1","hsa-mir-100-5p","hsa-mir-326",5e-04,TRUE,NA,NA,NA,"tarbase","tarbase",0.960172410794639,-0.00281405365908129,0.975502665547562,0.00353835257173612,3.70758515894013e-06,-0.218746897601455,0.0230873015873016,TRUE,"miR-99-5p/100-5p","miR-326","hsa-let-7a-2,hsa-mir-100","hsa-mir-326"
54910,"SEMA4C","hsa-mir-222-5p","hsa-mir-362-3p",5e-04,FALSE,NA,"<a href='https://pubmed.ncbi.nlm.nih.gov/26647877'>PubMedLink</a>",NA,"tarbase","mirtarbase tarbase",0.0887430900364403,0.229949125586454,0.00049475214537473,-0.485637275465429,0.150123671272542,0.062840560695563,0.0230873015873016,TRUE,"miR-222-5p","miR-329-3p/362-3p","hsa-mir-221,hsa-mir-222","hsa-mir-532,hsa-mir-188,hsa-mir-500a,hsa-mir-362,hsa-mir-501,hsa-mir-500b,hsa-mir-660,hsa-mir-502"
64393,"ZMAT3","hsa-mir-340-5p","hsa-mir-616-5p",0.0035,FALSE,NA,NA,NA,"tarbase","mirtarbase",0.00010043065094235,0.397649161187248,0.00048284603259485,0.510832097121789,0.780729287282547,-0.0121119747997452,0.07954296875,FALSE,"miR-340-5p","miR-371b-5p/373-5p/616-5p","hsa-mir-340","hsa-mir-616"
