"entrezgene_id","hgnc_symbol","mirna1","mirna2","Lancaster_XY_Z","is_mrna_tf","mrnaLiterature","miRNA1_mRNA_DB","miRNA2_mRNA_DB","miRNA1_pvalue","miRNA1_logFC","miRNA2_pvalue","miRNA2_logFC","mRNA_pvalue","mRNA_logFC","BH_pvalues_adjusted","BH_rejected","miRNA1Family","miRNA2Family","miRNA1Cluster","miRNA2Cluster"
338645,"LUZP2","hsa-mir-17-5p","hsa-mir-142-5p",0.0085,FALSE,NA,"mirtarbase","mirtarbase",0.917479117921738,-0.0333613925829875,0.890445126546015,-0.0481124726804888,0.500420706663165,-0.417533512368851,0.0298417350125253,TRUE,"miR-17-5p/20-5p/93-5p/106-5p/519-3p","miR-142-5p","hsa-mir-17,hsa-mir-18a,hsa-mir-19a,hsa-mir-20a,hsa-mir-19b-1,hsa-mir-92a-1","hsa-mir-142,hsa-mir-4736"
339745,"SPOPL","hsa-mir-130a-3p","hsa-mir-520a-5p",0.0015,FALSE,NA,"tarbase","mirtarbase",0.951414196840403,0.0229481688594441,0.105465025266243,2.26854196690349,0.925385628184482,-0.0240043515654642,0.00753113804779898,TRUE,"miR-130-3p/301-3p/454-3p","miR-525-5p","hsa-mir-130a","hsa-mir-520f,hsa-mir-515-2,hsa-mir-519c,hsa-mir-1283-1,hsa-mir-520a,hsa-mir-526b,hsa-mir-519b,hsa-mir-525,hsa-mir-523,hsa-mir-518f"
339745,"SPOPL","hsa-mir-3662","hsa-mir-520a-5p",0.0065,FALSE,NA,"mirtarbase","mirtarbase",0.967570488027407,0.0421793274695032,0.105465025266243,2.26854196690349,0.925385628184482,-0.0240043515654642,0.0242259380692167,TRUE,"miR-3662","miR-525-5p","hsa-mir-3662","hsa-mir-520f,hsa-mir-515-2,hsa-mir-519c,hsa-mir-1283-1,hsa-mir-520a,hsa-mir-526b,hsa-mir-519b,hsa-mir-525,hsa-mir-523,hsa-mir-518f"
339745,"SPOPL","hsa-mir-452-5p","hsa-mir-3662",0.0075,FALSE,NA,"tarbase","mirtarbase",0.100107810820819,-0.648342643060403,0.967570488027407,0.0421793274695032,0.925385628184482,-0.0240043515654642,0.0270627446831023,TRUE,"miR-452-5p/892-3p","miR-3662","hsa-mir-224,hsa-mir-452","hsa-mir-3662"
339745,"SPOPL","hsa-mir-519d-3p","hsa-mir-130a-3p",0.004,FALSE,NA,"mirtarbase","tarbase",0.134909240297518,2.30279849563169,0.951414196840403,0.0229481688594441,0.925385628184482,-0.0240043515654642,0.0165634030841462,TRUE,"miR-17-5p/20-5p/93-5p/106-5p/519-3p","miR-130-3p/301-3p/454-3p","hsa-mir-526a-1,hsa-mir-520c,hsa-mir-518c,hsa-mir-524,hsa-mir-517a,hsa-mir-519d,hsa-mir-521-2,hsa-mir-520d,hsa-mir-517b,hsa-mir-520g","hsa-mir-130a"
339745,"SPOPL","hsa-mir-519d-3p","hsa-mir-3662",0.0075,FALSE,NA,"mirtarbase","mirtarbase",0.134909240297518,2.30279849563169,0.967570488027407,0.0421793274695032,0.925385628184482,-0.0240043515654642,0.0270627446831023,TRUE,"miR-17-5p/20-5p/93-5p/106-5p/519-3p","miR-3662","hsa-mir-526a-1,hsa-mir-520c,hsa-mir-518c,hsa-mir-524,hsa-mir-517a,hsa-mir-519d,hsa-mir-521-2,hsa-mir-520d,hsa-mir-517b,hsa-mir-520g","hsa-mir-3662"
339745,"SPOPL","hsa-mir-525-5p","hsa-mir-130a-3p",0.004,FALSE,NA,"mirtarbase","tarbase",0.0786771854930094,2.56558550215766,0.951414196840403,0.0229481688594441,0.925385628184482,-0.0240043515654642,0.0165634030841462,TRUE,"miR-525-5p","miR-130-3p/301-3p/454-3p","hsa-mir-1283-1,hsa-mir-520a,hsa-mir-526b,hsa-mir-519b,hsa-mir-525,hsa-mir-523,hsa-mir-518f,hsa-mir-520b,hsa-mir-518b,hsa-mir-526a-1,hsa-mir-520c","hsa-mir-130a"
339745,"SPOPL","hsa-mir-525-5p","hsa-mir-3662",0.0085,FALSE,NA,"mirtarbase","mirtarbase",0.0786771854930094,2.56558550215766,0.967570488027407,0.0421793274695032,0.925385628184482,-0.0240043515654642,0.0298417350125253,TRUE,"miR-525-5p","miR-3662","hsa-mir-1283-1,hsa-mir-520a,hsa-mir-526b,hsa-mir-519b,hsa-mir-525,hsa-mir-523,hsa-mir-518f,hsa-mir-520b,hsa-mir-518b,hsa-mir-526a-1,hsa-mir-520c","hsa-mir-3662"
339983,"NAT8L","hsa-mir-942-5p","hsa-mir-181a-5p",0.0025,FALSE,NA,"tarbase","tarbase",0.683486782445692,-0.184650981151469,0.533191609248144,-0.17139396372748,0.218487563806432,-0.32074154122724,0.0113655350159971,TRUE,"miR-942-5p","miR-181-5p","hsa-mir-942","hsa-mir-181a-2,hsa-mir-181b-2"
388228,"SBK1","hsa-let-7b-5p","hsa-mir-377-5p",0.0055,FALSE,NA,"tarbase","mirtarbase",0.784564546838161,-0.0733583306011839,0.908398501428738,-0.0874898225766055,0.813644134766994,-0.05729431262802,0.0212706585015499,TRUE,"let-7-5p/98-5p","miR-377-5p/6086","hsa-let-7a-3,hsa-mir-4763,hsa-let-7b","hsa-mir-487a,hsa-mir-382,hsa-mir-134,hsa-mir-668,hsa-mir-485,hsa-mir-323b,hsa-mir-154,hsa-mir-496,hsa-mir-377,hsa-mir-541,hsa-mir-409,hsa-mir-412,hsa-mir-369,hsa-mir-410,hsa-mir-656"
401387,"LRRD1","hsa-mir-17-5p","hsa-mir-20a-5p",0,FALSE,NA,"mirtarbase","mirtarbase",0.917479117921738,-0.0333613925829875,0.956264637395162,-0.0176731706214748,0.755756243213934,-0.122001170782988,0,TRUE,"miR-17-5p/20-5p/93-5p/106-5p/519-3p","miR-17-5p/20-5p/93-5p/106-5p/519-3p","hsa-mir-17,hsa-mir-18a,hsa-mir-19a,hsa-mir-20a,hsa-mir-19b-1,hsa-mir-92a-1","hsa-mir-17,hsa-mir-18a,hsa-mir-19a,hsa-mir-20a,hsa-mir-19b-1,hsa-mir-92a-1"
401387,"LRRD1","hsa-mir-20a-5p","hsa-mir-18a-3p",0,FALSE,NA,"mirtarbase","mirtarbase",0.956264637395162,-0.0176731706214748,0.969092342841478,-0.027282310746912,0.755756243213934,-0.122001170782988,0,TRUE,"miR-17-5p/20-5p/93-5p/106-5p/519-3p","miR-18a-3p","hsa-mir-17,hsa-mir-18a,hsa-mir-19a,hsa-mir-20a,hsa-mir-19b-1,hsa-mir-92a-1","hsa-mir-17,hsa-mir-18a,hsa-mir-19a,hsa-mir-20a,hsa-mir-19b-1,hsa-mir-92a-1"
401387,"LRRD1","hsa-mir-93-5p","hsa-mir-17-5p",0.0025,FALSE,NA,"mirtarbase","mirtarbase",0.745306187188725,-0.0919957586453292,0.917479117921738,-0.0333613925829875,0.755756243213934,-0.122001170782988,0.0113655350159971,TRUE,"miR-17-5p/20-5p/93-5p/106-5p/519-3p","miR-17-5p/20-5p/93-5p/106-5p/519-3p","hsa-mir-25,hsa-mir-93,hsa-mir-106b","hsa-mir-17,hsa-mir-18a,hsa-mir-19a,hsa-mir-20a,hsa-mir-19b-1,hsa-mir-92a-1"
401387,"LRRD1","hsa-mir-93-5p","hsa-mir-20a-5p",0.0015,FALSE,NA,"mirtarbase","mirtarbase",0.745306187188725,-0.0919957586453292,0.956264637395162,-0.0176731706214748,0.755756243213934,-0.122001170782988,0.00753113804779898,TRUE,"miR-17-5p/20-5p/93-5p/106-5p/519-3p","miR-17-5p/20-5p/93-5p/106-5p/519-3p","hsa-mir-25,hsa-mir-93,hsa-mir-106b","hsa-mir-17,hsa-mir-18a,hsa-mir-19a,hsa-mir-20a,hsa-mir-19b-1,hsa-mir-92a-1"
645369,"TMEM200C","hsa-mir-20b-5p","hsa-mir-17-5p",0.0045,FALSE,NA,"mirtarbase tarbase","mirtarbase tarbase",0.965618756843915,-0.0151982693215879,0.917479117921738,-0.0333613925829875,0.683092045262546,0.125097778806837,0.0181676334793418,TRUE,"miR-17-5p/20-5p/93-5p/106-5p/519-3p","miR-17-5p/20-5p/93-5p/106-5p/519-3p","hsa-mir-363,hsa-mir-92a-2,hsa-mir-19b-2,hsa-mir-20b,hsa-mir-18b,hsa-mir-106a","hsa-mir-17,hsa-mir-18a,hsa-mir-19a,hsa-mir-20a,hsa-mir-19b-1,hsa-mir-92a-1"
645369,"TMEM200C","hsa-mir-20b-5p","hsa-mir-20a-5p",0.0075,FALSE,NA,"mirtarbase tarbase","mirtarbase tarbase",0.965618756843915,-0.0151982693215879,0.956264637395162,-0.0176731706214748,0.683092045262546,0.125097778806837,0.0270627446831023,TRUE,"miR-17-5p/20-5p/93-5p/106-5p/519-3p","miR-17-5p/20-5p/93-5p/106-5p/519-3p","hsa-mir-363,hsa-mir-92a-2,hsa-mir-19b-2,hsa-mir-20b,hsa-mir-18b,hsa-mir-106a","hsa-mir-17,hsa-mir-18a,hsa-mir-19a,hsa-mir-20a,hsa-mir-19b-1,hsa-mir-92a-1"
645369,"TMEM200C","hsa-mir-93-5p","hsa-mir-20b-5p",0.0045,FALSE,NA,"mirtarbase tarbase","mirtarbase tarbase",0.745306187188725,-0.0919957586453292,0.965618756843915,-0.0151982693215879,0.683092045262546,0.125097778806837,0.0181676334793418,TRUE,"miR-17-5p/20-5p/93-5p/106-5p/519-3p","miR-17-5p/20-5p/93-5p/106-5p/519-3p","hsa-mir-25,hsa-mir-93,hsa-mir-106b","hsa-mir-363,hsa-mir-92a-2,hsa-mir-19b-2,hsa-mir-20b,hsa-mir-18b,hsa-mir-106a"
