"entrezgene_id","hgnc_symbol","mirna1","mirna2","Lancaster_XY_Z","is_mrna_tf","mirna1Literature","mirna2Literature","mrnaLiterature","miRNA1_mRNA_DB","miRNA2_mRNA_DB","miRNA1_pvalue","miRNA1_logFC","miRNA2_pvalue","miRNA2_logFC","mRNA_pvalue","mRNA_logFC","BH_pvalues_adjusted","BH_rejected","miRNA1Family","miRNA2Family","miRNA1Cluster","miRNA2Cluster"
2932,"GSK3B","hsa-mir-411-3p","hsa-mir-424-5p",0.002,FALSE,NA,NA,"<a href='https://pubmed.ncbi.nlm.nih.gov/30417779'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/30417779'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/31750236'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/31750236'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/31750236'>PubMedLink</a>","tarbase","tarbase",0.813967204405885,0.0971445903248991,0.0952209190976666,-0.526844940831158,0.94707580556922,-0.0131809333855346,0.0506728971962617,FALSE,"miR-411-3p","miR-15-5p/16-5p/195-5p/424-5p/497-5p","hsa-mir-379,hsa-mir-411,hsa-mir-299,hsa-mir-380,hsa-mir-1197,hsa-mir-323a,hsa-mir-758,hsa-mir-329-1,hsa-mir-329-2,hsa-mir-494,hsa-mir-1193,hsa-mir-543","hsa-mir-450b,hsa-mir-450a-1,hsa-mir-450a-2,hsa-mir-542,hsa-mir-503,hsa-mir-424"
2932,"GSK3B","hsa-mir-424-5p","hsa-mir-410-3p",0.0025,FALSE,NA,NA,"<a href='https://pubmed.ncbi.nlm.nih.gov/30417779'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/30417779'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/31750236'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/31750236'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/31750236'>PubMedLink</a>","tarbase","mirtarbase",0.0952209190976666,-0.526844940831158,0.176058073217224,0.393341495138207,0.94707580556922,-0.0131809333855346,0.0594517543859649,FALSE,"miR-15-5p/16-5p/195-5p/424-5p/497-5p","miR-410-3p","hsa-mir-450b,hsa-mir-450a-1,hsa-mir-450a-2,hsa-mir-542,hsa-mir-503,hsa-mir-424","hsa-mir-323b,hsa-mir-154,hsa-mir-496,hsa-mir-377,hsa-mir-541,hsa-mir-409,hsa-mir-412,hsa-mir-369,hsa-mir-410,hsa-mir-656"
2932,"GSK3B","hsa-mir-99a-3p","hsa-mir-411-3p",0.001,FALSE,NA,NA,"<a href='https://pubmed.ncbi.nlm.nih.gov/30417779'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/30417779'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/31750236'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/31750236'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/31750236'>PubMedLink</a>","tarbase","tarbase",0.00018410088017964,-1.90906361567803,0.813967204405885,0.0971445903248991,0.94707580556922,-0.0131809333855346,0.0315232558139535,TRUE,"miR-99-3p","miR-411-3p","hsa-mir-99a,hsa-let-7c","hsa-mir-379,hsa-mir-411,hsa-mir-299,hsa-mir-380,hsa-mir-1197,hsa-mir-323a,hsa-mir-758,hsa-mir-329-1,hsa-mir-329-2,hsa-mir-494,hsa-mir-1193,hsa-mir-543"
3206,"HOXA10","hsa-mir-873-5p","hsa-mir-494-3p",0.004,TRUE,NA,NA,NA,"tarbase","mirtarbase",0.00277600686250839,3.64438129616594,0.546419681944936,-0.229260705923761,0.0518601742644244,-0.42122528349816,0.0769078014184397,FALSE,NA,"miR-494-3p","hsa-mir-873","hsa-mir-379,hsa-mir-411,hsa-mir-299,hsa-mir-380,hsa-mir-1197,hsa-mir-323a,hsa-mir-758,hsa-mir-329-1,hsa-mir-329-2,hsa-mir-494,hsa-mir-1193,hsa-mir-543,hsa-mir-495"
3312,"HSPA8","hsa-mir-301b-3p","hsa-mir-32-3p",0.0085,FALSE,NA,NA,NA,"mirtarbase","mirtarbase",0.00922284515750276,3.28020294049705,0.0340399562878437,-1.42455433435913,0.990607532587243,0.00209437599819918,0.120226956521739,FALSE,"miR-130-3p/301-3p/454-3p","miR-32-3p","hsa-mir-301b,hsa-mir-130b","hsa-mir-32"
3696,"ITGB8","hsa-mir-182-5p","hsa-mir-148a-3p",0.0055,FALSE,NA,NA,NA,"tarbase","mirtarbase tarbase",0.361808731279103,-0.23139035097995,0.25468892977419,-0.247099703884615,0.506557650178867,0.147382513008298,0.0933851774530271,FALSE,"miR-182-5p","miR-148-3p/152-3p","hsa-mir-182,hsa-mir-96,hsa-mir-183","hsa-mir-148a"
4609,"MYC","hsa-mir-7-5p","hsa-mir-138-5p",0.005,TRUE,NA,NA,"<a href='https://pubmed.ncbi.nlm.nih.gov/21685915'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/22706201'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/22706201'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/2405002'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/2405002'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/26070438'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/26070438'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/26070438'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/9071974'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/9071974'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/9177412'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/9177412'>PubMedLink</a>","mirtarbase","tarbase",0.00076634985750306,1.1833336571532,0.00305635781057354,1.57230705262798,0.311770033445443,-0.194393416260303,0.0885947712418301,FALSE,"miR-7-5p","miR-138-5p","hsa-mir-7-1","hsa-mir-138-2"
4685,"NCAM2","hsa-mir-182-5p","hsa-mir-96-5p",0.009,FALSE,NA,NA,NA,"tarbase","tarbase",0.361808731279103,-0.23139035097995,0.151321344137644,-0.917610106783484,0.95535183730267,0.0113446598606063,0.123643581081081,FALSE,"miR-182-5p","miR-96-5p/1271-5p","hsa-mir-182,hsa-mir-96,hsa-mir-183","hsa-mir-182,hsa-mir-96,hsa-mir-183"
4685,"NCAM2","hsa-mir-21-3p","hsa-mir-182-5p",0,FALSE,NA,NA,NA,"mirtarbase","tarbase",0.578586216813254,-0.166889728203755,0.361808731279103,-0.23139035097995,0.95535183730267,0.0113446598606063,0,TRUE,"miR-21-3p/3591-3p","miR-182-5p","hsa-mir-21","hsa-mir-182,hsa-mir-96,hsa-mir-183"
4756,"NEO1","hsa-mir-542-3p","hsa-mir-181c-5p",0.003,FALSE,NA,NA,NA,"tarbase","tarbase",0.0931517876213775,-0.479297901675178,0.0961705067576697,0.573415148512542,0.896999309423553,0.0263975770609301,0.0659432432432432,FALSE,"miR-542-3p","miR-181-5p","hsa-mir-450b,hsa-mir-450a-1,hsa-mir-450a-2,hsa-mir-542,hsa-mir-503,hsa-mir-424","hsa-mir-181c,hsa-mir-181d"
4784,"NFIX","hsa-mir-323a-5p","hsa-mir-483-5p",0.0085,TRUE,NA,NA,NA,"tarbase","mirtarbase tarbase",0.324641205976841,0.711189661889447,0.011306338959483,0.897342440224026,0.726303740224404,-0.0699072440701174,0.120226956521739,FALSE,"miR-323a-5p","miR-483-5p","hsa-mir-379,hsa-mir-411,hsa-mir-299,hsa-mir-380,hsa-mir-1197,hsa-mir-323a,hsa-mir-758,hsa-mir-329-1,hsa-mir-329-2,hsa-mir-494,hsa-mir-1193,hsa-mir-543,hsa-mir-495","hsa-mir-483"
4853,"NOTCH2","hsa-mir-873-5p","hsa-mir-9-5p",0.009,FALSE,NA,NA,NA,"tarbase","mirtarbase",0.00277600686250839,3.64438129616594,0.47561984644044,0.166983841098921,0.155888824159509,-0.295902938223424,0.123643581081081,FALSE,NA,"miR-9-5p","hsa-mir-873","hsa-mir-9-1"
4884,"NPTX1","hsa-mir-210-3p","hsa-mir-455-3p",0.0025,FALSE,NA,NA,NA,"mirtarbase","tarbase",0.279633000636637,0.329146913369594,0.0241532905803785,-0.702152926957944,0.286921030659241,-0.217068107561182,0.0594517543859649,FALSE,"miR-210-3p",NA,"hsa-mir-210","hsa-mir-455"
5074,"PAWR","hsa-mir-362-5p","hsa-mir-188-5p",0,FALSE,"<a href='https://pubmed.ncbi.nlm.nih.gPCPG/26073258'>PubMedLink</a>",NA,NA,"tarbase","tarbase",0.9646035537708,-0.0187657724523841,0.820338596418814,-0.124792039378594,0.385899319512475,-0.184473049929903,0,TRUE,"miR-362-5p/500b-5p","miR-188-5p","hsa-mir-532,hsa-mir-188,hsa-mir-500a,hsa-mir-362,hsa-mir-501,hsa-mir-500b,hsa-mir-660,hsa-mir-502","hsa-mir-532,hsa-mir-188,hsa-mir-500a,hsa-mir-362,hsa-mir-501,hsa-mir-500b,hsa-mir-660"
5217,"PFN2","hsa-mir-1-3p","hsa-mir-138-5p",5e-04,FALSE,NA,NA,NA,"tarbase","mirtarbase",0.410500257941461,-0.317109730281849,0.00305635781057354,1.57230705262798,0.659314033512262,0.0850942976129005,0.0193642857142857,TRUE,"miR-1-3p/206","miR-138-5p","hsa-mir-133a-1,hsa-mir-1-2","hsa-mir-138-2"
