"entrezgene_id","hgnc_symbol","mirna1","mirna2","Lancaster_XY_Z","is_mrna_tf","mirna1Literature","mirna2Literature","mrnaLiterature","miRNA1_mRNA_DB","miRNA2_mRNA_DB","BH_pvalues_adjusted","BH_rejected","miRNA1Family","miRNA2Family","miRNA1Cluster","miRNA2Cluster"
518,"ATP5MC3","hsa-mir-409-3p","hsa-mir-424-5p",0.004,FALSE,"<a href='https://pubmed.ncbi.nlm.nih.gov/24591819'>PubMedLink</a>","<a href='https://pubmed.ncbi.nlm.nih.gov/29151939'>PubMedLink</a>",NA,"mirtarbase","mirtarbase tarbase",0.164376470588235,FALSE,"miR-409-3p","miR-15-5p/16-5p/195-5p/424-5p/497-5p","hsa-mir-668,hsa-mir-485,hsa-mir-323b,hsa-mir-154,hsa-mir-496,hsa-mir-377,hsa-mir-541,hsa-mir-409,hsa-mir-412,hsa-mir-369,hsa-mir-410,hsa-mir-656","hsa-mir-450b,hsa-mir-450a-1,hsa-mir-450a-2,hsa-mir-542,hsa-mir-503,hsa-mir-424"
595,"CCND1","hsa-mir-338-3p","hsa-mir-17-5p",0.0075,FALSE,NA,"<a href='https://pubmed.ncbi.nlm.nih.gov/26500892'>PubMedLink</a>","<a href='https://pubmed.ncbi.nlm.nih.gov/10329035'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/10584879'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/11395387'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/15297421'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/15505422'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/15505422'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/15545188'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/23907459'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/24018808'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/24858206'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/28521400'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/28598010'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/30205383'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/30409964'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/30414739'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/8607831'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/9038263'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/9790790'>PubMedLink</a>","mirtarbase tarbase","mirtarbase tarbase",0.221075949367089,FALSE,"miR-338-3p","miR-17-5p/20-5p/93-5p/106-5p/519-3p","hsa-mir-657,hsa-mir-3065,hsa-mir-338,hsa-mir-1250","hsa-mir-17,hsa-mir-18a,hsa-mir-19a,hsa-mir-20a,hsa-mir-19b-1,hsa-mir-92a-1"
773,"CACNA1A","hsa-mir-605-5p","hsa-mir-221-5p",0.005,FALSE,NA,NA,NA,"mirtarbase","tarbase",0.180051546391753,FALSE,"miR-605-5p","miR-221-5p/8073","hsa-mir-605","hsa-mir-221,hsa-mir-222"
800,"CALD1","hsa-mir-17-5p","hsa-mir-98-5p",0.004,FALSE,"<a href='https://pubmed.ncbi.nlm.nih.gov/26500892'>PubMedLink</a>",NA,NA,"tarbase","tarbase",0.164376470588235,FALSE,"miR-17-5p/20-5p/93-5p/106-5p/519-3p","let-7-5p/98-5p","hsa-mir-17,hsa-mir-18a,hsa-mir-19a,hsa-mir-20a,hsa-mir-19b-1,hsa-mir-92a-1","hsa-mir-98,hsa-let-7f-2"
857,"CAV1","hsa-mir-194-5p","hsa-mir-20a-5p",0.007,FALSE,NA,NA,"<a href='https://pubmed.ncbi.nlm.nih.gov/11032026'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/11032026'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/11696424'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/11696424'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/11863219'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/11863219'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/26503358'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/30487062'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/31228941'>PubMedLink</a>","mirtarbase tarbase","mirtarbase tarbase",0.213545851528384,FALSE,"miR-194-5p","miR-17-5p/20-5p/93-5p/106-5p/519-3p","hsa-mir-215,hsa-mir-194-1","hsa-mir-17,hsa-mir-18a,hsa-mir-19a,hsa-mir-20a,hsa-mir-19b-1,hsa-mir-92a-1"
894,"CCND2","hsa-mir-10a-5p","hsa-mir-106a-5p",0.006,FALSE,NA,NA,"<a href='https://pubmed.ncbi.nlm.nih.gov/17270028'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/18281541'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/30205383'>PubMedLink</a>","tarbase","tarbase",0.200555023923445,FALSE,"miR-10-5p","miR-17-5p/20-5p/93-5p/106-5p/519-3p","hsa-mir-10a","hsa-mir-363,hsa-mir-92a-2,hsa-mir-19b-2,hsa-mir-20b,hsa-mir-18b,hsa-mir-106a"
894,"CCND2","hsa-mir-200a-3p","hsa-mir-378a-5p",0.0075,FALSE,NA,NA,"<a href='https://pubmed.ncbi.nlm.nih.gov/17270028'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/18281541'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/30205383'>PubMedLink</a>","tarbase","mirtarbase tarbase",0.221075949367089,FALSE,"miR-141-3p/200a-3p","miR-378a-5p","hsa-mir-200b,hsa-mir-200a,hsa-mir-429","hsa-mir-378a"
990,"CDC6","hsa-mir-142-3p","hsa-mir-204-5p",0.0045,FALSE,"<a href='https://pubmed.ncbi.nlm.nih.gov/29904404'>PubMedLink</a>",NA,"<a href='https://pubmed.ncbi.nlm.nih.gov/27035425'>PubMedLink</a>","mirtarbase tarbase","tarbase",0.172730769230769,FALSE,NA,"miR-204-5p/211-5p","hsa-mir-142,hsa-mir-4736","hsa-mir-204"
1021,"CDK6","hsa-mir-378a-3p","hsa-let-7f-5p",0.0045,FALSE,NA,NA,"<a href='https://pubmed.ncbi.nlm.nih.gov/28778953'>PubMedLink</a>","mirtarbase tarbase","tarbase",0.172730769230769,FALSE,"miR-378-3p","let-7-5p/98-5p","hsa-mir-378a","hsa-let-7a-1,hsa-let-7f-1,hsa-let-7d"
1021,"CDK6","hsa-mir-378a-3p","hsa-mir-200a-3p",0.004,FALSE,NA,NA,"<a href='https://pubmed.ncbi.nlm.nih.gov/28778953'>PubMedLink</a>","mirtarbase tarbase","mirtarbase",0.164376470588235,FALSE,"miR-378-3p","miR-141-3p/200a-3p","hsa-mir-378a","hsa-mir-200b,hsa-mir-200a,hsa-mir-429"
