"miRNA1","miRNA2","TF","hgnc_symbol_tf","Target","hgnc_symbol_target","ModeOfRegulation","TwoVar_mirna1_tf","TwoVar_mirna1_target","TwoVar_mirna2_target","mirna1mirna2_target","BH_pvalues_adjusted"
"hsa-mir-301a-3p","hsa-mir-93-3p",687,"KLF9",23328,"SASH1",1,0,0.084,0.022,0,0
"hsa-mir-33a-5p","hsa-mir-340-5p",4205,"MEF2A",23345,"SYNE1",1,0,0.0625,0.1605,5e-04,0.0275537258815702
"hsa-mir-18a-5p","hsa-mir-193b-3p",7543,"ZFX",23347,"SMCHD1",1,0,0.1145,0.0775,0,0
"hsa-mir-183-5p","hsa-mir-505-5p",4779,"NFE2L1",23731,"TMEM245",1,0.001,0.558,0.146,5e-04,0.0275537258815702
"hsa-mir-199b-5p","hsa-mir-328-3p",6621,"SNAPC4",51434,"ANAPC7",1,0,0.354,0.0265,0,0
"hsa-mir-106a-5p","hsa-mir-204-5p",6925,"TCF4",51474,"LIMA1",1,0,0.161,0.2155,0.001,0.0440683692471402
"hsa-mir-204-5p","hsa-mir-301a-3p",3607,"FOXK2",51586,"MED15",1,0.005,0.1915,0.475,5e-04,0.0275537258815702
"hsa-mir-145-5p","hsa-mir-223-5p",1316,"KLF6",54206,"ERRFI1",1,0.0055,0.131,0.3705,5e-04,0.0275537258815702
"hsa-mir-183-3p","hsa-mir-582-3p",6671,"SP4",54822,"TRPM7",1,0.006,0.039,0.0975,0.001,0.0440683692471402
"hsa-mir-26b-3p","hsa-mir-589-3p",10499,"NCOA2",55074,"OXR1",1,0.0035,0.0765,0.2755,0.001,0.0440683692471402
"hsa-mir-362-5p","hsa-mir-96-5p",3516,"RBPJ",55668,"GPATCH2L",1,5e-04,0.4655,0.11,5e-04,0.0275537258815702
"hsa-mir-30a-3p","hsa-mir-654-5p",3607,"FOXK2",57154,"SMURF1",1,0,0.455,0.2555,0,0
"hsa-mir-301b-3p","hsa-mir-592",11016,"ATF7",57492,"ARID1B",1,0,0.035,0.19,0.001,0.0440683692471402
"hsa-mir-192-5p","hsa-mir-503-5p",3660,"IRF2",57563,"KLHL8",1,0.0025,0.0505,0.019,5e-04,0.0275537258815702
"hsa-let-7f-5p","hsa-mir-550a-5p",11016,"ATF7",64764,"CREB3L2",1,0,0.3775,0.1655,5e-04,0.0275537258815702
"hsa-mir-19a-3p","hsa-mir-760",10320,"IKZF1",64859,"NABP1",1,0.0035,0.0565,0.1695,5e-04,0.0275537258815702
"hsa-mir-183-5p","hsa-mir-3117-3p",283337,"ZNF740",65125,"WNK1",1,0.0025,0.169,0.232,0,0
"hsa-mir-155-5p","hsa-mir-320b",6938,"TCF12",79068,"FTO",1,0,0.0325,0.0405,0,0
"hsa-let-7f-5p","hsa-mir-143-3p",1874,"E2F4",79733,"E2F8",1,0,0.0455,0.1395,0,0
"hsa-mir-29b-2-5p","hsa-mir-33b-5p",10765,"KDM5B",80790,"CMIP",1,0.008,0.0455,0.8665,5e-04,0.0275537258815702
"hsa-mir-29a-5p","hsa-mir-744-3p",1997,"ELF1",81631,"MAP1LC3B",1,5e-04,0.1145,0.0385,0.001,0.0440683692471402
"hsa-mir-20a-3p","hsa-mir-20a-5p",4205,"MEF2A",83478,"ARHGAP24",1,0,0.074,0.096,0.001,0.0440683692471402
"hsa-mir-200a-3p","hsa-mir-455-3p",1316,"KLF6",84159,"ARID5B",1,0,0.219,0.063,0,0
"hsa-mir-200a-3p","hsa-mir-29b-1-5p",1523,"CUX1",84159,"ARID5B",1,0.007,0.302,0.098,5e-04,0.0275537258815702
"hsa-mir-200a-3p","hsa-mir-455-3p",1523,"CUX1",84159,"ARID5B",1,0.0055,0.219,0.063,0,0
"hsa-mir-192-5p","hsa-mir-7-5p",2099,"ESR1",84159,"ARID5B",1,0.001,0.031,0.2505,0,0
"hsa-mir-362-5p","hsa-mir-877-5p",7003,"TEAD1",84441,"MAML2",1,5e-04,0.1665,0.065,0.001,0.0440683692471402
"hsa-mir-301b-3p","hsa-mir-3065-5p",3662,"IRF4",84541,"KBTBD8",1,0.002,0.018,0.1555,0,0
"hsa-mir-616-5p","hsa-mir-887-3p",1997,"ELF1",152006,"RNF38",1,0,0.027,0.1045,5e-04,0.0275537258815702
"hsa-mir-339-5p","hsa-mir-629-3p",10499,"NCOA2",157680,"VPS13B",1,0.003,0.0115,0.192,0,0
"hsa-mir-18a-5p","hsa-mir-215-5p",3516,"RBPJ",387119,"CEP85L",1,0.0035,0.113,0.0575,5e-04,0.0275537258815702
"hsa-mir-135b-5p","hsa-mir-320b",3516,"RBPJ",387119,"CEP85L",1,0.0055,0.0435,0.677,0.001,0.0440683692471402
