"miRNA1","miRNA2","TF","hgnc_symbol_tf","Target","hgnc_symbol_target","ModeOfRegulation","TwoVar_mirna1_tf","TwoVar_mirna1_target","TwoVar_mirna2_target","mirna1mirna2_target","BH_pvalues_adjusted"
"hsa-mir-29b-1-5p","hsa-mir-9-5p",1997,"ELF1",25942,"SIN3A",1,0.005,0.036,0.04,0,0
"hsa-mir-200a-3p","hsa-mir-33a-5p",3516,"RBPJ",27086,"FOXP1",1,0,0.2605,0.2165,0,0
"hsa-mir-141-3p","hsa-mir-33b-5p",10765,"KDM5B",27086,"FOXP1",1,0,0.0125,0.99,0.0015,0.0246835820895522
"hsa-mir-149-5p","hsa-mir-362-3p",7003,"TEAD1",51421,"AMOTL2",1,0,0.035,0.1795,0,0
"hsa-mir-362-3p","hsa-mir-629-3p",4205,"MEF2A",51719,"CAB39",1,0.005,0.4865,0.38,5e-04,0.0108588312541037
"hsa-mir-29b-1-5p","hsa-mir-503-5p",1997,"ELF1",56990,"CDC42SE2",1,0.0025,0.2345,0.033,0.0035,0.0427812269031781
"hsa-mir-20b-5p","hsa-mir-486-5p",7182,"NR2C2",57649,"PHF12",1,0,0.081,0.6235,0,0
"hsa-mir-200a-3p","hsa-mir-653-5p",3516,"RBPJ",64778,"FNDC3B",1,0,0.105,0.203,0,0
"hsa-mir-20b-5p","hsa-mir-497-3p",7182,"NR2C2",80218,"NAA50",1,0,0.091,0.2445,0.001,0.0182437948152234
"hsa-mir-204-5p","hsa-mir-33b-5p",6925,"TCF4",84159,"ARID5B",1,0.008,0.0145,0.1015,0.004,0.0468332743362832
"hsa-mir-200a-3p","hsa-mir-200b-3p",6925,"TCF4",84159,"ARID5B",1,0,0.012,0.142,0,0
"hsa-mir-141-3p","hsa-mir-23c",1316,"KLF6",124540,"MSI2",1,0,0.0105,0.016,5e-04,0.0108588312541037
"hsa-mir-106a-3p","hsa-mir-20b-5p",7764,"ZNF217",200424,"TET3",1,0.008,0.1375,0.019,0.001,0.0182437948152234
