"miRNA1","miRNA2","TF","hgnc_symbol_tf","Target","hgnc_symbol_target","ModeOfRegulation","TwoVar_mirna1_tf","TwoVar_mirna1_target","TwoVar_mirna2_target","mirna1mirna2_target","BH_pvalues_adjusted"
"hsa-mir-200a-3p","hsa-mir-34c-5p",51341,"ZBTB7A",5727,"PTCH1",-1,0.004,0.16,0.024,0.006,0.042518872173678
"hsa-mir-138-5p","hsa-mir-204-5p",4212,"MEIS2",5747,"PTK2",1,0.006,0.2995,0.0825,0.004,0.0316822392267418
"hsa-mir-708-5p","hsa-mir-96-5p",4790,"NFKB1",5783,"PTPN13",1,0,0.4085,0.085,0.0035,0.0286956227201667
"hsa-mir-103a-2-5p","hsa-mir-182-5p",10009,"ZBTB33",5813,"PURA",1,0.0055,0.032,0.037,0.006,0.042518872173678
"hsa-mir-182-5p","hsa-mir-9-5p",2099,"ESR1",5914,"RARA",1,0,0.0205,0.0215,0.0035,0.0286956227201667
"hsa-mir-146a-5p","hsa-mir-148a-3p",1054,"CEBPG",6249,"CLIP1",1,0,0.0125,0.013,0.005,0.0372335289663006
"hsa-mir-19a-3p","hsa-mir-221-3p",10664,"CTCF",6314,"ATXN7",1,0.002,0.0335,0.7415,0.0065,0.044791126489138
"hsa-mir-20b-5p","hsa-mir-3130-5p",5966,"REL",6352,"CCL5",1,0.001,0.672,0.162,0.005,0.0372335289663006
"hsa-mir-589-3p","hsa-mir-7-5p",3091,"HIF1A",6387,"CXCL12",1,0.001,0.926,0.12,0.006,0.042518872173678
"hsa-mir-301b-3p","hsa-mir-338-5p",2099,"ESR1",6667,"SP1",1,0,0.021,0.037,0.0025,0.022361284820921
"hsa-mir-200b-5p","hsa-mir-96-5p",90993,"CREB3L1",6770,"STAR",1,0,0.443,0.2165,0.001,0.0110565003513703
"hsa-mir-200a-3p","hsa-mir-3065-3p",4205,"MEF2A",6935,"ZEB1",1,0.004,0.1035,0.015,0,0
"hsa-mir-214-3p","hsa-mir-409-3p",2113,"ETS1",7037,"TFRC",1,0,0.1845,0.141,0.0015,0.0151749614197531
"hsa-mir-136-5p","hsa-mir-214-3p",2113,"ETS1",7037,"TFRC",1,0.0055,0.2955,0.2085,0.0045,0.0345030701754386
"hsa-mir-409-3p","hsa-mir-96-5p",6667,"SP1",7048,"TGFBR2",1,0.0015,0.136,0.2535,0.007,0.0472393411683967
"hsa-mir-130a-5p","hsa-mir-616-5p",10765,"KDM5B",7050,"TGIF1",1,0,0.4455,0.0135,0.006,0.042518872173678
"hsa-mir-20b-5p","hsa-mir-503-5p",6667,"SP1",7077,"TIMP2",1,0,0.0265,0.042,0.001,0.0110565003513703
"hsa-mir-146b-5p","hsa-mir-19a-3p",3091,"HIF1A",7099,"TLR4",1,0,0.1275,0.0465,0.0025,0.022361284820921
"hsa-mir-138-5p","hsa-mir-21-5p",3091,"HIF1A",7099,"TLR4",1,0,0.0285,0.3585,0.0035,0.0286956227201667
"hsa-mir-31-3p","hsa-mir-424-5p",11016,"ATF7",7158,"TP53BP1",1,5e-04,0.057,0.3875,0.005,0.0372335289663006
"hsa-mir-33a-5p","hsa-mir-874-3p",1869,"E2F1",7298,"TYMS",1,0.001,0.0225,0.106,0.006,0.042518872173678
"hsa-mir-193b-3p","hsa-mir-320d",10009,"ZBTB33",7323,"UBE2D3",1,5e-04,0.0515,0.694,0.001,0.0110565003513703
"hsa-mir-214-3p","hsa-mir-221-3p",6929,"TCF3",7410,"VAV2",1,0.001,0.3045,0.1495,0.001,0.0110565003513703
"hsa-let-7f-5p","hsa-mir-199a-5p",6670,"SP3",7422,"VEGFA",1,0,0.2585,0.0205,5e-04,0.00622562519784742
"hsa-mir-199a-5p","hsa-mir-432-5p",6670,"SP3",7422,"VEGFA",1,0,0.019,0.0245,0,0
"hsa-mir-214-3p","hsa-mir-432-5p",6670,"SP3",7422,"VEGFA",1,0.0095,0.1535,0.0305,5e-04,0.00622562519784742
