"miRNA1","miRNA2","TF","hgnc_symbol_tf","Target","hgnc_symbol_target","ModeOfRegulation","TwoVar_mirna1_tf","TwoVar_mirna1_target","TwoVar_mirna2_target","mirna1mirna2_target","BH_pvalues_adjusted"
"hsa-mir-16-2-3p","hsa-mir-676-3p",2309,"FOXO3",367,"AR",1,0.0015,0.173,0.019,0,0
"hsa-mir-145-5p","hsa-mir-301a-3p",4609,"MYC",378,"ARF4",1,0,0.03,0.4335,0.003,0.0195630434782609
"hsa-mir-125b-2-3p","hsa-mir-342-5p",3725,"JUN",388,"RHOB",1,0.0045,0.0215,0.012,0.0085,0.0420787407481496
"hsa-mir-125b-2-3p","hsa-mir-191-3p",3725,"JUN",388,"RHOB",1,0.003,0.017,0.248,0.002,0.0143233974822746
"hsa-mir-125b-2-3p","hsa-mir-642a-5p",3725,"JUN",388,"RHOB",1,0.0055,0.0175,0.049,0,0
"hsa-mir-125b-2-3p","hsa-mir-223-3p",3725,"JUN",388,"RHOB",1,0.0025,0.0175,0.087,0,0
"hsa-mir-132-3p","hsa-mir-20b-5p",51274,"KLF3",394,"ARHGAP5",1,0,0.0355,0.271,0.0035,0.0219720958254721
"hsa-mir-455-5p","hsa-mir-93-3p",3662,"IRF4",399,"RHOH",1,5e-04,0.0195,0.02,0.008,0.0403013778801257
"hsa-let-7c-5p","hsa-mir-16-1-3p",6938,"TCF12",463,"ZFHX3",1,0.0075,0.0135,0.011,0.001,0.00827304068030337
"hsa-mir-193b-5p","hsa-mir-532-5p",6938,"TCF12",463,"ZFHX3",1,0.0065,0.6,0.0185,0.0085,0.0420787407481496
"hsa-mir-125b-2-3p","hsa-mir-331-3p",468,"ATF4",467,"ATF3",1,0,0.025,0.0285,0.009,0.0438042112767814
"hsa-mir-21-3p","hsa-mir-331-3p",4205,"MEF2A",467,"ATF3",1,0,0.0765,0.0295,0.0085,0.0420787407481496
"hsa-mir-125b-2-3p","hsa-mir-331-3p",3725,"JUN",467,"ATF3",1,0.0055,0.025,0.0285,0.009,0.0438042112767814
"hsa-mir-17-3p","hsa-mir-331-3p",4205,"MEF2A",467,"ATF3",1,0,0.0115,0.0665,0.0055,0.0307185093237792
"hsa-mir-424-5p","hsa-mir-940",6667,"SP1",472,"ATM",1,0.0045,0.1795,0.086,0.008,0.0403013778801257
"hsa-mir-324-3p","hsa-mir-940",6667,"SP1",472,"ATM",1,0.004,0.089,0.08,0.0035,0.0219720958254721
"hsa-mir-214-3p","hsa-mir-30b-3p",7003,"TEAD1",473,"RERE",1,0.006,0.107,0.435,0.005,0.0286567466635787
"hsa-mir-148a-3p","hsa-mir-200b-3p",7003,"TEAD1",473,"RERE",1,0,0.018,0.0105,0.001,0.00827304068030337
"hsa-mir-29b-2-5p","hsa-mir-342-5p",4211,"MEIS1",473,"RERE",1,0.006,0.866,0.035,0.006,0.0327349087151223
