"miRNA1","miRNA2","TF","hgnc_symbol_tf","Target","hgnc_symbol_target","ModeOfRegulation","TwoVar_mirna1_tf","TwoVar_mirna1_target","TwoVar_mirna2_target","mirna1mirna2_target","BH_pvalues_adjusted"
"hsa-mir-130a-3p","hsa-mir-29c-3p",4208,"MEF2C",2060,"EPS15",1,0,0.072,0.5005,0.002,0.0439132510117256
"hsa-mir-378a-3p","hsa-mir-654-3p",6670,"SP3",2107,"ETF1",-1,0,0.335,0.038,0,0
"hsa-mir-429","hsa-mir-654-3p",3725,"JUN",2353,"FOS",1,0.009,0.402,0.06,5e-04,0.0164666147859922
"hsa-mir-183-5p","hsa-mir-424-5p",6774,"STAT3",2353,"FOS",1,0.002,0.4625,0.83,0.0015,0.0363567010309278
"hsa-mir-199a-5p","hsa-mir-411-5p",4609,"MYC",2395,"FXN",1,0,0.1465,0.1355,0,0
"hsa-mir-106a-5p","hsa-mir-338-3p",3091,"HIF1A",2673,"GFPT1",1,0.004,0.017,0.0945,5e-04,0.0164666147859922
"hsa-mir-30a-3p","hsa-mir-7-5p",860,"RUNX2",2737,"GLI3",1,0.005,0.8905,0.164,0.002,0.0439132510117256
"hsa-mir-20a-3p","hsa-mir-223-5p",367,"AR",2887,"GRB10",1,0,0.0835,0.0915,5e-04,0.0164666147859922
"hsa-mir-301b-3p","hsa-mir-580-3p",6774,"STAT3",3091,"HIF1A",1,0,0.0215,0.121,0.0015,0.0363567010309278
"hsa-mir-301b-3p","hsa-mir-580-3p",4790,"NFKB1",3091,"HIF1A",1,0.006,0.0215,0.121,0.0015,0.0363567010309278
"hsa-mir-148a-3p","hsa-mir-9-5p",3091,"HIF1A",3099,"HK2",1,0.002,0.145,0.7665,5e-04,0.0164666147859922
"hsa-mir-29b-3p","hsa-mir-410-3p",3091,"HIF1A",3156,"HMGCR",1,0,0.014,0.013,5e-04,0.0164666147859922
"hsa-mir-142-5p","hsa-mir-9-5p",3091,"HIF1A",3156,"HMGCR",1,0.0025,0.766,0.159,0,0
"hsa-mir-454-3p","hsa-mir-7-5p",367,"AR",3169,"FOXA1",1,0,0.223,0.0155,0.0015,0.0363567010309278
"hsa-mir-10a-5p","hsa-mir-30a-5p",6667,"SP1",3480,"IGF1R",1,5e-04,0.2565,0.018,0.002,0.0439132510117256
"hsa-mir-425-5p","hsa-mir-452-3p",4086,"SMAD1",3482,"IGF2R",1,0.0085,0.042,0.539,0.001,0.0274764316322555
"hsa-mir-223-3p","hsa-mir-511-5p",6670,"SP3",3486,"IGFBP3",1,0,0.077,0.2955,0,0
"hsa-mir-30a-3p","hsa-mir-30a-5p",4609,"MYC",3655,"ITGA6",1,0.001,0.144,0.09,0,0
"hsa-mir-135b-5p","hsa-mir-183-5p",4205,"MEF2A",3688,"ITGB1",1,0,0.0425,0.169,0.0015,0.0363567010309278
"hsa-mir-425-5p","hsa-mir-616-5p",4286,"MITF",3708,"ITPR1",1,0,0.2725,0.0155,0.001,0.0274764316322555
"hsa-mir-19a-3p","hsa-mir-20a-5p",10765,"KDM5B",3720,"JARID2",1,0.001,0.097,0.0515,0.002,0.0439132510117256
"hsa-mir-106a-5p","hsa-mir-363-3p",10765,"KDM5B",3720,"JARID2",1,5e-04,0.0145,0.0425,0.002,0.0439132510117256
"hsa-mir-424-5p","hsa-mir-425-5p",51274,"KLF3",3775,"KCNK1",1,0.007,0.227,0.5135,0.001,0.0274764316322555
"hsa-mir-30c-5p","hsa-mir-9-5p",2113,"ETS1",3936,"LCP1",1,0,0.434,0.018,0,0
"hsa-mir-133b","hsa-mir-454-3p",6667,"SP1",3949,"LDLR",1,0.001,0.1525,0.072,0.0015,0.0363567010309278
"hsa-mir-133b","hsa-mir-20a-5p",6667,"SP1",3949,"LDLR",1,0.002,0.149,0.594,0.002,0.0439132510117256
"hsa-mir-133a-3p","hsa-mir-454-3p",6667,"SP1",3949,"LDLR",1,0.0015,0.2765,0.07,0.0015,0.0363567010309278
"hsa-mir-106a-5p","hsa-mir-221-5p",1316,"KLF6",4000,"LMNA",1,0,0.019,0.283,0,0
"hsa-mir-103a-2-5p","hsa-mir-130a-3p",2099,"ESR1",4277,"MICB",1,0,0.024,0.3595,0,0
"hsa-mir-103a-2-5p","hsa-mir-193b-3p",2099,"ESR1",4277,"MICB",1,0,0.0175,0.6645,0.0015,0.0363567010309278
"hsa-mir-19a-3p","hsa-mir-301a-3p",860,"RUNX2",4322,"MMP13",1,0,0.0425,0.508,0.0015,0.0363567010309278
"hsa-mir-184","hsa-mir-615-3p",6772,"STAT1",4609,"MYC",1,0,0.013,0.117,0.002,0.0439132510117256
"hsa-mir-149-5p","hsa-mir-424-5p",2114,"ETS2",4609,"MYC",1,0.0045,0.1355,0.6205,0.002,0.0439132510117256
"hsa-mir-3065-5p","hsa-mir-378a-3p",7157,"TP53",4609,"MYC",-1,0.0075,0.405,0.766,5e-04,0.0164666147859922
