"miRNA1","miRNA2","TF","hgnc_symbol_tf","Target","hgnc_symbol_target","ModeOfRegulation","TwoVar_mirna1_tf","TwoVar_mirna1_target","TwoVar_mirna2_target","mirna1mirna2_target","BH_pvalues_adjusted"
"hsa-mir-196b-5p","hsa-mir-20b-5p",6925,"TCF4",84159,"ARID5B",1,0.0025,0.0925,0.026,5e-04,0.00787453842851009
"hsa-mir-29b-1-5p","hsa-mir-34b-3p",7764,"ZNF217",84159,"ARID5B",1,0,0.0135,0.235,0,0
"hsa-let-7g-3p","hsa-mir-29b-3p",55810,"FOXJ2",84333,"PCGF5",1,0.0025,0.045,0.649,0,0
"hsa-mir-106a-5p","hsa-mir-3605-3p",6925,"TCF4",84441,"MAML2",1,5e-04,0.0995,0.818,0,0
"hsa-mir-200c-3p","hsa-mir-874-3p",1869,"E2F1",84515,"MCM8",1,0.0015,0.0905,0.0585,5e-04,0.00787453842851009
"hsa-mir-200c-3p","hsa-mir-205-5p",1869,"E2F1",84515,"MCM8",1,0.002,0.098,0.1345,0.0025,0.0261967203748143
"hsa-mir-17-5p","hsa-mir-20b-3p",3662,"IRF4",84541,"KBTBD8",1,0,0.224,0.1055,0.0045,0.0392808662541647
"hsa-mir-20b-3p","hsa-mir-93-5p",3662,"IRF4",84541,"KBTBD8",1,0,0.0895,0.248,0.002,0.022403860249206
"hsa-mir-20a-5p","hsa-mir-671-5p",3662,"IRF4",84541,"KBTBD8",1,0,0.3165,0.1945,5e-04,0.00787453842851009
"hsa-mir-671-5p","hsa-mir-93-5p",3662,"IRF4",84541,"KBTBD8",1,5e-04,0.2465,0.22,5e-04,0.00787453842851009
"hsa-mir-301a-3p","hsa-mir-320c",3662,"IRF4",84541,"KBTBD8",1,0,0.053,0.026,0.0045,0.0392808662541647
"hsa-mir-130b-5p","hsa-mir-182-5p",2308,"FOXO1",84676,"TRIM63",1,5e-04,0.033,0.0505,0,0
"hsa-mir-130b-5p","hsa-mir-183-5p",2308,"FOXO1",84676,"TRIM63",1,0,0.026,0.038,0,0
"hsa-mir-18a-5p","hsa-mir-570-3p",7003,"TEAD1",85461,"TANC1",1,5e-04,0.0515,0.7315,0.0045,0.0392808662541647
