"miRNA1","miRNA2","TF","hgnc_symbol_tf","Target","hgnc_symbol_target","ModeOfRegulation","TwoVar_mirna1_tf","TwoVar_mirna1_target","TwoVar_mirna2_target","mirna1mirna2_target","BH_pvalues_adjusted"
"hsa-mir-135b-5p","hsa-mir-205-5p",1869,"E2F1",16,"AARS1",1,0,0.119,0.1315,0.002,0.0455447154471545
"hsa-mir-204-5p","hsa-mir-9-5p",860,"RUNX2",861,"RUNX1",1,0.002,0.0955,0.0765,0,0
"hsa-mir-204-5p","hsa-mir-9-5p",6664,"SOX11",861,"RUNX1",1,0,0.0955,0.0765,0,0
"hsa-mir-139-3p","hsa-mir-192-3p",6667,"SP1",960,"CD44",1,0.0025,0.7695,0.4555,5e-04,0.0191474609375
"hsa-mir-1179","hsa-mir-96-5p",6934,"TCF7L2",1499,"CTNNB1",1,0.0015,0.018,0.0375,0,0
"hsa-mir-135a-5p","hsa-mir-3065-3p",860,"RUNX2",1806,"DPYD",1,5e-04,0.1465,0.207,5e-04,0.0191474609375
"hsa-mir-129-5p","hsa-mir-7-5p",1879,"EBF1",3915,"LAMC1",1,0,0.625,0.054,0.0015,0.0389027777777778
"hsa-mir-7-5p","hsa-mir-877-5p",571,"BACH1",3930,"LBR",1,0,0.0365,0.2095,0,0
"hsa-mir-1179","hsa-mir-1224-5p",4609,"MYC",3930,"LBR",1,0.001,0.0565,0.051,0,0
"hsa-mir-1179","hsa-mir-592",4609,"MYC",3930,"LBR",1,0.001,0.043,0.076,0,0
"hsa-mir-642a-5p","hsa-mir-7-5p",10765,"KDM5B",4088,"SMAD3",1,0.006,0.015,0.036,0,0
"hsa-mir-153-3p","hsa-mir-33a-5p",6667,"SP1",4170,"MCL1",1,0.0025,0.2215,0.279,0.002,0.0455447154471545
"hsa-mir-33b-5p","hsa-mir-376a-3p",10765,"KDM5B",4627,"MYH9",1,0.0085,0.0115,0.1255,0.0015,0.0389027777777778
"hsa-mir-153-3p","hsa-mir-376a-3p",688,"KLF5",4641,"MYO1C",1,0.005,0.0115,0.119,5e-04,0.0191474609375
"hsa-mir-193b-3p","hsa-mir-584-5p",7528,"YY1",4677,"NARS1",1,5e-04,0.0505,0.0305,0.0015,0.0389027777777778
"hsa-mir-129-5p","hsa-mir-7-5p",6667,"SP1",6868,"ADAM17",1,0.001,0.0805,0.0445,0.001,0.0305404984423676
"hsa-mir-129-5p","hsa-mir-204-5p",405,"ARNT",6938,"TCF12",1,0.003,0.073,0.209,0,0
"hsa-mir-31-5p","hsa-mir-675-3p",367,"AR",7067,"THRA",1,5e-04,0.381,0.13,0,0
"hsa-mir-1179","hsa-mir-3065-5p",6667,"SP1",8091,"HMGA2",1,0.004,0.026,0.2605,0,0
"hsa-mir-153-3p","hsa-mir-33b-5p",6670,"SP3",8091,"HMGA2",1,0.0025,0.032,0.0935,0.0015,0.0389027777777778
"hsa-mir-192-3p","hsa-mir-203a-3p",51621,"KLF13",8943,"AP3D1",-1,0,0.0275,0.092,5e-04,0.0191474609375
"hsa-mir-146a-5p","hsa-mir-577",7003,"TEAD1",9645,"MICAL2",1,0.002,0.018,0.1705,5e-04,0.0191474609375
"hsa-mir-204-5p","hsa-mir-9-5p",10765,"KDM5B",9686,"VGLL4",1,0,0.1905,0.139,0,0
"hsa-mir-223-3p","hsa-mir-33a-5p",9935,"MAFB",23001,"WDFY3",1,0.003,0.6765,0.382,0.0015,0.0389027777777778
"hsa-mir-153-3p","hsa-mir-376a-3p",6670,"SP3",23607,"CD2AP",1,5e-04,0.0225,0.039,5e-04,0.0191474609375
"hsa-mir-429","hsa-mir-656-3p",60468,"BACH2",50650,"ARHGEF3",1,0,0.0705,0.4035,0.0015,0.0389027777777778
"hsa-mir-193b-5p","hsa-mir-224-5p",4090,"SMAD5",57492,"ARID1B",1,0,0.042,0.012,0,0
"hsa-mir-141-3p","hsa-mir-194-3p",2625,"GATA3",64778,"FNDC3B",1,0.0095,0.037,0.0285,0.001,0.0305404984423676
"hsa-mir-153-3p","hsa-mir-7-5p",688,"KLF5",375790,"AGRN",1,0.0095,0.021,0.042,0,0
