miRNA1,miRNA2,TF,Target,ModeOfRegulation,TwoVar_mirna1_tf,TwoVar_mirna1_target,TwoVar_mirna2_target,mirna1mirna2_target,BH_rejected,BH_pvalues_adjusted
hsa-mir-142-5p,hsa-mir-9-5p,3091,3156,1,0.0025,0.766,0.159,0.0,True,0.0
hsa-mir-29b-3p,hsa-mir-410-3p,3091,3156,1,0.0,0.014,0.013,0.0005,True,0.01646661478599222
hsa-mir-19a-3p,hsa-mir-301a-3p,3091,5054,1,0.001,0.066,0.598,0.0005,True,0.01646661478599222
hsa-mir-142-5p,hsa-mir-30c-5p,3091,55818,1,0.0035,0.0265,0.39,0.002,True,0.04391325101172564
hsa-mir-30c-5p,hsa-mir-410-3p,3091,55818,1,0.0005,0.3985,0.1265,0.0,True,0.0
hsa-mir-142-5p,hsa-mir-155-5p,3091,948,1,0.006,0.0785,0.0915,0.0015,True,0.036356701030927835
hsa-mir-214-3p,hsa-mir-758-3p,3516,10507,1,0.002,0.664,0.0145,0.0005,True,0.01646661478599222
hsa-mir-106a-5p,hsa-mir-96-5p,3516,1808,1,0.008,0.091,0.035,0.0,True,0.0
hsa-mir-182-5p,hsa-mir-204-5p,3660,55629,1,0.0075,0.0805,0.264,0.0015,True,0.036356701030927835
hsa-mir-19b-3p,hsa-mir-23a-5p,3662,22806,1,0.0005,0.011,0.0665,0.002,True,0.04391325101172564
hsa-mir-18a-3p,hsa-mir-363-3p,3662,65983,1,0.001,0.0975,0.089,0.0,True,0.0
hsa-mir-130a-3p,hsa-mir-345-5p,3662,84541,1,0.0,0.4995,0.0225,0.001,True,0.02747643163225555
hsa-mir-183-5p,hsa-mir-582-5p,367,1000,1,0.0,0.3105,0.053,0.0015,True,0.036356701030927835
hsa-mir-20a-3p,hsa-mir-223-5p,367,2887,1,0.0,0.0835,0.0915,0.0005,True,0.01646661478599222
hsa-mir-454-3p,hsa-mir-7-5p,367,3169,1,0.0,0.223,0.0155,0.0015,True,0.036356701030927835
hsa-mir-589-3p,hsa-mir-7-5p,367,7227,1,0.0,0.444,0.2235,0.001,True,0.02747643163225555
hsa-mir-429,hsa-mir-654-3p,3725,2353,1,0.009,0.402,0.06,0.0005,True,0.01646661478599222
hsa-mir-20b-5p,hsa-mir-9-5p,405,6925,1,0.0015,0.077,0.4855,0.0005,True,0.01646661478599222
hsa-mir-424-5p,hsa-mir-7-5p,405,6938,1,0.0085,0.085,0.6405,0.0005,True,0.01646661478599222
hsa-mir-425-5p,hsa-mir-452-3p,4086,3482,1,0.0085,0.042,0.539,0.001,True,0.02747643163225555
hsa-mir-196b-5p,hsa-mir-29b-1-5p,4088,196,1,0.001,0.169,0.0815,0.002,True,0.04391325101172564
hsa-mir-155-5p,hsa-mir-320d,4088,7538,1,0.0,0.796,0.3175,0.0005,True,0.01646661478599222
hsa-mir-130a-3p,hsa-mir-625-5p,4097,23446,1,0.009,0.109,0.0975,0.002,True,0.04391325101172564
hsa-mir-20a-5p,hsa-mir-7-5p,4150,124540,1,0.007,0.155,0.0405,0.001,True,0.02747643163225555
hsa-mir-135b-5p,hsa-mir-148a-5p,4205,1316,1,0.0,0.092,0.0475,0.002,True,0.04391325101172564
hsa-mir-135b-5p,hsa-mir-183-5p,4205,3688,1,0.0,0.0425,0.169,0.0015,True,0.036356701030927835
hsa-mir-135b-5p,hsa-mir-19b-3p,4205,51719,1,0.0,0.0495,0.1255,0.0005,True,0.01646661478599222
hsa-mir-19a-3p,hsa-mir-500a-5p,4205,79712,1,0.0,0.057,0.467,0.0,True,0.0
hsa-mir-19a-3p,hsa-mir-500b-5p,4205,79712,1,0.0,0.0545,0.4685,0.001,True,0.02747643163225555
hsa-mir-19b-3p,hsa-mir-500a-5p,4205,79712,1,0.0,0.0225,0.477,0.0,True,0.0
hsa-mir-19b-3p,hsa-mir-500b-5p,4205,79712,1,0.0,0.019,0.4515,0.0005,True,0.01646661478599222
hsa-mir-20b-5p,hsa-mir-3065-3p,4205,8202,1,0.0025,0.0245,0.604,0.002,True,0.04391325101172564
hsa-mir-135b-5p,hsa-mir-378a-3p,4205,8650,1,0.0,0.0295,0.3285,0.0005,True,0.01646661478599222
hsa-mir-141-3p,hsa-mir-378a-3p,4205,8650,1,0.0,0.0135,0.3135,0.0,True,0.0
hsa-mir-130a-3p,hsa-mir-29c-3p,4208,2060,1,0.0,0.072,0.5005,0.002,True,0.04391325101172564
hsa-mir-149-5p,hsa-mir-204-5p,4212,6711,1,0.001,0.1975,0.134,0.0005,True,0.01646661478599222
hsa-mir-425-5p,hsa-mir-616-5p,4286,3708,1,0.0,0.2725,0.0155,0.001,True,0.02747643163225555
hsa-let-7c-5p,hsa-mir-138-5p,4609,1021,1,0.0015,0.015,0.501,0.0,True,0.0
hsa-mir-199a-5p,hsa-mir-411-5p,4609,2395,1,0.0,0.1465,0.1355,0.0,True,0.0
hsa-mir-30a-3p,hsa-mir-30a-5p,4609,3655,1,0.001,0.144,0.09,0.0,True,0.0
hsa-let-7c-5p,hsa-mir-377-5p,4609,375,1,0.0015,0.0515,0.0305,0.0015,True,0.036356701030927835
hsa-let-7c-5p,hsa-mir-138-5p,4609,4691,1,0.0015,0.6165,0.2055,0.002,True,0.04391325101172564
hsa-mir-106a-5p,hsa-mir-185-3p,4609,6137,1,0.005,0.045,0.0775,0.0,True,0.0
hsa-mir-106a-5p,hsa-mir-221-5p,4609,6137,1,0.0025,0.0235,0.04,0.002,True,0.04391325101172564
hsa-mir-30a-5p,hsa-mir-369-3p,4609,7422,1,0.006,0.2515,0.0465,0.002,True,0.04391325101172564
hsa-mir-200b-3p,hsa-mir-218-5p,4779,115,1,0.001,0.0665,0.414,0.001,True,0.02747643163225555
hsa-mir-182-5p,hsa-mir-224-3p,4779,23731,1,0.0025,0.0705,0.101,0.002,True,0.04391325101172564
hsa-mir-582-5p,hsa-mir-99a-5p,4779,7328,1,0.0,0.0145,0.0195,0.0,True,0.0
hsa-mir-141-5p,hsa-mir-200b-3p,4779,8878,1,0.009,0.091,0.0565,0.002,True,0.04391325101172564
hsa-mir-141-5p,hsa-mir-200b-3p,4780,8878,1,0.0,0.091,0.0565,0.002,True,0.04391325101172564
hsa-mir-301b-3p,hsa-mir-580-3p,4790,3091,1,0.006,0.0215,0.121,0.0015,True,0.036356701030927835
hsa-mir-182-5p,hsa-mir-224-3p,4790,7980,1,0.001,0.584,0.414,0.001,True,0.02747643163225555
hsa-mir-29b-3p,hsa-mir-30c-5p,4801,7296,1,0.0,0.135,0.0375,0.0005,True,0.01646661478599222
hsa-mir-20a-5p,hsa-mir-502-5p,5090,26230,1,0.0075,0.0695,0.6425,0.0,True,0.0
hsa-mir-424-5p,hsa-mir-425-5p,51274,3775,1,0.007,0.227,0.5135,0.001,True,0.02747643163225555
hsa-mir-19a-3p,hsa-mir-454-3p,51274,831,1,0.001,0.033,0.8335,0.0,True,0.0
hsa-mir-378c,hsa-mir-486-3p,53335,23613,1,0.003,0.657,0.118,0.001,True,0.02747643163225555
hsa-mir-424-5p,hsa-mir-500a-5p,5451,50484,1,0.0035,0.7315,0.041,0.0,True,0.0
hsa-mir-19b-3p,hsa-mir-338-3p,5451,7296,1,0.0,0.0135,0.287,0.0005,True,0.01646661478599222
hsa-mir-29b-3p,hsa-mir-30c-5p,5451,7296,1,0.0,0.135,0.0375,0.0005,True,0.01646661478599222
hsa-mir-338-3p,hsa-mir-424-5p,5451,7296,1,0.0,0.226,0.0945,0.002,True,0.04391325101172564
hsa-mir-155-5p,hsa-mir-7-5p,5465,948,1,0.0005,0.0925,0.0435,0.0005,True,0.01646661478599222
hsa-mir-142-3p,hsa-mir-29b-3p,55810,10144,1,0.0005,0.2735,0.2305,0.001,True,0.02747643163225555
hsa-mir-20a-5p,hsa-mir-500a-5p,571,79745,1,0.0,0.41,0.0275,0.002,True,0.04391325101172564
hsa-mir-138-5p,hsa-mir-30c-5p,57215,9069,-1,0.0,0.3905,0.771,0.002,True,0.04391325101172564
hsa-mir-187-3p,hsa-mir-30a-3p,604,7171,-1,0.0005,0.0185,0.0675,0.0015,True,0.036356701030927835
hsa-mir-218-5p,hsa-mir-9-5p,604,896,-1,0.009,0.049,0.1215,0.001,True,0.02747643163225555
hsa-mir-133a-3p,hsa-mir-133b,6667,29956,1,0.0005,0.0385,0.158,0.0,True,0.0
hsa-mir-10a-5p,hsa-mir-30a-3p,6667,331,1,0.0035,0.012,0.89,0.0,True,0.0
hsa-mir-10a-5p,hsa-mir-503-5p,6667,331,1,0.003,0.0185,0.083,0.001,True,0.02747643163225555
hsa-mir-20b-5p,hsa-mir-31-5p,6667,331,1,0.0005,0.1625,0.051,0.002,True,0.04391325101172564
hsa-mir-33b-5p,hsa-mir-503-5p,6667,331,1,0.0095,0.182,0.082,0.002,True,0.04391325101172564
hsa-mir-10a-5p,hsa-mir-30a-5p,6667,3480,1,0.0005,0.2565,0.018,0.002,True,0.04391325101172564
hsa-mir-133a-3p,hsa-mir-454-3p,6667,3949,1,0.0015,0.2765,0.07,0.0015,True,0.036356701030927835
hsa-mir-133b,hsa-mir-20a-5p,6667,3949,1,0.002,0.149,0.594,0.002,True,0.04391325101172564
hsa-mir-133b,hsa-mir-454-3p,6667,3949,1,0.001,0.1525,0.072,0.0015,True,0.036356701030927835
hsa-mir-1-3p,hsa-mir-204-5p,6667,5327,1,0.0025,0.0125,0.2695,0.0015,True,0.036356701030927835
