miRNA1,miRNA2,TF,Target,ModeOfRegulation,TwoVar_mirna1_tf,TwoVar_mirna1_target,TwoVar_mirna2_target,mirna1mirna2_target,BH_rejected,BH_pvalues_adjusted
hsa-mir-20b-5p,hsa-mir-450b-5p,10009,8452,1,0.0,0.03,0.0485,0.0015,True,0.02468358208955224
hsa-mir-20b-5p,hsa-mir-9-3p,10009,8452,1,0.0,0.0215,0.1505,0.003,True,0.038520186335403724
hsa-mir-362-3p,hsa-mir-615-3p,10664,9662,1,0.0,0.5475,0.608,0.0025,True,0.03419768403639371
hsa-mir-141-3p,hsa-mir-33b-5p,10765,27086,1,0.0,0.0125,0.99,0.0015,True,0.02468358208955224
hsa-mir-141-3p,hsa-mir-23c,1316,124540,1,0.0,0.0105,0.016,0.0005,True,0.010858831254103743
hsa-mir-20b-5p,hsa-mir-33a-3p,1316,3480,1,0.0,0.03,0.6785,0.0025,True,0.03419768403639371
hsa-mir-142-3p,hsa-mir-33b-5p,1385,5743,1,0.0085,0.235,0.0285,0.001,True,0.018243794815223386
hsa-let-7g-3p,hsa-mir-33b-5p,1385,596,1,0.0,0.6335,0.13,0.0005,True,0.010858831254103743
hsa-mir-20b-5p,hsa-mir-33b-5p,1385,596,1,0.0,0.0115,0.1295,0.003,True,0.038520186335403724
hsa-mir-29b-1-5p,hsa-mir-9-5p,1997,25942,1,0.005,0.036,0.04,0.0,True,0.0
hsa-mir-29b-1-5p,hsa-mir-503-5p,1997,56990,1,0.0025,0.2345,0.033,0.0035,True,0.04278122690317813
hsa-mir-200a-3p,hsa-mir-9-5p,2034,4891,1,0.0,0.507,0.022,0.002,True,0.029545332737829392
hsa-mir-20b-5p,hsa-mir-221-5p,2099,2934,1,0.0,0.019,0.0215,0.0,True,0.0
hsa-mir-20b-5p,hsa-mir-33b-5p,2099,596,1,0.0,0.0115,0.1295,0.003,True,0.038520186335403724
hsa-mir-182-5p,hsa-mir-7-5p,2099,824,1,0.0,0.011,0.4395,0.0015,True,0.02468358208955224
hsa-mir-4326,hsa-mir-486-5p,2308,9337,1,0.0,0.3515,0.544,0.0025,True,0.03419768403639371
hsa-mir-141-3p,hsa-mir-338-3p,2353,1026,1,0.0005,0.021,0.0565,0.001,True,0.018243794815223386
hsa-mir-338-5p,hsa-mir-653-5p,2494,23329,1,0.003,0.118,0.1075,0.003,True,0.038520186335403724
hsa-mir-33a-5p,hsa-mir-33b-5p,2736,596,1,0.0,0.1395,0.1235,0.0,True,0.0
hsa-mir-106a-5p,hsa-mir-338-5p,3091,133,1,0.0,0.5885,0.1055,0.0005,True,0.010858831254103743
hsa-mir-182-5p,hsa-mir-20b-5p,3091,2673,1,0.0,0.193,0.0185,0.0035,True,0.04278122690317813
hsa-mir-106a-3p,hsa-mir-383-5p,3091,6513,1,0.0,0.9565,0.2065,0.0015,True,0.02468358208955224
hsa-mir-200a-3p,hsa-mir-33a-5p,3516,27086,1,0.0,0.2605,0.2165,0.0,True,0.0
hsa-mir-200a-3p,hsa-mir-653-5p,3516,64778,1,0.0,0.105,0.203,0.0,True,0.0
hsa-mir-106a-5p,hsa-mir-18b-5p,3660,10509,1,0.0005,0.104,0.081,0.0005,True,0.010858831254103743
hsa-mir-31-5p,hsa-mir-455-3p,367,2289,1,0.0,0.011,0.073,0.0025,True,0.03419768403639371
hsa-mir-338-3p,hsa-mir-362-3p,405,667,1,0.0,0.477,0.013,0.0005,True,0.010858831254103743
hsa-mir-362-3p,hsa-mir-629-3p,4205,51719,1,0.005,0.4865,0.38,0.0005,True,0.010858831254103743
hsa-mir-338-3p,hsa-mir-362-3p,4205,667,1,0.001,0.477,0.013,0.0005,True,0.010858831254103743
hsa-let-7g-3p,hsa-mir-33b-5p,4286,596,1,0.001,0.6335,0.13,0.0005,True,0.010858831254103743
hsa-mir-20b-5p,hsa-mir-33a-5p,5465,51,1,0.0,0.0235,0.384,0.0,True,0.0
hsa-mir-205-5p,hsa-mir-944,639,1385,1,0.0045,0.036,0.7565,0.004,True,0.04683327433628318
hsa-mir-20b-5p,hsa-mir-221-5p,6667,1027,1,0.0,0.261,0.0275,0.0005,True,0.010858831254103743
hsa-mir-149-5p,hsa-mir-3065-5p,6667,2697,1,0.0005,0.701,0.24,0.002,True,0.029545332737829392
hsa-let-7g-3p,hsa-mir-20b-5p,6667,3480,1,0.0,0.1965,0.0225,0.0,True,0.0
hsa-mir-20b-5p,hsa-mir-33a-3p,6667,3480,1,0.0,0.03,0.6785,0.0025,True,0.03419768403639371
hsa-mir-135a-5p,hsa-mir-362-3p,6667,351,1,0.0,0.208,0.481,0.0025,True,0.03419768403639371
hsa-mir-362-3p,hsa-mir-7-5p,6667,3949,1,0.0005,0.1245,0.5375,0.003,True,0.038520186335403724
hsa-mir-106a-5p,hsa-mir-3065-5p,6667,4089,1,0.0,0.2185,0.023,0.001,True,0.018243794815223386
hsa-mir-20b-5p,hsa-mir-3065-5p,6667,4089,1,0.0,0.0525,0.023,0.002,True,0.029545332737829392
