miRNA1,miRNA2,TF,Target,ModeOfRegulation,TwoVar_mirna1_tf,TwoVar_mirna1_target,TwoVar_mirna2_target,mirna1mirna2_target,BH_rejected,BH_pvalues_adjusted
hsa-mir-20b-5p,hsa-mir-323a-3p,1869,6670,-1,0.0,0.3755,0.0475,0.007,True,0.03415371572630123
hsa-mir-141-3p,hsa-mir-182-5p,1869,7422,-1,0.0055,0.32,0.3075,0.0075,True,0.03589809809371649
hsa-mir-205-5p,hsa-mir-518c-5p,1869,84464,1,0.004,0.146,0.019,0.0095,True,0.0426185562780775
hsa-let-7b-5p,hsa-mir-182-5p,1869,890,1,0.0015,0.0265,0.0455,0.002,True,0.013460700437003755
hsa-let-7b-5p,hsa-mir-519d-3p,1869,890,1,0.0035,0.0285,0.0675,0.0,True,0.0
hsa-mir-34c-5p,hsa-mir-519d-3p,1869,9134,1,0.0,0.017,0.3265,0.0065,True,0.03241048791609667
hsa-mir-125b-5p,hsa-mir-182-5p,1870,10733,1,0.006,0.018,0.0435,0.0015,True,0.010773909616395166
hsa-mir-125b-5p,hsa-mir-199a-3p,1870,10733,1,0.0065,0.0145,0.387,0.008,True,0.03764616774970952
hsa-mir-125a-5p,hsa-mir-31-5p,1870,55038,1,0.0005,0.0115,0.3865,0.0,True,0.0
hsa-mir-125a-5p,hsa-mir-519d-3p,1870,55038,1,0.0005,0.0135,0.99,0.0,True,0.0
hsa-mir-125b-5p,hsa-mir-31-5p,1870,55038,1,0.003,0.174,0.482,0.0,True,0.0
hsa-mir-125b-5p,hsa-mir-519d-3p,1870,55038,1,0.007,0.166,0.9775,0.0,True,0.0
hsa-mir-125b-5p,hsa-mir-299-5p,1870,83879,1,0.0065,0.031,0.398,0.0005,True,0.0044329671220659185
hsa-let-7b-5p,hsa-mir-519d-3p,1874,1031,1,0.002,0.0475,0.3295,0.0,True,0.0
hsa-let-7b-5p,hsa-mir-30a-5p,1874,10403,1,0.0045,0.021,0.022,0.0035,True,0.020577342867896125
hsa-let-7b-5p,hsa-mir-125b-5p,1874,10592,1,0.003,0.1955,0.187,0.0,True,0.0
hsa-let-7b-5p,hsa-mir-383-5p,1874,10592,1,0.001,0.2875,0.021,0.0025,True,0.015961813563775434
hsa-let-7b-5p,hsa-mir-9-5p,1874,10592,1,0.0025,0.1445,0.0105,0.006,True,0.03065545276142417
hsa-let-7b-5p,hsa-mir-125a-5p,1874,23512,1,0.0015,0.013,0.022,0.002,True,0.013460700437003755
hsa-let-7b-5p,hsa-mir-372-3p,1874,23512,1,0.001,0.016,0.3545,0.0065,True,0.03241048791609667
hsa-let-7b-5p,hsa-mir-520a-3p,1874,23512,1,0.0045,0.0145,0.2525,0.0,True,0.0
hsa-let-7b-5p,hsa-mir-520c-3p,1874,23512,1,0.005,0.014,0.39,0.0005,True,0.0044329671220659185
hsa-let-7b-5p,hsa-mir-520d-3p,1874,23512,1,0.0045,0.015,0.282,0.0,True,0.0
hsa-let-7b-5p,hsa-mir-30a-5p,1874,26271,1,0.0045,0.0485,0.019,0.008,True,0.03764616774970952
hsa-let-7b-5p,hsa-mir-520g-3p,1874,3151,1,0.004,0.0485,0.318,0.0,True,0.0
hsa-let-7b-5p,hsa-mir-520h,1874,3151,1,0.0015,0.0375,0.344,0.0,True,0.0
hsa-let-7b-5p,hsa-mir-519a-3p,1874,3455,1,0.0035,0.265,0.3845,0.0005,True,0.0044329671220659185
hsa-let-7b-5p,hsa-mir-519c-3p,1874,3455,1,0.003,0.423,0.4995,0.0005,True,0.0044329671220659185
hsa-let-7b-5p,hsa-mir-519d-3p,1874,3455,1,0.002,0.2635,0.4475,0.0,True,0.0
hsa-let-7b-5p,hsa-mir-520a-3p,1874,3455,1,0.0045,0.3305,0.441,0.0,True,0.0
hsa-let-7b-5p,hsa-mir-520d-3p,1874,3455,1,0.0045,0.4305,0.6555,0.0005,True,0.0044329671220659185
hsa-let-7b-5p,hsa-mir-519a-3p,1874,4176,1,0.0035,0.012,0.12,0.0,True,0.0
hsa-let-7b-5p,hsa-mir-520c-3p,1874,4176,1,0.005,0.012,0.123,0.0,True,0.0
hsa-let-7b-5p,hsa-mir-520d-3p,1874,4176,1,0.0045,0.0155,0.068,0.0,True,0.0
hsa-let-7b-5p,hsa-mir-519d-3p,1874,4288,1,0.002,0.014,0.063,0.0,True,0.0
hsa-let-7b-5p,hsa-mir-520g-3p,1874,4288,1,0.004,0.0145,0.053,0.0,True,0.0
hsa-let-7b-5p,hsa-mir-520h,1874,4288,1,0.0015,0.015,0.035,0.0,True,0.0
hsa-let-7b-5p,hsa-mir-526b-5p,1874,4288,1,0.0035,0.016,0.065,0.0,True,0.0
hsa-mir-30a-3p,hsa-mir-377-5p,1874,4288,1,0.0005,0.0185,0.229,0.0005,True,0.0044329671220659185
hsa-let-7b-5p,hsa-mir-30a-5p,1874,4436,1,0.0045,0.06,0.024,0.0075,True,0.03589809809371649
hsa-let-7b-5p,hsa-mir-199b-5p,1874,4691,1,0.0025,0.027,0.0815,0.008,True,0.03764616774970952
hsa-let-7b-5p,hsa-mir-30a-3p,1874,4691,1,0.0005,0.0305,0.0625,0.0055,True,0.028730425643720442
hsa-let-7b-5p,hsa-mir-30a-5p,1874,4691,1,0.0045,0.0255,0.22,0.007,True,0.03415371572630123
hsa-let-7b-5p,hsa-mir-497-5p,1874,54443,1,0.003,0.0185,0.0465,0.005,True,0.026815439697876305
hsa-let-7b-5p,hsa-mir-125b-5p,1874,55038,1,0.003,0.207,0.157,0.0,True,0.0
hsa-let-7b-5p,hsa-mir-195-5p,1874,55038,1,0.0035,0.15,0.1015,0.0005,True,0.0044329671220659185
hsa-let-7b-5p,hsa-mir-497-5p,1874,55038,1,0.003,0.1575,0.1865,0.006,True,0.03065545276142417
hsa-let-7b-5p,hsa-mir-519a-3p,1874,55038,1,0.0035,0.1695,0.9975,0.0,True,0.0
hsa-let-7b-5p,hsa-mir-30a-3p,1874,6421,1,0.0005,0.0105,0.0165,0.002,True,0.013460700437003755
hsa-let-7b-5p,hsa-mir-518a-3p,1874,6421,1,0.0035,0.0105,0.185,0.0,True,0.0
hsa-mir-30a-3p,hsa-mir-377-5p,1874,6421,1,0.0005,0.03,0.1395,0.0085,True,0.039335477591095694
hsa-mir-16-2-3p,hsa-mir-766-3p,1874,6500,1,0.0,0.0635,0.1695,0.0,True,0.0
hsa-let-7b-3p,hsa-let-7b-5p,1874,7112,1,0.001,0.0825,0.1625,0.005,True,0.026815439697876305
hsa-let-7b-5p,hsa-mir-512-5p,1874,7112,1,0.004,0.1615,0.6485,0.0,True,0.0
hsa-let-7b-5p,hsa-mir-520h,1874,7112,1,0.0015,0.1565,0.582,0.0,True,0.0
hsa-let-7b-5p,hsa-mir-182-5p,1874,7153,1,0.0015,0.0455,0.1145,0.0065,True,0.03241048791609667
hsa-let-7b-5p,hsa-mir-30a-3p,1874,7374,1,0.0005,0.4685,0.6675,0.007,True,0.03415371572630123
hsa-let-7b-5p,hsa-mir-520a-5p,1874,7533,1,0.0025,0.2425,0.5385,0.0,True,0.0
hsa-let-7b-5p,hsa-mir-526b-5p,1874,7533,1,0.0035,0.24,0.417,0.0,True,0.0
hsa-let-7b-5p,hsa-mir-543,1874,79172,1,0.0025,0.017,0.634,0.0085,True,0.039335477591095694
hsa-mir-30a-3p,hsa-mir-377-5p,1874,79968,1,0.0005,0.024,0.118,0.006,True,0.03065545276142417
hsa-let-7b-5p,hsa-mir-520h,1874,81620,1,0.0015,0.0605,0.1175,0.0,True,0.0
hsa-let-7b-5p,hsa-mir-299-5p,1874,83879,1,0.0025,0.0615,0.417,0.0005,True,0.0044329671220659185
hsa-let-7b-5p,hsa-mir-512-3p,1874,9055,1,0.0025,0.059,0.3695,0.001,True,0.007828465063001146
hsa-let-7b-5p,hsa-mir-520f-3p,1874,9055,1,0.002,0.0675,0.3295,0.0035,True,0.020577342867896125
hsa-mir-30a-3p,hsa-mir-377-5p,1874,990,1,0.0005,0.0175,0.041,0.0065,True,0.03241048791609667
hsa-let-7b-5p,hsa-mir-520g-3p,1875,11335,1,0.0075,0.0115,0.0835,0.0,True,0.0
hsa-let-7b-5p,hsa-mir-520h,1875,11335,1,0.0065,0.0145,0.0795,0.0,True,0.0
hsa-mir-519d-3p,hsa-mir-520g-3p,1875,11335,1,0.0025,0.094,0.103,0.009,True,0.04098415408641332
hsa-let-7b-5p,hsa-mir-519a-3p,1875,1808,1,0.0065,0.295,0.151,0.0005,True,0.0044329671220659185
hsa-let-7b-5p,hsa-mir-519c-3p,1875,1808,1,0.0035,0.3605,0.2675,0.0005,True,0.0044329671220659185
hsa-let-7b-5p,hsa-mir-519d-3p,1875,1808,1,0.0065,0.2345,0.215,0.0025,True,0.015961813563775434
hsa-let-7b-5p,hsa-mir-520a-3p,1875,1808,1,0.003,0.3095,0.237,0.001,True,0.007828465063001146
hsa-let-7b-5p,hsa-mir-520d-3p,1875,1808,1,0.0035,0.3625,0.228,0.0005,True,0.0044329671220659185
hsa-let-7b-5p,hsa-mir-519d-3p,1875,4609,1,0.0065,0.1715,0.1145,0.001,True,0.007828465063001146
hsa-mir-181c-5p,hsa-mir-195-3p,1875,4609,1,0.004,0.4775,0.072,0.0075,True,0.03589809809371649
hsa-mir-181c-5p,hsa-mir-497-5p,1875,4609,1,0.0045,0.489,0.0365,0.0065,True,0.03241048791609667
hsa-mir-181d-5p,hsa-mir-497-5p,1875,4609,1,0.0095,0.0535,0.0515,0.0005,True,0.0044329671220659185
hsa-let-7b-5p,hsa-mir-512-5p,1875,5757,1,0.0045,0.0555,0.851,0.0,True,0.0
hsa-mir-30c-2-3p,hsa-mir-676-3p,1876,7023,-1,0.003,0.0105,0.078,0.0005,True,0.0044329671220659185
hsa-mir-2355-3p,hsa-mir-3613-5p,1958,2335,1,0.0,0.0115,0.224,0.0065,True,0.03241048791609667
hsa-mir-106a-5p,hsa-mir-215-5p,1958,5934,1,0.0,0.101,0.0745,0.0085,True,0.039335477591095694
hsa-mir-17-5p,hsa-mir-215-5p,1958,5934,1,0.0,0.251,0.099,0.0095,True,0.0426185562780775
hsa-mir-141-3p,hsa-mir-183-5p,1958,7422,1,0.0065,0.2735,0.069,0.0005,True,0.0044329671220659185
hsa-mir-16-1-3p,hsa-mir-7-1-3p,196,7764,1,0.0,0.163,0.0795,0.0025,True,0.015961813563775434
hsa-mir-134-5p,hsa-mir-199a-3p,196528,3191,1,0.0095,0.014,0.0275,0.006,True,0.03065545276142417
hsa-mir-128-3p,hsa-mir-92b-3p,196528,51322,1,0.0,0.0155,0.1125,0.0005,True,0.0044329671220659185
hsa-mir-181a-5p,hsa-mir-7-5p,196528,55758,1,0.0,0.091,0.702,0.0075,True,0.03589809809371649
hsa-mir-25-3p,hsa-mir-381-3p,196528,80205,1,0.0,0.0435,0.337,0.002,True,0.013460700437003755
hsa-mir-130a-3p,hsa-mir-195-5p,2034,8553,1,0.0075,0.0935,0.017,0.004,True,0.022728156096547065
hsa-mir-142-3p,hsa-mir-149-5p,2063,23151,-1,0.0,0.011,0.2795,0.009,True,0.04098415408641332
hsa-mir-128-3p,hsa-mir-30a-5p,2063,399687,-1,0.0,0.0175,0.3515,0.0,True,0.0
hsa-mir-128-3p,hsa-mir-30c-2-3p,2063,399687,-1,0.0,0.0205,0.334,0.0,True,0.0
hsa-mir-142-3p,hsa-mir-30c-2-3p,2063,399687,-1,0.0,0.024,0.2955,0.0075,True,0.03589809809371649
hsa-mir-25-3p,hsa-mir-30a-3p,2063,399687,-1,0.0,0.0285,0.23,0.0,True,0.0
hsa-let-7b-5p,hsa-mir-766-3p,2063,51542,-1,0.0,0.2235,0.0245,0.001,True,0.007828465063001146
