"miRNA1","miRNA2","TF","hgnc_symbol_tf","Target","hgnc_symbol_target","ModeOfRegulation","TwoVar_mirna1_tf","TwoVar_mirna1_target","TwoVar_mirna2_target","mirna1mirna2_target","BH_pvalues_adjusted"
"hsa-mir-148a-3p","hsa-mir-20b-5p",2908,"NR3C1",481,"ATP1B1",-1,0.0035,0.0645,0.017,0.002,0.00686677317619719
"hsa-mir-20a-3p","hsa-mir-30a-5p",2908,"NR3C1",481,"ATP1B1",-1,0,0.1775,0.109,5e-04,0.00206526839983525
"hsa-mir-148a-3p","hsa-mir-19b-1-5p",2908,"NR3C1",481,"ATP1B1",-1,0.005,0.067,0.0405,0.0045,0.0135177676723668
"hsa-mir-103a-2-5p","hsa-mir-362-3p",2113,"ETS1",489,"ATP2A3",1,0,0.0115,0.02,0.0025,0.00828396427605955
"hsa-mir-143-5p","hsa-mir-331-3p",2113,"ETS1",489,"ATP2A3",1,0,0.223,0.0115,0.0095,0.0249079785464167
"hsa-mir-30a-5p","hsa-mir-532-3p",4609,"MYC",581,"BAX",1,0.001,0.0905,0.0595,0,0
"hsa-let-7c-5p","hsa-mir-1-3p",7157,"TP53",581,"BAX",1,0.0015,0.304,0.023,0,0
"hsa-mir-30a-5p","hsa-mir-532-3p",7157,"TP53",581,"BAX",1,0,0.0905,0.0595,0,0
"hsa-mir-153-3p","hsa-mir-193b-5p",3516,"RBPJ",586,"BCAT1",1,0,0.0195,0.087,0.0065,0.0182793030488427
"hsa-mir-153-3p","hsa-mir-16-2-3p",3516,"RBPJ",586,"BCAT1",1,0,0.018,0.2785,0.007,0.019426893081761
"hsa-mir-150-5p","hsa-mir-26a-2-3p",6772,"STAT1",595,"CCND1",1,0,0.0115,0.671,0.009,0.023840869252011
"hsa-mir-143-3p","hsa-mir-145-3p",2305,"FOXM1",595,"CCND1",1,0,0.0445,0.0345,0.005,0.014740642092323
"hsa-mir-30a-3p","hsa-mir-342-3p",10664,"CTCF",595,"CCND1",1,5e-04,0.107,0.0825,0.0015,0.00537950932477974
"hsa-mir-150-5p","hsa-mir-342-5p",6772,"STAT1",595,"CCND1",1,0,0.0115,0.557,0.004,0.0122608502361767
"hsa-mir-155-5p","hsa-mir-30a-3p",10664,"CTCF",595,"CCND1",1,0.004,0.3615,0.1115,0.007,0.019426893081761
"hsa-mir-20b-5p","hsa-mir-629-3p",10664,"CTCF",595,"CCND1",1,0.0075,0.094,0.1045,0.006,0.0171259799736086
"hsa-mir-18a-5p","hsa-mir-363-3p",9314,"KLF4",595,"CCND1",1,0.0025,0.148,0.052,0.0045,0.0135177676723668
"hsa-mir-30a-3p","hsa-mir-342-3p",6667,"SP1",595,"CCND1",1,0.003,0.107,0.0825,0.0015,0.00537950932477974
"hsa-mir-18a-5p","hsa-mir-363-3p",10664,"CTCF",595,"CCND1",1,0.001,0.148,0.052,0.0045,0.0135177676723668
"hsa-mir-148a-3p","hsa-mir-376a-5p",1385,"CREB1",596,"BCL2",1,0,0.1085,0.032,0.002,0.00686677317619719
"hsa-mir-126-3p","hsa-mir-320d",5241,"PGR",596,"BCL2",1,0,0.0105,0.035,0,0
"hsa-mir-1304-5p","hsa-mir-136-5p",4208,"MEF2C",596,"BCL2",1,0,0.0105,0.026,0,0
"hsa-mir-126-3p","hsa-mir-26b-3p",1385,"CREB1",596,"BCL2",1,0,0.02,0.012,0,0
"hsa-mir-26b-3p","hsa-mir-486-5p",2099,"ESR1",596,"BCL2",1,5e-04,0.015,0.024,0.001,0.0037963109535772
"hsa-mir-148a-3p","hsa-mir-26b-3p",1385,"CREB1",596,"BCL2",1,0,0.0795,0.019,5e-04,0.00206526839983525
"hsa-mir-1271-5p","hsa-mir-26b-3p",1385,"CREB1",596,"BCL2",1,0.0035,0.5775,0.0125,0.001,0.0037963109535772
