miRNA1,miRNA2,TF,Target,ModeOfRegulation,TwoVar_mirna1_tf,TwoVar_mirna1_target,TwoVar_mirna2_target,mirna1mirna2_target,BH_rejected,BH_pvalues_adjusted
hsa-mir-19b-3p,hsa-mir-7-1-3p,10765,10184,1,0.0015,0.153,0.319,0.004,True,0.02688072678631145
hsa-mir-33b-5p,hsa-mir-362-5p,10765,10184,1,0.0,0.5585,0.8415,0.001,True,0.009403275492298694
hsa-mir-338-3p,hsa-mir-484,10765,27086,1,0.0,0.018,0.011,0.009,True,0.047699406593406594
hsa-let-7g-3p,hsa-mir-101-5p,10765,6239,1,0.0,0.0635,0.0955,0.004,True,0.02688072678631145
hsa-mir-18a-5p,hsa-mir-485-3p,10765,8495,1,0.003,0.0365,0.0645,0.0055,True,0.03380249509391646
hsa-let-7g-3p,hsa-mir-145-5p,10765,91748,1,0.0,0.013,0.698,0.0,True,0.0
hsa-let-7g-3p,hsa-mir-629-3p,10765,91748,1,0.0,0.0115,0.0385,0.002,True,0.01614697512471124
hsa-mir-484,hsa-mir-629-3p,10765,9686,1,0.0,0.0895,0.037,0.005,True,0.031594345308282895
hsa-mir-148a-3p,hsa-mir-940,11016,284058,1,0.003,0.0935,0.2335,0.0075,True,0.04202729237347214
hsa-mir-1271-5p,hsa-mir-331-3p,11016,4774,1,0.0,0.025,0.041,0.0,True,0.0
hsa-mir-1271-5p,hsa-mir-7-1-3p,11016,4774,1,0.0,0.02,0.02,0.0,True,0.0
hsa-mir-1271-5p,hsa-mir-766-3p,11016,4774,1,0.0,0.029,0.084,0.0,True,0.0
hsa-mir-129-5p,hsa-mir-454-3p,11016,667,1,0.0015,0.463,0.0145,0.0055,True,0.03380249509391646
hsa-mir-29b-2-5p,hsa-mir-331-3p,11016,667,1,0.0,0.127,0.0375,0.0,True,0.0
hsa-mir-29b-2-5p,hsa-mir-454-3p,11016,667,1,0.0,0.1005,0.013,0.0085,True,0.0458423612819538
hsa-mir-331-3p,hsa-mir-532-3p,11016,667,1,0.0,0.0505,0.1445,0.001,True,0.009403275492298694
hsa-mir-29b-2-5p,hsa-mir-424-5p,11016,80790,1,0.0,0.1015,0.075,0.0,True,0.0
hsa-mir-7-1-3p,hsa-mir-7-5p,1316,10184,1,0.0,0.2805,0.1635,0.001,True,0.009403275492298694
hsa-mir-133a-3p,hsa-mir-183-5p,1316,302,1,0.006,0.256,0.4495,0.003,True,0.021789735248938284
hsa-mir-223-3p,hsa-mir-223-5p,1316,3688,1,0.0,0.124,0.1245,0.005,True,0.031594345308282895
hsa-mir-133a-3p,hsa-mir-30a-5p,1316,51278,1,0.004,0.686,0.094,0.0025,True,0.019049150025278058
hsa-mir-200a-3p,hsa-mir-642a-5p,1316,51278,1,0.0,0.15,0.0445,0.0045,True,0.02926225595944342
hsa-mir-142-5p,hsa-mir-150-3p,1316,81671,1,0.0,0.02,0.1585,0.0005,True,0.005303897417850702
hsa-mir-204-5p,hsa-mir-30c-2-3p,1316,81671,1,0.0,0.2325,0.3775,0.007,True,0.040059542455740664
hsa-mir-342-5p,hsa-mir-744-3p,1316,84159,1,0.001,0.362,0.0225,0.0,True,0.0
hsa-mir-342-5p,hsa-mir-92b-3p,1316,84159,1,0.001,0.3335,0.6845,0.0045,True,0.02926225595944342
hsa-mir-150-3p,hsa-mir-150-5p,1385,4763,1,0.0,0.298,0.211,0.0,True,0.0
