"miRNA1","miRNA2","TF","hgnc_symbol_tf","Target","hgnc_symbol_target","ModeOfRegulation","TwoVar_mirna1_tf","TwoVar_mirna1_target","TwoVar_mirna2_target","mirna1mirna2_target","BH_pvalues_adjusted"
"hsa-mir-181a-2-3p","hsa-mir-20a-5p",9189,"ZBED1",1153,"CIRBP",1,5e-04,0.119,0.3005,0.003,0.0183351871000196
"hsa-mir-17-5p","hsa-mir-181a-2-3p",9189,"ZBED1",1153,"CIRBP",1,0,0.1135,0.1085,0.001,0.00782846506300114
"hsa-mir-15b-5p","hsa-mir-766-3p",9189,"ZBED1",1153,"CIRBP",1,0.0065,0.088,0.0125,0.0015,0.0107739096163952
"hsa-mir-181a-2-3p","hsa-mir-766-3p",9189,"ZBED1",1153,"CIRBP",1,0.001,0.1125,0.0195,0.0095,0.0426185562780775
"hsa-mir-30a-5p","hsa-mir-411-3p",4899,"NRF1",1155,"TBCB",1,0.001,0.011,0.0205,0,0
"hsa-mir-30a-5p","hsa-mir-377-3p",4899,"NRF1",1155,"TBCB",1,0.002,0.0105,0.1355,0.0015,0.0107739096163952
"hsa-mir-485-3p","hsa-mir-493-5p",4801,"NFYB",1164,"CKS2",1,0,0.0655,0.8535,0.0075,0.0358980980937165
"hsa-mir-15b-5p","hsa-mir-9-5p",4088,"SMAD3",1277,"COL1A1",1,0,0.0605,0.076,0.007,0.0341537157263012
"hsa-mir-2355-5p","hsa-mir-497-5p",4088,"SMAD3",1281,"COL3A1",1,0,0.0235,0.074,0.002,0.0134607004370037
"hsa-mir-181a-5p","hsa-mir-2355-5p",1050,"CEBPA",1312,"COMT",1,0,0.1045,0.126,0.0075,0.0358980980937165
"hsa-mir-15a-3p","hsa-mir-592",1869,"E2F1",1355,"COX15",1,0,0.554,0.266,0.0035,0.0205773428678961
"hsa-mir-17-5p","hsa-mir-548b-3p",6667,"SP1",1386,"ATF2",1,5e-04,0.024,0.584,0.0045,0.0248073403745809
"hsa-mir-1271-5p","hsa-mir-15a-5p",4790,"NFKB1",1435,"CSF1",1,0.0035,0.5425,0.067,0.0045,0.0248073403745809
"hsa-let-7b-5p","hsa-mir-31-3p",6667,"SP1",1457,"CSNK2A1",1,0,0.0115,0.181,0.002,0.0134607004370037
"hsa-mir-125a-5p","hsa-mir-410-3p",6667,"SP1",1457,"CSNK2A1",1,0,0.134,0.017,0.0095,0.0426185562780775
