miRNA1,miRNA2,TF,Target,ModeOfRegulation,TwoVar_mirna1_tf,TwoVar_mirna1_target,TwoVar_mirna2_target,mirna1mirna2_target,BH_rejected,BH_pvalues_adjusted
hsa-mir-369-3p,hsa-mir-654-5p,4779,800,1,0.0,0.0845,0.1085,0.0,True,0.0
hsa-mir-379-5p,hsa-mir-410-3p,4779,800,1,0.001,0.3265,0.0585,0.0,True,0.0
hsa-mir-410-3p,hsa-mir-494-3p,4779,800,1,0.001,0.034,0.419,0.0,True,0.0
hsa-mir-410-3p,hsa-mir-654-5p,4779,800,1,0.0015,0.044,0.074,0.0,True,0.0
hsa-mir-493-5p,hsa-mir-654-5p,4779,800,1,0.0,0.0495,0.0675,0.0,True,0.0
hsa-mir-17-5p,hsa-mir-92b-3p,4801,10628,1,0.0015,0.551,0.185,0.0,True,0.0
hsa-mir-142-5p,hsa-mir-323a-3p,4801,140609,1,0.0025,0.043,0.3115,0.0,True,0.0
hsa-mir-20b-5p,hsa-mir-664a-3p,51341,8570,-1,0.008,0.3555,0.0315,0.0,True,0.0
hsa-mir-125a-5p,hsa-mir-335-5p,5465,3157,1,0.0005,0.0765,0.29,0.0,True,0.0
hsa-mir-181c-5p,hsa-mir-27a-5p,5468,5728,1,0.0095,0.035,0.0175,0.0005,True,0.03359090909090909
hsa-mir-30c-2-3p,hsa-mir-335-5p,6720,2224,1,0.0025,0.028,0.111,0.0005,True,0.03359090909090909
hsa-mir-146a-5p,hsa-mir-32-3p,6772,4170,1,0.0,0.0505,0.021,0.0005,True,0.03359090909090909
hsa-mir-337-3p,hsa-mir-539-5p,6774,3479,1,0.002,0.032,0.1815,0.0005,True,0.03359090909090909
hsa-mir-381-3p,hsa-mir-653-5p,687,4209,1,0.0,0.1525,0.236,0.0,True,0.0
hsa-mir-424-5p,hsa-mir-92b-3p,6925,23002,1,0.0,0.0105,0.054,0.0,True,0.0
hsa-mir-155-5p,hsa-mir-382-5p,6925,27333,1,0.001,0.032,0.2845,0.0005,True,0.03359090909090909
hsa-mir-1-3p,hsa-mir-203a-3p,6925,595,1,0.0,0.0915,0.019,0.0,True,0.0
hsa-mir-181a-2-3p,hsa-mir-92b-3p,6925,6711,1,0.0,0.26,0.083,0.0,True,0.0
hsa-mir-409-3p,hsa-mir-942-5p,6935,3898,-1,0.004,0.027,0.0125,0.0,True,0.0
hsa-mir-155-5p,hsa-mir-218-5p,7003,4638,1,0.0015,0.0435,0.0135,0.0,True,0.0
hsa-mir-30a-5p,hsa-mir-664a-3p,7182,55660,1,0.005,0.2505,0.069,0.0005,True,0.03359090909090909
hsa-mir-675-3p,hsa-mir-877-5p,7543,4641,1,0.0,0.0945,0.1215,0.0,True,0.0
hsa-mir-142-3p,hsa-mir-381-3p,7586,80205,1,0.0,0.121,0.0415,0.0,True,0.0
hsa-mir-142-5p,hsa-mir-199a-3p,7586,80205,1,0.0,0.1935,0.1015,0.0,True,0.0
hsa-mir-142-5p,hsa-mir-199b-3p,7586,80205,1,0.0,0.11,0.1115,0.0,True,0.0
hsa-mir-142-5p,hsa-mir-381-3p,7586,9043,1,0.0,0.258,0.086,0.0005,True,0.03359090909090909
hsa-mir-125a-3p,hsa-mir-335-5p,7586,9267,1,0.004,0.015,0.126,0.0005,True,0.03359090909090909
