"miRNA1","miRNA2","TF","hgnc_symbol_tf","Target","hgnc_symbol_target","ModeOfRegulation","TwoVar_mirna1_tf","TwoVar_mirna1_target","TwoVar_mirna2_target","mirna1mirna2_target","BH_pvalues_adjusted"
"hsa-mir-181c-5p","hsa-mir-27a-5p",5468,"PPARG",5728,"PTEN",1,0.0095,0.035,0.0175,5e-04,0.0335909090909091
"hsa-mir-141-3p","hsa-mir-21-3p",2005,"ELK4",5927,"KDM5A",1,0,0.329,0.3515,0,0
"hsa-mir-195-3p","hsa-mir-424-5p",4609,"MYC",6122,"RPL3",1,5e-04,0.018,0.0755,0,0
"hsa-mir-181a-2-3p","hsa-mir-92b-3p",6925,"TCF4",6711,"SPTBN1",1,0,0.26,0.083,0,0
"hsa-mir-127-5p","hsa-mir-7-5p",4609,"MYC",6778,"STAT6",1,5e-04,0.1675,0.1405,0,0
"hsa-mir-127-5p","hsa-mir-323a-3p",4609,"MYC",6778,"STAT6",1,0,0.0935,0.021,0,0
"hsa-mir-19b-3p","hsa-mir-381-3p",367,"AR",7132,"TNFRSF1A",1,0,0.1375,0.31,5e-04,0.0335909090909091
"hsa-mir-19b-3p","hsa-mir-675-3p",367,"AR",7132,"TNFRSF1A",1,0,0.146,0.4795,5e-04,0.0335909090909091
"hsa-mir-338-3p","hsa-mir-942-5p",860,"RUNX2",7145,"TNS1",1,0,0.247,0.295,0,0
"hsa-mir-338-3p","hsa-mir-942-5p",4779,"NFE2L1",7145,"TNS1",1,0.0045,0.247,0.295,0,0
"hsa-mir-204-5p","hsa-mir-214-3p",3607,"FOXK2",7170,"TPM3",1,5e-04,0.067,0.1725,5e-04,0.0335909090909091
"hsa-mir-149-5p","hsa-mir-19a-3p",196,"AHR",7227,"TRPS1",1,5e-04,0.271,0.574,5e-04,0.0335909090909091
"hsa-mir-20b-5p","hsa-mir-370-3p",2305,"FOXM1",7422,"VEGFA",1,0,0.0735,0.15,0,0
"hsa-mir-181d-5p","hsa-mir-199a-5p",1385,"CREB1",7422,"VEGFA",1,0,0.1675,0.0325,0,0
"hsa-mir-20b-5p","hsa-mir-664a-3p",51341,"ZBTB7A",8570,"KHSRP",-1,0.008,0.3555,0.0315,0,0
"hsa-mir-19a-3p","hsa-mir-301b-3p",2099,"ESR1",8648,"NCOA1",1,0,0.1775,0.2165,0,0
"hsa-mir-106a-5p","hsa-mir-18a-3p",1869,"E2F1",9020,"MAP3K14",1,0,0.019,0.014,5e-04,0.0335909090909091
"hsa-mir-142-5p","hsa-mir-381-3p",7586,"ZKSCAN1",9043,"SPAG9",1,0,0.258,0.086,5e-04,0.0335909090909091
"hsa-mir-125a-3p","hsa-mir-335-5p",7586,"ZKSCAN1",9267,"CYTH1",1,0.004,0.015,0.126,5e-04,0.0335909090909091
"hsa-mir-429","hsa-mir-548b-3p",7702,"ZNF143",9425,"CDYL",1,0.001,0.045,0.1605,5e-04,0.0335909090909091
"hsa-mir-19b-3p","hsa-mir-203a-3p",9575,"CLOCK",9620,"CELSR1",1,0,0.067,0.3365,5e-04,0.0335909090909091
"hsa-mir-130b-5p","hsa-mir-429",8202,"NCOA3",9931,"HELZ",1,0.007,0.105,0.0545,0,0
"hsa-mir-17-5p","hsa-mir-92b-3p",4801,"NFYB",10628,"TXNIP",1,0.0015,0.551,0.185,0,0
"hsa-mir-424-5p","hsa-mir-92b-3p",6925,"TCF4",23002,"DAAM1",1,0,0.0105,0.054,0,0
"hsa-mir-200c-3p","hsa-mir-21-3p",8202,"NCOA3",23224,"SYNE2",1,0.0015,0.3565,0.0975,5e-04,0.0335909090909091
"hsa-mir-2355-3p","hsa-mir-877-5p",8202,"NCOA3",23224,"SYNE2",1,5e-04,0.168,0.011,0,0
"hsa-mir-204-5p","hsa-mir-20a-3p",4772,"NFATC1",23499,"MACF1",1,0,0.771,0.1045,5e-04,0.0335909090909091
"hsa-mir-410-3p","hsa-mir-433-3p",7975,"MAFK",26137,"ZBTB20",1,0.0015,0.101,0.0395,0,0
"hsa-mir-410-3p","hsa-mir-654-5p",7975,"MAFK",26137,"ZBTB20",1,0,0.0845,0.016,5e-04,0.0335909090909091
"hsa-mir-432-5p","hsa-mir-433-3p",7975,"MAFK",26137,"ZBTB20",1,0,0.0275,0.101,0,0
"hsa-mir-432-5p","hsa-mir-92b-3p",7975,"MAFK",26137,"ZBTB20",1,0.0015,0.0365,0.0145,5e-04,0.0335909090909091
"hsa-mir-183-5p","hsa-mir-885-5p",10765,"KDM5B",27086,"FOXP1",1,0,0.447,0.1975,5e-04,0.0335909090909091
"hsa-mir-155-5p","hsa-mir-382-5p",6925,"TCF4",27333,"GOLIM4",1,0.001,0.032,0.2845,5e-04,0.0335909090909091
"hsa-mir-378a-5p","hsa-mir-766-3p",8202,"NCOA3",55074,"OXR1",1,0,0.477,0.0505,0,0
"hsa-mir-1226-3p","hsa-mir-589-3p",8202,"NCOA3",55074,"OXR1",1,0,0.0135,0.014,5e-04,0.0335909090909091
"hsa-mir-30a-5p","hsa-mir-664a-3p",7182,"NR2C2",55660,"PRPF40A",1,0.005,0.2505,0.069,5e-04,0.0335909090909091
"hsa-mir-181c-5p","hsa-mir-320b",4779,"NFE2L1",57142,"RTN4",1,0.007,0.0585,0.306,0,0
"hsa-mir-369-3p","hsa-mir-766-3p",7975,"MAFK",60468,"BACH2",1,0,0.0245,0.478,0,0
"hsa-mir-142-5p","hsa-mir-199b-3p",7586,"ZKSCAN1",80205,"CHD9",1,0,0.11,0.1115,0,0
"hsa-mir-200b-5p","hsa-mir-342-3p",1997,"ELF1",80205,"CHD9",1,0,0.254,0.252,0,0
"hsa-mir-142-5p","hsa-mir-199a-3p",7586,"ZKSCAN1",80205,"CHD9",1,0,0.1935,0.1015,0,0
"hsa-mir-130a-3p","hsa-mir-142-3p",4205,"MEF2A",80205,"CHD9",1,0.0055,0.0435,0.106,5e-04,0.0335909090909091
"hsa-mir-155-5p","hsa-mir-874-3p",196528,"ARID2",80205,"CHD9",1,0.008,0.1485,0.44,5e-04,0.0335909090909091
"hsa-mir-130b-3p","hsa-mir-200a-5p",1997,"ELF1",80205,"CHD9",1,0.003,0.054,0.031,5e-04,0.0335909090909091
"hsa-mir-142-3p","hsa-mir-381-3p",7586,"ZKSCAN1",80205,"CHD9",1,0,0.121,0.0415,0,0
"hsa-mir-181a-2-3p","hsa-mir-625-5p",4212,"MEIS2",81846,"SBF2",1,0,0.4405,0.9395,5e-04,0.0335909090909091
"hsa-mir-200c-3p","hsa-mir-582-5p",1999,"ELF3",84059,"ADGRV1",1,0,0.384,0.04,0,0
"hsa-mir-142-5p","hsa-mir-323a-3p",4801,"NFYB",140609,"NEK7",1,0.0025,0.043,0.3115,0,0
"hsa-mir-222-3p","hsa-mir-654-3p",8202,"NCOA3",204851,"HIPK1",1,0.0055,0.5785,0.42,5e-04,0.0335909090909091
