miRNA1,miRNA2,TF,Target,ModeOfRegulation,TwoVar_mirna1_tf,TwoVar_mirna1_target,TwoVar_mirna2_target,mirna1mirna2_target,BH_rejected,BH_pvalues_adjusted
hsa-mir-339-5p,hsa-mir-501-5p,5966,7128,1,0.0,0.0135,0.4555,0.002,True,0.04773765702600058
hsa-mir-18a-3p,hsa-mir-7-5p,60468,3097,1,0.0,0.087,0.015,0.002,True,0.04773765702600058
hsa-mir-1180-3p,hsa-mir-203a-3p,6664,861,1,0.0005,0.035,0.0185,0.002,True,0.04773765702600058
hsa-mir-339-5p,hsa-mir-570-3p,6688,7048,1,0.0,0.038,0.013,0.002,True,0.04773765702600058
hsa-mir-181d-5p,hsa-mir-424-5p,6720,3949,1,0.0025,0.0265,0.54,0.0005,True,0.018426477221470457
hsa-mir-221-5p,hsa-mir-485-5p,6773,94240,1,0.0015,0.471,0.0305,0.0005,True,0.018426477221470457
hsa-mir-18a-5p,hsa-mir-769-3p,6774,29126,1,0.0015,0.013,0.6695,0.0015,True,0.03993304007820137
hsa-mir-18a-5p,hsa-mir-196a-5p,6774,330,1,0.0005,0.028,0.0975,0.0015,True,0.03993304007820137
hsa-mir-18a-5p,hsa-mir-203a-3p,6774,3569,1,0.003,0.553,0.548,0.002,True,0.04773765702600058
hsa-mir-18a-5p,hsa-mir-34a-3p,6774,4170,1,0.0025,0.0455,0.5235,0.0,True,0.0
hsa-mir-196b-5p,hsa-mir-33b-5p,6774,5783,1,0.0095,0.0395,0.167,0.001,True,0.0302379718726869
hsa-mir-19a-3p,hsa-mir-301b-3p,6774,9021,1,0.009,0.068,0.0155,0.0005,True,0.018426477221470457
hsa-mir-19a-3p,hsa-mir-33a-3p,6925,27086,1,0.0,0.208,0.976,0.0015,True,0.03993304007820137
hsa-mir-92a-1-5p,hsa-mir-940,6938,51621,1,0.0015,0.091,0.0295,0.001,True,0.0302379718726869
hsa-mir-196a-5p,hsa-mir-503-5p,7003,158471,1,0.0,0.1115,0.032,0.001,True,0.0302379718726869
hsa-mir-19a-3p,hsa-mir-577,7003,158471,1,0.0005,0.0115,0.7895,0.002,True,0.04773765702600058
hsa-mir-16-1-3p,hsa-mir-19a-3p,7003,23499,1,0.0,0.313,0.0655,0.0,True,0.0
hsa-mir-19a-3p,hsa-mir-335-3p,7003,23731,1,0.0,0.017,0.041,0.0,True,0.0
hsa-mir-224-5p,hsa-mir-625-3p,7003,57142,1,0.0085,0.5145,0.148,0.002,True,0.04773765702600058
hsa-mir-196a-5p,hsa-mir-362-5p,7003,7049,1,0.0,0.021,0.0355,0.002,True,0.04773765702600058
hsa-mir-16-1-3p,hsa-mir-203a-3p,7003,79026,1,0.0,0.054,0.12,0.0005,True,0.018426477221470457
hsa-mir-16-1-3p,hsa-mir-877-5p,7003,79026,1,0.0,0.0325,0.2795,0.0015,True,0.03993304007820137
hsa-mir-30b-5p,hsa-mir-362-5p,7003,9693,1,0.0005,0.025,0.4605,0.0005,True,0.018426477221470457
hsa-mir-130b-5p,hsa-mir-30b-5p,860,23362,1,0.0,0.357,0.025,0.0005,True,0.018426477221470457
hsa-mir-19a-3p,hsa-mir-455-3p,860,861,1,0.0,0.012,0.063,0.0015,True,0.03993304007820137
hsa-mir-18a-3p,hsa-mir-19a-3p,9935,23001,1,0.0,0.3745,0.014,0.001,True,0.0302379718726869
hsa-mir-18a-3p,hsa-mir-20a-3p,9935,26137,1,0.0005,0.087,0.0405,0.0,True,0.0
hsa-mir-18a-3p,hsa-mir-301a-3p,9935,80315,1,0.0005,0.019,0.0915,0.001,True,0.0302379718726869
