"miRNA1","miRNA2","TF","hgnc_symbol_tf","Target","hgnc_symbol_target","ModeOfRegulation","TwoVar_mirna1_tf","TwoVar_mirna1_target","TwoVar_mirna2_target","mirna1mirna2_target","BH_pvalues_adjusted"
"hsa-mir-33b-3p","hsa-mir-582-3p",11016,"ATF7",667,"DST",1,0,0.3795,0.017,0,0
"hsa-mir-196b-5p","hsa-mir-424-5p",11016,"ATF7",667,"DST",1,5e-04,0.144,0.0225,0,0
"hsa-mir-3662","hsa-mir-96-5p",4205,"MEF2A",667,"DST",1,5e-04,0.0595,0.022,0,0
"hsa-mir-3662","hsa-mir-92a-1-5p",4205,"MEF2A",667,"DST",1,0,0.0495,0.087,5e-04,0.00327524746727045
"hsa-mir-124-3p","hsa-mir-182-5p",7003,"TEAD1",667,"DST",1,0,0.0215,0.012,0.0055,0.0225666206043856
"hsa-mir-182-5p","hsa-mir-33b-3p",11016,"ATF7",667,"DST",1,0,0.02,0.447,0.009,0.0328166173832954
"hsa-mir-124-3p","hsa-mir-378a-5p",7003,"TEAD1",667,"DST",1,0,0.0295,0.084,0.003,0.014138677137069
"hsa-mir-1-3p","hsa-mir-301a-3p",4205,"MEF2A",667,"DST",1,5e-04,0.0105,0.738,0,0
"hsa-mir-3662","hsa-mir-503-5p",4205,"MEF2A",667,"DST",1,0,0.0525,0.0175,0,0
"hsa-mir-3662","hsa-mir-378a-5p",4205,"MEF2A",667,"DST",1,0.001,0.081,0.071,0.0065,0.0256366798336072
"hsa-mir-124-3p","hsa-mir-96-5p",11016,"ATF7",667,"DST",1,0.0025,0.0435,0.0155,0.003,0.014138677137069
"hsa-mir-33b-3p","hsa-mir-92a-1-5p",11016,"ATF7",667,"DST",1,0,0.391,0.0745,5e-04,0.00327524746727045
"hsa-mir-124-3p","hsa-mir-378a-5p",11016,"ATF7",667,"DST",1,0.0015,0.0295,0.084,0.003,0.014138677137069
"hsa-mir-124-3p","hsa-mir-182-5p",11016,"ATF7",667,"DST",1,0.002,0.0215,0.012,0.0055,0.0225666206043856
"hsa-mir-142-3p","hsa-mir-182-5p",4205,"MEF2A",667,"DST",1,0.002,0.0305,0.015,0,0
"hsa-mir-495-3p","hsa-mir-656-3p",3726,"JUNB",678,"ZFP36L2",1,0.0015,0.5625,0.228,5e-04,0.00327524746727045
"hsa-mir-18a-3p","hsa-mir-7-5p",1316,"KLF6",678,"ZFP36L2",1,0,0.0215,0.181,0.001,0.00587513343226847
"hsa-mir-485-5p","hsa-mir-495-3p",3726,"JUNB",678,"ZFP36L2",1,0.0025,0.067,0.62,0,0
"hsa-mir-122-5p","hsa-mir-520c-3p",2099,"ESR1",718,"C3",1,5e-04,0.525,0.042,0.003,0.014138677137069
"hsa-mir-122-5p","hsa-mir-519c-3p",2099,"ESR1",718,"C3",1,0.0015,0.56,0.0485,0.001,0.00587513343226847
"hsa-mir-122-5p","hsa-mir-519a-3p",2099,"ESR1",718,"C3",1,0.001,0.5465,0.3095,0.002,0.0102974354294059
"hsa-mir-122-5p","hsa-mir-520d-3p",2099,"ESR1",718,"C3",1,5e-04,0.4855,0.1395,0.006,0.0241216461785142
"hsa-mir-20b-5p","hsa-mir-9-5p",51274,"KLF3",831,"CAST",1,0,0.092,0.024,0,0
"hsa-mir-20b-5p","hsa-mir-873-5p",79977,"GRHL2",831,"CAST",1,0,0.0845,0.7745,0,0
"hsa-mir-20b-5p","hsa-mir-9-5p",79977,"GRHL2",831,"CAST",1,0,0.092,0.024,0,0
"hsa-mir-20b-5p","hsa-mir-873-5p",51274,"KLF3",831,"CAST",1,0,0.0845,0.7745,0,0
"hsa-mir-106a-5p","hsa-mir-9-5p",51274,"KLF3",831,"CAST",1,0,0.4105,0.0405,0,0
"hsa-let-7c-5p","hsa-mir-125b-5p",7157,"TP53",836,"CASP3",1,0.005,0.127,0.022,5e-04,0.00327524746727045
"hsa-mir-200c-3p","hsa-mir-34c-5p",3725,"JUN",860,"RUNX2",1,0,0.131,0.036,0.003,0.014138677137069
"hsa-mir-34c-5p","hsa-mir-92b-3p",3725,"JUN",860,"RUNX2",1,0.002,0.0365,0.012,0,0
"hsa-mir-192-3p","hsa-mir-642a-5p",10127,"ZNF263",861,"RUNX1",-1,0.0035,0.2385,0.011,0.0065,0.0256366798336072
"hsa-let-7c-5p","hsa-mir-125b-5p",7157,"TP53",890,"CCNA2",1,0.005,0.1295,0.0175,5e-04,0.00327524746727045
"hsa-mir-129-5p","hsa-mir-509-3-5p",2305,"FOXM1",894,"CCND2",1,0.002,0.059,0.208,0.004,0.0176830639631698
"hsa-mir-134-5p","hsa-mir-497-5p",2305,"FOXM1",894,"CCND2",1,0,0.5825,0.131,0.0055,0.0225666206043856
"hsa-mir-155-5p","hsa-mir-182-5p",4088,"SMAD3",894,"CCND2",1,0,0.016,0.075,0.002,0.0102974354294059
"hsa-let-7c-5p","hsa-mir-424-5p",4609,"MYC",898,"CCNE1",1,0,0.0165,0.0145,0,0
"hsa-mir-1226-3p","hsa-mir-424-5p",1869,"E2F1",898,"CCNE1",1,5e-04,0.0365,0.011,0.0095,0.0341758891705326
"hsa-mir-183-5p","hsa-mir-7-1-3p",2308,"FOXO1",901,"CCNG2",1,5e-04,0.015,0.0315,0.001,0.00587513343226847
"hsa-mir-183-3p","hsa-mir-183-5p",2308,"FOXO1",901,"CCNG2",1,0.001,0.0625,0.0125,0.001,0.00587513343226847
"hsa-mir-135b-5p","hsa-mir-654-3p",4208,"MEF2C",953,"ENTPD1",1,0.001,0.093,0.0105,0.005,0.0209836339966524
"hsa-let-7e-5p","hsa-mir-204-5p",6925,"TCF4",960,"CD44",1,0,0.214,0.2175,0,0
