"miRNA1","miRNA2","TF","hgnc_symbol_tf","Target","hgnc_symbol_target","ModeOfRegulation","TwoVar_mirna1_tf","TwoVar_mirna1_target","TwoVar_mirna2_target","mirna1mirna2_target","BH_pvalues_adjusted"
"hsa-mir-196a-5p","hsa-mir-362-5p",7003,"TEAD1",7049,"TGFBR3",1,0,0.021,0.0355,0.002,0.0477376570260006
"hsa-mir-130b-5p","hsa-mir-31-5p",4212,"MEIS2",7049,"TGFBR3",1,0,0.044,0.601,0.0015,0.0399330400782014
"hsa-mir-339-5p","hsa-mir-501-5p",5966,"REL",7128,"TNFAIP3",1,0,0.0135,0.4555,0.002,0.0477376570260006
"hsa-mir-188-5p","hsa-mir-224-5p",4205,"MEF2A",7799,"PRDM2",1,0,0.1075,0.2345,0.0015,0.0399330400782014
"hsa-mir-486-5p","hsa-mir-7-5p",11016,"ATF7",8289,"ARID1A",1,0.0025,0.349,0.1765,0.001,0.0302379718726869
"hsa-mir-210-3p","hsa-mir-339-5p",4094,"MAF",9020,"MAP3K14",1,0.0035,0.8355,0.3,5e-04,0.0184264772214704
"hsa-mir-19a-3p","hsa-mir-301b-3p",2099,"ESR1",9021,"SOCS3",1,0,0.068,0.0155,5e-04,0.0184264772214704
"hsa-mir-19a-3p","hsa-mir-301b-3p",6774,"STAT3",9021,"SOCS3",1,0.009,0.068,0.0155,5e-04,0.0184264772214704
"hsa-mir-30b-5p","hsa-mir-362-5p",7003,"TEAD1",9693,"RAPGEF2",1,5e-04,0.025,0.4605,5e-04,0.0184264772214704
"hsa-mir-18a-3p","hsa-mir-19a-3p",9935,"MAFB",23001,"WDFY3",1,0,0.3745,0.014,0.001,0.0302379718726869
"hsa-mir-338-5p","hsa-mir-424-5p",5090,"PBX3",23002,"DAAM1",1,0.004,0.024,0.0155,5e-04,0.0184264772214704
"hsa-mir-18a-5p","hsa-mir-30b-5p",10765,"KDM5B",23002,"DAAM1",1,0,0.015,0.555,0.001,0.0302379718726869
