"miRNA1","miRNA2","TF","hgnc_symbol_tf","Target","hgnc_symbol_target","ModeOfRegulation","TwoVar_mirna1_tf","TwoVar_mirna1_target","TwoVar_mirna2_target","mirna1mirna2_target","BH_pvalues_adjusted"
"hsa-mir-106a-5p","hsa-mir-324-5p",3091,"HIF1A",19,"ABCA1",1,0,0.3135,0.118,0.0035,0.0244019457615358
"hsa-mir-106a-5p","hsa-mir-93-3p",3091,"HIF1A",19,"ABCA1",1,5e-04,0.3235,0.5395,0.004,0.0268807267863115
"hsa-mir-20b-5p","hsa-mir-324-5p",3091,"HIF1A",19,"ABCA1",1,0.0065,0.17,0.1345,0.0015,0.0129532855863921
"hsa-mir-324-5p","hsa-mir-33a-3p",3091,"HIF1A",19,"ABCA1",1,0,0.1385,0.3685,0.0045,0.0292622559594434
"hsa-mir-33a-5p","hsa-mir-342-5p",3091,"HIF1A",19,"ABCA1",1,0,0.213,0.168,0.0055,0.0338024950939165
"hsa-mir-324-5p","hsa-mir-33a-5p",3091,"HIF1A",19,"ABCA1",1,0,0.1355,0.2415,0,0
"hsa-mir-19a-3p","hsa-mir-532-3p",6720,"SREBF1",31,"ACACA",1,0,0.014,0.131,0.0015,0.0129532855863921
"hsa-mir-18a-5p","hsa-mir-485-3p",6720,"SREBF1",31,"ACACA",1,0,0.0305,0.171,0,0
"hsa-mir-18a-5p","hsa-mir-20a-3p",6720,"SREBF1",31,"ACACA",1,0,0.0135,0.0185,0,0
"hsa-mir-149-5p","hsa-mir-486-5p",6722,"SRF",60,"ACTB",1,0,0.012,0.0165,0.002,0.0161469751247112
"hsa-let-7f-1-3p","hsa-mir-324-5p",8553,"BHLHE40",60,"ACTB",-1,0,0.0315,0.0165,0.007,0.0400595424557407
"hsa-mir-328-3p","hsa-mir-625-5p",6722,"SRF",60,"ACTB",1,0,0.066,0.311,0.0095,0.0495104168917897
"hsa-mir-149-5p","hsa-mir-486-5p",4772,"NFATC1",60,"ACTB",1,0,0.012,0.0165,0.002,0.0161469751247112
"hsa-mir-331-3p","hsa-mir-92b-3p",6722,"SRF",70,"ACTC1",1,0,0.539,0.4195,0.003,0.0217897352489383
"hsa-mir-378a-5p","hsa-mir-532-3p",6722,"SRF",70,"ACTC1",1,0,0.1165,0.5755,0.0025,0.019049150025278
"hsa-mir-197-3p","hsa-mir-326",1874,"E2F4",71,"ACTG1",1,0,0.0275,0.9,0.0085,0.0458423612819538
"hsa-mir-320b","hsa-mir-548b-3p",6667,"SP1",102,"ADAM10",1,0.003,0.0105,0.0875,5e-04,0.0053038974178507
"hsa-mir-455-5p","hsa-mir-877-5p",5629,"PROX1",120,"ADD3",1,5e-04,0.082,0.879,0.003,0.0217897352489383
"hsa-mir-129-5p","hsa-mir-133a-3p",27086,"FOXP1",142,"PARP1",-1,0,0.856,0.229,0.0045,0.0292622559594434
"hsa-mir-429","hsa-mir-454-3p",4089,"SMAD4",196,"AHR",1,5e-04,0.013,0.0185,0.0015,0.0129532855863921
"hsa-mir-153-3p","hsa-mir-223-5p",367,"AR",207,"AKT1",1,0.0065,0.2845,0.021,5e-04,0.0053038974178507
"hsa-mir-223-5p","hsa-mir-3127-5p",367,"AR",207,"AKT1",1,0.0025,0.0175,0.0385,0.0045,0.0292622559594434
"hsa-mir-133a-3p","hsa-mir-183-5p",1316,"KLF6",302,"ANXA2",1,0.006,0.256,0.4495,0.003,0.0217897352489383
"hsa-mir-103a-2-5p","hsa-mir-335-3p",3164,"NR4A1",311,"ANXA11",1,0,0.013,0.031,0.0045,0.0292622559594434
"hsa-mir-150-5p","hsa-mir-199a-5p",4790,"NFKB1",331,"XIAP",1,0,0.0595,0.2165,0.002,0.0161469751247112
"hsa-mir-299-5p","hsa-mir-335-5p",3091,"HIF1A",332,"BIRC5",1,0,0.0585,0.0215,0.0015,0.0129532855863921
"hsa-mir-149-5p","hsa-mir-331-3p",2113,"ETS1",356,"FASLG",1,0,0.0855,0.117,0.0095,0.0495104168917897
"hsa-mir-19a-3p","hsa-mir-590-5p",51274,"KLF3",394,"ARHGAP5",1,5e-04,0.1495,0.462,0.0085,0.0458423612819538
"hsa-mir-363-3p","hsa-mir-503-5p",10664,"CTCF",402,"ARL2",-1,0.0015,0.3675,0.0665,0.0045,0.0292622559594434
"hsa-mir-106a-5p","hsa-mir-454-3p",2099,"ESR1",463,"ZFHX3",1,0,0.1215,0.014,0.007,0.0400595424557407
"hsa-mir-148b-5p","hsa-mir-203a-3p",6938,"TCF12",463,"ZFHX3",1,0,0.023,0.2275,0,0
"hsa-mir-192-5p","hsa-mir-92b-3p",2099,"ESR1",463,"ZFHX3",1,0,0.0375,0.017,0.0065,0.0380376504562221
"hsa-mir-130a-3p","hsa-mir-142-3p",2099,"ESR1",463,"ZFHX3",1,0,0.014,0.0155,0.001,0.00940327549229869
"hsa-mir-27a-5p","hsa-mir-335-3p",2099,"ESR1",463,"ZFHX3",1,0,0.1405,0.272,5e-04,0.0053038974178507
"hsa-mir-320b","hsa-mir-33a-5p",6667,"SP1",472,"ATM",1,0.0025,0.752,0.267,0.007,0.0400595424557407
"hsa-mir-130b-5p","hsa-mir-149-5p",6667,"SP1",472,"ATM",1,5e-04,0.117,0.0125,0,0
"hsa-mir-214-3p","hsa-mir-27a-5p",7003,"TEAD1",473,"RERE",1,0.002,0.1815,0.6045,0.004,0.0268807267863115
"hsa-mir-19b-3p","hsa-mir-766-3p",4212,"MEIS2",493,"ATP2B4",1,0.002,0.032,0.516,0.0045,0.0292622559594434
"hsa-mir-127-5p","hsa-mir-484",6670,"SP3",595,"CCND1",1,0,0.0115,0.042,0,0
"hsa-let-7g-3p","hsa-mir-1271-5p",1385,"CREB1",595,"CCND1",1,0,0.04,0.05,0.002,0.0161469751247112
"hsa-mir-196b-5p","hsa-mir-26a-1-3p",6667,"SP1",595,"CCND1",1,0,0.055,0.0735,0.0025,0.019049150025278
"hsa-mir-1271-5p","hsa-mir-196b-5p",6667,"SP1",595,"CCND1",1,0,0.0295,0.053,0.002,0.0161469751247112
"hsa-mir-127-5p","hsa-mir-145-5p",6667,"SP1",595,"CCND1",1,0,0.016,0.06,0.0065,0.0380376504562221
"hsa-mir-1271-5p","hsa-mir-628-5p",1386,"ATF2",595,"CCND1",1,0,0.0385,0.051,0.0035,0.0244019457615358
"hsa-let-7g-3p","hsa-mir-127-5p",1385,"CREB1",595,"CCND1",1,0,0.034,0.013,5e-04,0.0053038974178507
"hsa-mir-196b-5p","hsa-mir-3170",6667,"SP1",595,"CCND1",1,0,0.055,0.0355,0.0025,0.019049150025278
"hsa-mir-127-5p","hsa-mir-145-5p",2099,"ESR1",595,"CCND1",1,0.005,0.016,0.06,0.0065,0.0380376504562221
"hsa-let-7g-3p","hsa-mir-127-5p",10664,"CTCF",595,"CCND1",1,0,0.034,0.013,5e-04,0.0053038974178507
"hsa-let-7g-3p","hsa-mir-296-5p",1385,"CREB1",595,"CCND1",1,0,0.0475,0.0185,0.003,0.0217897352489383
"hsa-mir-127-5p","hsa-mir-196b-5p",6667,"SP1",595,"CCND1",1,0,0.016,0.0585,0.007,0.0400595424557407
"hsa-mir-196b-5p","hsa-mir-296-5p",6667,"SP1",595,"CCND1",1,0,0.047,0.012,0.0025,0.019049150025278
"hsa-let-7g-3p","hsa-mir-296-5p",5451,"POU2F1",595,"CCND1",1,0,0.0475,0.0185,0.003,0.0217897352489383
"hsa-mir-126-5p","hsa-mir-127-5p",6667,"SP1",595,"CCND1",1,0.0075,0.317,0.0105,0.0075,0.0420272923734721
"hsa-mir-323b-3p","hsa-mir-615-3p",6667,"SP1",595,"CCND1",1,0,0.5055,0.0785,0.0035,0.0244019457615358
"hsa-let-7g-3p","hsa-mir-1271-5p",5451,"POU2F1",595,"CCND1",1,0,0.04,0.05,0.002,0.0161469751247112
"hsa-mir-1271-5p","hsa-mir-628-5p",1385,"CREB1",595,"CCND1",1,0,0.0385,0.051,0.0035,0.0244019457615358
"hsa-let-7g-3p","hsa-mir-296-5p",10664,"CTCF",595,"CCND1",1,0,0.0475,0.0185,0.003,0.0217897352489383
"hsa-mir-127-5p","hsa-mir-484",5451,"POU2F1",595,"CCND1",1,0,0.0115,0.042,0,0
"hsa-mir-323b-3p","hsa-mir-615-3p",10664,"CTCF",595,"CCND1",1,0,0.5055,0.0785,0.0035,0.0244019457615358
"hsa-let-7g-3p","hsa-mir-1271-5p",10664,"CTCF",595,"CCND1",1,0,0.04,0.05,0.002,0.0161469751247112
"hsa-let-7g-3p","hsa-mir-127-5p",5451,"POU2F1",595,"CCND1",1,0,0.034,0.013,5e-04,0.0053038974178507
"hsa-mir-136-5p","hsa-mir-193b-3p",2099,"ESR1",596,"BCL2",1,0.009,0.0635,0.0615,0.006,0.0359589929666725
"hsa-mir-132-5p","hsa-mir-376a-5p",1385,"CREB1",596,"BCL2",1,0,0.2355,0.6975,0.0035,0.0244019457615358
