miRNA1,miRNA2,TF,Target,ModeOfRegulation,TwoVar_mirna1_tf,TwoVar_mirna1_target,TwoVar_mirna2_target,mirna1mirna2_target,BH_rejected,BH_pvalues_adjusted
hsa-mir-146b-5p,hsa-mir-221-5p,3661,29086,1,0.0,0.1415,0.092,0.0055,True,0.03991406826568265
hsa-mir-148a-3p,hsa-mir-9-5p,405,79659,1,0.0,0.2005,0.0495,0.0015,True,0.015174961419753087
hsa-mir-148a-3p,hsa-mir-182-5p,4090,10051,1,0.0,0.013,0.034,0.0035,True,0.028695622720166753
hsa-mir-127-5p,hsa-mir-675-3p,4090,2908,1,0.0,0.052,0.062,0.0015,True,0.015174961419753087
hsa-let-7f-5p,hsa-mir-21-5p,4090,9988,1,0.0005,0.0105,0.02,0.0025,True,0.02236128482092098
hsa-mir-21-5p,hsa-mir-3065-5p,4205,23291,1,0.0,0.029,0.059,0.0035,True,0.028695622720166753
hsa-mir-200a-3p,hsa-mir-3065-3p,4205,6935,1,0.004,0.1035,0.015,0.0,True,0.0
hsa-mir-138-5p,hsa-mir-204-5p,4212,5747,1,0.006,0.2995,0.0825,0.004,True,0.03168223922674185
hsa-mir-301b-3p,hsa-mir-7-5p,4609,1979,1,0.0,0.0385,0.036,0.0055,True,0.03991406826568265
hsa-mir-135a-5p,hsa-mir-221-3p,4609,2114,1,0.0,0.478,0.421,0.006,True,0.04251887217367805
hsa-mir-148a-3p,hsa-mir-338-5p,4609,2114,1,0.002,0.023,0.277,0.007,True,0.04723934116839667
hsa-mir-301b-3p,hsa-mir-7-5p,4609,23411,1,0.0,0.062,0.326,0.0075,True,0.04953425405087734
hsa-mir-301b-3p,hsa-mir-33b-5p,4609,26959,1,0.0,0.256,0.2625,0.003,True,0.02564392046071933
hsa-mir-148a-3p,hsa-mir-577,4609,3329,1,0.005,0.103,0.014,0.005,True,0.037233528966300646
hsa-mir-195-3p,hsa-mir-199b-5p,4609,4691,1,0.0,0.0155,0.042,0.0035,True,0.028695622720166753
hsa-mir-148a-3p,hsa-mir-345-5p,4609,4783,1,0.0055,0.086,0.2555,0.0045,True,0.03450307017543859
hsa-mir-195-3p,hsa-mir-548o-3p,4609,51191,1,0.0,0.016,0.9415,0.005,True,0.037233528966300646
hsa-mir-203a-3p,hsa-mir-508-5p,4609,56648,1,0.0035,0.6605,0.0685,0.0065,True,0.04479112648913805
hsa-mir-193b-5p,hsa-mir-33a-5p,4609,7705,1,0.0,0.0145,0.099,0.0035,True,0.028695622720166753
hsa-mir-212-3p,hsa-mir-940,4609,7884,1,0.0,0.0725,0.0245,0.0015,True,0.015174961419753087
hsa-mir-138-5p,hsa-mir-542-3p,4609,8870,1,0.0,0.581,0.0935,0.005,True,0.037233528966300646
hsa-mir-708-5p,hsa-mir-96-5p,4790,5783,1,0.0,0.4085,0.085,0.0035,True,0.028695622720166753
hsa-mir-138-5p,hsa-mir-542-3p,4790,8870,1,0.0,0.581,0.0935,0.005,True,0.037233528966300646
hsa-mir-21-3p,hsa-mir-493-3p,4801,10250,1,0.001,0.09,0.53,0.0065,True,0.04479112648913805
hsa-mir-654-3p,hsa-mir-708-5p,4899,25942,1,0.0,0.0115,0.0105,0.0055,True,0.03991406826568265
hsa-mir-34c-3p,hsa-mir-944,4899,5187,1,0.0,0.136,0.468,0.0005,True,0.006225625197847421
hsa-mir-200a-3p,hsa-mir-34c-5p,51341,5727,-1,0.004,0.16,0.024,0.006,True,0.04251887217367805
hsa-mir-148a-3p,hsa-mir-9-5p,5451,3567,1,0.009,0.34,0.111,0.0,True,0.0
hsa-mir-210-3p,hsa-mir-9-5p,5465,3157,1,0.0,0.034,0.847,0.003,True,0.02564392046071933
hsa-mir-548b-3p,hsa-mir-944,571,23657,1,0.0,0.0725,0.4765,0.004,True,0.03168223922674185
hsa-mir-338-3p,hsa-mir-944,571,4097,1,0.0,0.906,0.412,0.003,True,0.02564392046071933
hsa-mir-199b-3p,hsa-mir-370-3p,571,8878,1,0.0,0.022,0.401,0.0065,True,0.04479112648913805
hsa-mir-138-5p,hsa-mir-542-3p,5914,8870,1,0.0005,0.581,0.0935,0.005,True,0.037233528966300646
hsa-mir-20b-5p,hsa-mir-3130-5p,5966,6352,1,0.001,0.672,0.162,0.005,True,0.037233528966300646
hsa-mir-205-5p,hsa-mir-96-5p,604,894,-1,0.0,0.0255,0.037,0.0,True,0.0
hsa-mir-182-5p,hsa-mir-204-5p,60468,2309,1,0.0,0.0245,0.0135,0.004,True,0.03168223922674185
hsa-mir-182-5p,hsa-mir-503-5p,60468,3097,1,0.0,0.057,0.0125,0.0035,True,0.028695622720166753
hsa-mir-142-3p,hsa-mir-874-3p,639,55366,1,0.0,0.22,0.0105,0.003,True,0.02564392046071933
hsa-mir-221-3p,hsa-mir-301b-3p,6664,2045,1,0.0,0.2525,0.296,0.005,True,0.037233528966300646
hsa-mir-301b-3p,hsa-mir-616-5p,6664,2045,1,0.0,0.255,0.345,0.0005,True,0.006225625197847421
hsa-mir-204-5p,hsa-mir-548v,6667,1027,1,0.0,0.0115,0.6135,0.0065,True,0.04479112648913805
hsa-mir-127-5p,hsa-mir-34c-3p,6667,331,1,0.0005,0.0225,0.0435,0.001,True,0.011056500351370345
hsa-mir-150-5p,hsa-mir-223-5p,6667,3480,1,0.0005,0.0265,0.608,0.0005,True,0.006225625197847421
hsa-mir-409-3p,hsa-mir-96-5p,6667,7048,1,0.0015,0.136,0.2535,0.007,True,0.04723934116839667
hsa-mir-20b-5p,hsa-mir-503-5p,6667,7077,1,0.0,0.0265,0.042,0.001,True,0.011056500351370345
hsa-mir-542-3p,hsa-mir-9-5p,6670,23607,1,0.0015,0.078,0.111,0.003,True,0.02564392046071933
hsa-let-7f-5p,hsa-mir-199a-5p,6670,7422,1,0.0,0.2585,0.0205,0.0005,True,0.006225625197847421
hsa-mir-199a-5p,hsa-mir-432-5p,6670,7422,1,0.0,0.019,0.0245,0.0,True,0.0
hsa-mir-214-3p,hsa-mir-432-5p,6670,7422,1,0.0095,0.1535,0.0305,0.0005,True,0.006225625197847421
hsa-mir-199a-3p,hsa-mir-20b-5p,6671,79960,1,0.0,0.0305,0.026,0.004,True,0.03168223922674185
hsa-mir-204-5p,hsa-mir-338-5p,6689,10397,1,0.0,0.118,0.156,0.0055,True,0.03991406826568265
hsa-mir-204-5p,hsa-mir-940,6689,10397,1,0.0,0.12,0.015,0.004,True,0.03168223922674185
hsa-mir-146a-5p,hsa-mir-148a-3p,6772,7554,1,0.0,0.1345,0.0155,0.001,True,0.011056500351370345
hsa-mir-20b-5p,hsa-mir-223-3p,6772,9655,1,0.0,0.702,0.2015,0.0035,True,0.028695622720166753
hsa-mir-3065-3p,hsa-mir-424-5p,6774,4609,1,0.0,0.0515,0.016,0.0,True,0.0
hsa-mir-148a-3p,hsa-mir-301b-3p,6925,27333,1,0.0,0.896,0.0325,0.0015,True,0.015174961419753087
hsa-mir-214-3p,hsa-mir-221-3p,6929,7410,1,0.001,0.3045,0.1495,0.001,True,0.011056500351370345
hsa-mir-182-5p,hsa-mir-503-5p,7003,10150,1,0.0025,0.0105,0.2425,0.003,True,0.02564392046071933
hsa-mir-183-5p,hsa-mir-503-5p,7003,10150,1,0.0,0.022,0.2585,0.001,True,0.011056500351370345
hsa-mir-424-5p,hsa-mir-503-5p,7003,23002,1,0.0,0.0165,0.113,0.0045,True,0.03450307017543859
hsa-mir-450b-5p,hsa-mir-7-5p,7003,51232,1,0.0,0.24,0.0165,0.006,True,0.04251887217367805
hsa-mir-200a-3p,hsa-mir-221-3p,7157,4193,1,0.0,0.019,0.09,0.0005,True,0.006225625197847421
hsa-mir-204-5p,hsa-mir-548v,7421,1027,1,0.0,0.0115,0.6135,0.0065,True,0.04479112648913805
hsa-mir-204-5p,hsa-mir-7-5p,7421,54541,1,0.0,0.0585,0.027,0.001,True,0.011056500351370345
hsa-mir-148a-3p,hsa-mir-9-5p,7528,3567,1,0.0,0.34,0.111,0.0,True,0.0
hsa-mir-142-5p,hsa-mir-204-5p,7528,7913,1,0.0,0.026,0.4475,0.0015,True,0.015174961419753087
hsa-mir-142-3p,hsa-mir-301b-3p,7543,165324,1,0.002,0.012,0.197,0.0,True,0.0
hsa-mir-21-5p,hsa-mir-675-3p,7543,25836,1,0.0,0.0815,0.3775,0.006,True,0.04251887217367805
hsa-mir-199a-5p,hsa-mir-432-5p,7543,57695,1,0.0005,0.1195,0.1625,0.002,True,0.01887856971442285
hsa-mir-199b-5p,hsa-mir-432-5p,7543,57695,1,0.0,0.0635,0.121,0.0005,True,0.006225625197847421
hsa-mir-142-3p,hsa-mir-150-5p,7586,10743,1,0.0,0.2225,0.0955,0.0,True,0.0
hsa-mir-138-5p,hsa-mir-940,7764,200424,1,0.0,0.429,0.0785,0.0015,True,0.015174961419753087
hsa-mir-33a-5p,hsa-mir-940,7764,200424,1,0.0,0.048,0.0495,0.0,True,0.0
hsa-mir-589-3p,hsa-mir-940,8202,204851,1,0.001,0.068,0.0215,0.0005,True,0.006225625197847421
hsa-let-7f-5p,hsa-mir-19a-3p,8202,4026,1,0.0015,0.3225,0.0145,0.0055,True,0.03991406826568265
hsa-mir-130a-5p,hsa-mir-20b-5p,8202,4734,1,0.0,0.028,0.711,0.001,True,0.011056500351370345
hsa-mir-135a-5p,hsa-mir-221-3p,860,2113,1,0.0,0.022,0.528,0.003,True,0.02564392046071933
hsa-mir-200b-5p,hsa-mir-96-5p,90993,6770,1,0.0,0.443,0.2165,0.001,True,0.011056500351370345
hsa-mir-155-5p,hsa-mir-96-5p,9575,157769,1,0.005,0.2165,0.2905,0.0045,True,0.03450307017543859
hsa-mir-155-5p,hsa-mir-205-5p,9935,221037,1,0.0,0.079,0.6025,0.006,True,0.04251887217367805
