"miRNA1","miRNA2","TF","hgnc_symbol_tf","Target","hgnc_symbol_target","ModeOfRegulation","TwoVar_mirna1_tf","TwoVar_mirna1_target","TwoVar_mirna2_target","mirna1mirna2_target","BH_pvalues_adjusted"
"hsa-mir-1229-3p","hsa-mir-335-3p",27086,"FOXP1",142,"PARP1",-1,0.0055,0.7515,0.516,5e-04,0.0473255813953488
"hsa-mir-365a-3p","hsa-mir-486-5p",6671,"SP4",595,"CCND1",1,0,0.0285,0.236,0,0
"hsa-mir-135b-5p","hsa-mir-582-3p",4205,"MEF2A",667,"DST",1,0,0.614,0.411,0,0
"hsa-mir-185-3p","hsa-mir-362-5p",4609,"MYC",841,"CASP8",1,0,0.5375,0.5575,0,0
"hsa-mir-145-5p","hsa-mir-424-5p",3659,"IRF1",958,"CD40",1,5e-04,0.7965,0.3675,5e-04,0.0473255813953488
"hsa-mir-145-5p","hsa-mir-192-5p",6689,"SPIB",958,"CD40",1,0,0.7495,0.061,5e-04,0.0473255813953488
"hsa-mir-192-3p","hsa-mir-192-5p",1958,"EGR1",960,"CD44",1,0.0035,0.0625,0.037,5e-04,0.0473255813953488
"hsa-mir-218-5p","hsa-mir-497-5p",4609,"MYC",2305,"FOXM1",1,0,0.3145,0.138,0,0
"hsa-mir-126-5p","hsa-mir-940",6667,"SP1",2683,"B4GALT1",1,0,0.0135,0.8755,5e-04,0.0473255813953488
"hsa-mir-199a-5p","hsa-mir-874-3p",2113,"ETS1",3371,"TNC",1,0,0.095,0.011,5e-04,0.0473255813953488
"hsa-mir-125b-2-3p","hsa-mir-20b-3p",3659,"IRF1",3660,"IRF2",1,5e-04,0.148,0.2185,0,0
"hsa-mir-135a-5p","hsa-mir-138-5p",3091,"HIF1A",3939,"LDHA",1,0,0.083,0.143,5e-04,0.0473255813953488
"hsa-mir-135a-5p","hsa-mir-138-5p",4609,"MYC",3939,"LDHA",1,0.001,0.083,0.143,5e-04,0.0473255813953488
"hsa-mir-3200-3p","hsa-mir-625-5p",6667,"SP1",4170,"MCL1",1,0,0.2755,0.019,5e-04,0.0473255813953488
"hsa-mir-144-3p","hsa-mir-20b-5p",4089,"SMAD4",4233,"MET",1,5e-04,0.048,0.5955,0,0
"hsa-mir-144-5p","hsa-mir-20b-5p",4089,"SMAD4",4233,"MET",1,0,0.048,0.523,0,0
"hsa-mir-144-3p","hsa-mir-20b-5p",6667,"SP1",4233,"MET",1,0,0.048,0.5955,0,0
"hsa-mir-144-5p","hsa-mir-20b-5p",6667,"SP1",4233,"MET",1,5e-04,0.048,0.523,0,0
"hsa-mir-378a-5p","hsa-mir-9-5p",6667,"SP1",4790,"NFKB1",1,0,0.6045,0.0115,5e-04,0.0473255813953488
"hsa-mir-143-3p","hsa-mir-378a-5p",6667,"SP1",4790,"NFKB1",1,0,0.021,0.6325,0,0
"hsa-mir-193b-3p","hsa-mir-194-5p",196528,"ARID2",5128,"CDK17",1,0,0.048,0.271,0,0
"hsa-mir-182-5p","hsa-mir-204-5p",7157,"TP53",5888,"RAD51",1,0.0015,0.374,0.013,0,0
"hsa-mir-138-5p","hsa-mir-192-3p",2001,"ELF5",5927,"KDM5A",1,0.0035,0.046,0.532,5e-04,0.0473255813953488
"hsa-mir-183-5p","hsa-mir-642a-5p",367,"AR",7067,"THRA",1,0.001,0.121,0.385,0,0
"hsa-mir-378a-3p","hsa-mir-877-5p",1958,"EGR1",7077,"TIMP2",1,0,0.018,0.0355,0,0
"hsa-mir-16-2-3p","hsa-mir-31-5p",4609,"MYC",10935,"PRDX3",1,0.001,0.492,0.019,0,0
"hsa-mir-142-5p","hsa-mir-30c-1-3p",6668,"SP2",11100,"HNRNPUL1",1,0.0015,0.036,0.4575,5e-04,0.0473255813953488
"hsa-mir-155-5p","hsa-mir-296-3p",7586,"ZKSCAN1",11176,"BAZ2A",1,0,0.205,0.15,5e-04,0.0473255813953488
"hsa-let-7c-5p","hsa-mir-335-5p",6773,"STAT2",23070,"CMTR1",1,0.001,0.0125,0.574,5e-04,0.0473255813953488
"hsa-mir-335-3p","hsa-mir-497-5p",1820,"ARID3A",23152,"CIC",1,0.004,0.3055,0.3135,5e-04,0.0473255813953488
"hsa-mir-33b-5p","hsa-mir-34c-5p",7182,"NR2C2",23405,"DICER1",1,0,0.2505,0.5175,0,0
"hsa-mir-192-3p","hsa-mir-33a-3p",8202,"NCOA3",23446,"SLC44A1",1,0.0015,0.2195,0.66,5e-04,0.0473255813953488
"hsa-mir-155-5p","hsa-mir-629-3p",4205,"MEF2A",23499,"MACF1",1,5e-04,0.0105,0.456,5e-04,0.0473255813953488
"hsa-mir-192-5p","hsa-mir-421",7543,"ZFX",23613,"ZMYND8",1,0.002,0.4235,0.014,5e-04,0.0473255813953488
"hsa-mir-192-5p","hsa-mir-421",8202,"NCOA3",23613,"ZMYND8",1,0.003,0.4235,0.014,5e-04,0.0473255813953488
"hsa-mir-33a-5p","hsa-mir-627-5p",53335,"BCL11A",23613,"ZMYND8",1,5e-04,0.151,0.0145,5e-04,0.0473255813953488
"hsa-mir-142-3p","hsa-mir-582-5p",7586,"ZKSCAN1",29998,"BICRA",1,0,0.128,0.84,5e-04,0.0473255813953488
"hsa-mir-193b-3p","hsa-mir-491-5p",283337,"ZNF740",56257,"MEPCE",1,5e-04,0.0215,0.2,0,0
"hsa-mir-142-5p","hsa-mir-96-5p",3516,"RBPJ",56261,"GPCPD1",1,0.004,0.1885,0.0475,0,0
"hsa-mir-378a-5p","hsa-mir-452-5p",7764,"ZNF217",64778,"FNDC3B",1,0,0.0525,0.169,0,0
"hsa-mir-3170","hsa-mir-589-3p",55810,"FOXJ2",84333,"PCGF5",1,0.009,0.059,0.6405,0,0
