entrezgene_id,hgnc_symbol,mirna1,mirna2,Lancaster_XY_Z,is_mrna_tf,mirna1Literature,mirna2Literature,mrnaLiterature,miRNA1_mRNA_DB,miRNA2_mRNA_DB,BH_pvalues_adjusted,BH_rejected
2055,CLN8,hsa-mir-7-5p,hsa-mir-18a-5p,0.004,FALSE,NA,NA,NA,tarbase,mirtarbase tarbase,0.30160509554140125,FALSE
2194,FASN,hsa-mir-342-5p,hsa-mir-940,5e-4,FALSE,NA,NA,"<a href='https://pubmed.ncbi.nlm.nih.gov/20423996'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/20423996'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/29483509'>PubMedLink</a>",tarbase,tarbase,0.1345227272727273,FALSE
2200,FBN1,hsa-mir-190a-5p,hsa-mir-1-3p,0.0025,FALSE,NA,NA,NA,tarbase,mirtarbase tarbase,0.26424107142857145,FALSE
2355,FOSL2,hsa-mir-150-5p,hsa-mir-342-3p,0.002,TRUE,NA,NA,<a href='https://pubmed.ncbi.nlm.nih.gov/22493372'>PubMedLink</a>,tarbase,mirtarbase,0.2518723404255319,FALSE
2355,FOSL2,hsa-mir-495-3p,hsa-mir-939-5p,0.007,TRUE,NA,NA,<a href='https://pubmed.ncbi.nlm.nih.gov/22493372'>PubMedLink</a>,tarbase,tarbase,0.3368536585365854,FALSE
2935,GSPT1,hsa-mir-9-3p,hsa-mir-129-5p,0.004,FALSE,NA,NA,NA,tarbase,tarbase,0.30160509554140125,FALSE
2956,MSH6,hsa-mir-1-3p,hsa-mir-139-5p,0.008,FALSE,NA,NA,NA,mirtarbase tarbase,tarbase,0.3418916967509026,FALSE
3157,HMGCS1,hsa-mir-335-5p,hsa-mir-548s,0.009,FALSE,NA,NA,NA,mirtarbase tarbase,mirtarbase,0.3436838709677419,FALSE
3206,HOXA10,hsa-mir-7-5p,hsa-mir-320b,0.005,TRUE,NA,NA,NA,tarbase,tarbase,0.32344262295081966,FALSE
3313,HSPA9,hsa-mir-339-5p,hsa-mir-129-5p,0.0025,FALSE,NA,NA,NA,mirtarbase,tarbase,0.26424107142857145,FALSE
3423,IDS,hsa-mir-491-5p,hsa-mir-331-3p,0.0065,FALSE,NA,NA,NA,mirtarbase,tarbase,0.3368536585365854,FALSE
3480,IGF1R,hsa-mir-19a-3p,hsa-mir-106a-5p,0.006,FALSE,NA,NA,"<a href='https://pubmed.ncbi.nlm.nih.gov/24651014'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/24931256'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/25885794'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/26452103'>PubMedLink</a>",tarbase,tarbase,0.3350377358490566,FALSE
3638,INSIG1,hsa-mir-301b-3p,hsa-mir-454-5p,0.007,FALSE,NA,NA,NA,tarbase,tarbase,0.3368536585365854,FALSE
3658,IREB2,hsa-mir-182-5p,hsa-mir-30b-5p,0.0085,FALSE,NA,NA,NA,tarbase,mirtarbase tarbase,0.3436838709677419,FALSE
3658,IREB2,hsa-mir-182-5p,hsa-mir-664a-3p,0.009,FALSE,NA,NA,NA,tarbase,tarbase,0.3436838709677419,FALSE
3658,IREB2,hsa-mir-33a-3p,hsa-mir-181d-5p,0.0025,FALSE,NA,NA,NA,tarbase,tarbase,0.26424107142857145,FALSE
3658,IREB2,hsa-mir-664a-3p,hsa-mir-320b,0.0095,FALSE,NA,NA,NA,tarbase,tarbase,0.3492577639751553,FALSE
4170,MCL1,hsa-mir-1180-3p,hsa-mir-339-3p,5e-4,FALSE,NA,NA,"<a href='https://pubmed.ncbi.nlm.nih.gov/11389033'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/11818669'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/11830549'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/15122313'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/15122313'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/15718423'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/18156799'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/19676043'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/20023629'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/20888662'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/21213215'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/21473291'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/21975296'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/22705850'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/23200668'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/23257783'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/23257783'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/23393346'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/24276280'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/24939844'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/25088254'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/25732831'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/25781640'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/25789974'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/25882699'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/26134786'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/26452103'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/26460954'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/26460954'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/26467384'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/26467384'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/26755751'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/27023223'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/27159593'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/27907212'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/27907212'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/28192408'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/28272166'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/28447716'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/28557543'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/28587170'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/28866374'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/29166822'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/29269870'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/29269870'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/29275301'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/29318382'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/29358277'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/29434770'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/29488156'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/29522221'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/29631569'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/29740433'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/29740433'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/29756671'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/29805688'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/29845223'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/29849791'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/30012635'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/30055346'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/30139826'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/30322870'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/30396948'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/30404918'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/30405790'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/30675253'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/30929420'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/31219428'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/31566022'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/31692474'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/31807158'>PubMedLink</a>",tarbase,mirtarbase tarbase,0.1345227272727273,FALSE
4233,MET,hsa-mir-26b-3p,hsa-mir-194-3p,0.0015,FALSE,NA,NA,"<a href='https://pubmed.ncbi.nlm.nih.gov/16189274'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/20423996'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/20423996'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/23379953'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/23379953'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/23745832'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/29135973'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/29135973'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/29484431'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/29876933'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/31338678'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/31338678'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/8289471'>PubMedLink</a>",tarbase,tarbase,0.2247721518987342,FALSE
4277,MICB,hsa-mir-30b-3p,hsa-mir-30b-5p,0.009,FALSE,NA,NA,NA,mirtarbase,tarbase,0.3436838709677419,FALSE
4613,MYCN,hsa-mir-331-5p,hsa-mir-19a-3p,0.0095,TRUE,NA,NA,"<a href='https://pubmed.ncbi.nlm.nih.gov/31748534'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/8062825'>PubMedLink</a>",mirtarbase,mirtarbase tarbase,0.3492577639751553,FALSE
4627,MYH9,hsa-let-7c-5p,hsa-mir-758-3p,0.0075,FALSE,NA,NA,NA,tarbase,tarbase,0.3414807692307692,FALSE
4627,MYH9,hsa-mir-1296-5p,hsa-mir-758-3p,0.0065,FALSE,NA,NA,NA,mirtarbase,tarbase,0.3368536585365854,FALSE
4659,PPP1R12A,hsa-mir-30b-5p,hsa-mir-183-5p,0.008,FALSE,NA,NA,NA,mirtarbase,tarbase,0.3418916967509026,FALSE
4853,NOTCH2,hsa-mir-125b-2-3p,hsa-let-7c-5p,0.006,FALSE,NA,NA,"NA
<a href='https://pubmed.ncbi.nlm.nih.gov/19445024'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/19445024'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/19445024'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/22695918'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/22891276'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/25314575'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/25314575'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/25314575'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/28941602'>PubMedLink</a>",tarbase,mirtarbase,0.3350377358490566,FALSE
4853,NOTCH2,hsa-mir-654-3p,hsa-mir-1271-5p,0.007,FALSE,NA,NA,"NA
<a href='https://pubmed.ncbi.nlm.nih.gov/19445024'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/19445024'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/19445024'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/22695918'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/22891276'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/25314575'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/25314575'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/25314575'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/28941602'>PubMedLink</a>",tarbase,mirtarbase,0.3368536585365854,FALSE
5411,PNN,hsa-mir-150-3p,hsa-mir-320b,0.009,FALSE,NA,NA,NA,tarbase,mirtarbase tarbase,0.3436838709677419,FALSE
