entrezgene_id,hgnc_symbol,mirna1,mirna2,Lancaster_XY_Z,is_mrna_tf,mirna1Literature,mirna2Literature,mrnaLiterature,miRNA1_mRNA_DB,miRNA2_mRNA_DB,BH_pvalues_adjusted,BH_rejected
36,ACADSB,hsa-mir-200a-3p,hsa-mir-141-3p,0,FALSE,NA,NA,NA,tarbase,tarbase,0,TRUE
70,ACTC1,hsa-mir-92b-3p,hsa-mir-7-5p,0.001,FALSE,NA,NA,NA,mirtarbase,mirtarbase,0.09616062176165804,FALSE
103,ADAR,hsa-mir-335-3p,hsa-mir-424-5p,0.0085,FALSE,NA,NA,NA,tarbase,tarbase,0.21174697986577184,FALSE
112,ADCY6,hsa-mir-532-3p,hsa-mir-182-5p,0.0095,FALSE,NA,NA,NA,tarbase,mirtarbase tarbase,0.2195647571606476,FALSE
142,PARP1,hsa-let-7c-5p,hsa-mir-199b-5p,0.008,FALSE,NA,NA,"<a href='https://pubmed.ncbi.nlm.nih.gov/23762867'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/23762867'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/27470351'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/28454476'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/28886696'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/29436682'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/30447298'>PubMedLink</a>",tarbase,tarbase,0.20882137834036568,FALSE
142,PARP1,hsa-mir-502-5p,hsa-mir-98-5p,0.0085,FALSE,NA,NA,"<a href='https://pubmed.ncbi.nlm.nih.gov/23762867'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/23762867'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/27470351'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/28454476'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/28886696'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/29436682'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/30447298'>PubMedLink</a>",tarbase,tarbase,0.21174697986577184,FALSE
302,ANXA2,hsa-mir-424-5p,hsa-mir-133a-3p,0.0085,FALSE,NA,NA,"<a href='https://pubmed.ncbi.nlm.nih.gov/21715543'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/27784647'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/31842290'>PubMedLink</a>",tarbase,mirtarbase,0.21174697986577184,FALSE
311,ANXA11,hsa-mir-760,hsa-mir-335-5p,0.0095,FALSE,NA,NA,NA,tarbase,mirtarbase tarbase,0.2195647571606476,FALSE
334,APLP2,hsa-mir-660-5p,hsa-mir-34b-5p,0.002,FALSE,NA,NA,NA,tarbase,tarbase,0.12497643097643098,FALSE
356,FASLG,hsa-mir-329-3p,hsa-mir-362-3p,0.0085,FALSE,NA,NA,"<a href='https://pubmed.ncbi.nlm.nih.gov/10817504'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/25472583'>PubMedLink</a>",mirtarbase,mirtarbase,0.21174697986577184,FALSE
356,FASLG,hsa-mir-485-3p,hsa-mir-362-3p,0.0025,FALSE,NA,NA,"<a href='https://pubmed.ncbi.nlm.nih.gov/10817504'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/25472583'>PubMedLink</a>",mirtarbase,mirtarbase,0.14364551083591331,FALSE
463,ZFHX3,hsa-mir-940,hsa-mir-582-3p,0.003,TRUE,NA,NA,<a href='https://pubmed.ncbi.nlm.nih.gov/26330387'>PubMedLink</a>,tarbase,tarbase,0.1525397260273973,FALSE
567,B2M,hsa-mir-130a-3p,hsa-mir-20a-5p,0.009,FALSE,NA,NA,<a href='https://pubmed.ncbi.nlm.nih.gov/31013508'>PubMedLink</a>,tarbase,mirtarbase tarbase,0.21692337662337663,FALSE
567,B2M,hsa-mir-500a-5p,hsa-mir-106a-5p,5e-4,FALSE,NA,NA,<a href='https://pubmed.ncbi.nlm.nih.gov/31013508'>PubMedLink</a>,tarbase,mirtarbase,0.06773357664233577,FALSE
567,B2M,hsa-mir-501-3p,hsa-mir-106a-5p,0,FALSE,NA,NA,<a href='https://pubmed.ncbi.nlm.nih.gov/31013508'>PubMedLink</a>,mirtarbase,mirtarbase,0,TRUE
567,B2M,hsa-mir-501-3p,hsa-mir-20a-5p,0.008,FALSE,NA,NA,<a href='https://pubmed.ncbi.nlm.nih.gov/31013508'>PubMedLink</a>,mirtarbase,mirtarbase tarbase,0.20882137834036568,FALSE
567,B2M,hsa-mir-502-3p,hsa-mir-106a-5p,0.009,FALSE,NA,NA,<a href='https://pubmed.ncbi.nlm.nih.gov/31013508'>PubMedLink</a>,mirtarbase,mirtarbase,0.21692337662337663,FALSE
595,CCND1,hsa-mir-206,hsa-mir-95-3p,0.005,FALSE,NA,NA,"<a href='https://pubmed.ncbi.nlm.nih.gov/10901378'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/11957146'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/12955092'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/14648178'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/15069681'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/15213599'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/15474160'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/15863141'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/16293976'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/18822177'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/19475528'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/19898427'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/19898427'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/22459351'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/22982899'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/23733133'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/24186140'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/25751590'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/27105504'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/28965628'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/29232554'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/29232554'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/29393479'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/30585737'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/30705597'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/30705597'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/31001342'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/8826947'>PubMedLink</a>",mirtarbase,mirtarbase tarbase,0.1784519230769231,FALSE
