entrezgene_id,hgnc_symbol,mirna1,mirna2,Lancaster_XY_Z,is_mrna_tf,mrnaLiterature,miRNA1_mRNA_DB,miRNA2_mRNA_DB,BH_pvalues_adjusted,BH_rejected
2289,FKBP5,hsa-mir-539-5p,hsa-mir-200c-3p,0.0015,FALSE,NA,mirtarbase,mirtarbase,0.005383963824115,TRUE
2335,FN1,hsa-mir-124-3p,hsa-mir-7-5p,0,FALSE,NA,tarbase,tarbase,0,TRUE
2935,GSPT1,hsa-mir-9-3p,hsa-mir-455-3p,0.0045,FALSE,<a href='https://pubmed.ncbi.nlm.nih.gov/26503584'>PubMedLink</a>,tarbase,tarbase,0.01352976594301221,TRUE
2979,GUCA1B,hsa-mir-519e-5p,hsa-mir-515-5p,0.0015,FALSE,NA,mirtarbase,mirtarbase,0.005383963824115,TRUE
3097,HIVEP2,hsa-mir-486-3p,hsa-mir-873-5p,0.0025,TRUE,NA,tarbase,tarbase,0.00830200755565268,TRUE
3215,HOXB5,hsa-mir-3150b-3p,hsa-mir-513c-5p,0.008,TRUE,NA,mirtarbase,mirtarbase,0.02165901338899353,TRUE
3224,HOXC8,hsa-mir-149-3p,hsa-mir-518b,0.006,TRUE,NA,mirtarbase,mirtarbase,0.01713305412371134,TRUE
3224,HOXC8,hsa-mir-34b-5p,hsa-mir-518c-3p,5e-4,TRUE,NA,mirtarbase,mirtarbase,0.00205864591801184,TRUE
3224,HOXC8,hsa-mir-518a-3p,hsa-mir-34b-5p,5e-4,TRUE,NA,mirtarbase,mirtarbase,0.00205864591801184,TRUE
3224,HOXC8,hsa-mir-518b,hsa-mir-34b-5p,0.0015,TRUE,NA,mirtarbase,mirtarbase,0.005383963824115,TRUE
3224,HOXC8,hsa-mir-518f-3p,hsa-mir-34b-5p,0.0015,TRUE,NA,mirtarbase,mirtarbase,0.005383963824115,TRUE
3423,IDS,hsa-mir-18b-5p,hsa-mir-7-1-3p,0.005,FALSE,NA,tarbase,tarbase,0.01475610432852386,TRUE
3455,IFNAR2,hsa-mir-629-5p,hsa-mir-219a-5p,0.0015,FALSE,NA,tarbase,tarbase,0.005383963824115,TRUE
3479,IGF1,hsa-mir-3065-5p,hsa-mir-129-5p,0,FALSE,NA,mirtarbase,mirtarbase,0,TRUE
3479,IGF1,hsa-mir-3065-5p,hsa-mir-219a-1-3p,0.006,FALSE,NA,mirtarbase,tarbase,0.01713305412371134,TRUE
3480,IGF1R,hsa-mir-494-3p,hsa-mir-653-5p,0.002,FALSE,NA,mirtarbase,tarbase,0.00687181806434939,TRUE
3609,ILF3,hsa-mir-338-3p,hsa-mir-497-5p,0.008,FALSE,NA,tarbase,tarbase,0.02165901338899353,TRUE
3710,ITPR3,hsa-mir-130b-5p,hsa-mir-940,0.005,FALSE,NA,tarbase,tarbase,0.01475610432852386,TRUE
3710,ITPR3,hsa-mir-214-3p,hsa-mir-940,0.001,FALSE,NA,tarbase,tarbase,0.0037967444849004,TRUE
3720,JARID2,hsa-mir-301b-3p,hsa-mir-449a,0.0045,FALSE,NA,mirtarbase tarbase,mirtarbase,0.01352976594301221,TRUE
3779,KCNMB1,hsa-mir-302c-3p,hsa-mir-106a-5p,0,FALSE,NA,mirtarbase,mirtarbase,0,TRUE
3779,KCNMB1,hsa-mir-512-3p,hsa-mir-106a-5p,0,FALSE,NA,mirtarbase,mirtarbase,0,TRUE
3779,KCNMB1,hsa-mir-512-3p,hsa-mir-432-5p,5e-4,FALSE,NA,mirtarbase,mirtarbase,0.00205864591801184,TRUE
3779,KCNMB1,hsa-mir-519d-3p,hsa-mir-20b-5p,0,FALSE,NA,mirtarbase,mirtarbase,0,TRUE
3779,KCNMB1,hsa-mir-519d-3p,hsa-mir-432-5p,0,FALSE,NA,mirtarbase,mirtarbase,0,TRUE
3779,KCNMB1,hsa-mir-519d-3p,hsa-mir-526b-3p,5e-4,FALSE,NA,mirtarbase,mirtarbase,0.00205864591801184,TRUE
3779,KCNMB1,hsa-mir-520a-3p,hsa-mir-20b-5p,0,FALSE,NA,mirtarbase,mirtarbase,0,TRUE
3779,KCNMB1,hsa-mir-520c-3p,hsa-mir-106a-5p,0,FALSE,NA,mirtarbase,mirtarbase,0,TRUE
3779,KCNMB1,hsa-mir-520c-3p,hsa-mir-20b-5p,0,FALSE,NA,mirtarbase,mirtarbase,0,TRUE
3779,KCNMB1,hsa-mir-520c-3p,hsa-mir-432-5p,0,FALSE,NA,mirtarbase,mirtarbase,0,TRUE
3779,KCNMB1,hsa-mir-520d-3p,hsa-mir-106a-5p,0,FALSE,NA,mirtarbase,mirtarbase,0,TRUE
3779,KCNMB1,hsa-mir-520d-3p,hsa-mir-432-5p,0,FALSE,NA,mirtarbase,mirtarbase,0,TRUE
3779,KCNMB1,hsa-mir-526b-3p,hsa-mir-106a-5p,0,FALSE,NA,mirtarbase,mirtarbase,0,TRUE
3779,KCNMB1,hsa-mir-526b-3p,hsa-mir-302d-3p,0,FALSE,NA,mirtarbase,mirtarbase,0,TRUE
3779,KCNMB1,hsa-mir-526b-3p,hsa-mir-432-5p,0,FALSE,NA,mirtarbase,mirtarbase,0,TRUE
3779,KCNMB1,hsa-mir-526b-3p,hsa-mir-512-3p,0,FALSE,NA,mirtarbase,mirtarbase,0,TRUE
3788,KCNS2,hsa-mir-371a-5p,hsa-mir-548e-3p,0.003,FALSE,NA,mirtarbase,mirtarbase,0.00965844356327753,TRUE
3824,KLRD1,hsa-mir-106a-5p,hsa-mir-301b-3p,0,FALSE,NA,mirtarbase,mirtarbase,0,TRUE
3824,KLRD1,hsa-mir-20b-5p,hsa-mir-301b-3p,0,FALSE,NA,mirtarbase,mirtarbase,0,TRUE
3920,LAMP2,hsa-mir-124-3p,hsa-mir-29b-3p,0.0075,FALSE,NA,mirtarbase tarbase,tarbase,0.02055066079295154,TRUE
3990,LIPC,hsa-mir-512-5p,hsa-mir-3922-3p,0,FALSE,NA,mirtarbase,mirtarbase,0,TRUE
4012,LNPEP,hsa-mir-122-5p,hsa-mir-18a-3p,5e-4,FALSE,NA,tarbase,mirtarbase tarbase,0.00205864591801184,TRUE
4026,LPP,hsa-mir-548b-3p,hsa-mir-7-5p,0,FALSE,NA,tarbase,tarbase,0,TRUE
4026,LPP,hsa-mir-548e-3p,hsa-mir-7-5p,0.0065,FALSE,NA,tarbase,tarbase,0.01827912326159378,TRUE
4067,LYN,hsa-mir-205-5p,hsa-let-7e-5p,0,FALSE,NA,mirtarbase,mirtarbase tarbase,0,TRUE
4067,LYN,hsa-mir-320c,hsa-mir-205-5p,0.008,FALSE,NA,tarbase,mirtarbase,0.02165901338899353,TRUE
4154,MBNL1,hsa-mir-122-5p,hsa-mir-1305,0.001,FALSE,NA,tarbase,tarbase,0.0037967444849004,TRUE
4154,MBNL1,hsa-mir-1305,hsa-mir-335-5p,0.0025,FALSE,NA,tarbase,mirtarbase,0.00830200755565268,TRUE
4154,MBNL1,hsa-mir-130b-3p,hsa-mir-335-5p,0.0035,FALSE,NA,mirtarbase tarbase,mirtarbase,0.01098845858669343,TRUE
4154,MBNL1,hsa-mir-433-3p,hsa-mir-1305,0.0015,FALSE,NA,mirtarbase,tarbase,0.005383963824115,TRUE
4154,MBNL1,hsa-mir-548d-3p,hsa-mir-187-3p,0.009,FALSE,NA,tarbase,tarbase,0.02382779907402797,TRUE
