entrezgene_id,hgnc_symbol,mirna1,mirna2,Lancaster_XY_Z,is_mrna_tf,mirna1Literature,mirna2Literature,mrnaLiterature,miRNA1_mRNA_DB,miRNA2_mRNA_DB,BH_pvalues_adjusted,BH_rejected
93,ACVR2B,hsa-mir-3127-5p,hsa-mir-203a-3p,5e-4,FALSE,NA,NA,NA,tarbase,mirtarbase,0.1115,FALSE
93,ACVR2B,hsa-mir-497-5p,hsa-mir-335-5p,0.005,FALSE,NA,NA,NA,tarbase,mirtarbase tarbase,0.2906265664160401,FALSE
214,ALCAM,hsa-mir-98-5p,hsa-mir-508-5p,0.0015,FALSE,NA,NA,NA,tarbase,tarbase,0.19326666666666667,FALSE
317,APAF1,hsa-mir-452-5p,hsa-mir-491-5p,0,FALSE,NA,NA,NA,tarbase,tarbase,0,TRUE
444,ASPH,hsa-mir-33a-5p,hsa-mir-106a-5p,0.002,FALSE,NA,NA,NA,tarbase,tarbase,0.21776525821596243,FALSE
473,RERE,hsa-mir-1224-5p,hsa-mir-182-5p,0.0085,FALSE,NA,NA,NA,tarbase,tarbase,0.33131428571428573,FALSE
558,AXL,hsa-mir-541-3p,hsa-mir-485-5p,0.0075,FALSE,NA,NA,NA,tarbase,tarbase,0.32757062146892657,FALSE
567,B2M,hsa-mir-195-3p,hsa-mir-411-3p,0.004,FALSE,NA,NA,NA,mirtarbase,mirtarbase,0.26657471264367816,FALSE
595,CCND1,hsa-mir-380-5p,hsa-mir-95-3p,0.0055,FALSE,NA,NA,"NA
NA
<a href='https://pubmed.ncbi.nlm.nih.gov/12097293'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/12097293'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/16954163'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/20621999'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/20621999'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/24390213'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/24390213'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/24390213'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/28095038'>PubMedLink</a>",mirtarbase,mirtarbase tarbase,0.30442959427207633,FALSE
599,BCL2L2,hsa-mir-550a-5p,hsa-mir-21-3p,0.0045,FALSE,NA,NA,NA,tarbase,tarbase,0.27904812834224596,FALSE
672,BRCA1,hsa-mir-1-3p,hsa-mir-26a-1-3p,0.002,FALSE,NA,NA,NA,tarbase,tarbase,0.21776525821596243,FALSE
678,ZFP36L2,hsa-mir-125b-2-3p,hsa-mir-378a-3p,0.0045,FALSE,NA,NA,NA,tarbase,tarbase,0.27904812834224596,FALSE
767,CA8,hsa-mir-9-5p,hsa-mir-329-3p,0.0015,FALSE,NA,NA,NA,mirtarbase,mirtarbase,0.19326666666666667,FALSE
894,CCND2,hsa-mir-141-5p,hsa-mir-345-5p,0.005,FALSE,NA,NA,NA,tarbase,tarbase,0.2906265664160401,FALSE
894,CCND2,hsa-mir-301a-3p,hsa-mir-21-3p,0.0035,FALSE,NA,NA,NA,mirtarbase tarbase,tarbase,0.2585095541401274,FALSE
894,CCND2,hsa-mir-345-5p,hsa-mir-221-3p,0.009,FALSE,NA,NA,NA,tarbase,tarbase,0.336658064516129,FALSE
