entrezgene_id,hgnc_symbol,mirna1,mirna2,Lancaster_XY_Z,is_mrna_tf,mirna1Literature,mirna2Literature,mrnaLiterature,miRNA1_mRNA_DB,miRNA2_mRNA_DB,miRNA1_pvalue,miRNA1_logFC,miRNA2_pvalue,miRNA2_logFC,mRNA_pvalue,mRNA_logFC,BH_pvalues_adjusted,BH_rejected
57161,PELI2,hsa-mir-9-5p,hsa-mir-3613-5p,0.0035,FALSE,NA,NA,NA,tarbase,tarbase,8.1254910621026e-4,-0.283211906425316,0.292081814639792,0.16288219413891,0.090698329871126,-0.111843980433845,0.07209351851851852,FALSE
57633,LRRN1,hsa-mir-106a-5p,hsa-mir-141-3p,0.0025,FALSE,<a href='https://pubmed.ncbi.nlm.nih.gov/24977165'>PubMedLink</a> <a href='https://pubmed.ncbi.nlm.nih.gov/29072688'>PubMedLink</a>,NA,NA,tarbase,tarbase,0.0183021042700624,-0.296921662206423,2.63222209308618e-31,-1.44925664591585,0.408102855370934,-0.0603600150116645,0.06165742793791574,FALSE
57685,CACHD1,hsa-mir-589-3p,hsa-mir-125b-2-3p,0.0055,FALSE,NA,NA,NA,tarbase,tarbase,0.00361466771125294,0.665126829413091,0.756263055569734,-0.0376463659111949,0.00442968935912199,-0.194262134241021,0.09227224736048265,FALSE
65059,RAPH1,hsa-mir-378a-3p,hsa-mir-296-5p,0.001,FALSE,NA,NA,NA,tarbase,tarbase,0.333951496517598,-0.0867876070920384,0.282099234682597,0.215685583687804,0.00695816281537663,-0.200349577657942,0.03422461538461538,TRUE
65059,RAPH1,hsa-mir-589-3p,hsa-mir-296-5p,0,FALSE,NA,NA,NA,tarbase,tarbase,0.00361466771125294,0.665126829413091,0.282099234682597,0.215685583687804,0.00695816281537663,-0.200349577657942,0,TRUE
84765,ZNF577,hsa-mir-424-5p,hsa-mir-497-5p,0,TRUE,NA,NA,NA,tarbase,tarbase,8.45703087988298e-7,-0.480921334505891,1.25737395343195e-5,-0.554797074996022,0.446732946011493,-0.0527266494221188,0,TRUE
91947,ARRDC4,hsa-mir-1229-3p,hsa-mir-424-5p,0.0075,FALSE,NA,NA,NA,tarbase,tarbase,0.339536439861388,0.28177996890093,8.45703087988298e-7,-0.480921334505891,0.55129403847718,-0.0372795709609565,0.10848179453836151,FALSE
92370,PXYLP1,hsa-mir-629-3p,hsa-mir-502-5p,0.0065,FALSE,NA,NA,NA,tarbase,tarbase,0.448917243799708,0.163955825042549,2.8626751916423e-4,-0.723154039846299,0.606330169901219,0.0346690383637661,0.09972344827586208,FALSE
114823,LENG8,hsa-mir-491-5p,hsa-mir-550a-5p,0,FALSE,NA,NA,NA,tarbase,tarbase,0.345523826297636,0.226838686667753,0.0912286663408954,0.351134747989742,0.486065711863245,0.0433040803360282,0,TRUE
131544,CRYBG3,hsa-let-7c-5p,hsa-mir-192-5p,0.008,FALSE,NA,NA,NA,tarbase,mirtarbase,0.782096635313605,-0.0216614480563819,0.0149599825893051,-0.180669300513644,0.00201872043250238,-0.214835120034735,0.11123,FALSE
143686,SESN3,hsa-mir-598-3p,hsa-mir-143-5p,0.008,FALSE,NA,NA,NA,tarbase,mirtarbase,0.230648656056323,-0.146462841595431,4.65180384451827e-9,-0.697443150638264,0.872431875540295,0.0103758294260592,0.11123,FALSE
143686,SESN3,hsa-mir-616-5p,hsa-mir-409-3p,0.002,FALSE,NA,NA,NA,tarbase,mirtarbase,4.03356445983444e-5,0.908430063817907,5.8708964969008e-4,-0.551145183851356,0.872431875540295,0.0103758294260592,0.05360481927710843,FALSE
158471,PRUNE2,hsa-mir-141-5p,hsa-mir-96-5p,0.002,FALSE,NA,NA,NA,tarbase,tarbase,3.822660774893219e-30,-1.7549023698368,6.14186161570658e-5,0.598042091283111,0.275503502458155,0.0700762948962134,0.05360481927710843,FALSE
161436,EML5,hsa-mir-16-2-3p,hsa-mir-145-3p,0.005,FALSE,NA,NA,NA,tarbase,tarbase,0.485781791682188,0.121018700385268,7.90112155268579e-11,-0.776869812026365,0.00234562396606611,-0.248679770573156,0.08785939968404424,FALSE
164832,LONRF2,hsa-mir-502-5p,hsa-mir-940,0.001,FALSE,NA,NA,NA,tarbase,tarbase,2.8626751916423e-4,-0.723154039846299,0.984638316391683,-0.00391844380424038,9.97553755882011e-5,-0.278694554534275,0.03422461538461538,TRUE
343702,XKR7,hsa-mir-424-5p,hsa-mir-874-3p,0.0035,FALSE,NA,NA,NA,mirtarbase,mirtarbase,8.45703087988298e-7,-0.480921334505891,3.01742625029611e-6,-0.565105541524447,0.0142731198424962,0.437435353133209,0.07209351851851852,FALSE
445815,PALM2AKAP2,hsa-mir-195-5p,hsa-mir-9-5p,5e-4,FALSE,<a href='https://pubmed.ncbi.nlm.nih.gov/28969047'>PubMedLink</a>,NA,NA,tarbase,tarbase,1.02200829748098e-8,-0.6627503859451,8.1254910621026e-4,-0.283211906425316,8.9725985081177e-4,-0.477166856508413,0.02007761732851985,TRUE
647024,C6orf132,hsa-mir-192-5p,hsa-mir-19a-3p,0.007,FALSE,NA,NA,NA,mirtarbase,mirtarbase,0.0149599825893051,-0.180669300513644,0.0994917197752559,0.219484357143429,0.85433171854754,0.0123656804835164,0.10409224598930482,FALSE
647024,C6orf132,hsa-mir-192-5p,hsa-mir-215-5p,0.0025,FALSE,NA,NA,NA,mirtarbase,mirtarbase,0.0149599825893051,-0.180669300513644,3.29938747524258e-6,-0.622739534240753,0.85433171854754,0.0123656804835164,0.06165742793791574,FALSE
647024,C6orf132,hsa-mir-19a-3p,hsa-mir-215-5p,0,FALSE,NA,NA,NA,mirtarbase,mirtarbase,0.0994917197752559,0.219484357143429,3.29938747524258e-6,-0.622739534240753,0.85433171854754,0.0123656804835164,0,TRUE
