entrezgene_id,hgnc_symbol,mirna1,mirna2,Lancaster_XY_Z,is_mrna_tf,mirna1Literature,mirna2Literature,mrnaLiterature,miRNA1_mRNA_DB,miRNA2_mRNA_DB,BH_pvalues_adjusted,BH_rejected
444,ASPH,hsa-let-7c-5p,hsa-mir-96-5p,0.008,FALSE,NA,NA,NA,tarbase,tarbase,0.34435174953959485,FALSE
472,ATM,hsa-mir-320c,hsa-mir-1-3p,0.002,FALSE,NA,NA,<a href='https://pubmed.ncbi.nlm.nih.gUVM/31377937'>PubMedLink</a>,tarbase,tarbase,0.22332994923857863,FALSE
774,CACNA1B,hsa-mir-335-5p,hsa-mir-3150b-3p,0.0015,FALSE,NA,NA,NA,mirtarbase tarbase,mirtarbase,0.19296491228070176,FALSE
814,CAMK4,hsa-mir-2116-3p,hsa-mir-629-3p,0.001,FALSE,NA,NA,NA,mirtarbase,mirtarbase,0.1745873015873016,FALSE
836,CASP3,hsa-mir-30a-3p,hsa-mir-129-5p,0.0065,FALSE,NA,NA,NA,tarbase,tarbase,0.3272013729977116,FALSE
864,RUNX3,hsa-mir-106a-5p,hsa-mir-495-3p,0.004,TRUE,NA,NA,NA,mirtarbase tarbase,mirtarbase,0.28112460063897765,FALSE
894,CCND2,hsa-mir-32-5p,hsa-mir-424-5p,5e-4,FALSE,NA,NA,NA,tarbase,mirtarbase tarbase,0.11826881720430107,FALSE
1021,CDK6,hsa-let-7b-5p,hsa-mir-145-5p,0.0035,FALSE,NA,NA,NA,mirtarbase tarbase,mirtarbase,0.26826829268292685,FALSE
1021,CDK6,hsa-mir-129-2-3p,hsa-let-7b-5p,0.0085,FALSE,NA,NA,NA,mirtarbase,mirtarbase tarbase,0.34435174953959485,FALSE
1021,CDK6,hsa-mir-145-5p,hsa-mir-582-5p,0.0095,FALSE,NA,NA,NA,mirtarbase,tarbase,0.3494665551839465,FALSE
1021,CDK6,hsa-mir-582-3p,hsa-mir-143-3p,0.005,FALSE,NA,NA,NA,tarbase,tarbase,0.3005191256830601,FALSE
1021,CDK6,hsa-mir-582-5p,hsa-mir-143-3p,0.0045,FALSE,NA,NA,NA,tarbase,tarbase,0.29029618768328447,FALSE
1026,CDKN1A,hsa-mir-101-3p,hsa-mir-106a-5p,0.0045,FALSE,<a href='https://pubmed.ncbi.nlm.nih.gUVM/30186385'>PubMedLink</a>,NA,<a href='https://pubmed.ncbi.nlm.nih.gUVM/30483120'>PubMedLink</a>,mirtarbase tarbase,mirtarbase tarbase,0.29029618768328447,FALSE
1026,CDKN1A,hsa-mir-101-3p,hsa-mir-424-5p,0.0055,FALSE,<a href='https://pubmed.ncbi.nlm.nih.gUVM/30186385'>PubMedLink</a>,NA,<a href='https://pubmed.ncbi.nlm.nih.gUVM/30483120'>PubMedLink</a>,mirtarbase tarbase,tarbase,0.30630126582278483,FALSE
1026,CDKN1A,hsa-mir-424-5p,hsa-mir-106a-5p,5e-4,FALSE,NA,NA,<a href='https://pubmed.ncbi.nlm.nih.gUVM/30483120'>PubMedLink</a>,tarbase,mirtarbase tarbase,0.11826881720430107,FALSE
1026,CDKN1A,hsa-mir-548e-3p,hsa-mir-1304-5p,0.007,FALSE,NA,NA,<a href='https://pubmed.ncbi.nlm.nih.gUVM/30483120'>PubMedLink</a>,mirtarbase,mirtarbase,0.3297344753747323,FALSE
1063,CENPF,hsa-mir-194-5p,hsa-mir-125b-5p,0.007,FALSE,NA,NA,NA,tarbase,tarbase,0.3297344753747323,FALSE
1191,CLU,hsa-mir-424-5p,hsa-mir-20a-5p,0.005,FALSE,NA,NA,NA,mirtarbase tarbase,tarbase,0.3005191256830601,FALSE
1316,KLF6,hsa-mir-10b-3p,hsa-mir-511-5p,0.0045,TRUE,NA,NA,NA,tarbase,mirtarbase,0.29029618768328447,FALSE
1373,CPS1,hsa-mir-142-3p,hsa-mir-21-5p,0.0095,FALSE,<a href='https://pubmed.ncbi.nlm.nih.gUVM/31213897'>PubMedLink</a>,NA,NA,mirtarbase,tarbase,0.3494665551839465,FALSE
1408,CRY2,hsa-let-7b-5p,hsa-mir-10b-5p,0,FALSE,NA,NA,NA,mirtarbase tarbase,mirtarbase,0,TRUE
