"info","is_mrna_tf","name","selected","shared.name","updown","significance","miRfamily","mirnaCluster"
"mrna","false","IGF2BP1","false","IGF2BP1","up",NA,NA,NA
"mrna","false","WASF3","false","WASF3","down",NA,NA,NA
"mrna","false","PLAAT3","false","PLAAT3","down",NA,NA,NA
"mrna","false","WDR6","false","WDR6","down",NA,NA,NA
"mrna","false","ADGRL1","false","ADGRL1","down",NA,NA,NA
"mrna","false","ELL2","false","ELL2","up",NA,NA,NA
"mrna","false","PSD3","false","PSD3","down",NA,NA,NA
"mrna","false","KIAA0895","false","KIAA0895","up",NA,NA,NA
"mrna","false","SLC7A11","false","SLC7A11","up",NA,NA,NA
"mrna","false","LRIG1","false","LRIG1","down",NA,NA,NA
"mrna","false","RGS17","false","RGS17","up",NA,NA,NA
"mrna","false","CLEC2D","false","CLEC2D","down",NA,NA,NA
"mrna","false","CD274","false","CD274","up",NA,NA,NA
"mrna","false","COL5A3","false","COL5A3","down",NA,NA,NA
"mrna","false","ERRFI1","false","ERRFI1","down",NA,NA,NA
"mrna","false","SLC25A36","false","SLC25A36","up",NA,NA,NA
"mrna","false","NRIP3","false","NRIP3","up",NA,NA,NA
"mrna","false","USP31","false","USP31","down",NA,NA,NA
"mrna","false","SRGAP1","false","SRGAP1","up",NA,NA,NA
"mrna","false","TRMT9B","false","TRMT9B","down",NA,NA,NA
"mrna","false","RNF213","false","RNF213","up",NA,NA,NA
"mrna","false","TRAK2","false","TRAK2","down",NA,NA,NA
"mrna","false","AHNAK","false","AHNAK","down",NA,NA,NA
"mrna","false","ULBP3","false","ULBP3","up",NA,NA,NA
"mrna","true","ZFHX4","false","ZFHX4","down",NA,NA,NA
"mrna","true","ZNF614","false","ZNF614","down",NA,NA,NA
"mrna","false","ZNF703","false","ZNF703","down",NA,NA,NA
"mrna","true","TET1","false","TET1","down",NA,NA,NA
"mrna","false","COLEC12","false","COLEC12","down",NA,NA,NA
"mrna","false","PPP1R14C","false","PPP1R14C","up",NA,NA,NA
"mrna","false","KIFC2","false","KIFC2","up",NA,NA,NA
"mrna","false","TP53INP1","false","TP53INP1","down",NA,NA,NA
"mrna","false","EDARADD","false","EDARADD","up",NA,NA,NA
"mrna","false","NOL4L","false","NOL4L","down",NA,NA,NA
"mrna","true","ZNF827","false","ZNF827","down",NA,NA,NA
"mrna","false","AMOT","false","AMOT","down",NA,NA,NA
"mrna","false","ITPRIPL2","false","ITPRIPL2","down",NA,NA,NA
"mrna","false","NHSL2","false","NHSL2","down",NA,NA,NA
"mrna","false","FAM71F2","false","FAM71F2","down",NA,NA,NA
"mrna","false","ZNF704","false","ZNF704","down",NA,NA,NA
"mrna","false","FAM160A1","false","FAM160A1","up",NA,NA,NA
"mrna","false","MTRNR2L1","false","MTRNR2L1","down",NA,NA,NA
