miRNA1,miRNA2,TF1,TF2,Target,ModeOfRegulation1,ModeOfRegulation2,TwoVar_mirna1_tf1,TwoVar_mirna1_target,TwoVar_mirna2_tf2,TwoVar_mirna2_target,mirna1mirna2_target,BH_rejected,BH_pvalues_adjusted
hsa-mir-106a-5p,hsa-mir-19a-3p,10320,6689,25816,1,1,0.009,0.129,0.0085,0.2925,0.0,True,0.0
hsa-mir-129-5p,hsa-mir-219a-1-3p,2099,2113,4846,1,1,0.0,0.541,0.0,0.182,0.0,True,0.0
hsa-mir-3934-5p,hsa-mir-9-5p,2099,2308,1026,1,1,0.0,0.155,0.0,0.139,0.0,True,0.0
hsa-mir-17-5p,hsa-mir-1910-5p,2099,3091,4846,1,1,0.0,0.0725,0.0055,0.7,0.0,True,0.0
hsa-mir-9-3p,hsa-mir-9-5p,2099,4790,3726,1,1,0.0,0.036,0.0,0.032,0.0,True,0.0
hsa-mir-129-5p,hsa-mir-130b-3p,2099,4790,595,1,1,0.0,0.438,0.0,0.057,0.001,True,0.04676608285618053
hsa-mir-106a-5p,hsa-mir-17-5p,2099,6774,3726,1,1,0.0,0.181,0.0,0.2765,0.001,True,0.04676608285618053
hsa-mir-129-5p,hsa-mir-130b-3p,2099,6774,595,1,1,0.0,0.438,0.0,0.057,0.001,True,0.04676608285618053
hsa-mir-17-5p,hsa-mir-20a-5p,2099,6774,9021,1,1,0.0,0.0105,0.004,0.1615,0.001,True,0.04676608285618053
hsa-mir-129-5p,hsa-mir-219a-1-3p,2113,2099,4846,1,1,0.0,0.541,0.0,0.182,0.0,True,0.0
hsa-mir-3934-5p,hsa-mir-9-5p,2113,2308,1026,1,1,0.0,0.155,0.0,0.139,0.0,True,0.0
hsa-mir-200b-3p,hsa-mir-96-5p,2113,2308,285,1,1,0.0,0.034,0.0,0.03,0.0,True,0.0
hsa-mir-200a-3p,hsa-mir-200b-3p,2113,2625,2078,1,1,0.0,0.0805,0.002,0.037,0.0,True,0.0
hsa-mir-10b-3p,hsa-mir-429,2113,3091,1026,1,1,0.004,0.659,0.007,0.1955,0.0005,True,0.029853472371533
hsa-mir-200b-3p,hsa-mir-429,2113,3091,1026,1,1,0.0,0.0175,0.0065,0.215,0.0005,True,0.029853472371533
hsa-mir-200b-3p,hsa-mir-96-5p,2113,3091,285,1,1,0.0,0.034,0.001,0.03,0.0,True,0.0
hsa-mir-9-3p,hsa-mir-9-5p,2113,4790,4318,1,1,0.0,0.013,0.0,0.0195,0.0005,True,0.029853472371533
hsa-mir-200b-3p,hsa-mir-96-5p,2308,2113,285,1,1,0.0,0.034,0.0,0.03,0.0,True,0.0
hsa-mir-139-5p,hsa-mir-96-5p,2353,4790,3569,1,1,0.005,0.04,0.0,0.1175,0.0,True,0.0
hsa-mir-200a-3p,hsa-mir-200b-3p,2625,2113,2078,1,1,0.008,0.0805,0.0,0.037,0.0,True,0.0
hsa-mir-200a-3p,hsa-mir-224-5p,2627,3164,8553,1,1,0.001,0.0875,0.009,0.022,0.0005,True,0.029853472371533
hsa-mir-19a-3p,hsa-mir-20a-5p,3091,2034,8553,1,1,0.001,0.016,0.0,0.0485,0.001,True,0.04676608285618053
hsa-mir-17-5p,hsa-mir-1910-5p,3091,2099,4846,1,1,0.0035,0.0725,0.0065,0.7,0.0,True,0.0
hsa-mir-18a-5p,hsa-mir-18b-5p,3091,2099,4846,1,1,0.0005,0.053,0.0025,0.094,0.0,True,0.0
hsa-mir-19a-3p,hsa-mir-20a-5p,3091,2627,8553,1,1,0.001,0.016,0.0005,0.0485,0.001,True,0.04676608285618053
hsa-mir-9-3p,hsa-mir-9-5p,3659,4790,958,1,1,0.0,0.012,0.0,0.031,0.0005,True,0.029853472371533
hsa-mir-10b-3p,hsa-mir-20b-3p,3662,4094,3695,1,1,0.0,0.0185,0.006,0.212,0.0,True,0.0
hsa-mir-130b-3p,hsa-mir-301a-3p,4609,4790,3091,1,1,0.0,0.1035,0.0075,0.032,0.001,True,0.04676608285618053
hsa-mir-9-3p,hsa-mir-9-5p,4790,2099,3726,1,1,0.0,0.036,0.0,0.032,0.0,True,0.0
hsa-mir-129-5p,hsa-mir-130b-3p,4790,2099,595,1,1,0.0,0.438,0.0,0.057,0.001,True,0.04676608285618053
hsa-mir-9-3p,hsa-mir-9-5p,4790,2113,4318,1,1,0.0,0.013,0.0,0.0195,0.0005,True,0.029853472371533
hsa-mir-9-3p,hsa-mir-9-5p,4790,3659,958,1,1,0.0,0.012,0.0005,0.031,0.0005,True,0.029853472371533
hsa-mir-1301-3p,hsa-mir-589-3p,55553,6925,2037,1,1,0.0025,0.4455,0.0045,0.0325,0.001,True,0.04676608285618053
hsa-mir-182-5p,hsa-mir-183-5p,6773,3660,9636,1,1,0.0055,0.1195,0.0005,0.0145,0.0,True,0.0
hsa-mir-106a-5p,hsa-mir-17-5p,6774,2099,3726,1,1,0.0,0.181,0.0,0.2765,0.001,True,0.04676608285618053
hsa-mir-17-5p,hsa-mir-20a-5p,6774,2099,9021,1,1,0.0005,0.0105,0.0025,0.1615,0.001,True,0.04676608285618053
hsa-mir-130b-3p,hsa-mir-301a-3p,6774,4790,3091,1,1,0.0,0.1035,0.0075,0.032,0.001,True,0.04676608285618053
hsa-let-7c-5p,hsa-mir-296-3p,6774,6776,5551,1,1,0.0,0.341,0.0015,0.025,0.0,True,0.0
hsa-mir-296-3p,hsa-mir-31-5p,6776,6774,3572,1,1,0.0,0.016,0.0095,0.097,0.0,True,0.0
hsa-mir-141-3p,hsa-mir-3065-5p,6938,2625,64778,1,1,0.0095,0.0135,0.002,0.0145,0.0,True,0.0
hsa-mir-570-3p,hsa-mir-744-3p,7003,1997,831,1,1,0.005,0.185,0.005,0.041,0.0005,True,0.029853472371533
hsa-mir-33a-3p,hsa-mir-362-5p,8648,7003,50807,1,1,0.009,0.2685,0.001,0.117,0.0,True,0.0
hsa-mir-200b-3p,hsa-mir-429,9314,2113,1026,1,1,0.002,0.0175,0.0,0.215,0.0005,True,0.029853472371533
hsa-mir-200b-3p,hsa-mir-429,9314,3091,1026,1,1,0.002,0.0175,0.0065,0.215,0.0005,True,0.029853472371533
